Entity,Code,Year,0_0_temp_anomaly
Austria,AUT,1850,-1.1
Austria,AUT,1851,-1.26
Austria,AUT,1852,-0.05
Austria,AUT,1853,-0.91
Austria,AUT,1854,-0.91
Austria,AUT,1855,-1.07
Austria,AUT,1856,-0.68
Austria,AUT,1857,-0.53
Austria,AUT,1858,-1.32
Austria,AUT,1859,0.09
Austria,AUT,1860,-1.33
Austria,AUT,1861,-0.35
Austria,AUT,1862,0.51
Austria,AUT,1863,0.69
Austria,AUT,1864,-1.57
Austria,AUT,1865,-0.06
Austria,AUT,1866,0.13
Austria,AUT,1867,-0.11
Austria,AUT,1868,0.72
Austria,AUT,1869,-0.05
Austria,AUT,1870,-1.22
Austria,AUT,1871,-1.53
Austria,AUT,1872,0.7
Austria,AUT,1873,0.16
Austria,AUT,1874,-0.79
Austria,AUT,1875,-1.2
Austria,AUT,1876,-0.54
Austria,AUT,1877,-0.36
Austria,AUT,1878,-0.65
Austria,AUT,1879,-1.52
Austria,AUT,1880,-0.39
Austria,AUT,1881,-0.93
Austria,AUT,1882,-0.2
Austria,AUT,1883,-0.89
Austria,AUT,1884,-0.5
Austria,AUT,1885,-0.39
Austria,AUT,1886,-0.28
Austria,AUT,1887,-1.38
Austria,AUT,1888,-1.28
Austria,AUT,1889,-1.13
Austria,AUT,1890,-1.11
Austria,AUT,1891,-1.08
Austria,AUT,1892,-0.72
Austria,AUT,1893,-0.69
Austria,AUT,1894,-0.47
Austria,AUT,1895,-0.87
Austria,AUT,1896,-0.99
Austria,AUT,1897,-0.23
Austria,AUT,1898,0.4
Austria,AUT,1899,-0.35
Austria,AUT,1900,0.21
Austria,AUT,1901,-0.84
Austria,AUT,1902,-0.68
Austria,AUT,1903,-0.33
Austria,AUT,1904,0.06
Austria,AUT,1905,-0.59
Austria,AUT,1906,-0.53
Austria,AUT,1907,-0.49
Austria,AUT,1908,-0.91
Austria,AUT,1909,-1.06
Austria,AUT,1910,-0.42
Austria,AUT,1911,0.13
Austria,AUT,1912,-0.93
Austria,AUT,1913,-0.52
Austria,AUT,1914,-0.63
Austria,AUT,1915,-0.55
Austria,AUT,1916,0.11
Austria,AUT,1917,-0.85
Austria,AUT,1918,-0.22
Austria,AUT,1919,-1.05
Austria,AUT,1920,0.52
Austria,AUT,1921,0.44
Austria,AUT,1922,-0.75
Austria,AUT,1923,0.05
Austria,AUT,1924,-0.64
