Entity,Code,Year,4_1_Happy
Austria,AUT,2004,7.122211456
Austria,AUT,2006,7.180953979
Austria,AUT,2008,7.302678585
Austria,AUT,2009,7.470512867
Austria,AUT,2010,7.400688648
Austria,AUT,2011,7.498802662
Austria,AUT,2012,6.949999809
Austria,AUT,2013,7.07644701
Austria,AUT,2014,7.048071861
Austria,AUT,2015,7.293727875
Austria,AUT,2016,7.396001816
Austria,AUT,2017,7.195361137
Austria,AUT,2018,7.213489056
Austria,AUT,2019,7.267799854
Austria,AUT,2020,7.163000107
Belgium,BEL,2003,7.262290478
Belgium,BEL,2005,7.218839645
Belgium,BEL,2006,7.116590977
Belgium,BEL,2008,6.853514194
Belgium,BEL,2009,7.111363888
Belgium,BEL,2010,6.935122013
Belgium,BEL,2011,7.10366106
Belgium,BEL,2012,6.855329037
Belgium,BEL,2013,6.904219151
Belgium,BEL,2014,6.948936462
Belgium,BEL,2015,6.928347588
Belgium,BEL,2016,6.89217186
Belgium,BEL,2017,6.772138119
Belgium,BEL,2018,6.838760853
Belgium,BEL,2019,6.834000111
Belgium,BEL,2020,6.804999828
Bulgaria,BGR,2005,3.843797922
Bulgaria,BGR,2008,3.912276268
Bulgaria,BGR,2009,3.875382423
Bulgaria,BGR,2010,4.222297192
Bulgaria,BGR,2011,3.993020535
Bulgaria,BGR,2012,4.438439846
Bulgaria,BGR,2013,4.865401268
Bulgaria,BGR,2014,4.837560654
Bulgaria,BGR,2015,5.096901894
Bulgaria,BGR,2016,5.098813534
Bulgaria,BGR,2017,5.108438015
Bulgaria,BGR,2018,5.597723007
Bulgaria,BGR,2019,5.265500069
Bulgaria,BGR,2020,5.370900154
Croatia,HRV,2005,5.820907593
Croatia,HRV,2007,5.433319569
Croatia,HRV,2008,5.595575333
Croatia,HRV,2009,5.385372639
Croatia,HRV,2010,6.027634621
Croatia,HRV,2011,5.885462761
Croatia,HRV,2012,5.380692482
Croatia,HRV,2013,5.205438137
Croatia,HRV,2014,5.416875362
Croatia,HRV,2015,5.343165874
Croatia,HRV,2016,5.536271095
Croatia,HRV,2017,5.625743866
Croatia,HRV,2018,6.507992268
Croatia,HRV,2019,5.881700039
Croatia,HRV,2020,6.125199795
Cyprus,CYP,2004,6.237958431
Cyprus,CYP,2007,6.833477497
Cyprus,CYP,2008,6.386546135
Cyprus,CYP,2009,6.689608574
Cyprus,CYP,2010,6.180507183
Cyprus,CYP,2011,5.438952446
Cyprus,CYP,2012,5.627123833
Cyprus,CYP,2013,5.439161301
Cyprus,CYP,2014,5.794618607
Cyprus,CYP,2015,6.062051296
Cyprus,CYP,2016,6.276443005
Cyprus,CYP,2017,6.136832714
Cyprus,CYP,2018,6.259810448
Cyprus,CYP,2019,6.223499775
Cyprus,CYP,2020,6.220900059
Czechia,CZE,2003,6.439256668
Czechia,CZE,2005,6.500194073
Czechia,CZE,2008,6.249617577
Czechia,CZE,2009,6.331490993
Czechia,CZE,2010,6.334149361
Czechia,CZE,2011,6.697655678
Czechia,CZE,2012,6.483729839
Czechia,CZE,2013,6.608017445
Czechia,CZE,2014,6.735627174
Czechia,CZE,2015,6.789567947
Czechia,CZE,2016,7.034165382
Czechia,CZE,2018,6.897091389
