Entity,Code,Year,5_0_HomicideDeath
Austria,AUT,1990,1.44
Austria,AUT,1991,1.29
Austria,AUT,1992,1.43
Austria,AUT,1993,1.31
Austria,AUT,1994,1.2
Austria,AUT,1995,1.09
Austria,AUT,1996,1.07
Austria,AUT,1997,0.91
Austria,AUT,1998,1.04
Austria,AUT,1999,0.87
Austria,AUT,2000,0.88
Austria,AUT,2001,0.9
Austria,AUT,2002,0.9
Austria,AUT,2003,0.7
Austria,AUT,2004,0.83
Austria,AUT,2005,0.88
Austria,AUT,2006,0.92
Austria,AUT,2007,0.85
Austria,AUT,2008,0.8
Austria,AUT,2009,0.87
Austria,AUT,2010,0.82
Austria,AUT,2011,0.84
Austria,AUT,2012,0.81
Austria,AUT,2013,0.78
Austria,AUT,2014,0.83
Austria,AUT,2015,0.92
Austria,AUT,2016,0.88
Austria,AUT,2017,0.84
Austria,AUT,2018,0.8
Austria,AUT,2019,0.79
Belgium,BEL,1990,1.84
Belgium,BEL,1991,1.83
Belgium,BEL,1992,2.06
Belgium,BEL,1993,2.22
Belgium,BEL,1994,2.2
Belgium,BEL,1995,2.14
Belgium,BEL,1996,2.22
Belgium,BEL,1997,2.09
Belgium,BEL,1998,2.42
Belgium,BEL,1999,2.62
Belgium,BEL,2000,2.08
Belgium,BEL,2001,2.12
Belgium,BEL,2002,2.11
Belgium,BEL,2003,1.75
Belgium,BEL,2004,1.91
Belgium,BEL,2005,1.84
Belgium,BEL,2006,1.72
Belgium,BEL,2007,1.74
Belgium,BEL,2008,1.55
Belgium,BEL,2009,1.56
Belgium,BEL,2010,1.47
Belgium,BEL,2011,1.67
Belgium,BEL,2012,1.6
Belgium,BEL,2013,1.43
Belgium,BEL,2014,1.51
Belgium,BEL,2015,1.44
Belgium,BEL,2016,1.49
Belgium,BEL,2017,1.44
Belgium,BEL,2018,1.43
Belgium,BEL,2019,1.43
Bulgaria,BGR,1990,4.37
Bulgaria,BGR,1991,5.03
Bulgaria,BGR,1992,5.82
Bulgaria,BGR,1993,6.12
Bulgaria,BGR,1994,6.88
Bulgaria,BGR,1995,6.48
Bulgaria,BGR,1996,6.7
Bulgaria,BGR,1997,6.38
Bulgaria,BGR,1998,5.76
Bulgaria,BGR,1999,4.84
Bulgaria,BGR,2000,5.25
Bulgaria,BGR,2001,4.64
Bulgaria,BGR,2002,4.31
Bulgaria,BGR,2003,4.13
Bulgaria,BGR,2004,4.05
Bulgaria,BGR,2005,3.65
Bulgaria,BGR,2006,3.2
Bulgaria,BGR,2007,3.09
Bulgaria,BGR,2008,2.91
Bulgaria,BGR,2009,3
Bulgaria,BGR,2010,2.63
Bulgaria,BGR,2011,2.39
Bulgaria,BGR,2012,2.48
Bulgaria,BGR,2013,2.26
Bulgaria,BGR,2014,2.48
Bulgaria,BGR,2015,2.48
Bulgaria,BGR,2016,2.56
Bulgaria,BGR,2017,2.57
Bulgaria,BGR,2018,2.61
Bulgaria,BGR,2019,2.63
Croatia,HRV,1990,3.1
Croatia,HRV,1991,3.58
Croatia,HRV,1992,4.45
Croatia,HRV,1993,4.49
Croatia,HRV,1994,3.82
Croatia,HRV,1995,3.68
Croatia,HRV,1996,3.3
Croatia,HRV,1997,3.2
Croatia,HRV,1998,3.23
Croatia,HRV,1999,2.92
Croatia,HRV,2000,2.63
Croatia,HRV,2001,2.16
Croatia,HRV,2002,1.83
Croatia,HRV,2003,1.89
Croatia,HRV,2004,1.86
Croatia,HRV,2005,1.58
Croatia,HRV,2006,1.81
Croatia,HRV,2007,1.62
Croatia,HRV,2008,1.74
Croatia,HRV,2009,1.41
Croatia,HRV,2010,1.34
Croatia,HRV,2011,1.25
Croatia,HRV,2012,1.29
Croatia,HRV,2013,1.14
Croatia,HRV,2014,1
Croatia,HRV,2015,1.03
Croatia,HRV,2016,1.12
Croatia,HRV,2017,1.07
Croatia,HRV,2018,1.08
Croatia,HRV,2019,1.11
Cyprus,CYP,1990,2.82
Cyprus,CYP,1991,2.83
Cyprus,CYP,1992,2.75
Cyprus,CYP,1993,2.68
Cyprus,CYP,1994,2.63
Cyprus,CYP,1995,2.59
Cyprus,CYP,1996,2.59
Cyprus,CYP,1997,2.54
Cyprus,CYP,1998,2.53
Cyprus,CYP,1999,2.49
Cyprus,CYP,2000,2.43
Cyprus,CYP,2001,2.4
Cyprus,CYP,2002,2.32
Cyprus,CYP,2003,2.26
Cyprus,CYP,2004,2.21
Cyprus,CYP,2005,2.16
Cyprus,CYP,2006,2.12
Cyprus,CYP,2007,2.04
Cyprus,CYP,2008,1.97
Cyprus,CYP,2009,1.94
Cyprus,CYP,2010,1.87
Cyprus,CYP,2011,1.86
Cyprus,CYP,2012,1.83
Cyprus,CYP,2013,1.76
Cyprus,CYP,2014,1.7
Cyprus,CYP,2015,1.67
Cyprus,CYP,2016,1.65
Cyprus,CYP,2017,1.62
Cyprus,CYP,2018,1.6
Cyprus,CYP,2019,1.58
Czechia,CZE,1990,2.24
Czechia,CZE,1991,2.17
Czechia,CZE,1992,2.39
Czechia,CZE,1993,2.5
Czechia,CZE,1994,2.71
Czechia,CZE,1995,2.28
Czechia,CZE,1996,2.13
Czechia,CZE,1997,2.18
Czechia,CZE,1998,2.03
Czechia,CZE,1999,1.94
Czechia,CZE,2000,1.99
Czechia,CZE,2001,1.84
Czechia,CZE,2002,1.79
Czechia,CZE,2003,1.82
Czechia,CZE,2004,1.77
Czechia,CZE,2005,1.58
Czechia,CZE,2006,1.64
Czechia,CZE,2007,1.62
Czechia,CZE,2008,1.43
Czechia,CZE,2009,1.4
Czechia,CZE,2010,1.29
Czechia,CZE,2011,1.25
Czechia,CZE,2012,1.25
Czechia,CZE,2013,1.13
Czechia,CZE,2014,1.1
Czechia,CZE,2015,1.09
Czechia,CZE,2016,0.9
Czechia,CZE,2017,0.95
Czechia,CZE,2018,0.99
Czechia,CZE,2019,0.99
Denmark,DNK,1990,1.68
Denmark,DNK,1991,1.87
Denmark,DNK,1992,1.88
Denmark,DNK,1993,1.82
Denmark,DNK,1994,1.89
Denmark,DNK,1995,1.77
Denmark,DNK,1996,1.7
Denmark,DNK,1997,1.74
Denmark,DNK,1998,1.62
Denmark,DNK,1999,1.6
Denmark,DNK,2000,1.68
Denmark,DNK,2001,1.39
Denmark,DNK,2002,1.33
