Entity,Code,Year,4_1_hdi_index
Austria,AUT,1990,0.825
Austria,AUT,1991,0.829
Austria,AUT,1992,0.835
Austria,AUT,1993,0.84
Austria,AUT,1994,0.845
Austria,AUT,1995,0.849
Austria,AUT,1996,0.853
Austria,AUT,1997,0.857
Austria,AUT,1998,0.863
Austria,AUT,1999,0.866
Austria,AUT,2000,0.871
Austria,AUT,2001,0.876
Austria,AUT,2002,0.879
Austria,AUT,2003,0.881
Austria,AUT,2004,0.886
Austria,AUT,2005,0.889
Austria,AUT,2006,0.893
Austria,AUT,2007,0.896
Austria,AUT,2008,0.898
Austria,AUT,2009,0.898
Austria,AUT,2010,0.902
Austria,AUT,2011,0.905
Austria,AUT,2012,0.906
Austria,AUT,2013,0.905
Austria,AUT,2014,0.909
Austria,AUT,2015,0.91
Austria,AUT,2016,0.915
Austria,AUT,2017,0.916
Austria,AUT,2018,0.917
Austria,AUT,2019,0.919
Austria,AUT,2020,0.913
Austria,AUT,2021,0.916
Belgium,BEL,1990,0.816
Belgium,BEL,1991,0.819
Belgium,BEL,1992,0.835
Belgium,BEL,1993,0.85
Belgium,BEL,1994,0.858
Belgium,BEL,1995,0.865
Belgium,BEL,1996,0.871
Belgium,BEL,1997,0.876
Belgium,BEL,1998,0.878
Belgium,BEL,1999,0.882
Belgium,BEL,2000,0.887
Belgium,BEL,2001,0.89
Belgium,BEL,2002,0.892
Belgium,BEL,2003,0.895
Belgium,BEL,2004,0.9
Belgium,BEL,2005,0.902
Belgium,BEL,2006,0.905
Belgium,BEL,2007,0.908
Belgium,BEL,2008,0.908
Belgium,BEL,2009,0.91
Belgium,BEL,2010,0.912
Belgium,BEL,2011,0.914
Belgium,BEL,2012,0.915
Belgium,BEL,2013,0.916
Belgium,BEL,2014,0.921
Belgium,BEL,2015,0.924
Belgium,BEL,2016,0.927
Belgium,BEL,2017,0.931
Belgium,BEL,2018,0.933
Belgium,BEL,2019,0.936
Belgium,BEL,2020,0.928
Belgium,BEL,2021,0.937
Bulgaria,BGR,1990,0.684
Bulgaria,BGR,1991,0.684
Bulgaria,BGR,1992,0.686
Bulgaria,BGR,1993,0.689
Bulgaria,BGR,1994,0.691
Bulgaria,BGR,1995,0.7
Bulgaria,BGR,1996,0.711
Bulgaria,BGR,1997,0.706
Bulgaria,BGR,1998,0.716
Bulgaria,BGR,1999,0.72
Bulgaria,BGR,2000,0.725
Bulgaria,BGR,2001,0.734
Bulgaria,BGR,2002,0.74
Bulgaria,BGR,2003,0.749
Bulgaria,BGR,2004,0.756
Bulgaria,BGR,2005,0.762
Bulgaria,BGR,2006,0.767
Bulgaria,BGR,2007,0.774
Bulgaria,BGR,2008,0.782
Bulgaria,BGR,2009,0.785
Bulgaria,BGR,2010,0.79
Bulgaria,BGR,2011,0.794
Bulgaria,BGR,2012,0.798
Bulgaria,BGR,2013,0.805
Bulgaria,BGR,2014,0.807
Bulgaria,BGR,2015,0.809
Bulgaria,BGR,2016,0.809
Bulgaria,BGR,2017,0.808
Bulgaria,BGR,2018,0.809
Bulgaria,BGR,2019,0.81
Bulgaria,BGR,2020,0.802
Bulgaria,BGR,2021,0.795
Croatia,HRV,1995,0.712
Croatia,HRV,1996,0.724
Croatia,HRV,1997,0.732
Croatia,HRV,1998,0.742
Croatia,HRV,1999,0.749
Croatia,HRV,2000,0.759
Croatia,HRV,2001,0.769
Croatia,HRV,2002,0.777
Croatia,HRV,2003,0.783
Croatia,HRV,2004,0.796
Croatia,HRV,2005,0.802
Croatia,HRV,2006,0.811
Croatia,HRV,2007,0.815
Croatia,HRV,2008,0.817
Croatia,HRV,2009,0.816
Croatia,HRV,2010,0.821
Croatia,HRV,2011,0.826
Croatia,HRV,2012,0.83
Croatia,HRV,2013,0.838
Croatia,HRV,2014,0.841
Croatia,HRV,2015,0.843
Croatia,HRV,2016,0.848
Croatia,HRV,2017,0.852
Croatia,HRV,2018,0.856
Croatia,HRV,2019,0.861
Croatia,HRV,2020,0.855
Croatia,HRV,2021,0.858
Cyprus,CYP,1990,0.716
Cyprus,CYP,1991,0.719
Cyprus,CYP,1992,0.726
Cyprus,CYP,1993,0.765
Cyprus,CYP,1994,0.77
Cyprus,CYP,1995,0.776
Cyprus,CYP,1996,0.781
Cyprus,CYP,1997,0.785
Cyprus,CYP,1998,0.794
Cyprus,CYP,1999,0.794
Cyprus,CYP,2000,0.797
Cyprus,CYP,2001,0.804
Cyprus,CYP,2002,0.816
Cyprus,CYP,2003,0.825
Cyprus,CYP,2004,0.83
Cyprus,CYP,2005,0.834
Cyprus,CYP,2006,0.841
Cyprus,CYP,2007,0.848
Cyprus,CYP,2008,0.857
Cyprus,CYP,2009,0.862
Cyprus,CYP,2010,0.857
Cyprus,CYP,2011,0.861
Cyprus,CYP,2012,0.86
Cyprus,CYP,2013,0.861
Cyprus,CYP,2014,0.865
Cyprus,CYP,2015,0.871
Cyprus,CYP,2016,0.877
Cyprus,CYP,2017,0.887
Cyprus,CYP,2018,0.892
Cyprus,CYP,2019,0.897
Cyprus,CYP,2020,0.894
Cyprus,CYP,2021,0.896
Czechia,CZE,1990,0.742
Czechia,CZE,1991,0.742
Czechia,CZE,1992,0.743
Czechia,CZE,1993,0.751
Czechia,CZE,1994,0.762
Czechia,CZE,1995,0.77
Czechia,CZE,1996,0.782
Czechia,CZE,1997,0.787
Czechia,CZE,1998,0.792
Czechia,CZE,1999,0.796
Czechia,CZE,2000,0.808
Czechia,CZE,2001,0.818
Czechia,CZE,2002,0.825
Czechia,CZE,2003,0.831
Czechia,CZE,2004,0.836
Czechia,CZE,2005,0.844
Czechia,CZE,2006,0.852
Czechia,CZE,2007,0.859
Czechia,CZE,2008,0.863
Czechia,CZE,2009,0.865
Czechia,CZE,2010,0.87
Czechia,CZE,2011,0.872
Czechia,CZE,2012,0.874
Czechia,CZE,2013,0.881
Czechia,CZE,2014,0.887
Czechia,CZE,2015,0.891
Czechia,CZE,2016,0.895
Czechia,CZE,2017,0.897
Czechia,CZE,2018,0.894
Czechia,CZE,2019,0.897
Czechia,CZE,2020,0.892
Czechia,CZE,2021,0.889
Denmark,DNK,1990,0.834
Denmark,DNK,1991,0.838
Denmark,DNK,1992,0.841
Denmark,DNK,1993,0.844
Denmark,DNK,1994,0.851
Denmark,DNK,1995,0.854
Denmark,DNK,1996,0.862
Denmark,DNK,1997,0.869
Denmark,DNK,1998,0.876
Denmark,DNK,1999,0.886
Denmark,DNK,2000,0.889
Denmark,DNK,2001,0.895
Denmark,DNK,2002,0.896
Denmark,DNK,2003,0.901
Denmark,DNK,2004,0.906
Denmark,DNK,2005,0.911
Denmark,DNK,2006,0.91
Denmark,DNK,2007,0.911
Denmark,DNK,2008,0.915
Denmark,DNK,2009,0.909
Denmark,DNK,2010,0.913
Denmark,DNK,2011,0.926
Denmark,DNK,2012,0.931
Denmark,DNK,2013,0.933
Denmark,DNK,2014,0.932
Denmark,DNK,2015,0.936
Denmark,DNK,2016,0.943
Denmark,DNK,2017,0.944
Denmark,DNK,2018,0.942
Denmark,DNK,2019,0.946
Denmark,DNK,2020,0.947
Denmark,DNK,2021,0.948
Estonia,EST,1990,0.732
Estonia,EST,1991,0.729
Estonia,EST,1992,0.719
Estonia,EST,1993,0.71
Estonia,EST,1994,0.712
Estonia,EST,1995,0.725
Estonia,EST,1996,0.742
Estonia,EST,1997,0.757
Estonia,EST,1998,0.764
Estonia,EST,1999,0.773
Estonia,EST,2000,0.787
Estonia,EST,2001,0.797
Estonia,EST,2002,0.807
Estonia,EST,2003,0.816
Estonia,EST,2004,0.826
Estonia,EST,2005,0.839
Estonia,EST,2006,0.847
Estonia,EST,2007,0.853
Estonia,EST,2008,0.856
Estonia,EST,2009,0.856
Estonia,EST,2010,0.861
Estonia,EST,2011,0.871
Estonia,EST,2012,0.874
Estonia,EST,2013,0.88
Estonia,EST,2014,0.879
Estonia,EST,2015,0.882
Estonia,EST,2016,0.885
Estonia,EST,2017,0.887
Estonia,EST,2018,0.891
Estonia,EST,2019,0.896
Estonia,EST,2020,0.892
Estonia,EST,2021,0.89
Finland,FIN,1990,0.814
Finland,FIN,1991,0.818
Finland,FIN,1992,0.825
Finland,FIN,1993,0.829
Finland,FIN,1994,0.841
Finland,FIN,1995,0.847
Finland,FIN,1996,0.854
Finland,FIN,1997,0.863
Finland,FIN,1998,0.873
Finland,FIN,1999,0.881
Finland,FIN,2000,0.891
Finland,FIN,2001,0.9
Finland,FIN,2002,0.904
Finland,FIN,2003,0.907
Finland,FIN,2004,0.902
Finland,FIN,2005,0.905
Finland,FIN,2006,0.909
Finland,FIN,2007,0.911
Finland,FIN,2008,0.912
Finland,FIN,2009,0.907
Finland,FIN,2010,0.911
Finland,FIN,2011,0.915
Finland,FIN,2012,0.915
Finland,FIN,2013,0.926
Finland,FIN,2014,0.927
Finland,FIN,2015,0.93
Finland,FIN,2016,0.931
Finland,FIN,2017,0.934
Finland,FIN,2018,0.936
Finland,FIN,2019,0.939
Finland,FIN,2020,0.938
Finland,FIN,2021,0.94
France,FRA,1990,0.791
France,FRA,1991,0.799
France,FRA,1992,0.806
France,FRA,1993,0.809
France,FRA,1994,0.823
France,FRA,1995,0.828
France,FRA,1996,0.833
France,FRA,1997,0.838
France,FRA,1998,0.842
France,FRA,1999,0.84
France,FRA,2000,0.844
