Entity,Code,Year,4_0_RichestShare
Austria,AUT,1987,19.288320752120992
Austria,AUT,1994,24.5904133041809
Austria,AUT,1995,22.40929673079998
Austria,AUT,1997,23.44225219748645
Austria,AUT,2000,22.71387978093437
Austria,AUT,2003,23.46903271451975
Austria,AUT,2004,23.842909110872903
Austria,AUT,2005,22.84990510649157
Austria,AUT,2006,23.71189099823909
Austria,AUT,2007,23.84866421064743
Austria,AUT,2008,24.10980113232439
Austria,AUT,2009,24.68330815523667
Austria,AUT,2010,23.56797793530525
Austria,AUT,2011,23.68699719611575
Austria,AUT,2012,23.44865882830843
Austria,AUT,2013,24.275984513100802
Austria,AUT,2014,24.06755689321184
Austria,AUT,2015,23.842655519899942
Austria,AUT,2016,23.84869402199065
Austria,AUT,2017,22.99201355777502
Austria,AUT,2018,23.91724203715526
Austria,AUT,2019,23.213705130124552
Belgium,BEL,1985,20.64184007266284
Belgium,BEL,1988,21.07165782333844
Belgium,BEL,1992,20.1356705725417
Belgium,BEL,1995,22.84579760828445
Belgium,BEL,1997,21.56831806635829
Belgium,BEL,2000,28.31398604419068
Belgium,BEL,2003,22.245526031485362
Belgium,BEL,2004,25.11692330559191
Belgium,BEL,2005,23.87669347877462
Belgium,BEL,2006,22.40986585064641
Belgium,BEL,2007,23.54219048966906
Belgium,BEL,2008,22.724539688060748
Belgium,BEL,2009,22.70916252174192
Belgium,BEL,2010,22.74228877733485
Belgium,BEL,2011,22.35160749100344
Belgium,BEL,2012,21.93682913532217
Belgium,BEL,2013,21.826531053042082
Belgium,BEL,2014,22.41917749016286
Belgium,BEL,2015,22.22709612510157
Belgium,BEL,2016,22.15737265125881
Belgium,BEL,2017,21.94677626706896
Belgium,BEL,2018,22.24361822160337
Belgium,BEL,2019,22.31832974385913
Bulgaria,BGR,1989,20.0282491316479
Bulgaria,BGR,1992,24.74236237622629
Bulgaria,BGR,1994,20.9920199710404
Bulgaria,BGR,1995,26.35993604384475
Bulgaria,BGR,1997,22.76896961555768
Bulgaria,BGR,2001,24.92648147034515
Bulgaria,BGR,2003,23.63102441769234
