Entity,Code,Year,1_1_LandArea_sq_km
Austria,AUT,1961,82580
Austria,AUT,1962,82580
Austria,AUT,1963,82580
Austria,AUT,1964,82580
Austria,AUT,1965,82580
Austria,AUT,1966,82580
Austria,AUT,1967,82580
Austria,AUT,1968,82580
Austria,AUT,1969,82580
Austria,AUT,1970,82580
Austria,AUT,1971,82580
Austria,AUT,1972,82580
Austria,AUT,1973,82580
Austria,AUT,1974,82580
Austria,AUT,1975,82580
Austria,AUT,1976,82580
Austria,AUT,1977,82580
Austria,AUT,1978,82580
Austria,AUT,1979,82580
Austria,AUT,1980,82580
Austria,AUT,1981,82580
Austria,AUT,1982,82580
Austria,AUT,1983,82580
Austria,AUT,1984,82580
Austria,AUT,1985,82580
Austria,AUT,1986,82580
Austria,AUT,1987,82580
Austria,AUT,1988,82580
Austria,AUT,1989,82580
Austria,AUT,1990,82580
Austria,AUT,1991,82580
Austria,AUT,1992,82580
Austria,AUT,1993,82580
Austria,AUT,1994,82580
Austria,AUT,1995,82580
Austria,AUT,1996,82580
Austria,AUT,1997,82580
Austria,AUT,1998,82580
Austria,AUT,1999,82580
Austria,AUT,2000,82580
Austria,AUT,2001,82580
Austria,AUT,2002,82580
Austria,AUT,2003,82580
Austria,AUT,2004,82580
Austria,AUT,2005,82580
Austria,AUT,2006,82580
Austria,AUT,2007,82578
Austria,AUT,2008,82578
Austria,AUT,2009,82578
Austria,AUT,2010,82571
Austria,AUT,2011,82561
Austria,AUT,2012,82554
Austria,AUT,2013,82531
Austria,AUT,2014,82523
Austria,AUT,2015,82520
Austria,AUT,2016,82520
Austria,AUT,2017,82520
Austria,AUT,2018,82520
Austria,AUT,2019,82520
Austria,AUT,2020,82520
Austria,AUT,2021,82520
Belgium,BEL,1961,32820
Belgium,BEL,1962,32820
Belgium,BEL,1963,32820
Belgium,BEL,1964,32820
Belgium,BEL,1965,32820
Belgium,BEL,1966,32820
Belgium,BEL,1967,32820
Belgium,BEL,1968,32820
Belgium,BEL,1969,32820
Belgium,BEL,1970,32820
Belgium,BEL,1971,32820
Belgium,BEL,1972,32820
Belgium,BEL,1973,32820
Belgium,BEL,1974,32820
Belgium,BEL,1975,32820
Belgium,BEL,1976,32820
Belgium,BEL,1977,32820
Belgium,BEL,1978,32820
Belgium,BEL,1979,32820
Belgium,BEL,1980,32820
Belgium,BEL,1981,32820
Belgium,BEL,1982,32820
Belgium,BEL,1983,32820
Belgium,BEL,1984,32820
Belgium,BEL,1985,32820
Belgium,BEL,1986,32820
Belgium,BEL,1987,32820
Belgium,BEL,1988,32820
Belgium,BEL,1989,32820
Belgium,BEL,1990,32820
Belgium,BEL,1991,32820
Belgium,BEL,1992,32820
Belgium,BEL,1993,32820
Belgium,BEL,1994,32820
Belgium,BEL,1995,32820
Belgium,BEL,1996,32820
Belgium,BEL,1997,32820
Belgium,BEL,1998,32820
Belgium,BEL,1999,32820
Belgium,BEL,2000,30280
Belgium,BEL,2001,30280
Belgium,BEL,2002,30280
Belgium,BEL,2003,30280
Belgium,BEL,2004,30280
Belgium,BEL,2005,30280
Belgium,BEL,2006,30280
Belgium,BEL,2007,30280
Belgium,BEL,2008,30280
Belgium,BEL,2009,30280
Belgium,BEL,2010,30280
Belgium,BEL,2011,30280
Belgium,BEL,2012,30280
Belgium,BEL,2013,30280
Belgium,BEL,2014,30280
Belgium,BEL,2015,30280
Belgium,BEL,2016,30280
Belgium,BEL,2017,30280
Belgium,BEL,2018,30280
Belgium,BEL,2019,30280
Belgium,BEL,2020,30280
Belgium,BEL,2021,30280
Bulgaria,BGR,1961,110630
Bulgaria,BGR,1962,110630
Bulgaria,BGR,1963,110630
Bulgaria,BGR,1964,110630
Bulgaria,BGR,1965,110630
Bulgaria,BGR,1966,110630
Bulgaria,BGR,1967,110630
Bulgaria,BGR,1968,110630
Bulgaria,BGR,1969,110630
Bulgaria,BGR,1970,110630
Bulgaria,BGR,1971,110630
Bulgaria,BGR,1972,110630
Bulgaria,BGR,1973,110630
Bulgaria,BGR,1974,110630
Bulgaria,BGR,1975,110630
Bulgaria,BGR,1976,110630
Bulgaria,BGR,1977,110630
Bulgaria,BGR,1978,110630
Bulgaria,BGR,1979,110630
Bulgaria,BGR,1980,110630
Bulgaria,BGR,1981,110630
Bulgaria,BGR,1982,110630
Bulgaria,BGR,1983,110630
Bulgaria,BGR,1984,110630
Bulgaria,BGR,1985,110630
Bulgaria,BGR,1986,110630
Bulgaria,BGR,1987,110630
Bulgaria,BGR,1988,110630
Bulgaria,BGR,1989,110630
Bulgaria,BGR,1990,110630
Bulgaria,BGR,1991,110630
Bulgaria,BGR,1992,110630
Bulgaria,BGR,1993,110630
Bulgaria,BGR,1994,110630
Bulgaria,BGR,1995,110630
Bulgaria,BGR,1996,110630
Bulgaria,BGR,1997,110630
Bulgaria,BGR,1998,110630
Bulgaria,BGR,1999,110630
Bulgaria,BGR,2000,110630
Bulgaria,BGR,2001,110630
Bulgaria,BGR,2002,108800
Bulgaria,BGR,2003,108770
Bulgaria,BGR,2004,108760
Bulgaria,BGR,2005,108640
Bulgaria,BGR,2006,108630
Bulgaria,BGR,2007,108610
Bulgaria,BGR,2008,108610
Bulgaria,BGR,2009,108560
Bulgaria,BGR,2010,108560
Bulgaria,BGR,2011,108560
Bulgaria,BGR,2012,108560
Bulgaria,BGR,2013,108560
Bulgaria,BGR,2014,108560
Bulgaria,BGR,2015,108560
Bulgaria,BGR,2016,108560
Bulgaria,BGR,2017,108560
Bulgaria,BGR,2018,108560
Bulgaria,BGR,2019,108560
Bulgaria,BGR,2020,108560
Bulgaria,BGR,2021,108560
Croatia,HRV,1961,55910
Croatia,HRV,1962,55910
Croatia,HRV,1963,55910
Croatia,HRV,1964,55910
Croatia,HRV,1965,55910
Croatia,HRV,1966,55910
Croatia,HRV,1967,55910
Croatia,HRV,1968,55910
Croatia,HRV,1969,55910
Croatia,HRV,1970,55910
Croatia,HRV,1971,55910
Croatia,HRV,1972,55910
Croatia,HRV,1973,55910
Croatia,HRV,1974,55910
Croatia,HRV,1975,55910
Croatia,HRV,1976,55910
Croatia,HRV,1977,55910
Croatia,HRV,1978,55910
Croatia,HRV,1979,55910
Croatia,HRV,1980,55910
Croatia,HRV,1981,55910
Croatia,HRV,1982,55910
Croatia,HRV,1983,55910
Croatia,HRV,1984,55910
Croatia,HRV,1985,55910
Croatia,HRV,1986,55910
Croatia,HRV,1987,55910
Croatia,HRV,1988,55910
Croatia,HRV,1989,55910
Croatia,HRV,1990,55910
Croatia,HRV,1991,55910
Croatia,HRV,1992,55910
Croatia,HRV,1993,55910
Croatia,HRV,1994,55910
Croatia,HRV,1995,55910
Croatia,HRV,1996,55980
Croatia,HRV,1997,55980
Croatia,HRV,1998,55910
Croatia,HRV,1999,55910
Croatia,HRV,2000,55910
Croatia,HRV,2001,55910
Croatia,HRV,2002,55910
Croatia,HRV,2003,55910
Croatia,HRV,2004,55960
Croatia,HRV,2005,55960
Croatia,HRV,2006,55960
Croatia,HRV,2007,55960
Croatia,HRV,2008,55960
Croatia,HRV,2009,55960
Croatia,HRV,2010,55960
Croatia,HRV,2011,55960
Croatia,HRV,2012,55960
Croatia,HRV,2013,55960
Croatia,HRV,2014,56590
Croatia,HRV,2015,56590
Croatia,HRV,2016,56590
Croatia,HRV,2017,56590
Croatia,HRV,2018,56590
Croatia,HRV,2019,56590
Croatia,HRV,2020,56590
Croatia,HRV,2021,56590
Cyprus,CYP,1961,9240
Cyprus,CYP,1962,9240
Cyprus,CYP,1963,9240
Cyprus,CYP,1964,9240
Cyprus,CYP,1965,9240
Cyprus,CYP,1966,9240
Cyprus,CYP,1967,9240
Cyprus,CYP,1968,9240
Cyprus,CYP,1969,9240
Cyprus,CYP,1970,9240
Cyprus,CYP,1971,9240
Cyprus,CYP,1972,9240
Cyprus,CYP,1973,9240
Cyprus,CYP,1974,9240
Cyprus,CYP,1975,9240
Cyprus,CYP,1976,9240
Cyprus,CYP,1977,9240
Cyprus,CYP,1978,9240
Cyprus,CYP,1979,9240
Cyprus,CYP,1980,9240
Cyprus,CYP,1981,9240
Cyprus,CYP,1982,9240
Cyprus,CYP,1983,9240
Cyprus,CYP,1984,9240
Cyprus,CYP,1985,9240
Cyprus,CYP,1986,9240
Cyprus,CYP,1987,9240
Cyprus,CYP,1988,9240
Cyprus,CYP,1989,9240
Cyprus,CYP,1990,9240
Cyprus,CYP,1991,9240
Cyprus,CYP,1992,9240
Cyprus,CYP,1993,9240
Cyprus,CYP,1994,9240
Cyprus,CYP,1995,9240
Cyprus,CYP,1996,9240
Cyprus,CYP,1997,9240
Cyprus,CYP,1998,9240
Cyprus,CYP,1999,9240
Cyprus,CYP,2000,9240
Cyprus,CYP,2001,9240
Cyprus,CYP,2002,9240
Cyprus,CYP,2003,9240
Cyprus,CYP,2004,9240
Cyprus,CYP,2005,9240
Cyprus,CYP,2006,9240
Cyprus,CYP,2007,9240
Cyprus,CYP,2008,9240
Cyprus,CYP,2009,9240
Cyprus,CYP,2010,9240
Cyprus,CYP,2011,9240
Cyprus,CYP,2012,9240
Cyprus,CYP,2013,9240
Cyprus,CYP,2014,9240
Cyprus,CYP,2015,9240
Cyprus,CYP,2016,9240
Cyprus,CYP,2017,9240
Cyprus,CYP,2018,9240
Cyprus,CYP,2019,9240
Cyprus,CYP,2020,9240
Cyprus,CYP,2021,9240
Czechia,CZE,1961,77270
Czechia,CZE,1962,77270
Czechia,CZE,1963,77270
Czechia,CZE,1964,77270
Czechia,CZE,1965,77270
Czechia,CZE,1966,77270
Czechia,CZE,1967,77270
Czechia,CZE,1968,77270
Czechia,CZE,1969,77270
Czechia,CZE,1970,77270
Czechia,CZE,1971,77270
Czechia,CZE,1972,77270
Czechia,CZE,1973,77270
Czechia,CZE,1974,77270
Czechia,CZE,1975,77270
Czechia,CZE,1976,77270
Czechia,CZE,1977,77270
Czechia,CZE,1978,77270
Czechia,CZE,1979,77270
Czechia,CZE,1980,77270
Czechia,CZE,1981,77270
Czechia,CZE,1982,77270
Czechia,CZE,1983,77270
Czechia,CZE,1984,77270
Czechia,CZE,1985,77270
Czechia,CZE,1986,77270
Czechia,CZE,1987,77270
Czechia,CZE,1988,77270
Czechia,CZE,1989,77270
Czechia,CZE,1990,77270
