Entity,Code,Year,4_1_Libdem
Austria,AUT,1789,0.051
Austria,AUT,1790,0.051
Austria,AUT,1791,0.051
Austria,AUT,1792,0.051
Austria,AUT,1793,0.051
Austria,AUT,1794,0.05
Austria,AUT,1795,0.044
Austria,AUT,1796,0.05
Austria,AUT,1797,0.05
Austria,AUT,1798,0.05
Austria,AUT,1799,0.05
Austria,AUT,1800,0.05
Austria,AUT,1801,0.05
Austria,AUT,1802,0.05
Austria,AUT,1803,0.05
Austria,AUT,1804,0.05
Austria,AUT,1805,0.05
Austria,AUT,1806,0.05
Austria,AUT,1807,0.05
Austria,AUT,1808,0.05
Austria,AUT,1809,0.05
Austria,AUT,1810,0.05
Austria,AUT,1811,0.05
Austria,AUT,1812,0.05
Austria,AUT,1813,0.05
Austria,AUT,1814,0.05
Austria,AUT,1815,0.053
Austria,AUT,1816,0.053
Austria,AUT,1817,0.053
Austria,AUT,1818,0.053
Austria,AUT,1819,0.053
Austria,AUT,1820,0.053
Austria,AUT,1821,0.053
Austria,AUT,1822,0.053
Austria,AUT,1823,0.053
Austria,AUT,1824,0.053
Austria,AUT,1825,0.053
Austria,AUT,1826,0.053
Austria,AUT,1827,0.053
Austria,AUT,1828,0.053
Austria,AUT,1829,0.053
Austria,AUT,1830,0.053
Austria,AUT,1831,0.053
Austria,AUT,1832,0.053
Austria,AUT,1833,0.053
Austria,AUT,1834,0.053
Austria,AUT,1835,0.053
Austria,AUT,1836,0.053
Austria,AUT,1837,0.053
Austria,AUT,1838,0.053
Austria,AUT,1839,0.053
Austria,AUT,1840,0.053
Austria,AUT,1841,0.053
Austria,AUT,1842,0.053
Austria,AUT,1843,0.053
Austria,AUT,1844,0.053
Austria,AUT,1845,0.053
Austria,AUT,1846,0.053
Austria,AUT,1847,0.053
Austria,AUT,1848,0.105
Austria,AUT,1849,0.111
Austria,AUT,1851,0.054
Austria,AUT,1852,0.045
Austria,AUT,1853,0.045
Austria,AUT,1854,0.045
Austria,AUT,1855,0.045
Austria,AUT,1856,0.045
Austria,AUT,1857,0.045
Austria,AUT,1858,0.045
Austria,AUT,1859,0.045
Austria,AUT,1860,0.045
Austria,AUT,1867,0.182
Austria,AUT,1873,0.223
Austria,AUT,1874,0.223
Austria,AUT,1875,0.222
Austria,AUT,1876,0.222
Austria,AUT,1877,0.222
Austria,AUT,1878,0.222
Austria,AUT,1879,0.221
Austria,AUT,1880,0.221
Austria,AUT,1881,0.221
Austria,AUT,1882,0.221
Austria,AUT,1883,0.221
Austria,AUT,1884,0.221
Austria,AUT,1885,0.218
Austria,AUT,1886,0.218
Austria,AUT,1887,0.218
Austria,AUT,1888,0.223
Austria,AUT,1889,0.237
Austria,AUT,1890,0.24
Austria,AUT,1891,0.235
Austria,AUT,1892,0.235
Austria,AUT,1893,0.235
Austria,AUT,1894,0.235
Austria,AUT,1895,0.235
Austria,AUT,1896,0.235
Austria,AUT,1897,0.241
Austria,AUT,1898,0.241
Austria,AUT,1899,0.241
Austria,AUT,1900,0.238
Austria,AUT,1901,0.238
Austria,AUT,1902,0.238
Austria,AUT,1903,0.238
Austria,AUT,1904,0.238
Austria,AUT,1905,0.238
Austria,AUT,1906,0.238
Austria,AUT,1907,0.245
Austria,AUT,1908,0.244
Austria,AUT,1909,0.244
Austria,AUT,1910,0.244
Austria,AUT,1911,0.245
Austria,AUT,1912,0.245
Austria,AUT,1913,0.243
Austria,AUT,1914,0.233
Austria,AUT,1915,0.233
Austria,AUT,1916,0.233
Austria,AUT,1917,0.233
Austria,AUT,1918,0.264
Austria,AUT,1919,0.237
Austria,AUT,1920,0.28
Austria,AUT,1921,0.562
Austria,AUT,1922,0.562
Austria,AUT,1923,0.561
Austria,AUT,1924,0.556
Austria,AUT,1925,0.556
Austria,AUT,1926,0.556
Austria,AUT,1927,0.56
Austria,AUT,1928,0.561
Austria,AUT,1929,0.561
Austria,AUT,1930,0.546
Austria,AUT,1931,0.528
Austria,AUT,1932,0.528
Austria,AUT,1933,0.15
Austria,AUT,1934,0.096
Austria,AUT,1935,0.092
Austria,AUT,1936,0.092
Austria,AUT,1937,0.092
Austria,AUT,1945,0.568
Austria,AUT,1946,0.617
Austria,AUT,1947,0.609
Austria,AUT,1948,0.608
Austria,AUT,1949,0.615
Austria,AUT,1950,0.62
Austria,AUT,1951,0.618
Austria,AUT,1952,0.617
Austria,AUT,1953,0.621
Austria,AUT,1954,0.622
Austria,AUT,1955,0.626
Austria,AUT,1956,0.688
Austria,AUT,1957,0.682
Austria,AUT,1958,0.682
Austria,AUT,1959,0.684
Austria,AUT,1960,0.694
Austria,AUT,1961,0.694
Austria,AUT,1962,0.694
Austria,AUT,1963,0.689
Austria,AUT,1964,0.689
Austria,AUT,1965,0.689
Austria,AUT,1966,0.702
Austria,AUT,1967,0.707
Austria,AUT,1968,0.707
Austria,AUT,1969,0.707
Austria,AUT,1970,0.722
Austria,AUT,1971,0.724
Austria,AUT,1972,0.73
Austria,AUT,1973,0.741
Austria,AUT,1974,0.745
Austria,AUT,1975,0.746
Austria,AUT,1976,0.746
Austria,AUT,1977,0.746
Austria,AUT,1978,0.746
Austria,AUT,1979,0.751
Austria,AUT,1980,0.751
Austria,AUT,1981,0.761
Austria,AUT,1982,0.761
Austria,AUT,1983,0.763
Austria,AUT,1984,0.764
Austria,AUT,1985,0.765
Austria,AUT,1986,0.765
Austria,AUT,1987,0.778
Austria,AUT,1988,0.78
Austria,AUT,1989,0.787
Austria,AUT,1990,0.78
Austria,AUT,1991,0.781
Austria,AUT,1992,0.78
Austria,AUT,1993,0.78
Austria,AUT,1994,0.778
Austria,AUT,1995,0.774
Austria,AUT,1996,0.78
Austria,AUT,1997,0.78
Austria,AUT,1998,0.778
Austria,AUT,1999,0.778
Austria,AUT,2000,0.785
Austria,AUT,2001,0.785
Austria,AUT,2002,0.785
Austria,AUT,2003,0.782
Austria,AUT,2004,0.783
Austria,AUT,2005,0.784
Austria,AUT,2006,0.787
Austria,AUT,2007,0.8
Austria,AUT,2008,0.799
Austria,AUT,2009,0.797
Austria,AUT,2010,0.795
Austria,AUT,2011,0.792
Austria,AUT,2012,0.797
Austria,AUT,2013,0.797
Austria,AUT,2014,0.796
Austria,AUT,2015,0.795
Austria,AUT,2016,0.767
Austria,AUT,2017,0.771
Austria,AUT,2018,0.754
Austria,AUT,2019,0.773
Austria,AUT,2020,0.756
Austria,AUT,2021,0.751
Austria,AUT,2022,0.7
Belgium,BEL,1789,0.1
Belgium,BEL,1790,0.106
Belgium,BEL,1791,0.103
Belgium,BEL,1792,0.103
Belgium,BEL,1793,0.103
Belgium,BEL,1794,0.095
Belgium,BEL,1795,0.096
Belgium,BEL,1796,0.234
Belgium,BEL,1797,0.234
Belgium,BEL,1798,0.235
Belgium,BEL,1799,0.209
Belgium,BEL,1800,0.102
Belgium,BEL,1801,0.108
Belgium,BEL,1802,0.108
Belgium,BEL,1803,0.108
Belgium,BEL,1804,0.108
Belgium,BEL,1805,0.108
Belgium,BEL,1806,0.108
Belgium,BEL,1807,0.108
Belgium,BEL,1808,0.108
Belgium,BEL,1809,0.108
Belgium,BEL,1810,0.108
Belgium,BEL,1811,0.108
Belgium,BEL,1812,0.108
Belgium,BEL,1813,0.108
Belgium,BEL,1814,0.068
Belgium,BEL,1815,0.156
Belgium,BEL,1816,0.158
Belgium,BEL,1817,0.158
Belgium,BEL,1818,0.158
Belgium,BEL,1819,0.158
Belgium,BEL,1820,0.158
Belgium,BEL,1821,0.158
Belgium,BEL,1822,0.158
Belgium,BEL,1823,0.158
Belgium,BEL,1824,0.158
Belgium,BEL,1825,0.158
Belgium,BEL,1826,0.158
Belgium,BEL,1827,0.158
Belgium,BEL,1828,0.158
Belgium,BEL,1829,0.158
Belgium,BEL,1830,0.167
Belgium,BEL,1831,0.254
Belgium,BEL,1832,0.299
Belgium,BEL,1833,0.298
Belgium,BEL,1834,0.298
Belgium,BEL,1835,0.298
Belgium,BEL,1836,0.298
Belgium,BEL,1837,0.299
Belgium,BEL,1838,0.299
Belgium,BEL,1839,0.3
Belgium,BEL,1840,0.325
Belgium,BEL,1841,0.33
Belgium,BEL,1842,0.33
Belgium,BEL,1843,0.331
Belgium,BEL,1844,0.331
Belgium,BEL,1845,0.33
Belgium,BEL,1846,0.33
Belgium,BEL,1847,0.336
Belgium,BEL,1848,0.338
Belgium,BEL,1849,0.338
Belgium,BEL,1850,0.338
Belgium,BEL,1851,0.338
Belgium,BEL,1852,0.338
Belgium,BEL,1853,0.338
Belgium,BEL,1854,0.338
Belgium,BEL,1855,0.338
Belgium,BEL,1856,0.338
Belgium,BEL,1857,0.339
Belgium,BEL,1858,0.339
Belgium,BEL,1859,0.338
Belgium,BEL,1860,0.338
Belgium,BEL,1861,0.338
Belgium,BEL,1862,0.338
Belgium,BEL,1863,0.339
Belgium,BEL,1864,0.339
Belgium,BEL,1865,0.338
Belgium,BEL,1866,0.338
Belgium,BEL,1867,0.339
Belgium,BEL,1868,0.34
Belgium,BEL,1869,0.342
Belgium,BEL,1870,0.342
Belgium,BEL,1871,0.342
Belgium,BEL,1872,0.342
Belgium,BEL,1873,0.342
Belgium,BEL,1874,0.342
Belgium,BEL,1875,0.342
Belgium,BEL,1876,0.342
Belgium,BEL,1877,0.342
Belgium,BEL,1878,0.348
Belgium,BEL,1879,0.354
Belgium,BEL,1880,0.353
Belgium,BEL,1881,0.353
Belgium,BEL,1882,0.354
Belgium,BEL,1883,0.354
Belgium,BEL,1884,0.354
Belgium,BEL,1885,0.355
Belgium,BEL,1886,0.347
Belgium,BEL,1887,0.346
Belgium,BEL,1888,0.346
Belgium,BEL,1889,0.345
Belgium,BEL,1890,0.346
Belgium,BEL,1891,0.346
Belgium,BEL,1892,0.346
Belgium,BEL,1893,0.35
Belgium,BEL,1894,0.439
Belgium,BEL,1895,0.44
Belgium,BEL,1896,0.441
Belgium,BEL,1897,0.442
Belgium,BEL,1898,0.44
Belgium,BEL,1899,0.44
Belgium,BEL,1900,0.447
Belgium,BEL,1901,0.448
Belgium,BEL,1902,0.447
Belgium,BEL,1903,0.446
Belgium,BEL,1904,0.447
Belgium,BEL,1905,0.449
Belgium,BEL,1906,0.449
Belgium,BEL,1907,0.45
Belgium,BEL,1908,0.448
Belgium,BEL,1909,0.449
Belgium,BEL,1910,0.449
Belgium,BEL,1911,0.449
Belgium,BEL,1912,0.449
Belgium,BEL,1913,0.447
Belgium,BEL,1914,0.266
Belgium,BEL,1915,0.15
Belgium,BEL,1916,0.15
Belgium,BEL,1917,0.15
Belgium,BEL,1918,0.168
Belgium,BEL,1919,0.221
Belgium,BEL,1920,0.357
Belgium,BEL,1921,0.451
Belgium,BEL,1922,0.453
Belgium,BEL,1923,0.453
Belgium,BEL,1924,0.453
Belgium,BEL,1925,0.453
Belgium,BEL,1926,0.453
Belgium,BEL,1927,0.453
Belgium,BEL,1928,0.453
Belgium,BEL,1929,0.451
Belgium,BEL,1930,0.448
Belgium,BEL,1931,0.448
Belgium,BEL,1932,0.448
Belgium,BEL,1933,0.451
Belgium,BEL,1934,0.451
Belgium,BEL,1935,0.451
Belgium,BEL,1936,0.449
Belgium,BEL,1937,0.45
Belgium,BEL,1938,0.45
Belgium,BEL,1939,0.451
Belgium,BEL,1940,0.224
Belgium,BEL,1941,0.143
Belgium,BEL,1942,0.143
Belgium,BEL,1943,0.143
Belgium,BEL,1944,0.169
Belgium,BEL,1945,0.281
Belgium,BEL,1946,0.463
Belgium,BEL,1947,0.483
Belgium,BEL,1948,0.483
Belgium,BEL,1949,0.619
Belgium,BEL,1950,0.634
Belgium,BEL,1951,0.64
Belgium,BEL,1952,0.64
Belgium,BEL,1953,0.64
Belgium,BEL,1954,0.646
Belgium,BEL,1955,0.648
Belgium,BEL,1956,0.648
Belgium,BEL,1957,0.649
Belgium,BEL,1958,0.649
Belgium,BEL,1959,0.649
Belgium,BEL,1960,0.75
Belgium,BEL,1961,0.753
Belgium,BEL,1962,0.759
Belgium,BEL,1963,0.763
Belgium,BEL,1964,0.763
Belgium,BEL,1965,0.765
Belgium,BEL,1966,0.766
Belgium,BEL,1967,0.766
Belgium,BEL,1968,0.763
Belgium,BEL,1969,0.762
Belgium,BEL,1970,0.77
Belgium,BEL,1971,0.771
Belgium,BEL,1972,0.775
Belgium,BEL,1973,0.775
Belgium,BEL,1974,0.772
Belgium,BEL,1975,0.771
Belgium,BEL,1976,0.775
Belgium,BEL,1977,0.774
Belgium,BEL,1978,0.774
Belgium,BEL,1979,0.777
Belgium,BEL,1980,0.787
Belgium,BEL,1981,0.78
Belgium,BEL,1982,0.781
Belgium,BEL,1983,0.781
Belgium,BEL,1984,0.781
Belgium,BEL,1985,0.78
Belgium,BEL,1986,0.775
Belgium,BEL,1987,0.774
Belgium,BEL,1988,0.778
Belgium,BEL,1989,0.78
Belgium,BEL,1990,0.8
Belgium,BEL,1991,0.799
Belgium,BEL,1992,0.805
Belgium,BEL,1993,0.805
Belgium,BEL,1994,0.805
Belgium,BEL,1995,0.81
Belgium,BEL,1996,0.814
Belgium,BEL,1997,0.814
Belgium,BEL,1998,0.811
Belgium,BEL,1999,0.815
Belgium,BEL,2000,0.819
Belgium,BEL,2001,0.819
Belgium,BEL,2002,0.819
Belgium,BEL,2003,0.82
Belgium,BEL,2004,0.796
Belgium,BEL,2005,0.811
Belgium,BEL,2006,0.815
Belgium,BEL,2007,0.824
Belgium,BEL,2008,0.827
Belgium,BEL,2009,0.829
Belgium,BEL,2010,0.831
Belgium,BEL,2011,0.835
Belgium,BEL,2012,0.835
Belgium,BEL,2013,0.834
Belgium,BEL,2014,0.833
Belgium,BEL,2015,0.832
Belgium,BEL,2016,0.832
Belgium,BEL,2017,0.83
Belgium,BEL,2018,0.83
Belgium,BEL,2019,0.833
Belgium,BEL,2020,0.818
Belgium,BEL,2021,0.82
Belgium,BEL,2022,0.825
Bulgaria,BGR,1789,0.031
Bulgaria,BGR,1790,0.031
Bulgaria,BGR,1791,0.031
Bulgaria,BGR,1792,0.031
Bulgaria,BGR,1793,0.031
Bulgaria,BGR,1794,0.031
Bulgaria,BGR,1795,0.031
Bulgaria,BGR,1796,0.031
Bulgaria,BGR,1797,0.031
Bulgaria,BGR,1798,0.031
Bulgaria,BGR,1799,0.031
Bulgaria,BGR,1800,0.031
Bulgaria,BGR,1801,0.031
Bulgaria,BGR,1802,0.031
Bulgaria,BGR,1803,0.031
Bulgaria,BGR,1804,0.031
Bulgaria,BGR,1805,0.031
Bulgaria,BGR,1806,0.031
Bulgaria,BGR,1807,0.031
Bulgaria,BGR,1808,0.03
Bulgaria,BGR,1809,0.03
Bulgaria,BGR,1810,0.03
Bulgaria,BGR,1811,0.03
Bulgaria,BGR,1812,0.03
Bulgaria,BGR,1813,0.03
Bulgaria,BGR,1814,0.03
Bulgaria,BGR,1815,0.03
Bulgaria,BGR,1816,0.03
Bulgaria,BGR,1817,0.03
Bulgaria,BGR,1818,0.03
Bulgaria,BGR,1819,0.03
Bulgaria,BGR,1820,0.03
Bulgaria,BGR,1821,0.03
Bulgaria,BGR,1822,0.03
Bulgaria,BGR,1823,0.03
Bulgaria,BGR,1824,0.03
Bulgaria,BGR,1825,0.03
Bulgaria,BGR,1826,0.03
Bulgaria,BGR,1827,0.03
Bulgaria,BGR,1828,0.03
Bulgaria,BGR,1829,0.03
Bulgaria,BGR,1830,0.031
Bulgaria,BGR,1831,0.031
Bulgaria,BGR,1832,0.031
Bulgaria,BGR,1833,0.031
Bulgaria,BGR,1834,0.031
Bulgaria,BGR,1835,0.031
Bulgaria,BGR,1836,0.031
Bulgaria,BGR,1837,0.031
Bulgaria,BGR,1838,0.031
Bulgaria,BGR,1839,0.041
Bulgaria,BGR,1840,0.046
Bulgaria,BGR,1841,0.046
Bulgaria,BGR,1842,0.046
Bulgaria,BGR,1843,0.046
Bulgaria,BGR,1844,0.046
Bulgaria,BGR,1845,0.046
Bulgaria,BGR,1846,0.046
Bulgaria,BGR,1847,0.046
Bulgaria,BGR,1848,0.046
Bulgaria,BGR,1849,0.046
Bulgaria,BGR,1850,0.046
Bulgaria,BGR,1851,0.046
Bulgaria,BGR,1852,0.046
Bulgaria,BGR,1853,0.046
Bulgaria,BGR,1854,0.046
Bulgaria,BGR,1855,0.046
Bulgaria,BGR,1856,0.046
Bulgaria,BGR,1857,0.047
Bulgaria,BGR,1858,0.048
Bulgaria,BGR,1859,0.048
Bulgaria,BGR,1860,0.049
Bulgaria,BGR,1861,0.049
Bulgaria,BGR,1862,0.049
Bulgaria,BGR,1863,0.049
Bulgaria,BGR,1864,0.049
Bulgaria,BGR,1865,0.049
Bulgaria,BGR,1866,0.049
Bulgaria,BGR,1867,0.049
Bulgaria,BGR,1868,0.058
Bulgaria,BGR,1869,0.058
Bulgaria,BGR,1870,0.058
Bulgaria,BGR,1871,0.058
Bulgaria,BGR,1872,0.058
Bulgaria,BGR,1873,0.058
Bulgaria,BGR,1874,0.058
Bulgaria,BGR,1875,0.058
Bulgaria,BGR,1876,0.076
Bulgaria,BGR,1877,0.061
Bulgaria,BGR,1878,0.095
Bulgaria,BGR,1879,0.187
Bulgaria,BGR,1880,0.193
Bulgaria,BGR,1881,0.117
Bulgaria,BGR,1882,0.106
Bulgaria,BGR,1883,0.108
Bulgaria,BGR,1884,0.134
Bulgaria,BGR,1885,0.137
Bulgaria,BGR,1886,0.155
Bulgaria,BGR,1887,0.126
Bulgaria,BGR,1888,0.113
Bulgaria,BGR,1889,0.113
Bulgaria,BGR,1890,0.113
Bulgaria,BGR,1891,0.112
Bulgaria,BGR,1892,0.112
Bulgaria,BGR,1893,0.112
Bulgaria,BGR,1894,0.111
Bulgaria,BGR,1895,0.187
Bulgaria,BGR,1896,0.187
Bulgaria,BGR,1897,0.188
Bulgaria,BGR,1898,0.188
Bulgaria,BGR,1899,0.184
Bulgaria,BGR,1900,0.177
Bulgaria,BGR,1901,0.183
Bulgaria,BGR,1902,0.184
Bulgaria,BGR,1903,0.183
Bulgaria,BGR,1904,0.181
Bulgaria,BGR,1905,0.181
Bulgaria,BGR,1906,0.181
Bulgaria,BGR,1907,0.181
Bulgaria,BGR,1908,0.183
Bulgaria,BGR,1909,0.189
Bulgaria,BGR,1910,0.189
Bulgaria,BGR,1911,0.188
Bulgaria,BGR,1912,0.186
Bulgaria,BGR,1913,0.183
Bulgaria,BGR,1914,0.18
Bulgaria,BGR,1915,0.179
Bulgaria,BGR,1916,0.178
Bulgaria,BGR,1917,0.178
Bulgaria,BGR,1918,0.175
Bulgaria,BGR,1919,0.177
Bulgaria,BGR,1920,0.177
Bulgaria,BGR,1921,0.175
Bulgaria,BGR,1922,0.175
Bulgaria,BGR,1923,0.131
Bulgaria,BGR,1924,0.142
Bulgaria,BGR,1925,0.162
Bulgaria,BGR,1926,0.169
Bulgaria,BGR,1927,0.169
Bulgaria,BGR,1928,0.171
Bulgaria,BGR,1929,0.171
Bulgaria,BGR,1930,0.174
Bulgaria,BGR,1931,0.181
Bulgaria,BGR,1932,0.182
Bulgaria,BGR,1933,0.182
Bulgaria,BGR,1934,0.105
Bulgaria,BGR,1935,0.086
Bulgaria,BGR,1936,0.086
Bulgaria,BGR,1937,0.086
Bulgaria,BGR,1938,0.12
Bulgaria,BGR,1939,0.104
Bulgaria,BGR,1940,0.133
Bulgaria,BGR,1941,0.137
Bulgaria,BGR,1942,0.135
Bulgaria,BGR,1943,0.14
Bulgaria,BGR,1944,0.121
Bulgaria,BGR,1945,0.041
Bulgaria,BGR,1946,0.063
Bulgaria,BGR,1947,0.052
Bulgaria,BGR,1948,0.058
Bulgaria,BGR,1949,0.056
Bulgaria,BGR,1950,0.055
Bulgaria,BGR,1951,0.055
Bulgaria,BGR,1952,0.055
Bulgaria,BGR,1953,0.056
Bulgaria,BGR,1954,0.057
Bulgaria,BGR,1955,0.057
Bulgaria,BGR,1956,0.057
Bulgaria,BGR,1957,0.057
Bulgaria,BGR,1958,0.057
Bulgaria,BGR,1959,0.057
Bulgaria,BGR,1960,0.057
Bulgaria,BGR,1961,0.056
Bulgaria,BGR,1962,0.057
Bulgaria,BGR,1963,0.057
Bulgaria,BGR,1964,0.057
Bulgaria,BGR,1965,0.057
Bulgaria,BGR,1966,0.057
Bulgaria,BGR,1967,0.057
Bulgaria,BGR,1968,0.057
Bulgaria,BGR,1969,0.057
Bulgaria,BGR,1970,0.058
Bulgaria,BGR,1971,0.058
Bulgaria,BGR,1972,0.058
Bulgaria,BGR,1973,0.058
Bulgaria,BGR,1974,0.058
Bulgaria,BGR,1975,0.058
Bulgaria,BGR,1976,0.059
Bulgaria,BGR,1977,0.059
Bulgaria,BGR,1978,0.059
Bulgaria,BGR,1979,0.059
Bulgaria,BGR,1980,0.059
Bulgaria,BGR,1981,0.059
Bulgaria,BGR,1982,0.059
Bulgaria,BGR,1983,0.059
Bulgaria,BGR,1984,0.06
Bulgaria,BGR,1985,0.06
