Entity,Code,Year,4_1_LifeExpect
Austria,AUT,1870,34.4
Austria,AUT,1881,35
Austria,AUT,1891,37.3
Austria,AUT,1901,42
Austria,AUT,1903,40.1
Austria,AUT,1911,45.1
Austria,AUT,1931,56.45
Austria,AUT,1947,61.3
Austria,AUT,1948,63.24
Austria,AUT,1949,63.42
Austria,AUT,1950,64.8
Austria,AUT,1951,65.2
Austria,AUT,1952,66.7
Austria,AUT,1953,67.3
Austria,AUT,1954,67.3
Austria,AUT,1955,67.6
Austria,AUT,1956,67.7
Austria,AUT,1957,67.4
Austria,AUT,1958,68.5
Austria,AUT,1959,68.4
Austria,AUT,1960,68.7
Austria,AUT,1961,69.7
Austria,AUT,1962,69.5
Austria,AUT,1963,69.7
Austria,AUT,1964,70.1
Austria,AUT,1965,69.9
Austria,AUT,1966,70.2
Austria,AUT,1967,70.1
Austria,AUT,1968,70.3
Austria,AUT,1969,70
Austria,AUT,1970,70.1
Austria,AUT,1971,70.3
Austria,AUT,1972,70.6
Austria,AUT,1973,71.2
Austria,AUT,1974,71.2
Austria,AUT,1975,71.3
Austria,AUT,1976,71.8
Austria,AUT,1977,72.1
Austria,AUT,1978,72.2
Austria,AUT,1979,72.5
Austria,AUT,1980,72.7
Austria,AUT,1981,73
Austria,AUT,1982,73.1
Austria,AUT,1983,73.2
Austria,AUT,1984,73.8
Austria,AUT,1985,74
Austria,AUT,1986,74.5
Austria,AUT,1987,74.9
Austria,AUT,1988,75.4
Austria,AUT,1989,75.5
Austria,AUT,1990,75.7
Austria,AUT,1991,75.8
Austria,AUT,1992,76
Austria,AUT,1993,76.2
Austria,AUT,1994,76.5
Austria,AUT,1995,76.8
Austria,AUT,1996,77
Austria,AUT,1997,77.4
Austria,AUT,1998,77.8
Austria,AUT,1999,78
Austria,AUT,2000,78.2
Austria,AUT,2001,78.7
Austria,AUT,2002,78.8
Austria,AUT,2003,78.8
Austria,AUT,2004,79.4
Austria,AUT,2005,79.5
Austria,AUT,2006,80
Austria,AUT,2007,80.2
Austria,AUT,2008,80.4
Austria,AUT,2009,80.2
Austria,AUT,2010,80.5
Austria,AUT,2011,80.8
Austria,AUT,2012,80.8
Austria,AUT,2013,81.1
Austria,AUT,2014,81.4
Austria,AUT,2015,81.2
Austria,AUT,2016,81.6
Austria,AUT,2017,81.6
Austria,AUT,2018,81.7
Austria,AUT,2019,81.9
Austria,AUT,2020,81.5
Austria,AUT,2021,81.6
Belgium,BEL,1841,40.31
Belgium,BEL,1842,38.64
Belgium,BEL,1843,40.35
Belgium,BEL,1844,41.88
Belgium,BEL,1845,41.02
Belgium,BEL,1846,37.82
Belgium,BEL,1847,35.1
Belgium,BEL,1848,38.03
Belgium,BEL,1849,34.49
Belgium,BEL,1850,42.27
Belgium,BEL,1851,41.88
Belgium,BEL,1852,41.78
Belgium,BEL,1853,41.32
Belgium,BEL,1854,39.74
Belgium,BEL,1855,37.42
Belgium,BEL,1856,40.89
Belgium,BEL,1857,40.44
Belgium,BEL,1858,40.13
Belgium,BEL,1859,38.93
Belgium,BEL,1860,45.07
Belgium,BEL,1861,41.22
Belgium,BEL,1862,43.06
Belgium,BEL,1863,41.25
Belgium,BEL,1864,39.76
Belgium,BEL,1865,37.69
Belgium,BEL,1866,32.44
Belgium,BEL,1867,43.02
Belgium,BEL,1868,42.53
Belgium,BEL,1869,42.57
Belgium,BEL,1870,40.9
Belgium,BEL,1871,34.32
Belgium,BEL,1872,40.01
Belgium,BEL,1873,43.46
Belgium,BEL,1874,44.65
Belgium,BEL,1875,42.13
Belgium,BEL,1876,43.65
Belgium,BEL,1877,44.45
Belgium,BEL,1878,44.19
Belgium,BEL,1879,43.79
Belgium,BEL,1880,42.44
Belgium,BEL,1881,44.38
Belgium,BEL,1882,45.51
Belgium,BEL,1883,44.86
Belgium,BEL,1884,44.18
Belgium,BEL,1885,45.43
Belgium,BEL,1886,43.3
Belgium,BEL,1887,46.01
Belgium,BEL,1888,44.87
Belgium,BEL,1889,45.02
Belgium,BEL,1890,44.09
Belgium,BEL,1891,43.99
Belgium,BEL,1892,43.12
Belgium,BEL,1893,44.39
Belgium,BEL,1894,46.6
Belgium,BEL,1895,45.43
Belgium,BEL,1896,48.04
Belgium,BEL,1897,48.8
Belgium,BEL,1898,48.07
Belgium,BEL,1899,46.45
Belgium,BEL,1900,46.52
Belgium,BEL,1901,49.38
Belgium,BEL,1902,49.1
Belgium,BEL,1903,49.17
Belgium,BEL,1904,49.25
Belgium,BEL,1905,49.92
Belgium,BEL,1906,49.64
Belgium,BEL,1907,51.03
Belgium,BEL,1908,49.63
Belgium,BEL,1909,50.63
Belgium,BEL,1910,51.31
Belgium,BEL,1911,49.22
Belgium,BEL,1912,52.22
Belgium,BEL,1913,52.42
Belgium,BEL,1919,49.79
Belgium,BEL,1920,53.59
Belgium,BEL,1921,54.67
Belgium,BEL,1922,55.1
Belgium,BEL,1923,56.69
Belgium,BEL,1924,57.44
Belgium,BEL,1925,57.09
Belgium,BEL,1926,56.89
Belgium,BEL,1927,57.11
Belgium,BEL,1928,57.44
Belgium,BEL,1929,55.01
Belgium,BEL,1930,57.1
Belgium,BEL,1931,58.41
Belgium,BEL,1932,58.5
Belgium,BEL,1933,58.68
Belgium,BEL,1934,60.33
Belgium,BEL,1935,59.93
Belgium,BEL,1936,59.94
Belgium,BEL,1937,59.98
Belgium,BEL,1938,60.12
Belgium,BEL,1939,60.01
Belgium,BEL,1940,55.94
Belgium,BEL,1941,58.89
Belgium,BEL,1942,59.11
Belgium,BEL,1943,60.32
Belgium,BEL,1944,56.91
Belgium,BEL,1945,58.35
Belgium,BEL,1946,61.87
Belgium,BEL,1947,63.41
Belgium,BEL,1948,64.94
Belgium,BEL,1949,65.43
Belgium,BEL,1950,66.3
Belgium,BEL,1951,66.7
Belgium,BEL,1952,68
Belgium,BEL,1953,68.4
Belgium,BEL,1954,68.6
Belgium,BEL,1955,68.5
Belgium,BEL,1956,68.8
Belgium,BEL,1957,69.2
Belgium,BEL,1958,69.9
Belgium,BEL,1959,70.3
Belgium,BEL,1960,69.6
Belgium,BEL,1961,70.5
Belgium,BEL,1962,70.2
Belgium,BEL,1963,70
Belgium,BEL,1964,70.7
Belgium,BEL,1965,70.6
Belgium,BEL,1966,70.6
Belgium,BEL,1967,70.9
Belgium,BEL,1968,70.6
Belgium,BEL,1969,70.7
Belgium,BEL,1970,70.9
Belgium,BEL,1971,71.1
Belgium,BEL,1972,71.4
Belgium,BEL,1973,71.6
Belgium,BEL,1974,72
Belgium,BEL,1975,72
Belgium,BEL,1976,72.1
Belgium,BEL,1977,72.8
Belgium,BEL,1978,72.7
Belgium,BEL,1979,73.2
Belgium,BEL,1980,73.2
Belgium,BEL,1981,73.6
Belgium,BEL,1982,73.9
Belgium,BEL,1983,73.9
Belgium,BEL,1984,74.4
Belgium,BEL,1985,74.5
Belgium,BEL,1986,74.7
Belgium,BEL,1987,75.3
Belgium,BEL,1988,75.6
Belgium,BEL,1989,75.6
Belgium,BEL,1990,76.1
Belgium,BEL,1991,76.2
Belgium,BEL,1992,76.4
Belgium,BEL,1993,76.4
Belgium,BEL,1994,76.7
Belgium,BEL,1995,76.8
Belgium,BEL,1996,77.2
Belgium,BEL,1997,77.4
Belgium,BEL,1998,77.5
Belgium,BEL,1999,77.6
Belgium,BEL,2000,77.8
Belgium,BEL,2001,78.1
