Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Austria,AUT,1925,19.29914
Austria,AUT,1926,16.97403
Austria,AUT,1927,18.89398
Austria,AUT,1928,19.2594
Austria,AUT,1929,18.35896
Austria,AUT,1930,16.25964
Austria,AUT,1931,12.80655
Austria,AUT,1932,8.23497
Austria,AUT,1933,7.1306
Austria,AUT,1934,7.64328
Austria,AUT,1935,7.86125
Austria,AUT,1936,8.36848
Austria,AUT,1937,12.39308
Austria,AUT,1948,6.0994
Austria,AUT,1949,8.08327
Austria,AUT,1950,11.5815
Austria,AUT,1951,13.80697
Austria,AUT,1952,13.40482
Austria,AUT,1953,15.76996
Austria,AUT,1954,16.85278
Austria,AUT,1955,17.13959
Austria,AUT,1956,18.46656
Austria,AUT,1957,18.29041
Austria,AUT,1958,17.44526
Austria,AUT,1959,17.26027
Austria,AUT,1960,16.96879
Austria,AUT,1961,16.41194
Austria,AUT,1962,16.26202
Austria,AUT,1963,15.79021
Austria,AUT,1964,15.69141
Austria,AUT,1965,15.96547
Austria,AUT,1966,15.45416
Austria,AUT,1967,15.62944
Austria,AUT,1968,15.99518
Austria,AUT,1969,17.75702
Austria,AUT,1970,18.57593
Austria,AUT,1971,17.75837
Austria,AUT,1972,17.60573
Austria,AUT,1973,17.92533
Austria,AUT,1974,20.38792
Austria,AUT,1975,18.80103
Austria,AUT,1976,19.83162
Austria,AUT,1977,19.06262
Austria,AUT,1978,19.70203
Austria,AUT,1979,20.97339
Austria,AUT,1980,21.35602
Austria,AUT,1981,23.47148
Austria,AUT,1982,22.99885
Austria,AUT,1983,22.98641
Austria,AUT,1984,24.62689
Austria,AUT,1985,26.29609
Austria,AUT,1986,23.65836
Austria,AUT,1987,23.09106
Austria,AUT,1988,24.53775
Austria,AUT,1989,25.82201
Austria,AUT,1990,25.33664
Austria,AUT,1991,24.70409
Austria,AUT,1992,23.63032
Austria,AUT,1993,22.90169
Austria,AUT,1994,23.17926
Austria,AUT,1995,23.93405
Austria,AUT,1996,24.42941
Austria,AUT,1997,27.64099
Austria,AUT,1998,28.21788
Austria,AUT,1999,30.43231
Austria,AUT,2000,34.34234
Austria,AUT,2001,35.91876
Austria,AUT,2002,36.86658
Austria,AUT,2003,37.27357
Austria,AUT,2004,39.45878
Austria,AUT,2005,39.73094
Austria,AUT,2006,40.93993
Austria,AUT,2007,42.38588
Austria,AUT,2008,42.50026
Austria,AUT,2009,34.47912
Austria,AUT,2010,38.20161
Austria,AUT,2011,41.04068
Austria,AUT,2012,40.93461
Austria,AUT,2013,41.04978
Austria,AUT,2014,41.32315
Belgium,BEL,1835,8.84902
Belgium,BEL,1836,8.69663
Belgium,BEL,1837,7.42649
Belgium,BEL,1838,8.85968
Belgium,BEL,1839,7.44564
Belgium,BEL,1840,7.57628
Belgium,BEL,1841,8.27031
Belgium,BEL,1842,7.94346
Belgium,BEL,1843,8.96844
Belgium,BEL,1844,10.11142
Belgium,BEL,1845,10.28483
Belgium,BEL,1846,7.74019
Belgium,BEL,1847,7.82368
Belgium,BEL,1848,8.22014
Belgium,BEL,1849,9.65312
Belgium,BEL,1850,11.18799
Belgium,BEL,1851,10.39617
Belgium,BEL,1852,11.1699
Belgium,BEL,1853,12.59041
Belgium,BEL,1854,14.10306
Belgium,BEL,1855,12.06951
Belgium,BEL,1856,12.09453
Belgium,BEL,1857,13.87155
Belgium,BEL,1858,13.31542
Belgium,BEL,1859,14.38552
Belgium,BEL,1860,14.90731
Belgium,BEL,1861,14.12133
Belgium,BEL,1862,15.33212
Belgium,BEL,1863,16.04027
Belgium,BEL,1864,16.79839
Belgium,BEL,1865,16.65973
Belgium,BEL,1866,16.50598
Belgium,BEL,1867,15.33593
Belgium,BEL,1868,16.20191
Belgium,BEL,1869,16.25249
Belgium,BEL,1870,15.27201
Belgium,BEL,1871,18.7686
Belgium,BEL,1872,18.51311
Belgium,BEL,1873,19.3911
Belgium,BEL,1874,19.2473
Belgium,BEL,1875,21.16749
Belgium,BEL,1876,20.96587
Belgium,BEL,1877,21.28313
Belgium,BEL,1878,22.25642
Belgium,BEL,1879,22.47474
Belgium,BEL,1880,22.31868
Belgium,BEL,1881,23.63014
Belgium,BEL,1882,23.81307
Belgium,BEL,1883,24.42014
Belgium,BEL,1884,26.48492
Belgium,BEL,1885,24.36181
Belgium,BEL,1886,24.79919
Belgium,BEL,1887,24.60709
Belgium,BEL,1888,24.16764
Belgium,BEL,1889,27.0678
Belgium,BEL,1890,25.72062
Belgium,BEL,1891,27.41737
Belgium,BEL,1892,25.52012
Belgium,BEL,1893,25.34637
Belgium,BEL,1894,25.02249
Belgium,BEL,1895,25.97222
Belgium,BEL,1896,27.00891
Belgium,BEL,1897,27.3678
Belgium,BEL,1898,30.92637
Belgium,BEL,1899,32.00054
Belgium,BEL,1900,30.38226
Belgium,BEL,1901,29.83771
Belgium,BEL,1902,30.76449
Belgium,BEL,1903,32.75663
Belgium,BEL,1904,32.79729
Belgium,BEL,1905,33.90156
Belgium,BEL,1906,36.89022
Belgium,BEL,1907,37.20607
Belgium,BEL,1908,34.38111
Belgium,BEL,1909,38.42345
Belgium,BEL,1910,44.05146
Belgium,BEL,1911,44.83847
Belgium,BEL,1912,47.02655
Belgium,BEL,1913,42.97007
Belgium,BEL,1920,31.07422
Belgium,BEL,1921,25.55544
Belgium,BEL,1922,22.66242
Belgium,BEL,1923,27.61084
Belgium,BEL,1924,32.57953
Belgium,BEL,1925,33.11274
Belgium,BEL,1926,36.20639
Belgium,BEL,1927,38.07805
Belgium,BEL,1928,38.82825
Belgium,BEL,1929,35.62611
Belgium,BEL,1930,28.85865
Belgium,BEL,1931,28.15068
Belgium,BEL,1932,21.3842
Belgium,BEL,1933,20.72697
Belgium,BEL,1934,20.68946
Belgium,BEL,1935,24.67174
Belgium,BEL,1936,27.61707
Belgium,BEL,1937,29.79545
Belgium,BEL,1938,26.10328
Belgium,BEL,1939,26.76298
Belgium,BEL,1946,13.86461
Belgium,BEL,1947,23.55455
Belgium,BEL,1948,22.05681
Belgium,BEL,1949,24.80662
