Entity,Code,Year,4_1_Migrant_pcent
Austria,AUT,1990,10.2930212
Austria,AUT,1995,11.22427845
Austria,AUT,2000,12.37810612
Austria,AUT,2005,13.79829502
Austria,AUT,2010,15.20488739
Austria,AUT,2015,17.46572685
Belgium,BEL,1990,8.934811592
Belgium,BEL,1995,8.711725235
Belgium,BEL,2000,8.310648918
Belgium,BEL,2005,8.245677948
Belgium,BEL,2010,9.632626534
Belgium,BEL,2015,12.2835331
Bulgaria,BGR,1990,0.243846834
Bulgaria,BGR,1995,0.388065934
Bulgaria,BGR,2000,0.541965425
Bulgaria,BGR,2005,0.794963777
Bulgaria,BGR,2010,1.029889822
Bulgaria,BGR,2015,1.42819643
Croatia,HRV,1990,9.953952789
Croatia,HRV,1995,14.60081768
Croatia,HRV,2000,13.217906
Croatia,HRV,2005,13.23128319
Croatia,HRV,2010,13.28061962
Croatia,HRV,2015,13.60471439
Cyprus,CYP,1990,5.714110374
Cyprus,CYP,1995,7.241266727
Cyprus,CYP,2000,8.489038467
Cyprus,CYP,2005,11.34675503
Cyprus,CYP,2010,17.02686882
Cyprus,CYP,2015,16.83403397
Czechia,CZE,1990,1.069325805
Czechia,CZE,1995,1.602158666
Czechia,CZE,2000,2.151308537
Czechia,CZE,2005,3.152613401
Czechia,CZE,2010,3.78604269
Czechia,CZE,2015,3.84222579
Denmark,DNK,1990,4.57536602
Denmark,DNK,1995,5.792704105
Denmark,DNK,2000,6.950287342
Denmark,DNK,2005,8.128608704
Denmark,DNK,2010,9.182917595
Denmark,DNK,2015,10.09899139
Estonia,EST,1990,24.40376472
Estonia,EST,1995,22.03337479
Estonia,EST,2000,17.83317757
Estonia,EST,2005,17.23888397
Estonia,EST,2010,16.35701561
Estonia,EST,2015,15.41630936
Finland,FIN,1990,1.26847291
Finland,FIN,1995,1.952340722
Finland,FIN,2000,2.631188631
Finland,FIN,2005,3.662895918
Finland,FIN,2010,4.622749329
Finland,FIN,2015,5.739683151
France,FRA,1990,10.35638428
France,FRA,1995,10.45614815
France,FRA,2000,10.57251358
France,FRA,2005,11.00165367
France,FRA,2010,11.43003654
France,FRA,2015,12.08847904
Germany,DEU,1990,7.518127441
Germany,DEU,1995,9.146110535
Germany,DEU,2000,10.98055935
Germany,DEU,2005,12.67638874
Germany,DEU,2010,14.42860126
Germany,DEU,2015,14.87905121
Greece,GRC,1990,6.101016998
Greece,GRC,1995,8.061614037
Greece,GRC,2000,10.14845467
Greece,GRC,2005,10.7564888
Greece,GRC,2010,11.35985661
Greece,GRC,2015,11.34237766
Hungary,HUN,1990,3.346249104
Hungary,HUN,1995,3.112772226
Hungary,HUN,2000,2.904476881
Hungary,HUN,2005,3.633006334
Hungary,HUN,2010,4.359780312
Hungary,HUN,2015,4.562465191
Ireland,IRL,1990,6.397817135
Ireland,IRL,1995,6.224177837
Ireland,IRL,2000,9.125218391
Ireland,IRL,2005,14.01255989
Ireland,IRL,2010,15.82172775
Ireland,IRL,2015,15.91693687
Italy,ITA,1990,2.50531435
Italy,ITA,1995,3.107404947
Italy,ITA,2000,3.712679625
Italy,ITA,2005,6.742189407
Italy,ITA,2010,9.713184357
