Entity,Code,Year,2_1_Military_usd_pc
Austria,AUT,1988,223.79
Austria,AUT,1989,211.21
Austria,AUT,1990,255.4
Austria,AUT,1991,256.55
Austria,AUT,1992,273.27
Austria,AUT,1993,268
Austria,AUT,1994,280.29
Austria,AUT,1995,320.12
Austria,AUT,1996,306.55
Austria,AUT,1997,269.49
Austria,AUT,1998,268.6
Austria,AUT,1999,263.86
Austria,AUT,2000,238.63
Austria,AUT,2001,220.9
Austria,AUT,2002,231.33
Austria,AUT,2003,291.34
Austria,AUT,2004,326.07
Austria,AUT,2005,325.45
Austria,AUT,2006,318.66
Austria,AUT,2007,420.97
Austria,AUT,2008,449.17
Austria,AUT,2009,398.29
Austria,AUT,2010,382.68
Austria,AUT,2011,403.35
Austria,AUT,2012,374.87
Austria,AUT,2013,377.4
Austria,AUT,2014,383.64
Austria,AUT,2015,307.12
Austria,AUT,2016,329.92
Austria,AUT,2017,357.5
Austria,AUT,2018,381.04
Austria,AUT,2019,361.56
Austria,AUT,2020,399.9
Belgium,BEL,1988,411.4
Belgium,BEL,1989,388.84
Belgium,BEL,1990,464.13
Belgium,BEL,1991,460.63
Belgium,BEL,1992,409.93
Belgium,BEL,1993,370.21
Belgium,BEL,1994,388.36
Belgium,BEL,1995,436.76
Belgium,BEL,1996,415.53
Belgium,BEL,1997,360.35
Belgium,BEL,1998,357.94
Belgium,BEL,1999,350.89
Belgium,BEL,2000,310.33
Belgium,BEL,2001,294.22
Belgium,BEL,2002,303.64
Belgium,BEL,2003,371.98
Belgium,BEL,2004,406.74
Belgium,BEL,2005,400.9
Belgium,BEL,2006,405.66
Belgium,BEL,2007,482.72
Belgium,BEL,2008,584.09
Belgium,BEL,2009,517.56
Belgium,BEL,2010,479.46
Belgium,BEL,2011,499.31
Belgium,BEL,2012,466.29
Belgium,BEL,2013,471.86
Belgium,BEL,2014,462.65
Belgium,BEL,2015,372.26
Belgium,BEL,2016,374.79
Belgium,BEL,2017,388.17
Belgium,BEL,2018,421.53
Belgium,BEL,2019,412.61
Belgium,BEL,2020,471.21
Bulgaria,BGR,1989,232.81
Bulgaria,BGR,1990,89.86
Bulgaria,BGR,1991,26.48
Bulgaria,BGR,1992,29.48
Bulgaria,BGR,1993,32.96
Bulgaria,BGR,1994,28.55
Bulgaria,BGR,1995,37.13
Bulgaria,BGR,1996,25.76
Bulgaria,BGR,1997,29.76
Bulgaria,BGR,1998,39.37
Bulgaria,BGR,1999,44.28
Bulgaria,BGR,2000,43.93
Bulgaria,BGR,2001,51.19
Bulgaria,BGR,2002,57.96
Bulgaria,BGR,2003,72.92
Bulgaria,BGR,2004,80.17
Bulgaria,BGR,2005,86.86
Bulgaria,BGR,2006,93.79
Bulgaria,BGR,2007,130.69
Bulgaria,BGR,2008,154.36
Bulgaria,BGR,2009,121.09
Bulgaria,BGR,2010,112.13
Bulgaria,BGR,2011,102.72
Bulgaria,BGR,2012,98.45
Bulgaria,BGR,2013,111.33
Bulgaria,BGR,2014,103.17
Bulgaria,BGR,2015,87.85
Bulgaria,BGR,2016,93.76
Bulgaria,BGR,2017,101.38
Bulgaria,BGR,2018,136.32
Bulgaria,BGR,2019,308.36
Bulgaria,BGR,2020,179.5
Croatia,HRV,1992,165.23
Croatia,HRV,1993,248.84
Croatia,HRV,1994,348.92
Croatia,HRV,1995,446.28
Croatia,HRV,1996,423.77
Croatia,HRV,1997,396.52
Croatia,HRV,1998,317.74
Croatia,HRV,1999,232.46
Croatia,HRV,2000,149
Croatia,HRV,2001,142.8
Croatia,HRV,2002,166.9
Croatia,HRV,2003,161.63
Croatia,HRV,2004,166.72
Croatia,HRV,2005,182.54
Croatia,HRV,2006,194.34
Croatia,HRV,2007,224.38
Croatia,HRV,2008,297.74
Croatia,HRV,2009,260.09
Croatia,HRV,2010,234.71
Croatia,HRV,2011,256.54
Croatia,HRV,2012,222.38
Croatia,HRV,2013,223.77
Croatia,HRV,2014,249.9
Croatia,HRV,2015,208.64
Croatia,HRV,2016,198.8
Croatia,HRV,2017,220.15
Croatia,HRV,2018,232.5
Croatia,HRV,2019,242.55
Croatia,HRV,2020,252.1
Cyprus,CYP,1988,331.06
Cyprus,CYP,1989,326.21
Cyprus,CYP,1990,536.66
Cyprus,CYP,1991,534.26
Cyprus,CYP,1992,787.06
Cyprus,CYP,1993,327.67
Cyprus,CYP,1994,356.55
Cyprus,CYP,1995,349.35
Cyprus,CYP,1996,513.01
Cyprus,CYP,1997,599.36
Cyprus,CYP,1998,532.35
Cyprus,CYP,1999,313.13
Cyprus,CYP,2000,298.06
Cyprus,CYP,2001,341.18
Cyprus,CYP,2002,248.2
Cyprus,CYP,2003,290.3
Cyprus,CYP,2004,334.99
Cyprus,CYP,2005,370.62
Cyprus,CYP,2006,370.83
Cyprus,CYP,2007,380.91
Cyprus,CYP,2008,419.58
Cyprus,CYP,2009,429.25
Cyprus,CYP,2010,429.25
Cyprus,CYP,2011,426.49
Cyprus,CYP,2012,365.18
Cyprus,CYP,2013,336.51
Cyprus,CYP,2014,310.52
Cyprus,CYP,2015,282.43
Cyprus,CYP,2016,252.4
Cyprus,CYP,2017,304.37
Cyprus,CYP,2018,378.73
Cyprus,CYP,2019,335.06
Cyprus,CYP,2020,346.86
Czechia,CZE,1993,78.73
Czechia,CZE,1994,90.56
Czechia,CZE,1995,102.85
Czechia,CZE,1996,108.59
Czechia,CZE,1997,95.6
Czechia,CZE,1998,112.96
Czechia,CZE,1999,117.01
Czechia,CZE,2000,112.47
Czechia,CZE,2001,115.13
Czechia,CZE,2002,145.76
Czechia,CZE,2003,184.17
Czechia,CZE,2004,199.43
Czechia,CZE,2005,237.81
Czechia,CZE,2006,237.89
Czechia,CZE,2007,261.42
Czechia,CZE,2008,279.96
Czechia,CZE,2009,259.2
Czechia,CZE,2010,237.07
Czechia,CZE,2011,234.17
Czechia,CZE,2012,209.86
Czechia,CZE,2013,202.97
Czechia,CZE,2014,191
Czechia,CZE,2015,167.89
Czechia,CZE,2016,184.1
Czechia,CZE,2017,195.26
Czechia,CZE,2018,254.09
Czechia,CZE,2019,272.26
Czechia,CZE,2020,303.72
Denmark,DNK,1988,452.99
Denmark,DNK,1989,425.64
Denmark,DNK,1990,515.43
Denmark,DNK,1991,518.33
Denmark,DNK,1992,548.71
Denmark,DNK,1993,516.69
Denmark,DNK,1994,521.71
Denmark,DNK,1995,595.86
Denmark,DNK,1996,587.31
Denmark,DNK,1997,531.35
Denmark,DNK,1998,536.95
Denmark,DNK,1999,523.3
Denmark,DNK,2000,447.94
Denmark,DNK,2001,471.29
Denmark,DNK,2002,501.43
Denmark,DNK,2003,593.87
Denmark,DNK,2004,662.41
Denmark,DNK,2005,639.74
Denmark,DNK,2006,715.75
Denmark,DNK,2007,763.38
Denmark,DNK,2008,870.91
Denmark,DNK,2009,784.84
Denmark,DNK,2010,810.73
Denmark,DNK,2011,809.35
Denmark,DNK,2012,788.19
Denmark,DNK,2013,747.88
Denmark,DNK,2014,716.23
Denmark,DNK,2015,591.36
Denmark,DNK,2016,629.05
Denmark,DNK,2017,656.64
Denmark,DNK,2018,792.52
Denmark,DNK,2019,789.48
Denmark,DNK,2020,855.18
Estonia,EST,1993,8.83
Estonia,EST,1994,17.25
Estonia,EST,1995,25.36
Estonia,EST,1996,29.23
Estonia,EST,1997,37.62
Estonia,EST,1998,42.61
Estonia,EST,1999,52.57
Estonia,EST,2000,55.97
Estonia,EST,2001,67.41
Estonia,EST,2002,88.28
Estonia,EST,2003,124.85
Estonia,EST,2004,150.32
Estonia,EST,2005,150.86
Estonia,EST,2006,175.14
Estonia,EST,2007,276.71
Estonia,EST,2008,320.63
Estonia,EST,2009,264.47
Estonia,EST,2010,249.37
Estonia,EST,2011,293.17
Estonia,EST,2012,330.16
Estonia,EST,2013,363.37
Estonia,EST,2014,389.07
Estonia,EST,2015,352.44
Estonia,EST,2016,378.01
Estonia,EST,2017,407.34
Estonia,EST,2018,464.84
Estonia,EST,2019,480.55
Estonia,EST,2020,528.45
Finland,FIN,1988,343.54
Finland,FIN,1989,354.94
Finland,FIN,1990,428.58
Finland,FIN,1991,438.52
Finland,FIN,1992,411.49
Finland,FIN,1993,318.51
Finland,FIN,1994,344.58
Finland,FIN,1995,372.92
Finland,FIN,1996,393.58
Finland,FIN,1997,377.93
Finland,FIN,1998,379.48
Finland,FIN,1999,319.54
Finland,FIN,2000,300.34
Finland,FIN,2001,284.45
Finland,FIN,2002,309.09
Finland,FIN,2003,473.5
Finland,FIN,2004,551.86
Finland,FIN,2005,570.34
Finland,FIN,2006,592.8
Finland,FIN,2007,622.26
Finland,FIN,2008,744.08
Finland,FIN,2009,737.62
Finland,FIN,2010,692.76
Finland,FIN,2011,760.57
Finland,FIN,2012,728.24
Finland,FIN,2013,765.06
Finland,FIN,2014,729.76
Finland,FIN,2015,620.15
Finland,FIN,2016,621.17
Finland,FIN,2017,622.55
Finland,FIN,2018,680.29
Finland,FIN,2019,656.1
Finland,FIN,2020,737.73
France,FRA,1988,540.34
France,FRA,1989,525.94
France,FRA,1990,631.31
France,FRA,1991,630.24
France,FRA,1992,663.24
France,FRA,1993,623.58
France,FRA,1994,647.52
France,FRA,1995,694.16
France,FRA,1996,671.89
France,FRA,1997,595.97
France,FRA,1998,575.48
France,FRA,1999,556.56
France,FRA,2000,481.29
France,FRA,2001,470.69
France,FRA,2002,511.32
France,FRA,2003,640.13
France,FRA,2004,733.54
France,FRA,2005,727.13
France,FRA,2006,744.48
France,FRA,2007,819.22
France,FRA,2008,890
France,FRA,2009,902.44
France,FRA,2010,827.68
France,FRA,2011,856.04
France,FRA,2012,790.01
France,FRA,2013,813.88
France,FRA,2014,827.73
France,FRA,2015,708.23
France,FRA,2016,732.52
France,FRA,2017,758.69
France,FRA,2018,791.04
France,FRA,2019,769.52
France,FRA,2020,808.09
Germany,DEU,1988,421.88
Germany,DEU,1989,402.13
Germany,DEU,1990,503.89
Germany,DEU,1991,467.94
Germany,DEU,1992,494.01
Germany,DEU,1993,435.55
Germany,DEU,1994,423.07
Germany,DEU,1995,477.49
Germany,DEU,1996,451.3
Germany,DEU,1997,384.13
Germany,DEU,1998,383.29
Germany,DEU,1999,377.08
Germany,DEU,2000,325.52
Germany,DEU,2001,316.93
Germany,DEU,2002,338.64
Germany,DEU,2003,404.31
Germany,DEU,2004,438.19
Germany,DEU,2005,371.62
Germany,DEU,2006,440.44
Germany,DEU,2007,493.5
Germany,DEU,2008,556.33
Germany,DEU,2009,550.42
Germany,DEU,2010,532.32
Germany,DEU,2011,558.57
Germany,DEU,2012,540.9
Germany,DEU,2013,545.03
Germany,DEU,2014,548.34
Germany,DEU,2015,466.7
Germany,DEU,2016,484.89
Germany,DEU,2017,510.66
Germany,DEU,2018,558.48
Germany,DEU,2019,586.8
Germany,DEU,2020,629.77
Greece,GRC,1988,272.2
Greece,GRC,1989,252.1
Greece,GRC,1990,312.28
Greece,GRC,1991,305.08
Greece,GRC,1992,347.69
Greece,GRC,1993,319.39
Greece,GRC,1994,336.99
Greece,GRC,1995,388.99
Greece,GRC,1996,425.88
Greece,GRC,1997,419.35
Greece,GRC,1998,439.76
Greece,GRC,1999,454.51
Greece,GRC,2000,411.88
Greece,GRC,2001,397.69
Greece,GRC,2002,423.36
Greece,GRC,2003,448.85
Greece,GRC,2004,557.85
Greece,GRC,2005,626.15
Greece,GRC,2006,680.11
Greece,GRC,2007,767.34
Greece,GRC,2008,957.78
Greece,GRC,2009,970.99
Greece,GRC,2010,749.81
Greece,GRC,2011,658.28
Greece,GRC,2012,548.64
Greece,GRC,2013,526.53
Greece,GRC,2014,516.87
Greece,GRC,2015,451.99
Greece,GRC,2016,467.58
Greece,GRC,2017,481.4
Greece,GRC,2018,547.14
Greece,GRC,2019,522.42
Greece,GRC,2020,508.62
Hungary,HUN,1988,98.47
Hungary,HUN,1989,78.13
Hungary,HUN,1990,81.66
Hungary,HUN,1991,69.72
Hungary,HUN,1992,78.39
Hungary,HUN,1993,71.04
Hungary,HUN,1994,73.1
Hungary,HUN,1995,59.15
Hungary,HUN,1996,56.64
Hungary,HUN,1997,67.51
Hungary,HUN,1998,60.16
Hungary,HUN,1999,68.58
Hungary,HUN,2000,70.04
Hungary,HUN,2001,82.9
Hungary,HUN,2002,106.14
Hungary,HUN,2003,138.2
Hungary,HUN,2004,151.53
Hungary,HUN,2005,158.25
Hungary,HUN,2006,140.23
Hungary,HUN,2007,177.22
Hungary,HUN,2008,186.94
Hungary,HUN,2009,148.18
Hungary,HUN,2010,136.07
Hungary,HUN,2011,148.76
Hungary,HUN,2012,134.05
Hungary,HUN,2013,130.17
Hungary,HUN,2014,123.39
Hungary,HUN,2015,115.82
Hungary,HUN,2016,132.13
Hungary,HUN,2017,150.36
Hungary,HUN,2018,184.55
Hungary,HUN,2019,211.78
Hungary,HUN,2020,249.42
Ireland,IRL,1988,129.12
Ireland,IRL,1989,123.73
Ireland,IRL,1990,169.19
Ireland,IRL,1991,177.65
Ireland,IRL,1992,190.95
Ireland,IRL,1993,168.52
Ireland,IRL,1994,177.61
Ireland,IRL,1995,195.44
Ireland,IRL,1996,207.48
Ireland,IRL,1997,209.61
Ireland,IRL,1998,201.31
Ireland,IRL,1999,198.72
Ireland,IRL,2000,183.63
Ireland,IRL,2001,199.83
Ireland,IRL,2002,207.59
Ireland,IRL,2003,242.51
Ireland,IRL,2004,271.52
Ireland,IRL,2005,276.48
Ireland,IRL,2006,281.37
Ireland,IRL,2007,317.3
Ireland,IRL,2008,358.45
Ireland,IRL,2009,314.99
Ireland,IRL,2010,279.78
Ireland,IRL,2011,283.23
Ireland,IRL,2012,251.19
Ireland,IRL,2013,259.08
Ireland,IRL,2014,257.79
Ireland,IRL,2015,214.3
Ireland,IRL,2016,213.3
Ireland,IRL,2017,215.65
Ireland,IRL,2018,229.76
Ireland,IRL,2019,227.9
Ireland,IRL,2020,231.77
Italy,ITA,1988,305.23
Italy,ITA,1989,309.94
Italy,ITA,1990,363.46
Italy,ITA,1991,378.11
Italy,ITA,1992,388.08
Italy,ITA,1993,318.93
Italy,ITA,1994,315.7
Italy,ITA,1995,300.59
Italy,ITA,1996,364.37
Italy,ITA,1997,354.21
Italy,ITA,1998,367.01
Italy,ITA,1999,370.95
Italy,ITA,2000,350.64
Italy,ITA,2001,343.2
Italy,ITA,2002,377.91
Italy,ITA,2003,465.98
Italy,ITA,2004,522.21
Italy,ITA,2005,510.24
Italy,ITA,2006,506.18
Italy,ITA,2007,544.4
Italy,ITA,2008,625.23
Italy,ITA,2009,576.16
Italy,ITA,2010,539.75
Italy,ITA,2011,567.7
Italy,ITA,2012,497.35
Italy,ITA,2013,497.91
Italy,ITA,2014,458.55
Italy,ITA,2015,366.15
Italy,ITA,2016,412.66
Italy,ITA,2017,435.9
Italy,ITA,2018,468.77
Italy,ITA,2019,435.68
Italy,ITA,2020,478.34
Latvia,LVA,1993,6.85
Latvia,LVA,1994,13.33
Latvia,LVA,1995,17.37
Latvia,LVA,1996,15.39
Latvia,LVA,1997,15.48
Latvia,LVA,1998,17.35
Latvia,LVA,1999,23.49
Latvia,LVA,2000,29.36
Latvia,LVA,2001,36.87
Latvia,LVA,2002,63.12
Latvia,LVA,2003,82.03
Latvia,LVA,2004,100.64
Latvia,LVA,2005,121.03
Latvia,LVA,2006,165.31
Latvia,LVA,2007,219.05
Latvia,LVA,2008,267.93
Latvia,LVA,2009,169.63
Latvia,LVA,2010,122.55
Latvia,LVA,2011,141.78
Latvia,LVA,2012,123.6
Latvia,LVA,2013,138.67
Latvia,LVA,2014,146.31
Latvia,LVA,2015,141.51
Latvia,LVA,2016,204.91
Latvia,LVA,2017,247.28
Latvia,LVA,2018,367.84
Latvia,LVA,2019,362.87
Latvia,LVA,2020,401.27
Lithuania,LTU,1993,5.66
Lithuania,LTU,1994,5.77
Lithuania,LTU,1995,8.4
Lithuania,LTU,1996,11.73
Lithuania,LTU,1997,21.12
Lithuania,LTU,1998,38.87
Lithuania,LTU,1999,30.16
Lithuania,LTU,2000,40.09
Lithuania,LTU,2001,48.04
Lithuania,LTU,2002,52.68
Lithuania,LTU,2003,61.75
Lithuania,LTU,2004,80.1
Lithuania,LTU,2005,90.85
Lithuania,LTU,2006,106.44
Lithuania,LTU,2007,135.63
Lithuania,LTU,2008,168.51
Lithuania,LTU,2009,127.82
Lithuania,LTU,2010,104.46
Lithuania,LTU,2011,111.76
Lithuania,LTU,2012,107.91
Lithuania,LTU,2013,117.94
Lithuania,LTU,2014,143.67
Lithuania,LTU,2015,160.72
Lithuania,LTU,2016,219.91
Lithuania,LTU,2017,285.41
Lithuania,LTU,2018,377.11
Lithuania,LTU,2019,396.36
Lithuania,LTU,2020,430.02
Luxembourg,LUX,1988,229.92
Luxembourg,LUX,1989,201.11
Luxembourg,LUX,1990,253.26
Luxembourg,LUX,1991,278.85
Luxembourg,LUX,1992,314.81
Luxembourg,LUX,1993,272.39
Luxembourg,LUX,1994,313.09
Luxembourg,LUX,1995,348.54
Luxembourg,LUX,1996,341.78
Luxembourg,LUX,1997,319.24
Luxembourg,LUX,1998,336.14
Luxembourg,LUX,1999,326.39
Luxembourg,LUX,2000,293.95
Luxembourg,LUX,2001,364.12
Luxembourg,LUX,2002,345.72
Luxembourg,LUX,2003,444.07
Luxembourg,LUX,2004,519.4
Luxembourg,LUX,2005,532.37
Luxembourg,LUX,2006,530.77
Luxembourg,LUX,2007,602.32
Luxembourg,LUX,2008,487.68
Luxembourg,LUX,2009,449.03
Luxembourg,LUX,2010,539.75
Luxembourg,LUX,2011,494.81
Luxembourg,LUX,2012,447.4
Luxembourg,LUX,2013,476.74
Luxembourg,LUX,2014,503.18
Luxembourg,LUX,2015,487.25
Luxembourg,LUX,2016,450.1
Luxembourg,LUX,2017,604.26
Luxembourg,LUX,2018,650.8
Luxembourg,LUX,2019,696.36
Luxembourg,LUX,2020,782.03
Malta,MLT,1988,62.91
Malta,MLT,1989,59.37
Malta,MLT,1990,58.43
Malta,MLT,1991,59.58
Malta,MLT,1992,72.56
Malta,MLT,1993,66.45
Malta,MLT,1994,74.57
Malta,MLT,1995,82.64
Malta,MLT,1996,87.56
Malta,MLT,1997,81.15
Malta,MLT,1998,75.09
Malta,MLT,1999,71.65
Malta,MLT,2000,64.41
Malta,MLT,2001,68.43
Malta,MLT,2002,71.24
Malta,MLT,2003,85.13
Malta,MLT,2004,100.61
Malta,MLT,2005,129.74
Malta,MLT,2006,109.36
Malta,MLT,2007,120.79
Malta,MLT,2008,136.83
Malta,MLT,2009,143.62
Malta,MLT,2010,141.77
Malta,MLT,2011,133.81
Malta,MLT,2012,118.35
Malta,MLT,2013,126.22
Malta,MLT,2014,131.37
Malta,MLT,2015,119.47
Malta,MLT,2016,136.83
Malta,MLT,2017,146.68
Malta,MLT,2018,152.23
Malta,MLT,2019,189.92
Malta,MLT,2020,182.57
Netherlands,NLD,1988,455.45
Netherlands,NLD,1989,430.38
Netherlands,NLD,1990,495.87
Netherlands,NLD,1991,481.01
