Entity,Code,Year,0_0_NitroPerHa
Austria,AUT,1961,29.82
Austria,AUT,1962,36.79
Austria,AUT,1963,39.66
Austria,AUT,1964,42.56
Austria,AUT,1965,52.83
Austria,AUT,1966,53.13
Austria,AUT,1967,59.15
Austria,AUT,1968,67.53
Austria,AUT,1969,71.87
Austria,AUT,1970,74.85
Austria,AUT,1971,82.91
Austria,AUT,1972,80.85
Austria,AUT,1973,81.95
Austria,AUT,1974,77.89
Austria,AUT,1975,75.48
Austria,AUT,1976,88.55
Austria,AUT,1977,82.68
Austria,AUT,1978,93.62
Austria,AUT,1979,97.41
Austria,AUT,1980,97.68
Austria,AUT,1981,98.02
Austria,AUT,1982,91.6
Austria,AUT,1983,101.67
Austria,AUT,1984,105.85
Austria,AUT,1985,108.25
Austria,AUT,1986,90.42
Austria,AUT,1987,86.91
Austria,AUT,1988,92.56
Austria,AUT,1989,81.6
Austria,AUT,1990,90.17
Austria,AUT,1991,86.61
Austria,AUT,1992,82.34
Austria,AUT,1993,80.11
Austria,AUT,1994,80.72
Austria,AUT,1995,83.78
Austria,AUT,1996,84.33
Austria,AUT,1997,89.13
Austria,AUT,1998,86.41
Austria,AUT,1999,81.12
Austria,AUT,2000,82.75
Austria,AUT,2001,80.31
Austria,AUT,2002,87.63
Austria,AUT,2003,65.08
Austria,AUT,2004,69.74
Austria,AUT,2005,68.92
Austria,AUT,2006,71.75
Austria,AUT,2007,71.51
Austria,AUT,2008,93.63
Austria,AUT,2009,60.2
Austria,AUT,2010,63.42
Austria,AUT,2011,81.94
Austria,AUT,2012,68.8
Austria,AUT,2013,78.92
Austria,AUT,2014,78.76
Austria,AUT,2015,92.27
Austria,AUT,2016,86.88
Austria,AUT,2017,84.33
Austria,AUT,2018,81.16
Austria,AUT,2019,70.55
Austria,AUT,2020,76.72
Belgium,BEL,2002,177.11
Belgium,BEL,2003,178.81
Belgium,BEL,2004,170.26
Belgium,BEL,2005,167.56
Belgium,BEL,2006,162.19
Belgium,BEL,2007,177.56
Belgium,BEL,2008,157.95
Belgium,BEL,2009,180.61
Belgium,BEL,2010,200.11
Belgium,BEL,2011,196.71
Belgium,BEL,2012,200.39
Belgium,BEL,2013,199.71
Belgium,BEL,2014,209.57
Belgium,BEL,2015,207.98
Belgium,BEL,2016,196.96
Belgium,BEL,2017,200.59
Belgium,BEL,2018,200
Belgium,BEL,2019,198.68
Belgium,BEL,2020,196.99
Bulgaria,BGR,1961,15.85
Bulgaria,BGR,1962,14.33
Bulgaria,BGR,1963,19.67
Bulgaria,BGR,1964,34.76
Bulgaria,BGR,1965,48.01
