Entity,Code,Year,2_1_EnergyPC
Austria,AUT,1965,26066.176
Austria,AUT,1966,27090.184
Austria,AUT,1967,27165.604
Austria,AUT,1968,28897.623
Austria,AUT,1969,29831.541
Austria,AUT,1970,34044.027
Austria,AUT,1971,33751.086
Austria,AUT,1972,34715.312
Austria,AUT,1973,37118.836
Austria,AUT,1974,37246.43
Austria,AUT,1975,37094.656
Austria,AUT,1976,38460.152
Austria,AUT,1977,38538.715
Austria,AUT,1978,40235.434
Austria,AUT,1979,42692.008
Austria,AUT,1980,42513.56
Austria,AUT,1981,41171.957
Austria,AUT,1982,39797.918
Austria,AUT,1983,39752.72
Austria,AUT,1984,39355.176
Austria,AUT,1985,41761.55
Austria,AUT,1986,41816.344
Austria,AUT,1987,44110.18
Austria,AUT,1988,43399.652
Austria,AUT,1989,43438.38
Austria,AUT,1990,43648.84
Austria,AUT,1991,45323.645
Austria,AUT,1992,44124.383
Austria,AUT,1993,44542.977
Austria,AUT,1994,44102.496
Austria,AUT,1995,46183.117
Austria,AUT,1996,46180.227
Austria,AUT,1997,47102.37
Austria,AUT,1998,47804.65
Austria,AUT,1999,48794.266
Austria,AUT,2000,48864.4
Austria,AUT,2001,50421.37
Austria,AUT,2002,50254.645
Austria,AUT,2003,50523.207
Austria,AUT,2004,51139.316
Austria,AUT,2005,51679.168
Austria,AUT,2006,50888.2
Austria,AUT,2007,49646.85
Austria,AUT,2008,50449.945
Austria,AUT,2009,48756.793
Austria,AUT,2010,50231.04
Austria,AUT,2011,46876.914
Austria,AUT,2012,49127.07
Austria,AUT,2013,48505.23
Austria,AUT,2014,46200.03
Austria,AUT,2015,45737.727
Austria,AUT,2016,46760.215
Austria,AUT,2017,47471.293
Austria,AUT,2018,46131.66
Austria,AUT,2019,48223.145
Austria,AUT,2020,44940.562
Austria,AUT,2021,46162.414
Belgium,BEL,1965,43873.484
Belgium,BEL,1966,42029.812
Belgium,BEL,1967,43893.31
Belgium,BEL,1968,48702.848
Belgium,BEL,1969,53249.504
Belgium,BEL,1970,56035.934
Belgium,BEL,1971,54760.258
Belgium,BEL,1972,58011.938
Belgium,BEL,1973,58627.34
Belgium,BEL,1974,56495.953
Belgium,BEL,1975,53057.082
Belgium,BEL,1976,56231.35
Belgium,BEL,1977,56262.16
Belgium,BEL,1978,58643.094
Belgium,BEL,1979,60252.184
Belgium,BEL,1980,57595.586
Belgium,BEL,1981,54685.023
Belgium,BEL,1982,52233.176
Belgium,BEL,1983,50571.92
Belgium,BEL,1984,52815.266
Belgium,BEL,1985,55094.992
Belgium,BEL,1986,56809.668
Belgium,BEL,1987,58451.152
Belgium,BEL,1988,59508.434
Belgium,BEL,1989,59832.992
Belgium,BEL,1990,62387.53
Belgium,BEL,1991,64371.195
Belgium,BEL,1992,64045.54
Belgium,BEL,1993,62843.426
Belgium,BEL,1994,65934.66
Belgium,BEL,1995,66578.13
Belgium,BEL,1996,70519.14
Belgium,BEL,1997,71026.164
Belgium,BEL,1998,72177.8
Belgium,BEL,1999,71412.86
Belgium,BEL,2000,72420.41
Belgium,BEL,2001,71475.5
Belgium,BEL,2002,70828.99
Belgium,BEL,2003,73221.57
Belgium,BEL,2004,73126.234
Belgium,BEL,2005,71894.97
Belgium,BEL,2006,71647.29
Belgium,BEL,2007,71662.35
Belgium,BEL,2008,72317.914
Belgium,BEL,2009,67165
Belgium,BEL,2010,71083.3
Belgium,BEL,2011,65958.73
Belgium,BEL,2012,62808.793
Belgium,BEL,2013,64125.37
Belgium,BEL,2014,59217.207
Belgium,BEL,2015,59646.21
Belgium,BEL,2016,63924.812
Belgium,BEL,2017,64258.473
Belgium,BEL,2018,63410.91
Belgium,BEL,2019,65096.242
