Entity,Code,Year,3_1_Renewables_kWpc
Austria,AUT,1965,6541.6733
Austria,AUT,1966,7000.156
Austria,AUT,1967,7095.3643
Austria,AUT,1968,7253.062
Austria,AUT,1969,6645.0854
Austria,AUT,1970,8432.793
Austria,AUT,1971,6632.8647
Austria,AUT,1972,6777.8687
Austria,AUT,1973,7489.612
Austria,AUT,1974,8840.264
Austria,AUT,1975,9286.367
Austria,AUT,1976,8040.218
Austria,AUT,1977,9739.236
Austria,AUT,1978,9754.929
Austria,AUT,1979,11007.9
Austria,AUT,1980,11404.694
Austria,AUT,1981,12055.418
Austria,AUT,1982,12066.638
Austria,AUT,1983,11972.639
Austria,AUT,1984,10503.83
Austria,AUT,1985,12432.113
Austria,AUT,1986,12619.191
Austria,AUT,1987,14200.749
Austria,AUT,1988,14206.123
Austria,AUT,1989,14077.761
Austria,AUT,1990,12618.307
Austria,AUT,1991,12503.52
Austria,AUT,1992,13695.005
Austria,AUT,1993,14292.99
Austria,AUT,1994,13802.451
Austria,AUT,1995,14555.038
Austria,AUT,1996,13369.738
Austria,AUT,1997,14113.503
Austria,AUT,1998,14552.544
Austria,AUT,1999,15740.053
Austria,AUT,2000,16102.902
Austria,AUT,2001,15538.107
Austria,AUT,2002,15239.778
Austria,AUT,2003,12701.796
Austria,AUT,2004,14131.729
Austria,AUT,2005,14443.221
Austria,AUT,2006,14549.552
Austria,AUT,2007,15380.897
Austria,AUT,2008,15813.775
Austria,AUT,2009,16734.557
Austria,AUT,2010,15875.842
Austria,AUT,2011,14400.961
Austria,AUT,2012,17651.035
Austria,AUT,2013,17106.18
Austria,AUT,2014,16927.83
Austria,AUT,2015,15991.777
Austria,AUT,2016,16670.883
Austria,AUT,2017,16378.961
Austria,AUT,2018,15947.219
Austria,AUT,2019,17172.928
Austria,AUT,2020,17194.56
Austria,AUT,2021,16324.84
Austria,AUT,2022,15626.231
Belgium,BEL,1965,85.454025
Belgium,BEL,1966,93.40049
Belgium,BEL,1967,73.961784
Belgium,BEL,1968,75.50082
Belgium,BEL,1969,70.90284
Belgium,BEL,1970,75.5417
Belgium,BEL,1971,40.991146
Belgium,BEL,1972,54.870293
Belgium,BEL,1973,90.04341
Belgium,BEL,1974,108.15762
Belgium,BEL,1975,82.56136
Belgium,BEL,1976,51.595177
Belgium,BEL,1977,148.25105
Belgium,BEL,1978,151.97455
Belgium,BEL,1979,172.9628
Belgium,BEL,1980,181.0669
Belgium,BEL,1981,208.8205
Belgium,BEL,1982,114.789505
Belgium,BEL,1983,107.816734
Belgium,BEL,1984,112.878395
Belgium,BEL,1985,103.01489
Belgium,BEL,1986,140.99358
Belgium,BEL,1987,175.71147
Belgium,BEL,1988,167.35365
Belgium,BEL,1989,154.19803
Belgium,BEL,1990,171.43918
Belgium,BEL,1991,165.74184
Belgium,BEL,1992,188.41643
Belgium,BEL,1993,155.00415
Belgium,BEL,1994,181.92354
Belgium,BEL,1995,203.14326
Belgium,BEL,1996,171.16362
Belgium,BEL,1997,177.58893
Belgium,BEL,1998,228.57022
Belgium,BEL,1999,257.24277
Belgium,BEL,2000,313.7752
Belgium,BEL,2001,321.07175
Belgium,BEL,2002,339.79138
Belgium,BEL,2003,356.37997
Belgium,BEL,2004,443.36295
Belgium,BEL,2005,623.0997
Belgium,BEL,2006,866.60583
Belgium,BEL,2007,1014.2022
Belgium,BEL,2008,1275.9725
Belgium,BEL,2009,1693.5216
Belgium,BEL,2010,2243.2527
Belgium,BEL,2011,2656.233
Belgium,BEL,2012,3196.211
Belgium,BEL,2013,3451.6255
Belgium,BEL,2014,3582.6326
Belgium,BEL,2015,3973.33
Belgium,BEL,2016,4064.5344
Belgium,BEL,2017,4441.297
Belgium,BEL,2018,4702.7935
Belgium,BEL,2019,5182.6836
Belgium,BEL,2020,6239.0522
Belgium,BEL,2021,6068.9946
Belgium,BEL,2022,6240.0186
Bulgaria,BGR,1965,717.2736
Bulgaria,BGR,1966,715.3233
Bulgaria,BGR,1967,714.35455
Bulgaria,BGR,1968,457.305
Bulgaria,BGR,1969,638.78253
Bulgaria,BGR,1970,741.404
Bulgaria,BGR,1971,742.13196
Bulgaria,BGR,1972,712.04425
Bulgaria,BGR,1973,868.16345
Bulgaria,BGR,1974,698.07745
Bulgaria,BGR,1975,818.5891
Bulgaria,BGR,1976,981.18164
Bulgaria,BGR,1977,1167.8446
Bulgaria,BGR,1978,960.21674
Bulgaria,BGR,1979,1090.9425
Bulgaria,BGR,1980,1222.5573
Bulgaria,BGR,1981,1191.5675
Bulgaria,BGR,1982,1005.38763
Bulgaria,BGR,1983,1107.0005
Bulgaria,BGR,1984,1078.337
Bulgaria,BGR,1985,741.8106
Bulgaria,BGR,1986,773.4908
Bulgaria,BGR,1987,846.1637
Bulgaria,BGR,1988,868.7753
Bulgaria,BGR,1989,903.77826
Bulgaria,BGR,1990,633.3675
Bulgaria,BGR,1991,827.596
Bulgaria,BGR,1992,703.7247
Bulgaria,BGR,1993,666.8345
Bulgaria,BGR,1994,507.79388
Bulgaria,BGR,1995,807.12537
Bulgaria,BGR,1996,1027.3848
Bulgaria,BGR,1997,978.9136
Bulgaria,BGR,1998,1112.0665
Bulgaria,BGR,1999,997.3405
Bulgaria,BGR,2000,976.08435
Bulgaria,BGR,2001,635.09955
Bulgaria,BGR,2002,803.0195
Bulgaria,BGR,2003,1109.4668
Bulgaria,BGR,2004,1161.0414
Bulgaria,BGR,2005,1590.8624
Bulgaria,BGR,2006,1560.0916
Bulgaria,BGR,2007,1070.0146
Bulgaria,BGR,2008,1087.9677
Bulgaria,BGR,2009,1368.5043
Bulgaria,BGR,2010,2142.2617
Bulgaria,BGR,2011,1468.2059
Bulgaria,BGR,2012,2084.8916
Bulgaria,BGR,2013,2713.2139
Bulgaria,BGR,2014,2899.6929
Bulgaria,BGR,2015,3473.2515
Bulgaria,BGR,2016,2885.0955
Bulgaria,BGR,2017,2564.6946
Bulgaria,BGR,2018,3870.2913
Bulgaria,BGR,2019,3231.7188
Bulgaria,BGR,2020,3229.8647
Bulgaria,BGR,2021,4419.709
Bulgaria,BGR,2022,4317.78
Croatia,HRV,1990,2383.8606
Croatia,HRV,1991,3379.1077
Croatia,HRV,1992,2684.148
Croatia,HRV,1993,2819.9517
Croatia,HRV,1994,3338.588
Croatia,HRV,1995,3501.6348
Croatia,HRV,1996,4891.8867
Croatia,HRV,1997,3674.435
Croatia,HRV,1998,3827.0789
Croatia,HRV,1999,4710.886
Croatia,HRV,2000,4195.8027
Croatia,HRV,2001,4680.634
Croatia,HRV,2002,3809.8923
Croatia,HRV,2003,3548.0378
Croatia,HRV,2004,4950.26
Croatia,HRV,2005,4564.402
Croatia,HRV,2006,4282.276
Croatia,HRV,2007,3050.9443
Croatia,HRV,2008,3746.9097
Croatia,HRV,2009,4791.2603
Croatia,HRV,2010,5910.7954
Croatia,HRV,2011,3366.2532
Croatia,HRV,2012,3416.6035
Croatia,HRV,2013,5965.7344
Croatia,HRV,2014,6381.7905
Croatia,HRV,2015,4850.0215
Croatia,HRV,2016,5356.1245
Croatia,HRV,2017,4584.969
Croatia,HRV,2018,6383.4805
Croatia,HRV,2019,5619.782
Croatia,HRV,2020,5800.2236
Croatia,HRV,2021,7200.4795
Croatia,HRV,2022,6318.343
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Czechia,CZE,1965,680.1592
Czechia,CZE,1966,639.1847
Czechia,CZE,1967,574.7464
Czechia,CZE,1968,444.07068
Czechia,CZE,1969,362.01776
Czechia,CZE,1970,516.28125
Czechia,CZE,1971,363.87952
Czechia,CZE,1972,379.4062
Czechia,CZE,1973,322.86948
Czechia,CZE,1974,539.9897
Czechia,CZE,1975,535.02185
Czechia,CZE,1976,423.8488
Czechia,CZE,1977,573.3549
Czechia,CZE,1978,530.73346
Czechia,CZE,1979,662.0681
Czechia,CZE,1980,690.7279
Czechia,CZE,1981,592.6147
Czechia,CZE,1982,479.72797
Czechia,CZE,1983,475.21252
Czechia,CZE,1984,372.64844
Czechia,CZE,1985,479.6129
Czechia,CZE,1986,538.4339
Czechia,CZE,1987,707.5249
Czechia,CZE,1988,602.3517
Czechia,CZE,1989,471.47693
Czechia,CZE,1990,333.26874
