Entity,Code,Year,0_0_PhosPerHa
Austria,AUT,1961,57.13
Austria,AUT,1962,66.07
Austria,AUT,1963,73.03
Austria,AUT,1964,73.24
Austria,AUT,1965,75.85
Austria,AUT,1966,75.52
Austria,AUT,1967,85.86
Austria,AUT,1968,69.26
Austria,AUT,1969,88.67
Austria,AUT,1970,73.07
Austria,AUT,1971,81.3
Austria,AUT,1972,74.92
Austria,AUT,1973,76.34
Austria,AUT,1974,54.3
Austria,AUT,1975,47.49
Austria,AUT,1976,55.3
Austria,AUT,1977,58.04
Austria,AUT,1978,58.36
Austria,AUT,1979,61.47
Austria,AUT,1980,60.73
Austria,AUT,1981,56.62
Austria,AUT,1982,51.01
Austria,AUT,1983,62.32
Austria,AUT,1984,62.42
Austria,AUT,1985,59.34
Austria,AUT,1986,47.72
Austria,AUT,1987,45.87
Austria,AUT,1988,47.78
Austria,AUT,1989,41.81
Austria,AUT,1990,48.9
Austria,AUT,1991,46.19
Austria,AUT,1992,43.16
Austria,AUT,1993,42.72
Austria,AUT,1994,37.36
Austria,AUT,1995,34.85
Austria,AUT,1996,35.18
Austria,AUT,1997,40.55
Austria,AUT,1998,38.8
Austria,AUT,1999,36.32
Austria,AUT,2000,33.03
Austria,AUT,2001,32.37
Austria,AUT,2002,32.38
Austria,AUT,2003,31.15
Austria,AUT,2004,27.23
Austria,AUT,2005,25.11
Austria,AUT,2006,24.2
Austria,AUT,2007,26.26
Austria,AUT,2008,31.15
Austria,AUT,2009,12.23
Austria,AUT,2010,15.48
Austria,AUT,2011,20.54
Austria,AUT,2012,18.44
Austria,AUT,2013,20.9
Austria,AUT,2014,23.1
Austria,AUT,2015,22.42
Austria,AUT,2016,22
Austria,AUT,2017,22.66
Austria,AUT,2018,20.42
Austria,AUT,2019,19.03
Austria,AUT,2020,19.1
Belgium,BEL,2002,50.65
Belgium,BEL,2003,50.46
Belgium,BEL,2004,57.98
Belgium,BEL,2005,57.67
Belgium,BEL,2006,54.8
Belgium,BEL,2007,52.69
Belgium,BEL,2008,18.39
