Entity,Code,Year,2_1_Population_density
Austria,AUT,-10000,0.017753271
Austria,AUT,-9000,0.019692196
Austria,AUT,-8000,0.02183713
Austria,AUT,-7000,0.024236549
Austria,AUT,-6000,0.036342707
Austria,AUT,-5000,0.048473097
Austria,AUT,-4000,0.121170625
Austria,AUT,-3000,0.2423655
Austria,AUT,-2000,0.72709644
Austria,AUT,-1000,1.2118154
Austria,AUT,0,6.0591373
Austria,AUT,100,6.6650386
Austria,AUT,200,7.2709527
Austria,AUT,300,6.6650386
Austria,AUT,400,6.0591373
Austria,AUT,500,5.4532113
Austria,AUT,600,4.8472977
Austria,AUT,700,5.4532113
Austria,AUT,800,6.0591373
Austria,AUT,900,7.2709527
Austria,AUT,1000,8.482792
Austria,AUT,1100,10.906435
Austria,AUT,1200,15.147831
Austria,AUT,1300,24.23655
Austria,AUT,1400,15.147831
Austria,AUT,1500,24.23655
Austria,AUT,1600,25.44839
Austria,AUT,1700,25.69073
Austria,AUT,1710,27.055368
Austria,AUT,1720,28.420069
Austria,AUT,1730,29.784706
Austria,AUT,1740,31.149357
Austria,AUT,1750,32.513973
Austria,AUT,1760,33.734123
Austria,AUT,1770,34.857815
Austria,AUT,1780,35.981594
Austria,AUT,1790,36.90984
Austria,AUT,1800,36.354824
Austria,AUT,1801,36.5663
Austria,AUT,1802,36.77901
Austria,AUT,1803,36.992947
Austria,AUT,1804,37.208145
Austria,AUT,1805,37.424587
Austria,AUT,1806,37.64228
Austria,AUT,1807,37.861244
Austria,AUT,1808,38.081497
Austria,AUT,1809,38.303017
Austria,AUT,1810,38.527122
Austria,AUT,1811,38.751236
Austria,AUT,1812,38.976646
Austria,AUT,1813,39.20338
Austria,AUT,1814,39.431423
Austria,AUT,1815,39.660797
Austria,AUT,1816,39.891506
Austria,AUT,1817,40.123558
Austria,AUT,1818,40.356956
Austria,AUT,1819,40.584282
Austria,AUT,1820,40.805454
Austria,AUT,1821,41.02041
Austria,AUT,1822,41.229073
Austria,AUT,1823,41.431362
Austria,AUT,1824,41.634647
Austria,AUT,1825,41.838936
Austria,AUT,1826,42.04422
Austria,AUT,1827,42.250507
Austria,AUT,1828,42.457817
Austria,AUT,1829,42.666264
Austria,AUT,1830,42.875847
Austria,AUT,1831,43.086586
Austria,AUT,1832,43.298485
Austria,AUT,1833,43.511536
Austria,AUT,1834,43.725643
Austria,AUT,1835,43.940804
Austria,AUT,1836,44.15703
Austria,AUT,1837,44.37431
Austria,AUT,1838,44.592655
Austria,AUT,1839,44.82294
Austria,AUT,1840,45.06527
Austria,AUT,1841,45.319763
Austria,AUT,1842,45.586575
Austria,AUT,1843,45.865814
Austria,AUT,1844,46.146763
Austria,AUT,1845,46.429436
Austria,AUT,1846,46.71384
Austria,AUT,1847,46.999977
Austria,AUT,1848,47.28787
Austria,AUT,1849,47.585823
Austria,AUT,1850,47.89394
Austria,AUT,1851,48.213245
Austria,AUT,1852,48.542973
Austria,AUT,1853,48.88325
Austria,AUT,1854,49.22592
Austria,AUT,1855,49.570988
Austria,AUT,1856,49.91847
Austria,AUT,1857,50.268394
Austria,AUT,1858,50.62077
Austria,AUT,1859,50.970917
Austria,AUT,1860,51.318806
Austria,AUT,1861,51.66437
Austria,AUT,1862,52.007587
Austria,AUT,1863,52.34839
Austria,AUT,1864,52.69142
Austria,AUT,1865,53.036694
Austria,AUT,1866,53.384235
Austria,AUT,1867,53.73405
Austria,AUT,1868,54.086174
Austria,AUT,1869,54.467014
Austria,AUT,1870,54.87701
Austria,AUT,1871,55.3166
Austria,AUT,1872,55.78621
Austria,AUT,1873,56.28628
Austria,AUT,1874,56.79084
Austria,AUT,1875,57.299927
Austria,AUT,1876,57.813572
Austria,AUT,1877,58.33182
Austria,AUT,1878,58.854713
Austria,AUT,1879,59.380684
Austria,AUT,1880,59.909733
Austria,AUT,1881,60.44188
Austria,AUT,1882,60.977146
Austria,AUT,1883,61.515522
Austria,AUT,1884,62.058666
Austria,AUT,1885,62.606606
Austria,AUT,1886,63.159378
Austria,AUT,1887,63.717026
Austria,AUT,1888,64.2796
Austria,AUT,1889,64.86596
Austria,AUT,1890,65.4765
Austria,AUT,1891,66.11162
Austria,AUT,1892,66.77175
Austria,AUT,1893,67.45732
Austria,AUT,1894,68.14992
Austria,AUT,1895,68.84961
Austria,AUT,1896,69.55651
Austria,AUT,1897,70.27065
Austria,AUT,1898,70.992134
Austria,AUT,1899,71.720985
Austria,AUT,1900,72.4573
Austria,AUT,1901,73.201126
Austria,AUT,1902,73.95256
Austria,AUT,1903,74.71167
Austria,AUT,1904,75.47858
Austria,AUT,1905,76.25336
Austria,AUT,1906,77.03609
Austria,AUT,1907,77.82685
Austria,AUT,1908,78.625725
Austria,AUT,1909,79.229385
Austria,AUT,1910,79.63629
Austria,AUT,1911,79.844925
Austria,AUT,1912,79.85373
Austria,AUT,1913,79.66114
Austria,AUT,1914,79.469
Austria,AUT,1915,79.277336
Austria,AUT,1916,79.086136
Austria,AUT,1917,78.89539
Austria,AUT,1918,78.70364
Austria,AUT,1919,78.60514
Austria,AUT,1920,78.59996
Austria,AUT,1921,78.68823
Austria,AUT,1922,78.87003
Austria,AUT,1923,79.145454
Austria,AUT,1924,79.42186
Austria,AUT,1925,79.69921
Austria,AUT,1926,79.97755
Austria,AUT,1927,80.25684
Austria,AUT,1928,80.53712
Austria,AUT,1929,80.76682
Austria,AUT,1930,80.945755
Austria,AUT,1931,81.07373
Austria,AUT,1932,81.150536
Austria,AUT,1933,81.175995
Austria,AUT,1934,81.20147
Austria,AUT,1935,81.22694
Austria,AUT,1936,81.252426
Austria,AUT,1937,81.27791
Austria,AUT,1938,81.30342
Austria,AUT,1939,81.378815
