Entity,Code,Year,4_1_PopGrowthRate
Austria,AUT,1950,-0.04
Austria,AUT,1951,-0.13
Austria,AUT,1952,0.04
Austria,AUT,1953,0.1
Austria,AUT,1954,0.12
Austria,AUT,1955,0.07
Austria,AUT,1956,0.09
Austria,AUT,1957,0.3
Austria,AUT,1958,0.32
Austria,AUT,1959,0.45
Austria,AUT,1960,0.49
Austria,AUT,1961,0.61
Austria,AUT,1962,0.61
Austria,AUT,1963,0.67
Austria,AUT,1964,0.66
Austria,AUT,1965,0.63
Austria,AUT,1966,0.76
Austria,AUT,1967,0.72
Austria,AUT,1968,0.31
Austria,AUT,1969,0.38
Austria,AUT,1970,0.32
Austria,AUT,1971,0.57
Austria,AUT,1972,0.59
Austria,AUT,1973,0.52
Austria,AUT,1974,-0.18
Austria,AUT,1975,-0.35
Austria,AUT,1976,0
Austria,AUT,1977,0.08
Austria,AUT,1978,-0.24
Austria,AUT,1979,-0.1
Austria,AUT,1980,0.1
Austria,AUT,1981,0.39
Austria,AUT,1982,-0.26
Austria,AUT,1983,-0.06
Austria,AUT,1984,0.05
Austria,AUT,1985,0.05
Austria,AUT,1986,0.09
Austria,AUT,1987,0.05
Austria,AUT,1988,0.25
Austria,AUT,1989,0.68
Austria,AUT,1990,0.87
Austria,AUT,1991,1.12
Austria,AUT,1992,1.06
Austria,AUT,1993,0.58
Austria,AUT,1994,0.18
Austria,AUT,1995,0.12
Austria,AUT,1996,0.15
Austria,AUT,1997,0.08
Austria,AUT,1998,0.14
Austria,AUT,1999,0.25
Austria,AUT,2000,0.23
Austria,AUT,2001,0.5
Austria,AUT,2002,0.48
Austria,AUT,2003,0.54
Austria,AUT,2004,0.72
Austria,AUT,2005,0.64
Austria,AUT,2006,0.35
Austria,AUT,2007,0.3
Austria,AUT,2008,0.33
Austria,AUT,2009,0.19
Austria,AUT,2010,0.28
Austria,AUT,2011,0.39
Austria,AUT,2012,0.52
Austria,AUT,2013,0.66
Austria,AUT,2014,0.9
Austria,AUT,2015,1.34
Austria,AUT,2016,0.83
Austria,AUT,2017,0.56
Austria,AUT,2018,0.41
Austria,AUT,2019,0.48
Austria,AUT,2020,0.15
Austria,AUT,2021,0.17
Austria,AUT,2022,
Austria,AUT,2023,
Austria,AUT,2024,
Austria,AUT,2025,
Austria,AUT,2026,
Austria,AUT,2027,
Austria,AUT,2028,
Austria,AUT,2029,
Austria,AUT,2030,
Austria,AUT,2031,
Austria,AUT,2032,
Austria,AUT,2033,
Austria,AUT,2034,
Austria,AUT,2035,
Austria,AUT,2036,
Austria,AUT,2037,
Austria,AUT,2038,
Austria,AUT,2039,
Austria,AUT,2040,
Austria,AUT,2041,
Austria,AUT,2042,
Austria,AUT,2043,
Austria,AUT,2044,
Austria,AUT,2045,
Austria,AUT,2046,
Austria,AUT,2047,
Austria,AUT,2048,
Austria,AUT,2049,
Austria,AUT,2050,
Austria,AUT,2051,
Austria,AUT,2052,
Austria,AUT,2053,
Austria,AUT,2054,
Austria,AUT,2055,
Austria,AUT,2056,
Austria,AUT,2057,
Austria,AUT,2058,
Austria,AUT,2059,
Austria,AUT,2060,
Austria,AUT,2061,
Austria,AUT,2062,
Austria,AUT,2063,
Austria,AUT,2064,
Austria,AUT,2065,
Austria,AUT,2066,
Austria,AUT,2067,
Austria,AUT,2068,
Austria,AUT,2069,
Austria,AUT,2070,
Austria,AUT,2071,
Austria,AUT,2072,
Austria,AUT,2073,
Austria,AUT,2074,
Austria,AUT,2075,
Austria,AUT,2076,
Austria,AUT,2077,
Austria,AUT,2078,
Austria,AUT,2079,
Austria,AUT,2080,
Austria,AUT,2081,
Austria,AUT,2082,
Austria,AUT,2083,
Austria,AUT,2084,
Austria,AUT,2085,
Austria,AUT,2086,
Austria,AUT,2087,
Austria,AUT,2088,
Austria,AUT,2089,
Austria,AUT,2090,
Austria,AUT,2091,
Austria,AUT,2092,
Austria,AUT,2093,
Austria,AUT,2094,
Austria,AUT,2095,
Austria,AUT,2096,
Austria,AUT,2097,
Austria,AUT,2098,
Austria,AUT,2099,
Austria,AUT,2100,
Belgium,BEL,1950,0.47
Belgium,BEL,1951,0.41
Belgium,BEL,1952,0.51
Belgium,BEL,1953,0.52
Belgium,BEL,1954,0.55
Belgium,BEL,1955,0.52
Belgium,BEL,1956,0.54
Belgium,BEL,1957,0.59
Belgium,BEL,1958,0.65
Belgium,BEL,1959,0.72
Belgium,BEL,1960,0.59
Belgium,BEL,1961,0.72
Belgium,BEL,1962,0.63
Belgium,BEL,1963,0.62
Belgium,BEL,1964,0.71
Belgium,BEL,1965,0.6
Belgium,BEL,1966,0.54
Belgium,BEL,1967,0.49
Belgium,BEL,1968,0.37
Belgium,BEL,1969,0.38
Belgium,BEL,1970,0.4
Belgium,BEL,1971,0.37
Belgium,BEL,1972,0.33
Belgium,BEL,1973,0.24
Belgium,BEL,1974,0.19
Belgium,BEL,1975,0.1
Belgium,BEL,1976,0.1
Belgium,BEL,1977,0.16
Belgium,BEL,1978,0.12
Belgium,BEL,1979,0.16
Belgium,BEL,1980,0.14
Belgium,BEL,1981,0.16
Belgium,BEL,1982,0.12
Belgium,BEL,1983,0.06
Belgium,BEL,1984,0.08
Belgium,BEL,1985,0.06
Belgium,BEL,1986,0.09
Belgium,BEL,1987,0.16
Belgium,BEL,1988,0.2
Belgium,BEL,1989,0.19
Belgium,BEL,1990,0.26
Belgium,BEL,1991,0.29
Belgium,BEL,1992,0.3
Belgium,BEL,1993,0.25
Belgium,BEL,1994,0.26
Belgium,BEL,1995,0.26
Belgium,BEL,1996,0.3
Belgium,BEL,1997,0.33
Belgium,BEL,1998,0.33
Belgium,BEL,1999,0.36
Belgium,BEL,2000,0.42
Belgium,BEL,2001,0.46
Belgium,BEL,2002,0.44
Belgium,BEL,2003,0.46
Belgium,BEL,2004,0.56
Belgium,BEL,2005,0.6
Belgium,BEL,2006,0.66
Belgium,BEL,2007,0.68
Belgium,BEL,2008,0.69
Belgium,BEL,2009,0.7
Belgium,BEL,2010,0.72
Belgium,BEL,2011,0.71
Belgium,BEL,2012,0.66
Belgium,BEL,2013,0.64
Belgium,BEL,2014,0.68
Belgium,BEL,2015,0.6
Belgium,BEL,2016,0.62
Belgium,BEL,2017,0.58
Belgium,BEL,2018,0.55
Belgium,BEL,2019,0.53
Belgium,BEL,2020,0.35
Belgium,BEL,2021,0.5
Belgium,BEL,2022,
Belgium,BEL,2023,
Belgium,BEL,2024,
Belgium,BEL,2025,
Belgium,BEL,2026,
Belgium,BEL,2027,
Belgium,BEL,2028,
Belgium,BEL,2029,
Belgium,BEL,2030,
Belgium,BEL,2031,
Belgium,BEL,2032,
Belgium,BEL,2033,
Belgium,BEL,2034,
Belgium,BEL,2035,
