Entity,Code,Year,2_1_Population
Austria,AUT,1800,3000000
Austria,AUT,1801,3017451
Austria,AUT,1802,3035004
Austria,AUT,1803,3052658
Austria,AUT,1804,3070416
Austria,AUT,1805,3088277
Austria,AUT,1806,3106241
Austria,AUT,1807,3124310
Austria,AUT,1808,3142485
Austria,AUT,1809,3160765
Austria,AUT,1810,3179258
Austria,AUT,1811,3197752
Austria,AUT,1812,3216353
Austria,AUT,1813,3235063
Austria,AUT,1814,3253881
Austria,AUT,1815,3272809
Austria,AUT,1816,3291847
Austria,AUT,1817,3310996
Austria,AUT,1818,3330256
Austria,AUT,1819,3349015
Austria,AUT,1820,3367266
Austria,AUT,1821,3385004
Austria,AUT,1822,3402223
Austria,AUT,1823,3418916
Austria,AUT,1824,3435691
Austria,AUT,1825,3452549
Austria,AUT,1826,3469489
Austria,AUT,1827,3486512
Austria,AUT,1828,3503619
Austria,AUT,1829,3520820
Austria,AUT,1830,3538115
Austria,AUT,1831,3555505
Austria,AUT,1832,3572991
Austria,AUT,1833,3590572
Austria,AUT,1834,3608240
Austria,AUT,1835,3625995
Austria,AUT,1836,3643838
Austria,AUT,1837,3661768
Austria,AUT,1838,3679786
Austria,AUT,1839,3698789
Austria,AUT,1840,3718786
Austria,AUT,1841,3739787
Austria,AUT,1842,3761804
Austria,AUT,1843,3784847
Austria,AUT,1844,3808031
Austria,AUT,1845,3831357
Austria,AUT,1846,3854826
Austria,AUT,1847,3878438
Austria,AUT,1848,3902195
Austria,AUT,1849,3926782
Austria,AUT,1850,3952208
Austria,AUT,1851,3978557
Austria,AUT,1852,4005766
Austria,AUT,1853,4033846
Austria,AUT,1854,4062123
Austria,AUT,1855,4090598
Austria,AUT,1856,4119272
Austria,AUT,1857,4148148
Austria,AUT,1858,4177226
Austria,AUT,1859,4206120
Austria,AUT,1860,4234828
Austria,AUT,1861,4263344
Austria,AUT,1862,4291666
Austria,AUT,1863,4319789
Austria,AUT,1864,4348096
Austria,AUT,1865,4376588
Austria,AUT,1866,4405268
Austria,AUT,1867,4434135
Austria,AUT,1868,4463191
Austria,AUT,1869,4494618
Austria,AUT,1870,4528451
Austria,AUT,1871,4564726
Austria,AUT,1872,4603479
Austria,AUT,1873,4644745
Austria,AUT,1874,4686381
Austria,AUT,1875,4728390
Austria,AUT,1876,4770776
Austria,AUT,1877,4813542
Austria,AUT,1878,4856691
Austria,AUT,1879,4900094
Austria,AUT,1880,4943751
Austria,AUT,1881,4987664
Austria,AUT,1882,5031834
Austria,AUT,1883,5076262
Austria,AUT,1884,5121082
Austria,AUT,1885,5166298
Austria,AUT,1886,5211912
Austria,AUT,1887,5257930
Austria,AUT,1888,5304354
Austria,AUT,1889,5352740
Austria,AUT,1890,5403122
Austria,AUT,1891,5455532
Austria,AUT,1892,5510006
Austria,AUT,1893,5566579
Austria,AUT,1894,5623732
Austria,AUT,1895,5681471
Austria,AUT,1896,5739804
Austria,AUT,1897,5798736
Austria,AUT,1898,5858272
Austria,AUT,1899,5918417
Austria,AUT,1900,5979177
Austria,AUT,1901,6040558
Austria,AUT,1902,6102566
Austria,AUT,1903,6165209
Austria,AUT,1904,6228494
Austria,AUT,1905,6292428
