Entity,Code,Year,0_0_PotashPerHa
Austria,AUT,1961,56.44
Austria,AUT,1962,63.34
Austria,AUT,1963,76.74
Austria,AUT,1964,85.17
Austria,AUT,1965,81.55
Austria,AUT,1967,104.42
Austria,AUT,1968,80.61
Austria,AUT,1969,90.32
Austria,AUT,1970,94.69
Austria,AUT,1971,97.5
Austria,AUT,1972,90.37
Austria,AUT,1973,98.65
Austria,AUT,1974,77.75
Austria,AUT,1975,71.54
Austria,AUT,1976,85.77
Austria,AUT,1977,90.68
Austria,AUT,1978,86.52
Austria,AUT,1979,89.52
Austria,AUT,1980,90.7
Austria,AUT,1981,84.92
Austria,AUT,1982,75.11
Austria,AUT,1983,89.15
Austria,AUT,1984,88.17
Austria,AUT,1985,87.15
Austria,AUT,1986,68.34
Austria,AUT,1987,64.71
Austria,AUT,1988,65.4
Austria,AUT,1989,55.45
Austria,AUT,1990,62.46
Austria,AUT,1991,56.63
Austria,AUT,1992,51.79
Austria,AUT,1993,52.07
Austria,AUT,1994,48.7
Austria,AUT,1995,40.21
Austria,AUT,1996,40.21
Austria,AUT,1997,48.39
Austria,AUT,1998,41.69
Austria,AUT,1999,40.54
Austria,AUT,2000,37.58
Austria,AUT,2001,36.99
Austria,AUT,2002,34.41
Austria,AUT,2003,34.47
Austria,AUT,2004,34.27
Austria,AUT,2005,31.67
Austria,AUT,2006,28.19
Austria,AUT,2007,31.86
Austria,AUT,2008,34.69
Austria,AUT,2009,10.14
Austria,AUT,2010,16.34
Austria,AUT,2011,24.17
Austria,AUT,2012,22.87
Austria,AUT,2013,25.06
Austria,AUT,2014,22.98
Austria,AUT,2015,27.13
Austria,AUT,2016,22.39
Austria,AUT,2017,27.29
Austria,AUT,2018,25.19
Austria,AUT,2019,23.24
Austria,AUT,2020,26.43
Belgium,BEL,2002,90.4
Belgium,BEL,2003,101.75
Belgium,BEL,2004,100.7
Belgium,BEL,2005,99.09
Belgium,BEL,2006,100.95
Belgium,BEL,2007,96.69
Belgium,BEL,2008,42.62
Belgium,BEL,2009,67.63
Belgium,BEL,2010,84.08
Belgium,BEL,2011,83.64
Belgium,BEL,2012,89.32
Belgium,BEL,2013,84.02
Belgium,BEL,2014,66.51
Belgium,BEL,2015,68.44
Belgium,BEL,2016,68.58
Belgium,BEL,2017,70.39
Belgium,BEL,2018,70.23
Belgium,BEL,2019,69.48
Belgium,BEL,2020,68.89
Bulgaria,BGR,1961,1.87
Bulgaria,BGR,1962,1.95
Bulgaria,BGR,1963,2.04
Bulgaria,BGR,1964,1.21
Bulgaria,BGR,1965,2.22
Bulgaria,BGR,1966,3.72
Bulgaria,BGR,1967,5.15
Bulgaria,BGR,1968,9.59
Bulgaria,BGR,1969,5.59
Bulgaria,BGR,1970,5.51
Bulgaria,BGR,1971,10.64
Bulgaria,BGR,1972,13.82
Bulgaria,BGR,1973,10.25
Bulgaria,BGR,1974,4.9
Bulgaria,BGR,1975,11.41
Bulgaria,BGR,1976,12.98
Bulgaria,BGR,1977,11.09
Bulgaria,BGR,1978,7.64
Bulgaria,BGR,1979,13.7
Bulgaria,BGR,1980,21.24
Bulgaria,BGR,1981,28.08
Bulgaria,BGR,1982,27.47
Bulgaria,BGR,1983,27.43
Bulgaria,BGR,1984,25.01
Bulgaria,BGR,1985,25.01
Bulgaria,BGR,1986,29.28
Bulgaria,BGR,1987,22.78
Bulgaria,BGR,1988,27.05
Bulgaria,BGR,1989,22.08
Bulgaria,BGR,1990,19.73
Bulgaria,BGR,1991,7.98
Bulgaria,BGR,1992,4.94
Bulgaria,BGR,1993,0.53
Bulgaria,BGR,1994,0.62
Bulgaria,BGR,1996,6.13
Bulgaria,BGR,1997,6.89
Bulgaria,BGR,1998,6.55
Bulgaria,BGR,1999,1.55
Bulgaria,BGR,2000,0.69
Bulgaria,BGR,2001,0.4
Bulgaria,BGR,2002,2.09
Bulgaria,BGR,2003,0.85
Bulgaria,BGR,2004,1.11
Bulgaria,BGR,2005,1.86
Bulgaria,BGR,2006,2.5
Bulgaria,BGR,2007,1.58
Bulgaria,BGR,2008,2.32
Bulgaria,BGR,2009,1.16
Bulgaria,BGR,2010,3.26
