Entity,Code,Year,Primary energy consumption (TWh)
Austria,AUT,1965,189.49828
Austria,AUT,1966,198.32507
Austria,AUT,1967,200.3635
Austria,AUT,1968,214.24158
Austria,AUT,1969,221.9265
Austria,AUT,1970,254.14923
Austria,AUT,1971,253.08414
Austria,AUT,1972,261.82578
Austria,AUT,1973,281.51013
Austria,AUT,1974,282.96216
Austria,AUT,1975,281.06357
Austria,AUT,1976,290.8937
Austria,AUT,1977,291.5977
Austria,AUT,1978,304.18985
Austria,AUT,1979,322.21716
Austria,AUT,1980,320.8738
Austria,AUT,1981,311.5201
Austria,AUT,1982,301.32162
Austria,AUT,1983,300.49518
Austria,AUT,1984,297.46863
Austria,AUT,1985,315.8056
Austria,AUT,1986,316.4346
Austria,AUT,1987,334.019
Austria,AUT,1988,329.1328
Austria,AUT,1989,330.9741
Austria,AUT,1990,335.16776
Austria,AUT,1991,351.5139
Austria,AUT,1992,345.97116
Austria,AUT,1993,352.1247
Austria,AUT,1994,349.96945
Austria,AUT,1995,367.03076
Austria,AUT,1996,367.50424
Austria,AUT,1997,375.26865
Austria,AUT,1998,381.283
Austria,AUT,1999,389.93362
Austria,AUT,2000,391.4246
Austria,AUT,2001,405.36932
Austria,AUT,2002,406.00696
Austria,AUT,2003,410.25375
Austria,AUT,2004,417.87036
Austria,AUT,2005,425.16626
Austria,AUT,2006,420.73196
Austria,AUT,2007,411.80673
Austria,AUT,2008,419.80075
Austria,AUT,2009,406.77496
Austria,AUT,2010,420.07358
Austria,AUT,2011,393.3536
Austria,AUT,2012,414.12357
Austria,AUT,2013,411.30212
Austria,AUT,2014,394.82852
Austria,AUT,2015,395.28473
Austria,AUT,2016,408.5202
Austria,AUT,2017,417.62857
Austria,AUT,2018,407.82776
Austria,AUT,2019,428.21857
Austria,AUT,2020,400.32065
Austria,AUT,2021,411.86502
Belgium,BEL,1965,412.94122
Belgium,BEL,1966,397.85898
Belgium,BEL,1967,417.65488
Belgium,BEL,1968,465.417
Belgium,BEL,1969,510.77484
Belgium,BEL,1970,539.59106
Belgium,BEL,1971,529.33435
Belgium,BEL,1972,562.7329
Belgium,BEL,1973,570.326
Belgium,BEL,1974,550.7826
Belgium,BEL,1975,518.0192
Belgium,BEL,1976,549.57935
Belgium,BEL,1977,550.6024
Belgium,BEL,1978,574.7143
Belgium,BEL,1979,591.32294
Belgium,BEL,1980,566.1064
Belgium,BEL,1981,538.2972
Belgium,BEL,1982,514.88
Belgium,BEL,1983,498.9693
Belgium,BEL,1984,521.4768
Belgium,BEL,1985,544.3683
Belgium,BEL,1986,561.7239
Belgium,BEL,1987,578.6796
Belgium,BEL,1988,590.204
Belgium,BEL,1989,594.5705
Belgium,BEL,1990,621.35266
Belgium,BEL,1991,642.87976
Belgium,BEL,1992,641.5093
Belgium,BEL,1993,631.1829
Belgium,BEL,1994,663.908
Belgium,BEL,1995,672.1198
Belgium,BEL,1996,713.8815
Belgium,BEL,1997,721.2619
Belgium,BEL,1998,735.3865
Belgium,BEL,1999,730.141
Belgium,BEL,2000,743.34845
Belgium,BEL,2001,736.85876
Belgium,BEL,2002,733.4745
Belgium,BEL,2003,761.69104
Belgium,BEL,2004,764.61993
Belgium,BEL,2005,756.11786
Belgium,BEL,2006,758.2411
Belgium,BEL,2007,763.46906
Belgium,BEL,2008,775.734
Belgium,BEL,2009,725.47314
Belgium,BEL,2010,773.2404
Belgium,BEL,2011,722.62683
Belgium,BEL,2012,692.8526
Belgium,BEL,2013,712.0007
Belgium,BEL,2014,661.85455
Belgium,BEL,2015,670.9188
Belgium,BEL,2016,723.4267
Belgium,BEL,2017,731.55
Belgium,BEL,2018,725.966
Belgium,BEL,2019,749.2948
Belgium,BEL,2020,676.6624
Belgium,BEL,2021,757.257
Bulgaria,BGR,1965,119.92566
Bulgaria,BGR,1966,128.56541
Bulgaria,BGR,1967,149.34062
Bulgaria,BGR,1968,166.93759
Bulgaria,BGR,1969,186.0677
Bulgaria,BGR,1970,209.35846
Bulgaria,BGR,1971,217.997
Bulgaria,BGR,1972,224.31827
Bulgaria,BGR,1973,233.0736
Bulgaria,BGR,1974,240.03056
Bulgaria,BGR,1975,265.31277
Bulgaria,BGR,1976,281.00388
Bulgaria,BGR,1977,296.12656
Bulgaria,BGR,1978,306.62213
Bulgaria,BGR,1979,318.25372
Bulgaria,BGR,1980,335.99197
Bulgaria,BGR,1981,331.03433
Bulgaria,BGR,1982,339.12576
Bulgaria,BGR,1983,341.42764
Bulgaria,BGR,1984,339.44876
Bulgaria,BGR,1985,336.87866
Bulgaria,BGR,1986,343.6344
Bulgaria,BGR,1987,346.29468
Bulgaria,BGR,1988,354.36853
Bulgaria,BGR,1989,351.28802
Bulgaria,BGR,1990,324.4368
Bulgaria,BGR,1991,262.27646
Bulgaria,BGR,1992,246.23763
Bulgaria,BGR,1993,262.17844
Bulgaria,BGR,1994,252.42413
Bulgaria,BGR,1995,271.66025
Bulgaria,BGR,1996,270.57645
