Entity,Code,Year,Biobiversity
Austria,AUT,1993,0.9
Austria,AUT,1994,0.9
Austria,AUT,1995,0.9
Austria,AUT,1996,0.9
Austria,AUT,1997,0.9
Austria,AUT,1998,0.89
Austria,AUT,1999,0.89
Austria,AUT,2000,0.89
Austria,AUT,2001,0.89
Austria,AUT,2002,0.89
Austria,AUT,2003,0.89
Austria,AUT,2004,0.89
Austria,AUT,2005,0.89
Austria,AUT,2006,0.89
Austria,AUT,2007,0.89
Austria,AUT,2008,0.89
Austria,AUT,2009,0.89
Austria,AUT,2010,0.89
Austria,AUT,2011,0.89
Austria,AUT,2012,0.89
Austria,AUT,2013,0.89
Austria,AUT,2014,0.89
Austria,AUT,2015,0.89
Austria,AUT,2016,0.89
Austria,AUT,2017,0.89
Austria,AUT,2018,0.89
Austria,AUT,2019,0.89
Austria,AUT,2020,0.89
Austria,AUT,2021,0.89
Austria,AUT,2022,0.9
Belgium,BEL,1993,0.98
Belgium,BEL,1994,0.98
Belgium,BEL,1995,0.98
Belgium,BEL,1996,0.98
Belgium,BEL,1997,0.98
Belgium,BEL,1998,0.98
Belgium,BEL,1999,0.98
Belgium,BEL,2000,0.98
Belgium,BEL,2001,0.98
Belgium,BEL,2002,0.98
Belgium,BEL,2003,0.98
Belgium,BEL,2004,0.98
Belgium,BEL,2005,0.98
Belgium,BEL,2006,0.98
Belgium,BEL,2007,0.98
Belgium,BEL,2008,0.98
Belgium,BEL,2009,0.98
Belgium,BEL,2010,0.98
Belgium,BEL,2011,0.98
Belgium,BEL,2012,0.98
Belgium,BEL,2013,0.98
Belgium,BEL,2014,0.98
Belgium,BEL,2015,0.98
Belgium,BEL,2016,0.98
Belgium,BEL,2017,0.98
Belgium,BEL,2018,0.98
Belgium,BEL,2019,0.98
Belgium,BEL,2020,0.98
Belgium,BEL,2021,0.98
Belgium,BEL,2022,0.98
Bulgaria,BGR,1993,0.94
Bulgaria,BGR,1994,0.94
Bulgaria,BGR,1995,0.94
Bulgaria,BGR,1996,0.94
Bulgaria,BGR,1997,0.94
Bulgaria,BGR,1998,0.94
Bulgaria,BGR,1999,0.94
Bulgaria,BGR,2000,0.94
Bulgaria,BGR,2001,0.94
Bulgaria,BGR,2002,0.94
Bulgaria,BGR,2003,0.94
Bulgaria,BGR,2004,0.94
Bulgaria,BGR,2005,0.94
Bulgaria,BGR,2006,0.94
Bulgaria,BGR,2007,0.94
Bulgaria,BGR,2008,0.94
Bulgaria,BGR,2009,0.94
Bulgaria,BGR,2010,0.94
Bulgaria,BGR,2011,0.94
Bulgaria,BGR,2012,0.94
Bulgaria,BGR,2013,0.94
Bulgaria,BGR,2014,0.94
Bulgaria,BGR,2015,0.94
Bulgaria,BGR,2016,0.94
Bulgaria,BGR,2017,0.94
Bulgaria,BGR,2018,0.94
Bulgaria,BGR,2019,0.94
Bulgaria,BGR,2020,0.94
Bulgaria,BGR,2021,0.94
Bulgaria,BGR,2022,0.94
Croatia,HRV,1993,0.9
Croatia,HRV,1994,0.9
Croatia,HRV,1995,0.9
Croatia,HRV,1996,0.9
Croatia,HRV,1997,0.9
Croatia,HRV,1998,0.9
Croatia,HRV,1999,0.9
Croatia,HRV,2000,0.9
Croatia,HRV,2001,0.9
Croatia,HRV,2002,0.9
Croatia,HRV,2003,0.9
Croatia,HRV,2004,0.9
Croatia,HRV,2005,0.9
Croatia,HRV,2006,0.9
Croatia,HRV,2007,0.9
Croatia,HRV,2008,0.9
Croatia,HRV,2009,0.9
Croatia,HRV,2010,0.9
Croatia,HRV,2011,0.9
Croatia,HRV,2012,0.9
Croatia,HRV,2013,0.9
Croatia,HRV,2014,0.9
Croatia,HRV,2015,0.9
Croatia,HRV,2016,0.9
Croatia,HRV,2017,0.9
Croatia,HRV,2018,0.9
