Entity,Code,Year,Refugee population by country or territory of asylum
Austria,AUT,1960,39000
Austria,AUT,1961,34000
Austria,AUT,1962,30000
Austria,AUT,1963,27000
Austria,AUT,1964,25000
Austria,AUT,1965,25000
Austria,AUT,1966,24500
Austria,AUT,1967,24000
Austria,AUT,1968,24000
Austria,AUT,1969,25000
Austria,AUT,1970,25300
Austria,AUT,1971,25000
Austria,AUT,1972,25000
Austria,AUT,1973,25000
Austria,AUT,1974,25000
Austria,AUT,1975,20000
Austria,AUT,1976,25000
Austria,AUT,1977,20000
Austria,AUT,1978,20000
Austria,AUT,1979,25000
Austria,AUT,1980,15525
Austria,AUT,1981,17899
Austria,AUT,1982,34963
Austria,AUT,1983,37298
Austria,AUT,1984,39099
Austria,AUT,1985,40534
Austria,AUT,1986,41176
Austria,AUT,1987,41228
Austria,AUT,1988,39830
Austria,AUT,1989,39405
Austria,AUT,1990,34938
Austria,AUT,1991,34508
Austria,AUT,1992,62355
Austria,AUT,1993,57687
Austria,AUT,1994,40703
Austria,AUT,1995,34385
Austria,AUT,1996,89116
Austria,AUT,1997,84394
Austria,AUT,1998,80294
Austria,AUT,1999,82076
Austria,AUT,2000,15493
Austria,AUT,2001,14375
Austria,AUT,2002,14122
Austria,AUT,2003,16097
Austria,AUT,2004,17777
Austria,AUT,2005,21212
Austria,AUT,2006,25475
Austria,AUT,2007,30767
Austria,AUT,2008,37546
Austria,AUT,2009,38895
Austria,AUT,2010,42613
Austria,AUT,2011,47055
Austria,AUT,2012,51707
Austria,AUT,2013,55575
Austria,AUT,2014,60724
Austria,AUT,2015,72198
Austria,AUT,2016,93242
Austria,AUT,2017,115252
Austria,AUT,2018,128779
Austria,AUT,2019,135951
Austria,AUT,2020,141866
Belgium,BEL,1960,55000
Belgium,BEL,1961,53000
Belgium,BEL,1962,51000
Belgium,BEL,1963,50000
Belgium,BEL,1964,47000
Belgium,BEL,1965,47000
Belgium,BEL,1966,40000
Belgium,BEL,1967,34000
Belgium,BEL,1968,33000
Belgium,BEL,1969,30000
Belgium,BEL,1970,31500
Belgium,BEL,1971,29000
Belgium,BEL,1972,29000
Belgium,BEL,1973,20000
Belgium,BEL,1974,11100
Belgium,BEL,1975,16788
Belgium,BEL,1976,17000
Belgium,BEL,1977,17000
Belgium,BEL,1978,17000
Belgium,BEL,1979,32000
Belgium,BEL,1980,33000
Belgium,BEL,1981,35000
Belgium,BEL,1982,21000
Belgium,BEL,1983,35000
Belgium,BEL,1984,36400
Belgium,BEL,1985,36600
Belgium,BEL,1986,35900
Belgium,BEL,1987,22000
Belgium,BEL,1988,23117
Belgium,BEL,1989,25531
Belgium,BEL,1990,25911
Belgium,BEL,1991,24071
Belgium,BEL,1992,24292
Belgium,BEL,1993,24908
Belgium,BEL,1994,19497
Belgium,BEL,1995,31691
Belgium,BEL,1996,36060
Belgium,BEL,1997,36060
Belgium,BEL,1998,15501
Belgium,BEL,1999,16747
Belgium,BEL,2000,18821
Belgium,BEL,2001,12252
Belgium,BEL,2002,12560
Belgium,BEL,2003,12583
Belgium,BEL,2004,13522
Belgium,BEL,2005,15277
Belgium,BEL,2006,16811
Belgium,BEL,2007,17578
Belgium,BEL,2008,17025
Belgium,BEL,2009,15536
Belgium,BEL,2010,17891
Belgium,BEL,2011,22396
