Entity,Code,Year,Refugee population by country or territory of origin
Austria,AUT,1994,60
Austria,AUT,1995,49
Austria,AUT,1996,53
Austria,AUT,1997,54
Austria,AUT,1998,63
Austria,AUT,1999,47
Austria,AUT,2000,33
Austria,AUT,2001,27
Austria,AUT,2002,72
Austria,AUT,2003,68
Austria,AUT,2004,44
Austria,AUT,2005,62
Austria,AUT,2006,30
Austria,AUT,2007,19
Austria,AUT,2008,15
Austria,AUT,2009,15
Austria,AUT,2010,10
Austria,AUT,2011,10
Austria,AUT,2012,15
Austria,AUT,2013,5
Austria,AUT,2014,5
Austria,AUT,2017,10
Austria,AUT,2018,24
Austria,AUT,2019,18
Austria,AUT,2020,33
Belgium,BEL,1995,5
Belgium,BEL,1996,5
Belgium,BEL,1997,9
Belgium,BEL,1998,14
Belgium,BEL,1999,15
Belgium,BEL,2000,20
Belgium,BEL,2001,11
Belgium,BEL,2002,21
Belgium,BEL,2003,40
Belgium,BEL,2004,41
Belgium,BEL,2005,95
Belgium,BEL,2006,63
Belgium,BEL,2007,53
Belgium,BEL,2008,58
Belgium,BEL,2009,66
Belgium,BEL,2010,80
Belgium,BEL,2011,88
Belgium,BEL,2012,91
Belgium,BEL,2013,76
Belgium,BEL,2014,76
Belgium,BEL,2015,66
Belgium,BEL,2016,44
Belgium,BEL,2017,52
Belgium,BEL,2018,50
Belgium,BEL,2019,34
Belgium,BEL,2020,33
Bulgaria,BGR,1969,90
Bulgaria,BGR,1970,320
Bulgaria,BGR,1971,340
Bulgaria,BGR,1972,340
Bulgaria,BGR,1973,340
Bulgaria,BGR,1974,300
Bulgaria,BGR,1975,300
Bulgaria,BGR,1978,290
Bulgaria,BGR,1980,329
Bulgaria,BGR,1981,274
Bulgaria,BGR,1982,257
Bulgaria,BGR,1983,227
Bulgaria,BGR,1984,183
Bulgaria,BGR,1985,190
Bulgaria,BGR,1986,160
Bulgaria,BGR,1987,138
Bulgaria,BGR,1988,898
Bulgaria,BGR,1989,869
Bulgaria,BGR,1990,1922
Bulgaria,BGR,1991,2733
Bulgaria,BGR,1992,2980
Bulgaria,BGR,1993,3157
Bulgaria,BGR,1994,4692
Bulgaria,BGR,1995,4157
Bulgaria,BGR,1996,3246
Bulgaria,BGR,1997,3049
Bulgaria,BGR,1998,3121
Bulgaria,BGR,1999,2652
Bulgaria,BGR,2000,2404
Bulgaria,BGR,2001,2122
Bulgaria,BGR,2002,2843
Bulgaria,BGR,2003,2565
Bulgaria,BGR,2004,2227
Bulgaria,BGR,2005,4250
Bulgaria,BGR,2006,3431
Bulgaria,BGR,2007,3306
Bulgaria,BGR,2008,3036
Bulgaria,BGR,2009,2743
Bulgaria,BGR,2010,2558
Bulgaria,BGR,2011,2322
Bulgaria,BGR,2012,2143
Bulgaria,BGR,2013,1875
Bulgaria,BGR,2014,1644
Bulgaria,BGR,2015,1264
Bulgaria,BGR,2016,799
Bulgaria,BGR,2017,716
Bulgaria,BGR,2018,620
Bulgaria,BGR,2019,566
Bulgaria,BGR,2020,525
Croatia,HRV,1992,168570
Croatia,HRV,1993,151689
Croatia,HRV,1994,76256
Croatia,HRV,1995,245572
Croatia,HRV,1996,310090
Croatia,HRV,1997,349307
Croatia,HRV,1998,338085
Croatia,HRV,1999,353721
Croatia,HRV,2000,335200
Croatia,HRV,2001,290283
Croatia,HRV,2002,274822
Croatia,HRV,2003,230193
Croatia,HRV,2004,215480
Croatia,HRV,2005,119154
Croatia,HRV,2006,93768
Croatia,HRV,2007,100429
Croatia,HRV,2008,97016
Croatia,HRV,2009,76479
Croatia,HRV,2010,65863
Croatia,HRV,2011,62653
Croatia,HRV,2012,62606
Croatia,HRV,2013,49755
Croatia,HRV,2014,40121
Croatia,HRV,2015,33452
Croatia,HRV,2016,26231
Croatia,HRV,2017,24869
Croatia,HRV,2018,24105
Croatia,HRV,2019,23793
Croatia,HRV,2020,23456
Cyprus,CYP,1977,700
Cyprus,CYP,1988,11
Cyprus,CYP,1989,11
Cyprus,CYP,1990,11
Cyprus,CYP,1994,6
Cyprus,CYP,1995,9
Cyprus,CYP,1996,9
Cyprus,CYP,1997,7
Cyprus,CYP,1998,10
Cyprus,CYP,1999,17
Cyprus,CYP,2000,12
Cyprus,CYP,2001,5
Cyprus,CYP,2002,5
Cyprus,CYP,2003,5
Cyprus,CYP,2005,5
Cyprus,CYP,2006,5
Cyprus,CYP,2007,10
Cyprus,CYP,2008,15
Cyprus,CYP,2009,15
Cyprus,CYP,2010,15
Cyprus,CYP,2011,10
Cyprus,CYP,2012,10
Cyprus,CYP,2013,10
Cyprus,CYP,2014,10
Cyprus,CYP,2018,7
Cyprus,CYP,2020,15
Czechia,CZE,1970,70
Czechia,CZE,1971,70
Czechia,CZE,1972,70
