Entity,Code,Year,3_1_Researchers_per_million
Austria,AUT,1998,2327.407470703125
Austria,AUT,2002,2965.6845703125
Austria,AUT,2004,3158.794677734375
Austria,AUT,2005,3449.33447265625
Austria,AUT,2006,3524.138916015625
Austria,AUT,2007,3810.031494140625
Austria,AUT,2008,4136.92578125
Austria,AUT,2009,4140.1044921875
Austria,AUT,2010,4349.71728515625
Austria,AUT,2011,4390.3466796875
Austria,AUT,2012,4669.447265625
Austria,AUT,2013,4724.72021484375
Austria,AUT,2014,4947.875
Austria,AUT,2015,5019.4384765625
Austria,AUT,2016,5224.3544921875
Austria,AUT,2017,5387.92919921875
Austria,AUT,2018,5733.07568359375
Belgium,BEL,1996,2461.70361328125
Belgium,BEL,1997,2568.80419921875
Belgium,BEL,1998,2695.24267578125
Belgium,BEL,1999,2899.180908203125
Belgium,BEL,2000,2970.1943359375
Belgium,BEL,2001,3123.9892578125
Belgium,BEL,2002,2958.844970703125
Belgium,BEL,2003,2967.3701171875
Belgium,BEL,2004,3091.605224609375
Belgium,BEL,2005,3142.72998046875
Belgium,BEL,2006,3284.4306640625
Belgium,BEL,2007,3395.017578125
Belgium,BEL,2008,3411.752685546875
Belgium,BEL,2009,3519.85498046875
Belgium,BEL,2010,3732.831298828125
Belgium,BEL,2011,3875.64404296875
Belgium,BEL,2012,4113.263671875
Belgium,BEL,2013,4155.9111328125
Belgium,BEL,2014,4528.9150390625
Belgium,BEL,2015,4711.04541015625
Belgium,BEL,2016,4780.51708984375
Belgium,BEL,2017,4729.5537109375
Belgium,BEL,2018,5023.26318359375
Bulgaria,BGR,1996,1778.949951171875
Bulgaria,BGR,1997,1458.873779296875
Bulgaria,BGR,1998,1471.1827392578125
Bulgaria,BGR,1999,1311.516357421875
Bulgaria,BGR,2000,1185.1776123046875
Bulgaria,BGR,2001,1162.1920166015625
Bulgaria,BGR,2002,1172.47900390625
Bulgaria,BGR,2003,1228.6796875
Bulgaria,BGR,2004,1268.87890625
Bulgaria,BGR,2005,1307.798828125
Bulgaria,BGR,2006,1354.4730224609375
Bulgaria,BGR,2007,1478.6175537109375
Bulgaria,BGR,2008,1513.0074462890625
Bulgaria,BGR,2009,1601.3887939453125
Bulgaria,BGR,2010,1478.651611328125
Bulgaria,BGR,2011,1613.0322265625
Bulgaria,BGR,2012,1540.7684326171875
Bulgaria,BGR,2013,1683.7930908203125
Bulgaria,BGR,2014,1821.9217529296875
Bulgaria,BGR,2015,1977.2933349609375
Bulgaria,BGR,2016,2237.291015625
Bulgaria,BGR,2017,2125.183837890625
Bulgaria,BGR,2018,2342.869873046875
Croatia,HRV,1998,1054.340576171875
Croatia,HRV,1999,1239.3309326171875
Croatia,HRV,2000,1529.332763671875
Croatia,HRV,2001,1509.9561767578125
Croatia,HRV,2002,1950.043701171875
Croatia,HRV,2003,1335.4158935546875
Croatia,HRV,2004,1628.6934814453125
Croatia,HRV,2005,1308.1142578125
Croatia,HRV,2006,1321.9617919921875
Croatia,HRV,2007,1404.9521484375
Croatia,HRV,2008,1538.60791015625
Croatia,HRV,2009,1596.5396728515625
Croatia,HRV,2010,1641.34228515625
Croatia,HRV,2011,1587.4896240234375
Croatia,HRV,2012,1556.8411865234375
Croatia,HRV,2013,1526.6807861328125
Croatia,HRV,2014,1437.4298095703125
Croatia,HRV,2015,1504.178955078125
Croatia,HRV,2016,1850.4957275390625
Croatia,HRV,2017,1868.3402099609375
Croatia,HRV,2018,1921.13134765625
Cyprus,CYP,1998,345.604248046875
Cyprus,CYP,1999,402.6085510253906
Cyprus,CYP,2000,434.3780822753906
Cyprus,CYP,2001,471.9795837402344
Cyprus,CYP,2002,609.4827270507812
Cyprus,CYP,2003,677.8319702148438
Cyprus,CYP,2004,795.288818359375
Cyprus,CYP,2005,916.650634765625
Cyprus,CYP,2006,986.916748046875
Cyprus,CYP,2007,1029.197509765625
Cyprus,CYP,2008,1011.3811645507812
Cyprus,CYP,2009,1065.7518310546875
Cyprus,CYP,2010,1077.700439453125
Cyprus,CYP,2011,1063.79150390625
Cyprus,CYP,2012,1017.46435546875
Cyprus,CYP,2013,1036.1304931640625
Cyprus,CYP,2014,1064.925048828125
Cyprus,CYP,2015,1009.0543823242188
Cyprus,CYP,2016,1050.53564453125
Cyprus,CYP,2017,1196.4324951171875
Cyprus,CYP,2018,1255.8525390625
Czechia,CZE,1996,1252.4263916015625
Czechia,CZE,1997,1216.8299560546875
Czechia,CZE,1998,1217.252685546875
Czechia,CZE,1999,1313.26025390625
Czechia,CZE,2000,1346.243408203125
Czechia,CZE,2001,1459.15576171875
Czechia,CZE,2002,1460.555908203125
Czechia,CZE,2003,1543.9779052734375
Czechia,CZE,2004,1591.8515625
Czechia,CZE,2005,2356.08056640625
Czechia,CZE,2006,2550.567138671875
Czechia,CZE,2007,2691.54931640625
Czechia,CZE,2008,2857.022216796875
Czechia,CZE,2009,2742.0751953125
Czechia,CZE,2010,2773.9599609375
Czechia,CZE,2011,2903.66162109375
Czechia,CZE,2012,3139.2353515625
Czechia,CZE,2013,3237.23583984375
Czechia,CZE,2014,3402.826171875
Czechia,CZE,2015,3592.07373046875
Czechia,CZE,2016,3516.171630859375
Czechia,CZE,2017,3682.033447265625
Czechia,CZE,2018,3862.6708984375
Denmark,DNK,1996,3177.820068359375
Denmark,DNK,1997,3317.915771484375
Denmark,DNK,1999,3559.903076171875
Denmark,DNK,2001,3630.603759765625
Denmark,DNK,2002,4754.85693359375
Denmark,DNK,2003,4618.9228515625
Denmark,DNK,2004,4843.25390625
Denmark,DNK,2005,5197.447265625
Denmark,DNK,2006,5298.4501953125
Denmark,DNK,2007,5516.35595703125
Denmark,DNK,2008,6493.8955078125
Denmark,DNK,2009,6656.97021484375
Denmark,DNK,2010,6739.18115234375
Denmark,DNK,2011,7017.93896484375
Denmark,DNK,2012,7143.28857421875
Denmark,DNK,2013,7071.1376953125
Denmark,DNK,2014,7310.658203125
Denmark,DNK,2015,7528.26416015625
Denmark,DNK,2016,7846.65771484375
Denmark,DNK,2017,7924.95263671875
Denmark,DNK,2018,8065.88720703125
Estonia,EST,1998,2117.539794921875
Estonia,EST,1999,2138.498046875
Estonia,EST,2000,1905.494384765625
Estonia,EST,2001,1926.37939453125
Estonia,EST,2002,2212.286865234375
Estonia,EST,2003,2197.523681640625
Estonia,EST,2004,2470.729248046875
Estonia,EST,2005,2457.12744140625
Estonia,EST,2006,2603.45068359375
Estonia,EST,2007,2744.93115234375
Estonia,EST,2008,2969.2412109375
Estonia,EST,2009,3228.715576171875
Estonia,EST,2010,3060.578857421875
Estonia,EST,2011,3397.581787109375
Estonia,EST,2012,3462.9248046875
Estonia,EST,2013,3341.010498046875
Estonia,EST,2014,3284.26318359375
Estonia,EST,2015,3183.24365234375
Estonia,EST,2016,3295.07568359375
Estonia,EST,2017,3542.546142578125
Estonia,EST,2018,3755.3291015625
Finland,FIN,2004,7821.861328125
Finland,FIN,2005,7526.63037109375
Finland,FIN,2006,7657.220703125
Finland,FIN,2007,7361.54052734375
Finland,FIN,2008,7684.80810546875
Finland,FIN,2009,7646.3369140625
Finland,FIN,2010,7720.2236328125
Finland,FIN,2011,7421.58203125
Finland,FIN,2012,7473.7060546875
Finland,FIN,2013,7206.5322265625
Finland,FIN,2014,7009.28759765625
Finland,FIN,2015,6844.54736328125
Finland,FIN,2016,6531.4794921875
Finland,FIN,2017,6721.830078125
Finland,FIN,2018,6861.10986328125
France,FRA,1996,2668.876220703125
France,FRA,1997,2657.860595703125
France,FRA,1998,2664.5400390625
France,FRA,1999,2732.7431640625
France,FRA,2000,2915.694580078125
France,FRA,2001,2986.8583984375
France,FRA,2002,3117.2119140625
France,FRA,2003,3199.748291015625
France,FRA,2004,3334.1669921875
France,FRA,2005,3313.258544921875
France,FRA,2006,3423.74853515625
France,FRA,2007,3585.805908203125
France,FRA,2008,3659.884765625
France,FRA,2009,3747.28466796875
France,FRA,2010,3873.012939453125
France,FRA,2011,3942.388916015625
France,FRA,2012,4073.25048828125
France,FRA,2013,4154.8154296875
France,FRA,2014,4233.63818359375
France,FRA,2015,4307.48974609375
France,FRA,2016,4414.69921875
France,FRA,2017,4561.11279296875
France,FRA,2018,4715.3193359375
Germany,DEU,1996,2830.529052734375
Germany,DEU,1997,2896.74658203125
Germany,DEU,1998,2920.198974609375
Germany,DEU,1999,3129.269287109375
Germany,DEU,2000,3167.950927734375
Germany,DEU,2001,3245.82421875
Germany,DEU,2002,3260.092041015625
Germany,DEU,2003,3295.277099609375
Germany,DEU,2004,3309.573486328125
Germany,DEU,2005,3335.034912109375
Germany,DEU,2006,3434.5693359375
Germany,DEU,2007,3578.50341796875
Germany,DEU,2008,3733.2763671875
Germany,DEU,2009,3922.212158203125
Germany,DEU,2010,4058.005859375
Germany,DEU,2011,4188.80810546875
Germany,DEU,2012,4352.32275390625
Germany,DEU,2013,4366.69140625
Germany,DEU,2014,4320.7041015625
Germany,DEU,2015,4743.7861328125
Germany,DEU,2016,4861.7470703125
Germany,DEU,2017,5076.51806640625
Germany,DEU,2018,5211.8740234375
Greece,GRC,1997,1005.3311767578125
Greece,GRC,1999,1337.3017578125
Greece,GRC,2001,1290.7059326171875
Greece,GRC,2003,1393.2989501953125
Greece,GRC,2005,1745.4920654296875
Greece,GRC,2006,1779.7491455078125
Greece,GRC,2007,1889.6873779296875
Greece,GRC,2011,2278.517822265625
Greece,GRC,2012,2300.314453125
Greece,GRC,2013,2721.31103515625
Greece,GRC,2014,2791.87158203125
Greece,GRC,2015,3255.986328125
Greece,GRC,2016,2769.89990234375
Greece,GRC,2017,3311.448486328125
Greece,GRC,2018,3482.716552734375
Hungary,HUN,1996,1007.3116455078125
Hungary,HUN,1997,1082.0218505859375
Hungary,HUN,1998,1141.1920166015625
Hungary,HUN,1999,1227.2894287109375
Hungary,HUN,2000,1409.5191650390625
Hungary,HUN,2001,1438.7672119140625
Hungary,HUN,2002,1471.8779296875
Hungary,HUN,2003,1496.84326171875
Hungary,HUN,2004,1473.531005859375
Hungary,HUN,2005,1574.271240234375
Hungary,HUN,2006,1744.9886474609375
Hungary,HUN,2007,1734.910400390625
Hungary,HUN,2008,1851.9061279296875
Hungary,HUN,2009,2014.5712890625
Hungary,HUN,2010,2149.814208984375
Hungary,HUN,2011,2326.16650390625
Hungary,HUN,2012,2416.4775390625
Hungary,HUN,2013,2546.084716796875
Hungary,HUN,2014,2673.434326171875
Hungary,HUN,2015,2589.097900390625
Hungary,HUN,2016,2645.7568359375
Hungary,HUN,2017,2921.533203125
Hungary,HUN,2018,3237.703125
Ireland,IRL,1996,1773.7515869140625
Ireland,IRL,1997,1930.2275390625
Ireland,IRL,1998,2093.25537109375
Ireland,IRL,1999,2110.96533203125
Ireland,IRL,2000,2251.062255859375
Ireland,IRL,2001,2329.107177734375
Ireland,IRL,2002,2399.182373046875
Ireland,IRL,2003,2522.313720703125
Ireland,IRL,2004,2713.072265625
Ireland,IRL,2005,2797.9658203125
Ireland,IRL,2006,2877.11767578125
Ireland,IRL,2007,2935.434326171875
Ireland,IRL,2008,3284.0625
Ireland,IRL,2009,3156.916259765625
Ireland,IRL,2010,3112.6484375
Ireland,IRL,2011,3325.77880859375
Ireland,IRL,2012,4853.9580078125
Ireland,IRL,2013,5136.47509765625
Ireland,IRL,2014,5304.4794921875
Ireland,IRL,2015,5270.65966796875
Ireland,IRL,2016,5178.203125
Ireland,IRL,2017,5401.03564453125
Ireland,IRL,2018,5243.12646484375
Italy,ITA,1996,1339.537353515625
Italy,ITA,1997,1154.47802734375
Italy,ITA,1998,1151.75927734375
Italy,ITA,1999,1149.011962890625
Italy,ITA,2000,1166.1220703125
Italy,ITA,2001,1172.7794189453125
Italy,ITA,2002,1245.8702392578125
Italy,ITA,2003,1221.7979736328125
Italy,ITA,2004,1242.6929931640625
Italy,ITA,2005,1415.360107421875
Italy,ITA,2006,1510.5166015625
Italy,ITA,2007,1583.0380859375
Italy,ITA,2008,1625.3033447265625
Italy,ITA,2009,1723.0203857421875
Italy,ITA,2010,1743.3443603515625
Italy,ITA,2011,1781.3885498046875
Italy,ITA,2012,1848.6268310546875
Italy,ITA,2013,1930.686767578125
Italy,ITA,2014,1956.360595703125
Italy,ITA,2015,2077.882568359375
Italy,ITA,2016,2204.076171875
Italy,ITA,2017,2313.65478515625
Italy,ITA,2018,2306.766357421875
Latvia,LVA,1996,1145.2974853515625
Latvia,LVA,1997,1063.8701171875
Latvia,LVA,1998,1052.025634765625
Latvia,LVA,1999,1090.4898681640625
Latvia,LVA,2000,1599.72216796875
Latvia,LVA,2001,1482.6007080078125
Latvia,LVA,2002,1479.5093994140625
Latvia,LVA,2003,1389.0767822265625
Latvia,LVA,2004,1458.5849609375
Latvia,LVA,2005,1457.375732421875
Latvia,LVA,2006,1768.48681640625
Latvia,LVA,2007,1891.188232421875
Latvia,LVA,2008,2012.6572265625
Latvia,LVA,2009,1688.2811279296875
Latvia,LVA,2010,1838.7237548828125
Latvia,LVA,2011,1885.2603759765625
Latvia,LVA,2012,1886.8873291015625
Latvia,LVA,2013,1772.6534423828125
Latvia,LVA,2014,1854.3265380859375
Latvia,LVA,2015,1808.6033935546875
Latvia,LVA,2016,1596.542724609375
Latvia,LVA,2017,1784.6370849609375
Latvia,LVA,2018,1792.1044921875
Lithuania,LTU,1996,2090.04150390625
Lithuania,LTU,1997,2178.82568359375
Lithuania,LTU,1998,2372.901611328125
Lithuania,LTU,1999,2419.54150390625
Lithuania,LTU,2000,2220.8330078125
Lithuania,LTU,2001,2324.660888671875
Lithuania,LTU,2002,1836.4107666015625
Lithuania,LTU,2003,1934.766845703125
Lithuania,LTU,2004,2175.603271484375
Lithuania,LTU,2005,2283.60888671875
Lithuania,LTU,2006,2415.740478515625
Lithuania,LTU,2007,2598.05224609375
Lithuania,LTU,2008,2624.76025390625
Lithuania,LTU,2009,2680.546142578125
Lithuania,LTU,2010,2752.722900390625
Lithuania,LTU,2011,2721.01953125
Lithuania,LTU,2012,2634.325927734375
Lithuania,LTU,2013,2843.8642578125
Lithuania,LTU,2014,3054.01611328125
Lithuania,LTU,2015,2785.584716796875
Lithuania,LTU,2016,2950.279296875
Lithuania,LTU,2017,3071.960693359375
Lithuania,LTU,2018,3190.702392578125
Luxembourg,LUX,2000,3773.42041015625
Luxembourg,LUX,2003,4357.04052734375
Luxembourg,LUX,2004,4494.72021484375
Luxembourg,LUX,2005,4864.12353515625
Luxembourg,LUX,2006,4411.8466796875
Luxembourg,LUX,2007,4633.67138671875
