Entity,Code,Year,2_1_Trade_share_GDP
Austria,AUT,1970,54.860389709472656
Austria,AUT,1971,54.380470275878906
Austria,AUT,1972,54.2960205078125
Austria,AUT,1973,54.45682144165039
Austria,AUT,1974,59.56773376464844
Austria,AUT,1975,56.5991325378418
Austria,AUT,1976,59.916282653808594
Austria,AUT,1977,60.27759552001953
Austria,AUT,1978,59.66798782348633
Austria,AUT,1979,63.31721878051758
Austria,AUT,1980,66.82500457763672
Austria,AUT,1981,68.39655303955078
Austria,AUT,1982,64.11711120605469
Austria,AUT,1983,62.47218322753906
Austria,AUT,1984,66.57500457763672
Austria,AUT,1985,70.08316040039062
Austria,AUT,1986,64.01459503173828
Austria,AUT,1987,62.853721618652344
Austria,AUT,1988,66.56255340576172
Austria,AUT,1989,70.53836059570312
Austria,AUT,1990,71.48837280273438
Austria,AUT,1991,70.04840850830078
Austria,AUT,1992,67.63016510009766
Austria,AUT,1993,63.26504898071289
Austria,AUT,1994,65.98709106445312
Austria,AUT,1995,68.25659942626953
Austria,AUT,1996,70.08367156982422
Austria,AUT,1997,74.86769104003906
Austria,AUT,1998,76.9271469116211
Austria,AUT,1999,78.26013946533203
Austria,AUT,2000,85.3604965209961
Austria,AUT,2001,87.53666687011719
Austria,AUT,2002,86.94816589355469
Austria,AUT,2003,86.38738250732422
Austria,AUT,2004,90.79234313964844
Austria,AUT,2005,94.03380584716797
Austria,AUT,2006,98.08831024169922
Austria,AUT,2007,100.7332534790039
Austria,AUT,2008,102.07368469238281
Austria,AUT,2009,87.0622329711914
Austria,AUT,2010,99.0197982788086
Austria,AUT,2011,105.10279083251953
Austria,AUT,2012,105.15217590332031
Austria,AUT,2013,104.06641387939453
Austria,AUT,2014,103.50353240966797
Austria,AUT,2015,102.42731475830078
Austria,AUT,2016,100.9820785522461
Austria,AUT,2017,104.9388427734375
Austria,AUT,2018,107.88167572021484
Austria,AUT,2019,107.47822570800781
Austria,AUT,2020,99.99893951416016
Belgium,BEL,1970,87.72730255126953
Belgium,BEL,1971,85.5840835571289
Belgium,BEL,1972,85.21443939208984
Belgium,BEL,1973,94.14409637451172
Belgium,BEL,1974,105.27108001708984
Belgium,BEL,1975,91.52375030517578
Belgium,BEL,1976,96.81575775146484
Belgium,BEL,1977,95.67752075195312
Belgium,BEL,1978,92.31260681152344
Belgium,BEL,1979,101.57296752929688
Belgium,BEL,1980,103.05545043945312
Belgium,BEL,1981,110.22135162353516
Belgium,BEL,1982,117.92534637451172
Belgium,BEL,1983,120.39556121826172
Belgium,BEL,1984,128.23072814941406
Belgium,BEL,1985,123.87698364257812
Belgium,BEL,1986,112.3270263671875
Belgium,BEL,1987,109.91909790039062
Belgium,BEL,1988,116.42294311523438
Belgium,BEL,1989,124.93693542480469
Belgium,BEL,1990,121.46784973144531
Belgium,BEL,1991,118.59014129638672
Belgium,BEL,1992,115.06929016113281
Belgium,BEL,1993,109.01273345947266
Belgium,BEL,1994,113.2322998046875
Belgium,BEL,1995,116.37857055664062
Belgium,BEL,1996,119.21277618408203
Belgium,BEL,1997,125.6889419555664
Belgium,BEL,1998,124.70912170410156
Belgium,BEL,1999,125.16999053955078
Belgium,BEL,2000,142.23013305664062
Belgium,BEL,2001,139.57684326171875
Belgium,BEL,2002,136.08514404296875
Belgium,BEL,2003,132.71554565429688
Belgium,BEL,2004,136.9184112548828
Belgium,BEL,2005,144.529052734375
Belgium,BEL,2006,149.5675048828125
Belgium,BEL,2007,152.46844482421875
Belgium,BEL,2008,161.0884552001953
Belgium,BEL,2009,135.40603637695312
Belgium,BEL,2010,149.9976806640625
Belgium,BEL,2011,161.4937286376953
Belgium,BEL,2012,160.74603271484375
Belgium,BEL,2013,157.85084533691406
Belgium,BEL,2014,158.78321838378906
Belgium,BEL,2015,154.1925506591797
Belgium,BEL,2016,157.66502380371094
Belgium,BEL,2017,165.32583618164062
Belgium,BEL,2018,166.31317138671875
Belgium,BEL,2019,163.7198486328125
Belgium,BEL,2020,158.62139892578125
Bulgaria,BGR,1980,66.39641571044922
Bulgaria,BGR,1981,70.16104888916016
Bulgaria,BGR,1982,67.49939727783203
Bulgaria,BGR,1983,74.08786010742188
Bulgaria,BGR,1984,78.37731170654297
Bulgaria,BGR,1985,85.99736785888672
Bulgaria,BGR,1986,83.5035629272461
Bulgaria,BGR,1987,83.40765380859375
Bulgaria,BGR,1988,91.46175384521484
Bulgaria,BGR,1989,94.57897186279297
Bulgaria,BGR,1990,69.84706115722656
Bulgaria,BGR,1991,82.68238830566406
Bulgaria,BGR,1992,100.04979705810547
Bulgaria,BGR,1993,84.04148864746094
Bulgaria,BGR,1994,90.72013092041016
Bulgaria,BGR,1995,55.262691497802734
Bulgaria,BGR,1996,85.82067108154297
Bulgaria,BGR,1997,86.46373748779297
Bulgaria,BGR,1998,77.04521179199219
Bulgaria,BGR,1999,90.0749740600586
Bulgaria,BGR,2000,77.7457046508789
Bulgaria,BGR,2001,79.08136749267578
Bulgaria,BGR,2002,75.26960754394531
Bulgaria,BGR,2003,79.01387786865234
Bulgaria,BGR,2004,93.06388854980469
Bulgaria,BGR,2005,99.7142105102539
Bulgaria,BGR,2006,111.0474624633789
Bulgaria,BGR,2007,123.60964965820312
Bulgaria,BGR,2008,124.785888671875
Bulgaria,BGR,2009,92.6926498413086
Bulgaria,BGR,2010,103.41158294677734
Bulgaria,BGR,2011,117.45629119873047
Bulgaria,BGR,2012,123.99356079101562
Bulgaria,BGR,2013,129.732666015625
Bulgaria,BGR,2014,130.28729248046875
Bulgaria,BGR,2015,126.70094299316406
Bulgaria,BGR,2016,122.83382415771484
Bulgaria,BGR,2017,129.6765899658203
Bulgaria,BGR,2018,128.8518829345703
Bulgaria,BGR,2019,124.64042663574219
Bulgaria,BGR,2020,109.17752838134766
Croatia,HRV,1995,62.585227966308594
Croatia,HRV,1996,66.8678970336914
Croatia,HRV,1997,74.70268249511719
Croatia,HRV,1998,64.84380340576172
Croatia,HRV,1999,66.14604949951172
Croatia,HRV,2000,74.44207763671875
Croatia,HRV,2001,79.35916900634766
Croatia,HRV,2002,81.1502914428711
Croatia,HRV,2003,81.53985595703125
Croatia,HRV,2004,81.68726348876953
Croatia,HRV,2005,81.53541564941406
Croatia,HRV,2006,83.66898345947266
Croatia,HRV,2007,83.55199432373047
Croatia,HRV,2008,82.46157836914062
Croatia,HRV,2009,70.39701080322266
Croatia,HRV,2010,73.2802734375
