1989,53,53,53,3,ROU,
1992,33,32,36,3,FRA: ISR: LBN,
1995,34,34,36,3,ISR: MLT,
2015,10981,10919,12182,4,FRA: IRQ: LBY: SYR,
2017,10025,9776,12186,4,AFG: FRA: IRQ: PAK: SYR: YEM ,
2018,866,856,900,4,Australia: Belgium: FRA: IRQ: SYR,
2019,498,497,520,4,IRQ: SYR: GBR,
1989,38,38,39,3,DEU: GBR,
1990,44,44,46,3,DEU: NLD: GBR,
1991,26,26,27,3,GBR,
1998,29,29,29,3,GBR,
1993,76,76,152,3,IRN: IRQ: ITA: PAK,
1996,3868,3868,4254,3,FRA: LKA,
1989,196,196,446,3,ROU,
1992,16757,13749,18852,4,BIH," HRV"""
1992,25,25,25,4,HRV,
1992,4000,3966,4031,4,BIH," HRV"""
1993,410,410,478,4,BIH," HRV"""
1995,858,420,2549,3,BIH," HRV"""
1995,116,115,389,3,BIH," HRV"""
