Entity,Code,Year,3_1_SchoolYears
Austria,AUT,1870,2.13
Austria,AUT,1875,2.24
Austria,AUT,1880,2.36
Austria,AUT,1885,2.43
Austria,AUT,1890,2.64
Austria,AUT,1895,2.9
Austria,AUT,1900,3.21
Austria,AUT,1905,3.57
Austria,AUT,1910,3.94
Austria,AUT,1915,4.32
Austria,AUT,1920,4.72
Austria,AUT,1925,5.11
Austria,AUT,1930,5.54
Austria,AUT,1935,5.95
Austria,AUT,1940,6.29
Austria,AUT,1945,6.54
Austria,AUT,1950,6.42
Austria,AUT,1955,6.18
Austria,AUT,1960,5.94
Austria,AUT,1965,6.93
Austria,AUT,1970,7.63
Austria,AUT,1975,7.98
Austria,AUT,1980,8.2
Austria,AUT,1985,8.41
Austria,AUT,1990,8.64
Austria,AUT,1991,8.7
Austria,AUT,1992,8.7
Austria,AUT,1993,8.8
Austria,AUT,1994,8.8
Austria,AUT,1995,8.9
Austria,AUT,1996,8.9
Austria,AUT,1997,8.9
Austria,AUT,1998,9
Austria,AUT,1999,9
Austria,AUT,2000,9
Austria,AUT,2001,9.2
Austria,AUT,2002,9.4
Austria,AUT,2003,9.6
Austria,AUT,2004,9.8
Austria,AUT,2005,9.9
Austria,AUT,2006,10.1
Austria,AUT,2007,11.6
Austria,AUT,2008,11.5
Austria,AUT,2009,11.7
Austria,AUT,2010,11.8
Austria,AUT,2011,11.8
Austria,AUT,2012,11.8
Austria,AUT,2013,11.9
Austria,AUT,2014,12.1
Austria,AUT,2015,12.1
Austria,AUT,2016,12.1
Austria,AUT,2017,12.1
Belgium,BEL,1870,2.27
Belgium,BEL,1875,2.18
Belgium,BEL,1880,2.39
Belgium,BEL,1885,2.59
Belgium,BEL,1890,2.75
Belgium,BEL,1895,2.72
Belgium,BEL,1900,2.58
Belgium,BEL,1905,2.61
Belgium,BEL,1910,2.9
Belgium,BEL,1915,3.04
Belgium,BEL,1920,3.24
Belgium,BEL,1925,3.51
Belgium,BEL,1930,3.88
Belgium,BEL,1935,4.36
Belgium,BEL,1940,4.91
Belgium,BEL,1945,5.54
Belgium,BEL,1950,6.52
Belgium,BEL,1955,6.86
Belgium,BEL,1960,6.97
Belgium,BEL,1965,7
Belgium,BEL,1970,7.19
Belgium,BEL,1975,7.52
Belgium,BEL,1980,8.05
Belgium,BEL,1985,8.58
Belgium,BEL,1990,9.1
Belgium,BEL,1991,9.5
Belgium,BEL,1992,9.5
Belgium,BEL,1993,9.6
Belgium,BEL,1994,9.7
Belgium,BEL,1995,9.7
Belgium,BEL,1996,9.8
Belgium,BEL,1997,9.8
Belgium,BEL,1998,9.9
Belgium,BEL,1999,10
Belgium,BEL,2000,10
Belgium,BEL,2001,10.2
Belgium,BEL,2002,10.3
Belgium,BEL,2003,10.4
Belgium,BEL,2004,10.5
Belgium,BEL,2005,10.7
Belgium,BEL,2006,11.1
Belgium,BEL,2007,11.1
Belgium,BEL,2008,11
Belgium,BEL,2009,11.1
Belgium,BEL,2010,11.1
Belgium,BEL,2011,11.2
Belgium,BEL,2012,11.2
Belgium,BEL,2013,11.4
Belgium,BEL,2014,11.5
Belgium,BEL,2015,11.7
Belgium,BEL,2016,11.8
Belgium,BEL,2017,11.8
Bulgaria,BGR,1870,0.92
Bulgaria,BGR,1875,0.94
Bulgaria,BGR,1880,0.97
Bulgaria,BGR,1885,0.99
Bulgaria,BGR,1890,1.02
Bulgaria,BGR,1895,1.18
Bulgaria,BGR,1900,1.33
Bulgaria,BGR,1905,1.45
Bulgaria,BGR,1910,1.58
Bulgaria,BGR,1915,1.94
Bulgaria,BGR,1920,2.22
Bulgaria,BGR,1925,2.41
Bulgaria,BGR,1930,2.55
Bulgaria,BGR,1935,2.61
Bulgaria,BGR,1940,2.88
Bulgaria,BGR,1945,3.06
Bulgaria,BGR,1950,3.12
Bulgaria,BGR,1955,3.42
Bulgaria,BGR,1960,4.23
Bulgaria,BGR,1965,4.3
Bulgaria,BGR,1970,5.5
Bulgaria,BGR,1975,6.16
Bulgaria,BGR,1980,7.21
Bulgaria,BGR,1985,8.17
Bulgaria,BGR,1990,8.44
Bulgaria,BGR,1991,8.9
Bulgaria,BGR,1992,9
Bulgaria,BGR,1993,9.1
Bulgaria,BGR,1994,9.2
Bulgaria,BGR,1995,9.3
Bulgaria,BGR,1996,9.3
Bulgaria,BGR,1997,9.4
Bulgaria,BGR,1998,9.4
Bulgaria,BGR,1999,9.5
Bulgaria,BGR,2000,9.5
Bulgaria,BGR,2001,9.9
Bulgaria,BGR,2002,10
Bulgaria,BGR,2003,10.1
Bulgaria,BGR,2004,10.1
Bulgaria,BGR,2005,10.2
Bulgaria,BGR,2006,10.4
Bulgaria,BGR,2007,10.5
Bulgaria,BGR,2008,10.5
Bulgaria,BGR,2009,10.6
Bulgaria,BGR,2010,10.6
Bulgaria,BGR,2011,10.7
Bulgaria,BGR,2012,10.8
Bulgaria,BGR,2013,10.9
Bulgaria,BGR,2014,10.9
Bulgaria,BGR,2015,11.8
Bulgaria,BGR,2016,11.8
Bulgaria,BGR,2017,11.8
Croatia,HRV,1950,5.45
Croatia,HRV,1955,5.84
Croatia,HRV,1960,6.12
Croatia,HRV,1965,6.45
Croatia,HRV,1970,6.74
Croatia,HRV,1975,7.41
Croatia,HRV,1980,7.85
Croatia,HRV,1985,8.32
Croatia,HRV,1990,8.68
Croatia,HRV,1991,6.3
Croatia,HRV,1992,6.5
Croatia,HRV,1993,6.8
Croatia,HRV,1994,7.1
Croatia,HRV,1995,7.3
Croatia,HRV,1996,7.8
Croatia,HRV,1997,8.2
Croatia,HRV,1998,8.6
Croatia,HRV,1999,9
Croatia,HRV,2000,9.4
Croatia,HRV,2001,9.8
Croatia,HRV,2002,9.8
Croatia,HRV,2003,9.8
Croatia,HRV,2004,9.7
Croatia,HRV,2005,9.7
Croatia,HRV,2006,9.9
Croatia,HRV,2007,10.1
Croatia,HRV,2008,10.3
Croatia,HRV,2009,10.6
Croatia,HRV,2010,10.8
Croatia,HRV,2011,11
Croatia,HRV,2012,11
Croatia,HRV,2013,11
Croatia,HRV,2014,11.1
Croatia,HRV,2015,11.2
Croatia,HRV,2016,11.3
Croatia,HRV,2017,11.3
Cyprus,CYP,1870,0.22
Cyprus,CYP,1875,0.26
Cyprus,CYP,1880,0.32
Cyprus,CYP,1885,0.38
Cyprus,CYP,1890,0.46
Cyprus,CYP,1895,0.55
Cyprus,CYP,1900,0.69
Cyprus,CYP,1905,0.81
Cyprus,CYP,1910,0.92
Cyprus,CYP,1915,1.28
Cyprus,CYP,1920,1.57
Cyprus,CYP,1925,1.83
Cyprus,CYP,1930,2.03
