Entity,Code,Year,1_1_Pesticides_kg_ha
Austria,AUT,1990,2.82
Austria,AUT,1991,2.94
Austria,AUT,1992,2.59
Austria,AUT,1993,2.66
Austria,AUT,1994,2.41
Austria,AUT,1995,2.28
Austria,AUT,1996,2.4
Austria,AUT,1997,2.49
Austria,AUT,1998,2.26
Austria,AUT,1999,2.32
Austria,AUT,2000,2.42
Austria,AUT,2001,2.15
Austria,AUT,2002,2.11
Austria,AUT,2003,2.33
Austria,AUT,2004,2.28
Austria,AUT,2005,2.35
Austria,AUT,2006,2.36
Austria,AUT,2007,2.44
Austria,AUT,2008,2.96
Austria,AUT,2009,2.46
Austria,AUT,2010,2.58
Austria,AUT,2011,2.42
Austria,AUT,2012,2.51
Austria,AUT,2013,2.19
Austria,AUT,2014,2.39
Austria,AUT,2015,2.68
Austria,AUT,2016,2.59
Austria,AUT,2017,3.34
Austria,AUT,2018,3.8
Austria,AUT,2019,3.56
Austria,AUT,2020,4.03
Belgium,BEL,2000,10.83
Belgium,BEL,2001,9.85
Belgium,BEL,2002,10.79
Belgium,BEL,2003,10.3
Belgium,BEL,2004,10.67
Belgium,BEL,2005,11.31
Belgium,BEL,2006,9.55
Belgium,BEL,2007,7.81
Belgium,BEL,2008,7.53
Belgium,BEL,2009,6.38
Belgium,BEL,2010,5.43
Belgium,BEL,2011,6.78
Belgium,BEL,2012,7.44
Belgium,BEL,2013,7.04
Belgium,BEL,2014,7.73
Belgium,BEL,2015,8.06
Belgium,BEL,2016,7.98
Belgium,BEL,2017,7.56
Belgium,BEL,2018,7.59
Belgium,BEL,2019,6.96
Belgium,BEL,2020,6.26
Bulgaria,BGR,1990,0.94
Bulgaria,BGR,1991,0.94
Bulgaria,BGR,1992,0.9
Bulgaria,BGR,1993,0.88
Bulgaria,BGR,1994,0.87
Bulgaria,BGR,1995,0.84
Bulgaria,BGR,1996,0.77
Bulgaria,BGR,1997,0.73
Bulgaria,BGR,1998,0.82
Bulgaria,BGR,1999,0.78
Bulgaria,BGR,2000,0.76
Bulgaria,BGR,2001,0.74
Bulgaria,BGR,2002,0.73
Bulgaria,BGR,2003,0.7
Bulgaria,BGR,2004,0.67
Bulgaria,BGR,2005,0.66
Bulgaria,BGR,2006,0.63
Bulgaria,BGR,2007,0.6
Bulgaria,BGR,2008,0.56
Bulgaria,BGR,2009,0.52
Bulgaria,BGR,2010,0.47
Bulgaria,BGR,2011,0.43
Bulgaria,BGR,2012,0.38
Bulgaria,BGR,2013,0.33
Bulgaria,BGR,2014,0.28
Bulgaria,BGR,2015,0.42
Bulgaria,BGR,2016,1.03
Bulgaria,BGR,2017,0.93
Bulgaria,BGR,2018,1.4
Bulgaria,BGR,2019,1.84
Bulgaria,BGR,2020,1.16
Croatia,HRV,1992,1.74
Croatia,HRV,1993,2.27
Croatia,HRV,1994,2.5
Croatia,HRV,1995,2.77
Croatia,HRV,1996,2.83
Croatia,HRV,1997,2.75
Croatia,HRV,1998,2.41
Croatia,HRV,1999,2.36
Croatia,HRV,2000,2.99
Croatia,HRV,2001,2.83
Croatia,HRV,2002,2.7
Croatia,HRV,2003,2.57
Croatia,HRV,2004,2.5
Croatia,HRV,2005,2.31
Croatia,HRV,2006,2.31
Croatia,HRV,2007,2.23
Croatia,HRV,2008,2.59
Croatia,HRV,2009,2.23
Croatia,HRV,2010,1.62
Croatia,HRV,2011,1.72
Croatia,HRV,2012,1.79
Croatia,HRV,2013,1.93
Croatia,HRV,2014,2.37
Croatia,HRV,2015,2.5
Croatia,HRV,2016,1.96
Croatia,HRV,2017,1.77
Croatia,HRV,2018,1.91
Croatia,HRV,2019,1.74
Croatia,HRV,2020,1.7
Cyprus,CYP,1990,13.95
Cyprus,CYP,1991,12.7
Cyprus,CYP,1992,10.9
Cyprus,CYP,1993,13.21
Cyprus,CYP,1994,17.81
Cyprus,CYP,1995,14.39
Cyprus,CYP,1996,17.02
Cyprus,CYP,1997,15.76
Cyprus,CYP,1998,12.1
Cyprus,CYP,1999,8.65
Cyprus,CYP,2000,5.31
Cyprus,CYP,2001,6.22
Cyprus,CYP,2002,7.63
Cyprus,CYP,2003,5.21
Cyprus,CYP,2004,4.63
Cyprus,CYP,2005,4.09
Cyprus,CYP,2006,5.52
Cyprus,CYP,2007,3.68
Cyprus,CYP,2008,4.18
Cyprus,CYP,2009,5.91
Cyprus,CYP,2010,5.62
Cyprus,CYP,2011,11.63
Cyprus,CYP,2012,11.08
Cyprus,CYP,2013,11.61
Cyprus,CYP,2014,11.23
Cyprus,CYP,2015,8.47
Cyprus,CYP,2016,10.57
Cyprus,CYP,2017,9.71
Cyprus,CYP,2018,9.56
Cyprus,CYP,2019,10.28
Cyprus,CYP,2020,9.24
Czechia,CZE,1993,1.04
Czechia,CZE,1994,1.06
Czechia,CZE,1995,1.11
Czechia,CZE,1996,1.09
Czechia,CZE,1997,1.23
Czechia,CZE,1998,1.3
Czechia,CZE,1999,1.27
Czechia,CZE,2000,1.37
Czechia,CZE,2001,1.4
Czechia,CZE,2002,1.77
Czechia,CZE,2003,1.64
Czechia,CZE,2004,1.92
Czechia,CZE,2005,1.96
Czechia,CZE,2006,2.13
Czechia,CZE,2007,2.32
Czechia,CZE,2008,2.06
Czechia,CZE,2009,1.82
Czechia,CZE,2010,1.92
Czechia,CZE,2011,2.07
Czechia,CZE,2012,2.09
Czechia,CZE,2013,2.02
Czechia,CZE,2014,1.85
Czechia,CZE,2015,1.76
Czechia,CZE,2016,1.75
Czechia,CZE,2017,1.74
Czechia,CZE,2018,1.62
Czechia,CZE,2019,1.54
Czechia,CZE,2020,1.39
Denmark,DNK,1990,2.2
Denmark,DNK,1991,1.81
Denmark,DNK,1992,1.79
Denmark,DNK,1993,1.61
Denmark,DNK,1994,1.65
Denmark,DNK,1995,2.17
Denmark,DNK,1996,1.58
Denmark,DNK,1997,1.55
Denmark,DNK,1998,1.53
Denmark,DNK,1999,1.25
Denmark,DNK,2000,1.39
Denmark,DNK,2001,1.44
Denmark,DNK,2002,1.26
Denmark,DNK,2003,1.3
Denmark,DNK,2004,1.27
Denmark,DNK,2005,1.39
Denmark,DNK,2006,1.37
Denmark,DNK,2007,1.44
Denmark,DNK,2008,1.72
Denmark,DNK,2009,1.16
Denmark,DNK,2010,1.61
Denmark,DNK,2011,1.7
Denmark,DNK,2012,2.36
Denmark,DNK,2013,1.69
Denmark,DNK,2014,0.72
Denmark,DNK,2015,1.09
Denmark,DNK,2016,1.07
Denmark,DNK,2017,1.13
Denmark,DNK,2018,1.09
Denmark,DNK,2019,1.1
Denmark,DNK,2020,1.32
Estonia,EST,1992,0.42
Estonia,EST,1993,0.16
Estonia,EST,1994,0.18
Estonia,EST,1995,0.17
Estonia,EST,1996,0.15
Estonia,EST,1997,0.22
Estonia,EST,1998,0.22
Estonia,EST,1999,0.21
Estonia,EST,2000,0.37
Estonia,EST,2001,0.47
Estonia,EST,2002,0.52
Estonia,EST,2003,0.58
Estonia,EST,2004,0.66
Estonia,EST,2005,0.64
Estonia,EST,2006,0.8
Estonia,EST,2007,0.76
Estonia,EST,2008,0.91
Estonia,EST,2009,0.67
Estonia,EST,2010,0.79
Estonia,EST,2011,0.72
Estonia,EST,2012,0.88
Estonia,EST,2013,0.88
Estonia,EST,2014,0.91
Estonia,EST,2015,0.88
Estonia,EST,2016,1.02
Estonia,EST,2017,0.98
Estonia,EST,2018,0.92
Estonia,EST,2019,1.11
Estonia,EST,2020,0.87
Finland,FIN,1990,1.87
Finland,FIN,1991,1.63
Finland,FIN,1992,1.77
Finland,FIN,1993,1.8
Finland,FIN,1994,1.72
Finland,FIN,1995,1.1
Finland,FIN,1996,1.17
Finland,FIN,1997,1.47
Finland,FIN,1998,1.87
Finland,FIN,1999,1.92
Finland,FIN,2000,1.65
Finland,FIN,2001,1.86
Finland,FIN,2002,2.14
Finland,FIN,2003,2.14
Finland,FIN,2004,2.14
Finland,FIN,2005,2.21
Finland,FIN,2006,2.32
Finland,FIN,2007,1.8
Finland,FIN,2008,1.68
Finland,FIN,2009,2.12
Finland,FIN,2010,1.69
Finland,FIN,2011,1.79
Finland,FIN,2012,1.9
Finland,FIN,2013,2.01
Finland,FIN,2014,1.99
Finland,FIN,2015,2.19
Finland,FIN,2016,1.95
Finland,FIN,2017,1.89
Finland,FIN,2018,2.14
Finland,FIN,2019,1.77
Finland,FIN,2020,2.19
France,FRA,1990,5.14
France,FRA,1991,5.43
France,FRA,1992,4.47
France,FRA,1993,4.78
France,FRA,1994,4.64
France,FRA,1995,4.34
France,FRA,1996,5.05
France,FRA,1997,5.65
France,FRA,1998,5.54
France,FRA,1999,5.88
France,FRA,2000,5.02
France,FRA,2001,5.12
France,FRA,2002,4.23
France,FRA,2003,3.83
France,FRA,2004,3.91
France,FRA,2005,4.02
France,FRA,2006,3.68
France,FRA,2007,3.99
France,FRA,2008,4.07
France,FRA,2009,3.3
France,FRA,2010,3.21
France,FRA,2011,3.18
France,FRA,2012,3.31
France,FRA,2013,3.45
France,FRA,2014,3.9
France,FRA,2015,3.44
France,FRA,2016,3.72
France,FRA,2017,3.63
France,FRA,2018,4.45
France,FRA,2019,2.85
France,FRA,2020,3.44
Germany,DEU,1990,2.52
Germany,DEU,1991,2.71
Germany,DEU,1992,2.52
Germany,DEU,1993,2.11
Germany,DEU,1994,2.19
Germany,DEU,1995,2.49
Germany,DEU,1996,2.63
Germany,DEU,1997,2.52
Germany,DEU,1998,2.76
Germany,DEU,1999,2.49
Germany,DEU,2000,2.93
Germany,DEU,2001,2.78
Germany,DEU,2002,2.87
Germany,DEU,2003,2.95
Germany,DEU,2004,2.89
Germany,DEU,2005,3.01
Germany,DEU,2006,3.19
Germany,DEU,2007,3.37
Germany,DEU,2008,3.58
Germany,DEU,2009,3.24
Germany,DEU,2010,3.39
Germany,DEU,2011,3.62
Germany,DEU,2012,3.78
Germany,DEU,2013,3.62
Germany,DEU,2014,3.8
Germany,DEU,2015,3.99
Germany,DEU,2016,3.92
Germany,DEU,2017,4.04
Germany,DEU,2018,3.77
Germany,DEU,2019,3.8
Germany,DEU,2020,4.05
Greece,GRC,1990,1.87
Greece,GRC,1991,1.88
Greece,GRC,1992,2
Greece,GRC,1993,2.25
Greece,GRC,1994,1.62
Greece,GRC,1995,1.71
Greece,GRC,1996,1.87
Greece,GRC,1997,2.37
Greece,GRC,1998,2.76
Greece,GRC,1999,2.49
Greece,GRC,2000,2.76
Greece,GRC,2001,2.78
