Entity,Code,Year,5_0_BattleDeath
2,AFG,1989,5411
3,AFG,1990,1514
4,AFG,1991,3553
5,AFG,1992,4385
6,AFG,1993,4105
7,AFG,1994,9056
8,AFG,1995,5618
9,AFG,1996,3595
10,AFG,1997,6721
11,AFG,1998,12174
12,AFG,1999,5065
13,AFG,2000,5394
14,AFG,2001,5553
15,AFG,2002,1157
16,AFG,2003,944
17,AFG,2004,817
18,AFG,2005,1711
19,AFG,2006,4982
20,AFG,2007,7020
21,AFG,2008,5660
22,AFG,2009,6499
23,AFG,2010,7151
24,AFG,2011,7563
25,AFG,2012,7824
26,AFG,2013,8131
27,AFG,2014,12549
28,AFG,2015,17987
29,AFG,2016,18719
30,AFG,2017,19776
31,AFG,2018,26889
32,AFG,2019,30435
33,AFG,2020,20838
34,AFG,2021,36375
35,AGO,1989,2873
36,AGO,1990,2609
37,AGO,1991,516
38,AGO,1992,2352
39,AGO,1993,12398
40,AGO,1994,4009
41,AGO,1995,238
42,AGO,1996,32
43,AGO,1997,105
44,AGO,1998,1191
45,AGO,1999,2666
46,AGO,2000,1206
47,AGO,2001,2154
48,AGO,2002,579
49,AGO,2003,84
50,AGO,2004,38
51,AGO,2005,15
52,AGO,2006,3
53,AGO,2007,26
54,AGO,2008,4
55,AGO,2009,25
56,AGO,2010,10
57,AGO,2011,1
58,AGO,2013,2
59,AGO,2014,0
60,AGO,2015,1
61,AGO,2016,26
62,AGO,2017,26
63,AGO,2018,24
64,AGO,2019,26
65,AGO,2020,29
66,AGO,2021,13
67,ALB,1999,6
68,ARE,2010,1
69,ARG,1992,0
70,ARG,1994,86
71,ARM,1992,85
72,ARM,1993,37
73,ARM,1994,30
74,ARM,1995,8
75,ARM,2005,1
76,ARM,2006,2
77,ARM,2012,9
78,ARM,2013,1
79,ARM,2015,16
80,ARM,2016,4
81,ARM,2018,1
82,ARM,2019,2
83,ARM,2020,10
84,ARM,2021,10
85,AUS,2018,2
86,AUT,2020,4
87,AZE,1991,35
88,AZE,1992,2856
89,AZE,1993,1194
90,AZE,1994,1489
91,AZE,1995,54
92,AZE,1996,5
93,AZE,1997,29
94,AZE,1998,34
95,AZE,1999,18
96,AZE,2000,13
97,AZE,2001,6
98,AZE,2004,8
99,AZE,2005,24
100,AZE,2006,5
101,AZE,2007,12
102,AZE,2008,30
103,AZE,2009,7
104,AZE,2010,20
105,AZE,2011,21
106,AZE,2012,16
107,AZE,2013,11
108,AZE,2014,46
109,AZE,2015,63
110,AZE,2016,137
111,AZE,2017,36
112,AZE,2018,16
113,AZE,2019,9
114,AZE,2020,7636
115,AZE,2021,30
116,BDI,1990,7
117,BDI,1991,342
118,BDI,1992,61
119,BDI,1993,3429
120,BDI,1994,306
121,BDI,1995,1547
122,BDI,1996,2673
123,BDI,1997,1573
124,BDI,1998,1398
125,BDI,1999,1009
126,BDI,2000,2071
127,BDI,2001,1253
128,BDI,2002,1576
129,BDI,2003,1245
130,BDI,2004,679
131,BDI,2005,378
132,BDI,2006,185
133,BDI,2007,79
134,BDI,2008,220
