Entity,Code,Year,Gini_index
Albania,ALB,1996,0.27010342
Albania,ALB,2002,0.317389798
Albania,ALB,2005,0.305956557
Albania,ALB,2008,0.299846704
Albania,ALB,2012,0.289604846
Albania,ALB,2014,0.345988965
Albania,ALB,2015,0.327537318
Albania,ALB,2016,0.337362987
Albania,ALB,2017,0.330556627
Albania,ALB,2018,0.301482817
Albania,ALB,2019,0.30771739
Algeria,DZA,1988,0.401949092
Algeria,DZA,1995,0.353300543
Algeria,DZA,2011,0.276157309
Angola,AGO,2000,0.519568925
Angola,AGO,2008,0.42715515
Angola,AGO,2018,0.512721112
Argentina - urban,,1980,0.408308605
Argentina - urban,,1986,0.42808887
Argentina - urban,,1987,0.452763661
Argentina - urban,,1991,0.467617391
Argentina - urban,,1992,0.45468093
Argentina - urban,,1993,0.448562859
Argentina - urban,,1994,0.459168036
Argentina - urban,,1995,0.489044033
Argentina - urban,,1996,0.495244294
Argentina - urban,,1997,0.491104752
Argentina - urban,,1998,0.507336438
Argentina - urban,,1999,0.497920414
Argentina - urban,,2000,0.510639577
Argentina - urban,,2001,0.53343106
Argentina - urban,,2002,0.537937583
Argentina - urban,,2003,0.50897157
Argentina - urban,,2004,0.483770346
Argentina - urban,,2005,0.477073551
Argentina - urban,,2006,0.4634608
Argentina - urban,,2007,0.461735563
Argentina - urban,,2008,0.448767903
Argentina - urban,,2009,0.43654197
Argentina - urban,,2010,0.435832183
Argentina - urban,,2011,0.426452806
Argentina - urban,,2012,0.413261979
Argentina - urban,,2013,0.409454422
Argentina - urban,,2014,0.416327899
Argentina - urban,,2016,0.420325289
Argentina - urban,,2017,0.411344884
Argentina - urban,,2018,0.413424984
Argentina - urban,,2019,0.429058504
Argentina - urban,,2020,0.423432911
Armenia,ARM,1996,0.44418623
Armenia,ARM,1999,0.362197243
Armenia,ARM,2001,0.35364359
Armenia,ARM,2002,0.347796743
Armenia,ARM,2003,0.330280869
Armenia,ARM,2004,0.375056325
Armenia,ARM,2005,0.359923534
Armenia,ARM,2006,0.297099848
Armenia,ARM,2007,0.312260583
Armenia,ARM,2008,0.291881417
Armenia,ARM,2009,0.280158774
Armenia,ARM,2010,0.299925823
Armenia,ARM,2011,0.293529458
Armenia,ARM,2012,0.296022614
Armenia,ARM,2013,0.305796632
Armenia,ARM,2014,0.314832907
Armenia,ARM,2015,0.323567718
Armenia,ARM,2016,0.325479484
Armenia,ARM,2017,0.336218374
Armenia,ARM,2018,0.344334977
Armenia,ARM,2019,0.298782071
Armenia,ARM,2020,0.251717426
Australia,AUS,1981,0.31325787
Australia,AUS,1985,0.324976853
Australia,AUS,1989,0.331538347
Australia,AUS,1995,0.325819904
Australia,AUS,2001,0.334647977
Australia,AUS,2003,0.335005161
Australia,AUS,2004,0.330574095
Australia,AUS,2008,0.354285083
Australia,AUS,2010,0.346567276
Australia,AUS,2014,0.343994314
Australia,AUS,2016,0.336858105
Australia,AUS,2018,0.343337622
Austria,AUT,1987,0.230444933
Austria,AUT,1994,0.313223423
Austria,AUT,1995,0.310592689
Austria,AUT,1997,0.302298534
Austria,AUT,2000,0.288371061
Austria,AUT,2003,0.294660779
Austria,AUT,2004,0.297889898
Austria,AUT,2005,0.287154333
Austria,AUT,2006,0.295875829
Austria,AUT,2007,0.305799959
Austria,AUT,2008,0.304373858
Austria,AUT,2009,0.314962324
Austria,AUT,2010,0.302522631
Austria,AUT,2011,0.308016687
Austria,AUT,2012,0.304763178
Austria,AUT,2013,0.307531331
Austria,AUT,2014,0.305356828
Austria,AUT,2015,0.30532775
Austria,AUT,2016,0.30797074
Austria,AUT,2017,0.29737585
Austria,AUT,2018,0.308487901
Austria,AUT,2019,0.302115515
Azerbaijan,AZE,1995,0.346502852
Azerbaijan,AZE,2001,0.364549364
Azerbaijan,AZE,2002,0.252776662
Azerbaijan,AZE,2003,0.268328779
Azerbaijan,AZE,2004,0.266215925
Azerbaijan,AZE,2005,0.265549077
Bangladesh,BGD,1983,0.258764899
Bangladesh,BGD,1988,0.288465469
Bangladesh,BGD,1991,0.275708056
Bangladesh,BGD,1995,0.329429829
Bangladesh,BGD,2000,0.334065309
Bangladesh,BGD,2005,0.332012921
Bangladesh,BGD,2010,0.321303194
Bangladesh,BGD,2016,0.323852725
Belarus,BLR,1993,0.216037193
Belarus,BLR,1995,0.287617308
Belarus,BLR,1998,0.320183498
Belarus,BLR,1999,0.317381486
Belarus,BLR,2000,0.311674836
Belarus,BLR,2001,0.305767237
Belarus,BLR,2002,0.303362442
Belarus,BLR,2003,0.288210118
Belarus,BLR,2004,0.264798851
Belarus,BLR,2005,0.275534107
Belarus,BLR,2006,0.28275443
Belarus,BLR,2007,0.296123799
Belarus,BLR,2008,0.278260446
Belarus,BLR,2009,0.276893063
Belarus,BLR,2010,0.285665998
Belarus,BLR,2011,0.271525517
Belarus,BLR,2012,0.26526199
Belarus,BLR,2013,0.265750525
Belarus,BLR,2014,0.271766668
Belarus,BLR,2015,0.256332263
Belarus,BLR,2016,0.253066162
Belarus,BLR,2017,0.2544457
Belarus,BLR,2018,0.252405254
Belarus,BLR,2019,0.252778477
Belarus,BLR,2020,0.243833552
Belgium,BEL,1985,0.252038515
Belgium,BEL,1988,0.25714683
Belgium,BEL,1992,0.249518773
Belgium,BEL,1995,0.284122689
Belgium,BEL,1997,0.268325629
Belgium,BEL,2000,0.331375589
