Entity,Code,Year,2_1_GDPPC_Growth
abc,AFG,2003,12.3729
abc,AFG,2004,-9.552
abc,AFG,2005,23.2578
abc,AFG,2006,7.7948
abc,AFG,2007,38.9899
abc,AFG,2008,6.26065
abc,AFG,2009,73.8712
abc,AFG,2010,53.2614
abc,AFG,2011,-14.1052
abc,AFG,2012,45.9512
abc,AFG,2013,11.0148
abc,AFG,2014,-3.78528
abc,AFG,2015,-9.17206
abc,AFG,2016,-3.01031
abc,AFG,2017,0.358154
abc,AFG,2018,-6.61206
abc,AFG,2019,8.396
abc,AFG,2020,-25.3978
abc,ALB,1981,63.5049
abc,ALB,1982,14.3571
abc,ALB,1983,-18.4891
abc,ALB,1984,-59.531
abc,ALB,1985,-5.05725
abc,ALB,1986,62.7247
abc,ALB,1987,-49.4364
abc,ALB,1988,-57.0477
abc,ALB,1989,117.115
abc,ALB,1990,-202.35
abc,ALB,1991,-442.805
abc,ALB,1992,-77.0529
abc,ALB,1993,111.142
abc,ALB,1994,107.42
abc,ALB,1995,183.02
abc,ALB,1996,145.531
abc,ALB,1997,-169.254
abc,ALB,1998,139.35
abc,ALB,1999,218.225
abc,ALB,2000,139.009
abc,ALB,2001,182.644
abc,ALB,2002,103.971
abc,ALB,2003,133.146
abc,ALB,2004,141.805
abc,ALB,2005,153.059
abc,ALB,2006,175.859
abc,ALB,2007,193.529
abc,ALB,2008,253.582
abc,ALB,2009,133.692
abc,ALB,2010,144.943
abc,ALB,2011,100.933
abc,ALB,2012,58.2925
abc,ALB,2013,44.3591
abc,ALB,2014,75.0615
abc,ALB,2015,97.0427
abc,ALB,2016,137.569
abc,ALB,2017,159.432
abc,ALB,2018,181.735
abc,ALB,2019,112.976
abc,ALB,2020,-154.619
abc,DZA,1961,-341.34
abc,DZA,1962,-395.872
abc,DZA,1963,444.412
abc,DZA,1964,59.415
abc,DZA,1965,66.2649
abc,DZA,1966,-148.239
abc,DZA,1967,118.394
abc,DZA,1968,150.871
abc,DZA,1969,113.924
abc,DZA,1970,130.432
abc,DZA,1971,-325.911
abc,DZA,1972,489.729
abc,DZA,1973,25.6375
abc,DZA,1974,116.94
abc,DZA,1975,57.354
abc,DZA,1976,146.286
abc,DZA,1977,65.7109
abc,DZA,1978,179.055
abc,DZA,1979,135.355
abc,DZA,1980,-72.2939
