Entity,Code,Year,2_1_GDP_Growth
abc,AFG,2003,638467072
abc,AFG,2004,111251968
abc,AFG,2005,895964160
abc,AFG,2006,475441152
abc,AFG,2007,1292749824
abc,AFG,2008,417723392
abc,AFG,2009,2365875200
abc,AFG,2010,1928339456
abc,AFG,2011,65465344
abc,AFG,2012,1966411776
abc,AFG,2013,973772800
abc,AFG,2014,500232192
abc,AFG,2015,273725440
abc,AFG,2016,432492544
abc,AFG,2017,517931008
abc,AFG,2018,238852096
abc,AFG,2019,794974208
abc,AFG,2020,-496515072
abc,ALB,1981,267208192
abc,ALB,1982,145007104
abc,ALB,1983,55941120
abc,ALB,1984,-64066560
abc,ALB,1985,90006528
abc,ALB,1986,290020352
abc,ALB,1987,-42817024
abc,ALB,1988,-76567552
abc,ALB,1989,522847744
abc,ALB,1990,-559045632
abc,ALB,1991,-1478277632
abc,ALB,1992,-273173504
abc,ALB,1993,337228032
abc,ALB,1994,320900608
abc,ALB,1995,557651200
abc,ALB,1996,431657472
abc,ALB,1997,-565125120
abc,ALB,1998,407037952
abc,ALB,1999,646739456
abc,ALB,2000,393419264
abc,ALB,2001,502344192
abc,ALB,2002,297575936
abc,ALB,2003,379106304
abc,ALB,2004,399054848
abc,ALB,2005,421959168
abc,ALB,2006,475592192
abc,ALB,2007,510542848
abc,ALB,2008,678257664
abc,ALB,2009,326092800
abc,ALB,2010,372463616
abc,ALB,2011,265236480
abc,ALB,2012,151438336
abc,ALB,2013,108588032
abc,ALB,2014,194221056
abc,ALB,2015,247159808
abc,ALB,2016,377472000
abc,ALB,2017,447305728
abc,ALB,2018,490829824
abc,ALB,2019,268455936
abc,ALB,2020,-513051648
abc,DZA,1961,-3265173504
abc,DZA,1962,-4081466368
abc,DZA,1963,5714052096
abc,DZA,1964,1306068992
abc,DZA,1965,1469329408
abc,DZA,1966,-1208057856
abc,DZA,1967,2262450176
abc,DZA,1968,2828208128
abc,DZA,1969,2447710208
abc,DZA,1970,2789269504
abc,DZA,1971,-3882407936
abc,DZA,1972,8331130880
abc,DZA,1973,1476083712
abc,DZA,1974,3011923968
abc,DZA,1975,2179493888
abc,DZA,1976,3805712384
abc,DZA,1977,2586349568
abc,DZA,1978,4770492416
abc,DZA,1979,4227977216
abc,DZA,1980,480440320
abc,DZA,1981,1837453312
abc,DZA,1982,4037513216
abc,DZA,1983,3624673280
abc,DZA,1984,3961896960
abc,DZA,1985,2764275712
abc,DZA,1986,309895168
abc,DZA,1987,-544481280
abc,DZA,1988,-772407296
abc,DZA,1989,3364569088
abc,DZA,1990,638656512
abc,DZA,1991,-965648384
abc,DZA,1992,1431093248
abc,DZA,1993,-1699659776
abc,DZA,1994,-713121792
abc,DZA,1995,2983878656
abc,DZA,1996,3341795328
abc,DZA,1997,933339136
abc,DZA,1998,4374904832
abc,DZA,1999,2885025792
abc,DZA,2000,3535609856
abc,DZA,2001,2897338368
abc,DZA,2002,5570609152
abc,DZA,2003,7563296768
abc,DZA,2004,4842192896
abc,DZA,2005,6929629184
abc,DZA,2006,2114478080
abc,DZA,2007,4300840960
abc,DZA,2008,3139108864
abc,DZA,2009,2142969856
abc,DZA,2010,4898824192
abc,DZA,2011,4088332288
abc,DZA,2012,4932222976
abc,DZA,2013,4199940096
abc,DZA,2014,5859508224
abc,DZA,2015,5922111488
abc,DZA,2016,5311348736
abc,DZA,2017,2226765824
abc,DZA,2018,1908703232
abc,DZA,2019,1754251264
abc,DZA,2020,-9036201984
abc,ASM,2003,7192384
abc,ASM,2004,3082432
abc,ASM,2005,-3082432
abc,ASM,2006,-30824448
abc,ASM,2007,13357248
abc,ASM,2008,-19522112
abc,ASM,2009,-29796928
abc,ASM,2010,2054912
abc,ASM,2011,0
abc,ASM,2012,-29796928
abc,ASM,2013,-16439680
abc,ASM,2014,11302272
abc,ASM,2015,20549632
