year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,
1991,100,100,100,3,ETH,
1991,59,3,138,3,MLI,
2013,135,125,180,4,COD,
2014,29,26,29,4,COD,
2020,48,48,48,4,COD,
2021,146,146,147,4,COD,
2016,160,160,160,3,TUR,
2015,42,40,117,3,KEN: SOM,
2016,49,49,83,3,KEN: SOM,
2017,85,83,110,3,KEN,
2018,69,59,147,3,KEN,
2019,61,60,94,4,KEN,
2020,94,94,142,4,KEN,
2021,78,78,184,4,KEN: SOM,
2011,50,48,50,3,CIV,
2014,626,626,671,3,YEM,
2015,35,35,35,3,YEM,
2013,29,29,30,3,TUN,
2014,50,50,60,3,TUN,
2015,27,27,29,3,TUN,
2011,713,712,977,3,LBY,
2014,159,159,169,3,PAK,
2005,32,32,37,3,BGD,
1991,150,150,150,3,MMR,
1995,33,33,33,3,MMR,
2000,43,43,43,3,IND: MMR,
2001,62,62,62,3,MMR,
2005,38,23,38,3,MMR,
2006,92,92,97,3,MMR,
2007,215,215,215,3,MMR,
2001,1397,1388,2075,2,AFG,
2012,35,35,58,3,PHL,
2013,62,62,127,3,PHL,
2014,138,134,145,3,PHL,
2015,178,178,304,3,PHL,
2016,71,57,74,3,PHL,
2004,26,26,26,3,IND,
2009,335,331,404,3,PAK,
2010,72,72,72,3,PAK,
2012,334,334,335,3,PAK,
2013,99,99,99,3,PAK,
2014,136,134,146,3,PAK,
2011,41,41,41,3,COD ,
2012,43,42,48,3,COD ,
2014,57,37,77,4,COD ,
2017,242,242,251,4,COD ,
2018,302,302,305,4,COD ,
2019,73,73,75,4,COD ,
2020,85,78,102,4,COD ,
2021,95,89,103,4,COD ,
2018,27,14,87,3,MMR ,
2019,480,365,1013,3,MMR ,
2020,161,161,199,3,BGD: MMR ,
2012,30,30,30,3,PAK,
2016,35,35,35,3,PAK,
2018,121,105,172,3,SOM,
2020,56,56,62,4,COD ,
2013,76,76,130,3,SSD,
2000,25,22,25,3,IND,
2012,27,23,27,3,IND,
2014,26,23,32,3,IND,
2011,141,140,143,3,MMR ,
2013,51,51,51,3,MMR ,
2015,77,77,308,3,MMR ,
2011,1203,1121,1451,3,SYR,
2012,50440,48722,55486,3,SYR: TUR,
2013,70506,67105,75007,3,IRQ: LBN: SYR,
2014,57945,56580,60210,3,LBN: SYR,
2015,39688,38113,41135,4,JOR: SYR,
2016,32590,31439,33726,4,SYR,
2017,12203,11630,12910,4,LBN: SYR,
2018,8690,8247,9167,4,SYR,
2019,6865,6718,7182,4,SYR,
2020,3513,3435,3718,4,RUS : SYR,
2021,674,662,783,4,SYR,
2011,190,190,570,4,ETH: SDN,
2015,42,42,43,3,SSD: SDN,
2016,486,486,882,3,SDN,
2011,320,296,571,3,SDN,
