year bd_best bd_low bd_high type_of_conflict battle_location battle_location
1991 100 100 100 3 ETH Ethiopia
1991 59 3 138 3 MLI Mali
2013 135 125 180 4 COD DR_Congo
2014 29 26 29 4 COD DR_Congo
2020 48 48 48 4 COD DR_Congo
2021 146 146 147 4 COD DR_Congo
2016 160 160 160 3 TUR Turkey
2015 42 40 117 3 KEN: SOM Kenya:_Somalia
2016 49 49 83 3 KEN: SOM Kenya:_Somalia
2017 85 83 110 3 KEN Kenya
2018 69 59 147 3 KEN Kenya
2019 61 60 94 4 KEN Kenya
2020 94 94 142 4 KEN Kenya
2021 78 78 184 4 KEN: SOM Kenya:_Somalia
2011 50 48 50 3 CIV Ivory_Coast
2014 626 626 671 3 YEM Yemen
2015 35 35 35 3 YEM Yemen
2013 29 29 30 3 TUN Tunisia
2014 50 50 60 3 TUN Tunisia
2015 27 27 29 3 TUN Tunisia
2011 713 712 977 3 LBY Libya
2014 159 159 169 3 PAK Pakistan
2005 32 32 37 3 BGD Bangladesh
1991 150 150 150 3 MMR Myanmar
1995 33 33 33 3 MMR Myanmar
2000 43 43 43 3 IND: MMR India:_Myanmar
2001 62 62 62 3 MMR Myanmar
2005 38 23 38 3 MMR Myanmar
2006 92 92 97 3 MMR Myanmar
2007 215 215 215 3 MMR Myanmar
2001 1397 1388 2075 2 AFG Afghanistan
2012 35 35 58 3 PHL Philippines
2013 62 62 127 3 PHL Philippines
2014 138 134 145 3 PHL Philippines
2015 178 178 304 3 PHL Philippines
2016 71 57 74 3 PHL Philippines
2004 26 26 26 3 IND India
2009 335 331 404 3 PAK Pakistan
2010 72 72 72 3 PAK Pakistan
2012 334 334 335 3 PAK Pakistan
2013 99 99 99 3 PAK Pakistan
2014 136 134 146 3 PAK Pakistan
2011 41 41 41 3 COD  DR_Congo_(Zaire)
2012 43 42 48 3 COD  DR_Congo_(Zaire)
2014 57 37 77 4 COD  DR_Congo_(Zaire)
2017 242 242 251 4 COD  DR_Congo_(Zaire)
2018 302 302 305 4 COD  DR_Congo_(Zaire)
2019 73 73 75 4 COD  DR_Congo_(Zaire)
2020 85 78 102 4 COD  DR_Congo_(Zaire)
2021 95 89 103 4 COD  DR_Congo_(Zaire)
2018 27 14 87 3 MMR  Myanmar_(Burma)
2019 480 365 1013 3 MMR  Myanmar_(Burma)
2020 161 161 199 3 BGD: MMR  Bangladesh:_Myanmar_(Burma)
2012 30 30 30 3 PAK Pakistan
2016 35 35 35 3 PAK Pakistan
2018 121 105 172 3 SOM Somalia
2020 56 56 62 4 COD  DR_Congo_(Zaire)
2013 76 76 130 3 SSD South_Sudan
2000 25 22 25 3 IND India
2012 27 23 27 3 IND India
2014 26 23 32 3 IND India
2011 141 140 143 3 MMR  Myanmar_(Burma)
2013 51 51 51 3 MMR  Myanmar_(Burma)
2015 77 77 308 3 MMR  Myanmar_(Burma)
2011 1203 1121 1451 3 SYR Syria
