Entity,Code,Year,5_0_BattleDeath
2,AFG,1989,5411
3,AFG,1990,1514
4,AFG,1991,3553
5,AFG,1992,4385
6,AFG,1993,4105
7,AFG,1994,9056
8,AFG,1995,5618
9,AFG,1996,3595
10,AFG,1997,6721
11,AFG,1998,12174
12,AFG,1999,5065
13,AFG,2000,5394
14,AFG,2001,5553
15,AFG,2002,1157
16,AFG,2003,944
17,AFG,2004,817
18,AFG,2005,1711
19,AFG,2006,4982
20,AFG,2007,7020
21,AFG,2008,5660
22,AFG,2009,6499
23,AFG,2010,7151
24,AFG,2011,7563
25,AFG,2012,7824
26,AFG,2013,8131
27,AFG,2014,12549
28,AFG,2015,17987
29,AFG,2016,18719
30,AFG,2017,19776
31,AFG,2018,26889
32,AFG,2019,30435
33,AFG,2020,20838
34,AFG,2021,36375
68,ARE,2010,1
71,ARM,1992,85
72,ARM,1993,37
73,ARM,1994,30
74,ARM,1995,8
75,ARM,2005,1
76,ARM,2006,2
77,ARM,2012,9
78,ARM,2013,1
79,ARM,2015,16
80,ARM,2016,4
81,ARM,2018,1
82,ARM,2019,2
83,ARM,2020,10
84,ARM,2021,10
87,AZE,1991,35
88,AZE,1992,2856
89,AZE,1993,1194
90,AZE,1994,1489
91,AZE,1995,54
92,AZE,1996,5
93,AZE,1997,29
94,AZE,1998,34
95,AZE,1999,18
96,AZE,2000,13
97,AZE,2001,6
98,AZE,2004,8
99,AZE,2005,24
100,AZE,2006,5
101,AZE,2007,12
102,AZE,2008,30
103,AZE,2009,7
104,AZE,2010,20
105,AZE,2011,21
106,AZE,2012,16
107,AZE,2013,11
108,AZE,2014,46
109,AZE,2015,63
110,AZE,2016,137
111,AZE,2017,36
112,AZE,2018,16
113,AZE,2019,9
114,AZE,2020,7636
115,AZE,2021,30
586,GEO,1991,52
587,GEO,1992,775
588,GEO,1993,1837
589,GEO,1995,52
590,GEO,1997,26
591,GEO,1998,38
592,GEO,2002,0
593,GEO,2004,27
594,GEO,2008,621
595,GEO,2010,3
596,GEO,2011,0
780,ISR,1989,93
781,ISR,1990,43
782,ISR,1991,47
783,ISR,1992,72
784,ISR,1993,88
785,ISR,1994,116
786,ISR,1995,78
787,ISR,1996,132
788,ISR,1997,25
789,ISR,1998,6
790,ISR,1999,2
791,ISR,2000,108
792,ISR,2001,355
793,ISR,2002,888
794,ISR,2003,472
795,ISR,2004,514
796,ISR,2005,211
797,ISR,2006,646
798,ISR,2007,538
799,ISR,2008,735
800,ISR,2009,751
801,ISR,2010,75
802,ISR,2011,102
803,ISR,2012,253
804,ISR,2013,12
805,ISR,2014,2403
806,ISR,2015,16
807,ISR,2016,11
808,ISR,2017,25
809,ISR,2018,76
810,ISR,2019,83
811,ISR,2020,8
812,ISR,2021,280
819,JOR,1992,1
820,JOR,2005,59
821,JOR,2015,1
822,JOR,2016,37
856,KGZ,1999,14
857,KGZ,2000,174
858,KGZ,2006,6
859,KGZ,2010,44
860,KGZ,2015,1
861,KGZ,2021,40
880,KWT,1990,1329
881,KWT,1991,460
882,KWT,1996,1
