Entity,Code,Year,Agricultural water withdrawal
Afghanistan,AFG,1985,25850000000
Afghanistan,AFG,2000,20000000000
Armenia,ARM,1995,1940000000
Armenia,ARM,2000,1140000000
Armenia,ARM,2005,1890000000
Armenia,ARM,2010,2597000000
Armenia,ARM,2015,2949000000
Azerbaijan,AZE,1995,10160000000
Azerbaijan,AZE,2000,7595000000
Azerbaijan,AZE,2005,9330000000
Azerbaijan,AZE,2010,10100000000
Georgia,GEO,2005,1054999999.9999999
Iran,IRN,1995,76000000000
Iran,IRN,2000,83750000000
Iran,IRN,2005,86000000000
Israel,ISR,1970,1249000000
Israel,ISR,1975,1242000000
Israel,ISR,1980,1235000000
Israel,ISR,1990,1216000000
Israel,ISR,2000,1020999999.9999999
Israel,ISR,2005,1129000000
Israel,ISR,2010,1016000000
Jordan,JOR,1975,293000000
Jordan,JOR,1980,377000000
Jordan,JOR,1985,461000000
Jordan,JOR,1990,737000000
Jordan,JOR,2000,517000000
Jordan,JOR,2005,589000000
Jordan,JOR,2010,462000000
Jordan,JOR,2015,575000000
Kazakhstan,KAZ,1995,27410000000
Kazakhstan,KAZ,2000,14800000000
Kazakhstan,KAZ,2005,14030000000
Kazakhstan,KAZ,2010,14000000000
Kuwait,KWT,1995,324000000
Kuwait,KWT,2000,491900000
Kyrgyzstan,KGZ,1995,9496000000
Kyrgyzstan,KGZ,2000,9450000000
Kyrgyzstan,KGZ,2005,7447000000
Kyrgyzstan,KGZ,2010,7100000000
Lebanon,LBN,1975,638000000
Lebanon,LBN,1995,875000000
Lebanon,LBN,2000,920000000
Lebanon,LBN,2005,780000000
Oman,OMN,1990,1148000000
Oman,OMN,2000,1230000000
Oman,OMN,2005,1168000000
Pakistan,PAK,1975,150300000000
Pakistan,PAK,1990,150600000000
Pakistan,PAK,2000,162700000000
Pakistan,PAK,2010,172400000000
Palestine,PSE,2000,167000000
Palestine,PSE,2005,189000000
Qatar,QAT,1995,210600000
Qatar,QAT,2000,210000000
Qatar,QAT,2005,262000000
Saudi Arabia,SAU,1990,15310000000
Saudi Arabia,SAU,2005,20830000000
Syria,SYR,1995,12840000000
Syria,SYR,2000,14410000000
Syria,SYR,2005,14670000000
Turkey,TUR,1990,22900000000
Turkey,TUR,2000,31500000000
Turkey,TUR,2005,29600000000
Turkey,TUR,2010,34000000000
Turkmenistan,TKM,1995,23290000000
Turkmenistan,TKM,2000,24040000000
Turkmenistan,TKM,2005,26360000000
United Arab Emirates,ARE,1980,720000000
United Arab Emirates,ARE,1995,1408000000
United Arab Emirates,ARE,2000,2279000000
United Arab Emirates,ARE,2005,3312000000
Uzbekistan,UZB,1995,54370000000
Uzbekistan,UZB,2000,54780000000
Uzbekistan,UZB,2005,50400000000
Yemen,YEM,1990,2700000000
Yemen,YEM,2000,3060000000
Yemen,YEM,2005,3235000000
