Entity,Code,Year,0_0_ShareOfGlobalCO2
Afghanistan,AFG,1949,0.000279383
Afghanistan,AFG,1950,0.001403768
Afghanistan,AFG,1951,0.001435783
Afghanistan,AFG,1952,0.001416701
Afghanistan,AFG,1953,0.001598372
Afghanistan,AFG,1954,0.001564897
Afghanistan,AFG,1955,0.002067486
Afghanistan,AFG,1956,0.00231189
Afghanistan,AFG,1957,0.003580946
Afghanistan,AFG,1958,0.003917495
Afghanistan,AFG,1959,0.004342383
Afghanistan,AFG,1960,0.004408816
Afghanistan,AFG,1961,0.005211022
Afghanistan,AFG,1962,0.007061735
Afghanistan,AFG,1963,0.006880449
Afghanistan,AFG,1964,0.007743131
Afghanistan,AFG,1965,0.008896915
Afghanistan,AFG,1966,0.009194954
Afghanistan,AFG,1967,0.010469306
Afghanistan,AFG,1968,0.009475651
Afghanistan,AFG,1969,0.006836673
Afghanistan,AFG,1970,0.011211684
Afghanistan,AFG,1971,0.012212147
Afghanistan,AFG,1972,0.009429864
Afghanistan,AFG,1973,0.009571787
Afghanistan,AFG,1974,0.011242278
Afghanistan,AFG,1975,0.012438754
Afghanistan,AFG,1976,0.011009735
Afghanistan,AFG,1977,0.01288545
Afghanistan,AFG,1978,0.0112873
Afghanistan,AFG,1979,0.01138088
Afghanistan,AFG,1980,0.009006094
Afghanistan,AFG,1981,0.010393207
Afghanistan,AFG,1982,0.011091542
Afghanistan,AFG,1983,0.013258352
Afghanistan,AFG,1984,0.014348208
Afghanistan,AFG,1985,0.017226756
Afghanistan,AFG,1986,0.015191693
Afghanistan,AFG,1987,0.014636833
Afghanistan,AFG,1988,0.012922573
Afghanistan,AFG,1989,0.012337374
Afghanistan,AFG,1990,0.008895212
Afghanistan,AFG,1991,0.008235392
Afghanistan,AFG,1992,0.006563563
Afghanistan,AFG,1993,0.006517992
Afghanistan,AFG,1994,0.006329389
Afghanistan,AFG,1995,0.006041794
Afghanistan,AFG,1996,0.005671105
Afghanistan,AFG,1997,0.00536631
Afghanistan,AFG,1998,0.005280181
Afghanistan,AFG,1999,0.004413807
Afghanistan,AFG,2000,0.004113866
Afghanistan,AFG,2001,0.004165093
Afghanistan,AFG,2002,0.005102519
Afghanistan,AFG,2003,0.005640188
Afghanistan,AFG,2004,0.004320495
Afghanistan,AFG,2005,0.006380322
Afghanistan,AFG,2006,0.007058182
Afghanistan,AFG,2007,0.008886686
Afghanistan,AFG,2008,0.013259674
Afghanistan,AFG,2009,0.020250544
Afghanistan,AFG,2010,0.025071083
Afghanistan,AFG,2011,0.03432688
Afghanistan,AFG,2012,0.02866719
Afghanistan,AFG,2013,0.026191164
Afghanistan,AFG,2014,0.02577556
Afghanistan,AFG,2015,0.027535116
Afghanistan,AFG,2016,0.025525136
Afghanistan,AFG,2017,0.027337566
Afghanistan,AFG,2018,0.029375708
Afghanistan,AFG,2019,0.029883645
Afghanistan,AFG,2020,0.033126526
Afghanistan,AFG,2021,0.031985395
Armenia,ARM,1830,4.48817E-05
Armenia,ARM,1831,5.79686E-05
Armenia,ARM,1832,3.75979E-05
Armenia,ARM,1833,4.6079E-05
Armenia,ARM,1850,0.000127478
Armenia,ARM,1855,0.000292506
Armenia,ARM,1858,0.000376182
Armenia,ARM,1859,0.000376355
Armenia,ARM,1860,0.000453059
Armenia,ARM,1861,0.000547257
Armenia,ARM,1862,0.000484951
Armenia,ARM,1863,0.000475839
Armenia,ARM,1864,0.000495222
Armenia,ARM,1865,0.000445748
Armenia,ARM,1866,0.001365339
Armenia,ARM,1867,0.001462491
Armenia,ARM,1868,0.001184711
Armenia,ARM,1869,0.00151344
Armenia,ARM,1870,0.001607213
Armenia,ARM,1871,0.002041004
Armenia,ARM,1872,0.001893764
Armenia,ARM,1873,0.001673231
Armenia,ARM,1874,0.002169191
Armenia,ARM,1875,0.00230172
Armenia,ARM,1876,0.002816997
Armenia,ARM,1877,0.002819202
Armenia,ARM,1878,0.003656695
Armenia,ARM,1879,0.003501146
Armenia,ARM,1880,0.003631701
Armenia,ARM,1881,0.003700795
Armenia,ARM,1882,0.003690975
Armenia,ARM,1883,0.003950426
Armenia,ARM,1884,0.003966276
Armenia,ARM,1885,0.004288128
Armenia,ARM,1886,0.004330187
Armenia,ARM,1887,0.004363841
Armenia,ARM,1888,0.004110891
Armenia,ARM,1889,0.004441351
Armenia,ARM,1890,0.004616552
Armenia,ARM,1891,0.004857037
Armenia,ARM,1892,0.00509916
Armenia,ARM,1893,0.006049264
Armenia,ARM,1894,0.005953638
Armenia,ARM,1895,0.006452082
Armenia,ARM,1896,0.006360756
Armenia,ARM,1897,0.007021973
Armenia,ARM,1898,0.007466539
Armenia,ARM,1899,0.007929228
Armenia,ARM,1900,0.008515684
Armenia,ARM,1901,0.008462847
Armenia,ARM,1902,0.007972349
Armenia,ARM,1903,0.007153559
Armenia,ARM,1904,0.007869376
Armenia,ARM,1905,0.006597377
Armenia,ARM,1906,0.00720616
Armenia,ARM,1907,0.00708349
Armenia,ARM,1908,0.007414194
Armenia,ARM,1909,0.00751771
Armenia,ARM,1910,0.007024247
Armenia,ARM,1911,0.007175238
Armenia,ARM,1912,0.007735251
Armenia,ARM,1913,0.007755033
Armenia,ARM,1914,0.007716533
Armenia,ARM,1915,0.007185636
Armenia,ARM,1916,0.007091029
Armenia,ARM,1917,0.006241079
Armenia,ARM,1918,0.002522475
Armenia,ARM,1919,0.002484877
Armenia,ARM,1920,0.001948957
Armenia,ARM,1921,0.002408897
Armenia,ARM,1922,0.002801525
Armenia,ARM,1923,0.002727868
Armenia,ARM,1924,0.003240553
Armenia,ARM,1925,0.003164453
Armenia,ARM,1926,0.004668083
Armenia,ARM,1927,0.005317654
Armenia,ARM,1928,0.005863803
Armenia,ARM,1929,0.005884634
Armenia,ARM,1930,0.008716201
Armenia,ARM,1931,0.011725418
Armenia,ARM,1932,0.014631162
Armenia,ARM,1933,0.015553677
Armenia,ARM,1934,0.01728115
Armenia,ARM,1935,0.018606959
Armenia,ARM,1936,0.019414468
Armenia,ARM,1937,0.018592736
Armenia,ARM,1938,0.02087859
Armenia,ARM,1939,0.019974792
Armenia,ARM,1940,0.021930898
Armenia,ARM,1941,0.018835424
Armenia,ARM,1942,0.010359991
Armenia,ARM,1943,0.010637375
Armenia,ARM,1944,0.015198031
Armenia,ARM,1945,0.019262332
Armenia,ARM,1946,0.01978096
Armenia,ARM,1947,0.021476524
Armenia,ARM,1948,0.021641264
Armenia,ARM,1949,0.025385385
Armenia,ARM,1950,0.02468442
Armenia,ARM,1951,0.025146304
Armenia,ARM,1952,0.026564995
Armenia,ARM,1953,0.02732626
Armenia,ARM,1954,0.029192504
Armenia,ARM,1955,0.030193072
Armenia,ARM,1956,0.031126492
Armenia,ARM,1957,0.03298497
Armenia,ARM,1958,0.034255948
Armenia,ARM,1959,0.034231905
Armenia,ARM,1960,0.03363031
Armenia,ARM,1961,0.034608312
Armenia,ARM,1962,0.035137516
Armenia,ARM,1963,0.03582039
Armenia,ARM,1964,0.036171526
Armenia,ARM,1965,0.036733896
Armenia,ARM,1966,0.037012067
Armenia,ARM,1967,0.03755234
Armenia,ARM,1968,0.03665497
Armenia,ARM,1969,0.035828583
Armenia,ARM,1970,0.0348137
Armenia,ARM,1971,0.035563312
Armenia,ARM,1972,0.03579342
Armenia,ARM,1973,0.03548318
Armenia,ARM,1974,0.037037656
Armenia,ARM,1975,0.038891006
Armenia,ARM,1976,0.0382948
Armenia,ARM,1977,0.03851947
Armenia,ARM,1978,0.038669094
Armenia,ARM,1979,0.037912466
Armenia,ARM,1980,0.039633352
Armenia,ARM,1981,0.039896235
Armenia,ARM,1982,0.040982135
Armenia,ARM,1983,0.041328557
Armenia,ARM,1984,0.040323235
Armenia,ARM,1985,0.042038914
Armenia,ARM,1986,0.039452914
Armenia,ARM,1987,0.038389295
Armenia,ARM,1988,0.04205006
Armenia,ARM,1989,0.04201506
Armenia,ARM,1990,0.039305408
Armenia,ARM,1991,0.031284254
Armenia,ARM,1992,0.025965158
Armenia,ARM,1993,0.011287644
Armenia,ARM,1994,0.011812805
Armenia,ARM,1995,0.014634989
Armenia,ARM,1996,0.010742989
Armenia,ARM,1997,0.013452224
Armenia,ARM,1998,0.014030379
Armenia,ARM,1999,0.012330127
Armenia,ARM,2000,0.013716739
Armenia,ARM,2001,0.013763029
Armenia,ARM,2002,0.011707273
Armenia,ARM,2003,0.012496783
Armenia,ARM,2004,0.012889746
Armenia,ARM,2005,0.014777064
Armenia,ARM,2006,0.014387517
Armenia,ARM,2007,0.016187655
Armenia,ARM,2008,0.017374612
Armenia,ARM,2009,0.013823747
Armenia,ARM,2010,0.012746391
Armenia,ARM,2011,0.014407969
Armenia,ARM,2012,0.016420634
Armenia,ARM,2013,0.015671374
Armenia,ARM,2014,0.015751831
Armenia,ARM,2015,0.015381168
Armenia,ARM,2016,0.014646395
Armenia,ARM,2017,0.015348071
Armenia,ARM,2018,0.015819546
Armenia,ARM,2019,0.01694627
Armenia,ARM,2020,0.018235723
Armenia,ARM,2021,0.018333348
Azerbaijan,AZE,1830,0.000273779
Azerbaijan,AZE,1831,0.000346629
Azerbaijan,AZE,1832,0.000229112
Azerbaijan,AZE,1833,0.000281082
Azerbaijan,AZE,1850,0.000767918
Azerbaijan,AZE,1855,0.001762337
Azerbaijan,AZE,1858,0.002265887
Azerbaijan,AZE,1859,0.002266424
Azerbaijan,AZE,1860,0.002729242
Azerbaijan,AZE,1861,0.00329648
Azerbaijan,AZE,1862,0.002920719
Azerbaijan,AZE,1863,0.002865883
Azerbaijan,AZE,1864,0.002983368
Azerbaijan,AZE,1865,0.00268536
Azerbaijan,AZE,1866,0.008224774
Azerbaijan,AZE,1867,0.008809897
Azerbaijan,AZE,1868,0.007136387
Azerbaijan,AZE,1869,0.009116522
Azerbaijan,AZE,1870,0.009681398
Azerbaijan,AZE,1871,0.012294598
Azerbaijan,AZE,1872,0.011408241
Azerbaijan,AZE,1873,0.010079213
Azerbaijan,AZE,1874,0.013067313
Azerbaijan,AZE,1875,0.013865215
Azerbaijan,AZE,1876,0.016969228
Azerbaijan,AZE,1877,0.0169823
Azerbaijan,AZE,1878,0.022027908
Azerbaijan,AZE,1879,0.021090861
Azerbaijan,AZE,1880,0.021877356
Azerbaijan,AZE,1881,0.02229339
Azerbaijan,AZE,1882,0.022234159
Azerbaijan,AZE,1883,0.023797104
Azerbaijan,AZE,1884,0.023892751
Azerbaijan,AZE,1885,0.025831277
Azerbaijan,AZE,1886,0.026084876
Azerbaijan,AZE,1887,0.02628762
Azerbaijan,AZE,1888,0.02476348
Azerbaijan,AZE,1889,0.026754163
Azerbaijan,AZE,1890,0.027809674
Azerbaijan,AZE,1891,0.029258197
Azerbaijan,AZE,1892,0.030716924
Azerbaijan,AZE,1893,0.03644045
Azerbaijan,AZE,1894,0.035864025
Azerbaijan,AZE,1895,0.03886674
Azerbaijan,AZE,1896,0.038316913
Azerbaijan,AZE,1897,0.04229999
Azerbaijan,AZE,1898,0.04497789
Azerbaijan,AZE,1899,0.047765125
Azerbaijan,AZE,1900,0.05129793
Azerbaijan,AZE,1901,0.05097939
Azerbaijan,AZE,1902,0.048024938
Azerbaijan,AZE,1903,0.043092553
Azerbaijan,AZE,1904,0.047404606
Azerbaijan,AZE,1905,0.03974209
