Entity,Code,Year,1_1_ArableLand_ha_pop
Afghanistan,AFG,1961,0.834296107
Afghanistan,AFG,1962,0.823402405
Afghanistan,AFG,1963,0.812096596
Afghanistan,AFG,1964,0.800429165
Afghanistan,AFG,1965,0.783422172
Afghanistan,AFG,1966,0.770036697
Afghanistan,AFG,1967,0.754235387
Afghanistan,AFG,1968,0.737421513
Afghanistan,AFG,1969,0.721513152
Afghanistan,AFG,1970,0.704335392
Afghanistan,AFG,1971,0.688426137
Afghanistan,AFG,1972,0.670837998
Afghanistan,AFG,1973,0.653235137
Afghanistan,AFG,1974,0.637237191
Afghanistan,AFG,1975,0.623366535
Afghanistan,AFG,1976,0.611136794
Afghanistan,AFG,1977,0.600548446
Afghanistan,AFG,1978,0.592900217
Afghanistan,AFG,1979,0.589811683
Afghanistan,AFG,1980,0.592221022
Afghanistan,AFG,1981,0.600530863
Afghanistan,AFG,1982,0.614010394
Afghanistan,AFG,1983,0.630895615
Afghanistan,AFG,1984,0.648131907
Afghanistan,AFG,1985,0.662578702
Afghanistan,AFG,1986,0.673984408
Afghanistan,AFG,1987,0.681629896
Afghanistan,AFG,1988,0.680839598
Afghanistan,AFG,1989,0.66644913
Afghanistan,AFG,1990,0.63727051
Afghanistan,AFG,1991,0.594780862
Afghanistan,AFG,1992,0.546061695
Afghanistan,AFG,1993,0.494670123
Afghanistan,AFG,1994,0.451108158
Afghanistan,AFG,1995,0.422568768
Afghanistan,AFG,1996,0.405602276
Afghanistan,AFG,1997,0.397011429
Afghanistan,AFG,1998,0.393002868
Afghanistan,AFG,1999,0.379408956
Afghanistan,AFG,2000,0.369731277
Afghanistan,AFG,2001,0.355579346
Afghanistan,AFG,2002,0.339722872
Afghanistan,AFG,2003,0.32819739
Afghanistan,AFG,2004,0.31609571
Afghanistan,AFG,2005,0.304237813
Afghanistan,AFG,2006,0.294858038
Afghanistan,AFG,2007,0.287595719
Afghanistan,AFG,2008,0.281145692
Afghanistan,AFG,2009,0.274451613
Afghanistan,AFG,2010,0.267016053
Afghanistan,AFG,2011,0.258687586
Afghanistan,AFG,2012,0.249988943
Afghanistan,AFG,2013,0.241248786
Afghanistan,AFG,2014,0.232868224
Afghanistan,AFG,2015,0.225637525
Afghanistan,AFG,2016,0.218438059
Afghanistan,AFG,2017,0.21211639
Afghanistan,AFG,2018,0.207226306
Armenia,ARM,1992,0.122864395
Armenia,ARM,1993,0.128749833
Armenia,ARM,1994,0.132473975
Armenia,ARM,1995,0.135204479
Armenia,ARM,1996,0.142035902
Armenia,ARM,1997,0.145224467
Armenia,ARM,1998,0.146363854
Armenia,ARM,1999,0.145677269
Armenia,ARM,2000,0.146599054
Armenia,ARM,2001,0.14914678
Armenia,ARM,2002,0.149968222
Armenia,ARM,2003,0.150765195
Armenia,ARM,2004,0.151630521
Armenia,ARM,2005,0.152619928
Armenia,ARM,2006,0.153094634
Armenia,ARM,2007,0.15416275
Armenia,ARM,2008,0.154903591
Armenia,ARM,2009,0.155604348
Armenia,ARM,2010,0.155874535
Armenia,ARM,2011,0.156160042
Armenia,ARM,2012,0.155465618
Armenia,ARM,2013,0.154680103
Armenia,ARM,2014,0.15365319
Armenia,ARM,2015,0.152688771
Armenia,ARM,2016,0.152035981
Armenia,ARM,2017,0.151453972
Armenia,ARM,2018,0.150961757
Azerbaijan,AZE,1992,0.230897918
Azerbaijan,AZE,1993,0.228932053
Azerbaijan,AZE,1994,0.226892471
Azerbaijan,AZE,1995,0.224636778
Azerbaijan,AZE,1996,0.229911119
Azerbaijan,AZE,1997,0.229796186
Azerbaijan,AZE,1998,0.22869961
Azerbaijan,AZE,1999,0.228605434
Azerbaijan,AZE,2000,0.226822063
Azerbaijan,AZE,2001,0.226316705
Azerbaijan,AZE,2002,0.224830061
Azerbaijan,AZE,2003,0.223278806
Azerbaijan,AZE,2004,0.221597537
Azerbaijan,AZE,2005,0.219641671
Azerbaijan,AZE,2006,0.217017993
Azerbaijan,AZE,2007,0.216051176
Azerbaijan,AZE,2008,0.212269217
Azerbaijan,AZE,2009,0.209449992
Azerbaijan,AZE,2010,0.208088234
Azerbaijan,AZE,2011,0.205568865
Azerbaijan,AZE,2012,0.204049498
Azerbaijan,AZE,2013,0.204453722
Azerbaijan,AZE,2014,0.202043429
Azerbaijan,AZE,2015,0.200811639
Azerbaijan,AZE,2016,0.204861507
Azerbaijan,AZE,2017,0.212552562
Azerbaijan,AZE,2018,0.211061195
Georgia,GEO,1992,0.163127109
Georgia,GEO,1993,0.161878198
Georgia,GEO,1994,0.164389476
Georgia,GEO,1995,0.165531561
Georgia,GEO,1996,0.1738763
Georgia,GEO,1997,0.180463374
Georgia,GEO,1998,0.186633676
Georgia,GEO,1999,0.190032125
Georgia,GEO,2000,0.194499508
Georgia,GEO,2001,0.198038399
Georgia,GEO,2002,0.200828701
Georgia,GEO,2003,0.202948779
Georgia,GEO,2004,0.115090623
Georgia,GEO,2005,0.120436572
Georgia,GEO,2006,0.119061515
Georgia,GEO,2007,0.119943276
Georgia,GEO,2008,0.119268827
Georgia,GEO,2009,0.113516636
Georgia,GEO,2010,0.104312599
Georgia,GEO,2011,0.100467436
Georgia,GEO,2012,0.099225663
Georgia,GEO,2013,0.111817405
Georgia,GEO,2014,0.098133735
Georgia,GEO,2015,0.0987041
Georgia,GEO,2016,0.092286929
Georgia,GEO,2017,0.086909778
Georgia,GEO,2018,0.083455227
Iran,IRN,1961,0.666359127
Iran,IRN,1962,0.649724722
Iran,IRN,1963,0.633439362
Iran,IRN,1964,0.617495894
Iran,IRN,1965,0.60188663
Iran,IRN,1966,0.586550772
Iran,IRN,1967,0.571856856
Iran,IRN,1968,0.558585286
Iran,IRN,1969,0.544571936
Iran,IRN,1970,0.531320333
Iran,IRN,1971,0.532109201
Iran,IRN,1972,0.539545834
Iran,IRN,1973,0.546856701
Iran,IRN,1974,0.514998794
Iran,IRN,1975,0.484268576
Iran,IRN,1976,0.454438001
Iran,IRN,1977,0.430106103
Iran,IRN,1978,0.39465183
Iran,IRN,1979,0.408033431
Iran,IRN,1980,0.335858166
Iran,IRN,1981,0.337065428
Iran,IRN,1982,0.33774206
Iran,IRN,1983,0.329996407
Iran,IRN,1984,0.322170675
Iran,IRN,1985,0.31469655
Iran,IRN,1986,0.307550132
Iran,IRN,1987,0.300817788
Iran,IRN,1988,0.29353407
Iran,IRN,1989,0.280909091
Iran,IRN,1990,0.269487679
Iran,IRN,1991,0.289203912
Iran,IRN,1992,0.288684785
Iran,IRN,1993,0.290202767
Iran,IRN,1994,0.286133468
Iran,IRN,1995,0.282995582
Iran,IRN,1996,0.274452567
Iran,IRN,1997,0.261370987
Iran,IRN,1998,0.263193935
Iran,IRN,1999,0.252110779
Iran,IRN,2000,0.227418885
Iran,IRN,2001,0.238693938
Iran,IRN,2002,0.23822616
Iran,IRN,2003,0.237761289
Iran,IRN,2004,0.237341493
Iran,IRN,2005,0.236990318
Iran,IRN,2006,0.236709774
Iran,IRN,2007,0.236470893
Iran,IRN,2008,0.21554172
Iran,IRN,2009,0.213452667
Iran,IRN,2010,0.208642542
Iran,IRN,2011,0.203845486
Iran,IRN,2012,0.199073657
Iran,IRN,2013,0.192032203
Iran,IRN,2014,0.189593419
Iran,IRN,2015,0.18711412
Iran,IRN,2016,0.184593558
Iran,IRN,2017,0.182053953
Iran,IRN,2018,0.179547235
Israel,ISR,1961,0.145537764
Israel,ISR,1962,0.134757966
Israel,ISR,1963,0.134510294
Israel,ISR,1964,0.13010101
Israel,ISR,1965,0.121732347
Israel,ISR,1966,0.122480027
Israel,ISR,1967,0.117668487
Israel,ISR,1968,0.114876918
Israel,ISR,1969,0.11157456
Israel,ISR,1970,0.10928043
Israel,ISR,1971,0.106223524
Israel,ISR,1972,0.103240155
Israel,ISR,1973,0.101891398
Israel,ISR,1974,0.100384958
Israel,ISR,1975,0.097250365
Israel,ISR,1976,0.091989808
Israel,ISR,1977,0.089952946
Israel,ISR,1978,0.088075884
Israel,ISR,1979,0.08584258
Israel,ISR,1980,0.083806083
Israel,ISR,1981,0.082153693
Israel,ISR,1982,0.080625154
Israel,ISR,1983,0.07673569
Israel,ISR,1984,0.078865111
Israel,ISR,1985,0.077250175
Israel,ISR,1986,0.078622937
Israel,ISR,1987,0.077592127
Israel,ISR,1988,0.076316975
Israel,ISR,1989,0.074811861
Israel,ISR,1990,0.07360515
Israel,ISR,1991,0.070115171
Israel,ISR,1992,0.06773375
Israel,ISR,1993,0.06595704
Israel,ISR,1994,0.064641602
Israel,ISR,1995,0.062218215
