Entity,Code,Year,1_1_CerealsYield_t_ha
Afghanistan,AFG,1961,1.1151
Afghanistan,AFG,1962,1.079
Afghanistan,AFG,1963,0.98579997
Afghanistan,AFG,1964,1.0828
Afghanistan,AFG,1965,1.0989
Afghanistan,AFG,1966,1.0123
Afghanistan,AFG,1967,1.2245
Afghanistan,AFG,1968,1.2875
Afghanistan,AFG,1969,1.3104
Afghanistan,AFG,1970,1.1050999
Afghanistan,AFG,1971,0.9762
Afghanistan,AFG,1972,1.0069
Afghanistan,AFG,1973,1.2796
Afghanistan,AFG,1974,1.3018999
Afghanistan,AFG,1975,1.3163999
Afghanistan,AFG,1976,1.3623999
Afghanistan,AFG,1977,1.224
Afghanistan,AFG,1978,1.2918999
Afghanistan,AFG,1979,1.3237
Afghanistan,AFG,1980,1.349
Afghanistan,AFG,1981,1.3383
Afghanistan,AFG,1982,1.3302
Afghanistan,AFG,1983,1.3556
Afghanistan,AFG,1984,1.3341
Afghanistan,AFG,1985,1.3317
Afghanistan,AFG,1986,1.314
Afghanistan,AFG,1987,1.3598
Afghanistan,AFG,1988,1.2857
Afghanistan,AFG,1989,1.2376
Afghanistan,AFG,1990,1.2006
Afghanistan,AFG,1991,1.1603999
Afghanistan,AFG,1992,1.0978
Afghanistan,AFG,1993,1.1329
Afghanistan,AFG,1994,1.1403999
Afghanistan,AFG,1995,1.2145
Afghanistan,AFG,1996,1.2044
Afghanistan,AFG,1997,1.3488
Afghanistan,AFG,1998,1.388
Afghanistan,AFG,1999,1.2857
Afghanistan,AFG,2000,0.8063
Afghanistan,AFG,2001,1.0066999
Afghanistan,AFG,2002,1.6697999
Afghanistan,AFG,2003,1.458
Afghanistan,AFG,2004,1.3348
Afghanistan,AFG,2005,1.7903999
Afghanistan,AFG,2006,1.5517
Afghanistan,AFG,2007,1.9152999
Afghanistan,AFG,2008,1.4554
Afghanistan,AFG,2009,2.0407
Afghanistan,AFG,2010,2.0111
Afghanistan,AFG,2011,1.6599
Afghanistan,AFG,2012,2.0296
Afghanistan,AFG,2013,2.0485
Afghanistan,AFG,2014,2.0175
Afghanistan,AFG,2015,2.1322
Afghanistan,AFG,2016,1.9804
Afghanistan,AFG,2017,2.0225
Afghanistan,AFG,2018,2.162
Afghanistan,AFG,2019,2.1134
Afghanistan,AFG,2020,1.9799
Afghanistan,AFG,2021,2.1547
Armenia,ARM,1992,1.8427999
Armenia,ARM,1993,1.6889
Armenia,ARM,1994,1.4398999
Armenia,ARM,1995,1.859
Armenia,ARM,1996,1.8772
Armenia,ARM,1997,1.3658
Armenia,ARM,1998,1.7684
Armenia,ARM,1999,1.7765
Armenia,ARM,2000,1.383
Armenia,ARM,2001,1.8786999
Armenia,ARM,2002,2.2047
Armenia,ARM,2003,1.5670999
Armenia,ARM,2004,2.2807999
Armenia,ARM,2005,1.9387
Armenia,ARM,2006,1.3239
Armenia,ARM,2007,2.5925999
Armenia,ARM,2008,2.405
Armenia,ARM,2009,2.2503
Armenia,ARM,2010,2.0681999
Armenia,ARM,2011,2.789
Armenia,ARM,2012,2.6504998
Armenia,ARM,2013,3.0725
Armenia,ARM,2014,3.1815999
Armenia,ARM,2015,3.1320999
Armenia,ARM,2016,3.0760999
Armenia,ARM,2017,1.9750999
Armenia,ARM,2018,2.6236
Armenia,ARM,2019,1.6905999
Armenia,ARM,2020,2.0558
Armenia,ARM,2021,2.2433999
Azerbaijan,AZE,1992,2.1139
Azerbaijan,AZE,1993,1.6179
Azerbaijan,AZE,1994,1.6227
Azerbaijan,AZE,1995,1.507
Azerbaijan,AZE,1996,1.6084
Azerbaijan,AZE,1997,1.6694
Azerbaijan,AZE,1998,1.5811
Azerbaijan,AZE,1999,2.08
Azerbaijan,AZE,2000,2.3351998
Azerbaijan,AZE,2001,2.6007
Azerbaijan,AZE,2002,2.6232
Azerbaijan,AZE,2003,2.6041
Azerbaijan,AZE,2004,2.5888
Azerbaijan,AZE,2005,2.5930998
Azerbaijan,AZE,2006,2.5993
Azerbaijan,AZE,2007,2.6674
Azerbaijan,AZE,2008,2.7415
Azerbaijan,AZE,2009,2.6067
Azerbaijan,AZE,2010,2.0205998
Azerbaijan,AZE,2011,2.4844
Azerbaijan,AZE,2012,2.6597
Azerbaijan,AZE,2013,2.6922998
Azerbaijan,AZE,2014,2.3436
Azerbaijan,AZE,2015,3.0835998
Azerbaijan,AZE,2016,3.0051
Azerbaijan,AZE,2017,2.9422
Azerbaijan,AZE,2018,3.0137
Azerbaijan,AZE,2019,3.2389998
Azerbaijan,AZE,2020,3.2273
Azerbaijan,AZE,2021,3.2974
Georgia,GEO,1992,1.9962
Georgia,GEO,1993,1.768
Georgia,GEO,1994,2.0156
Georgia,GEO,1995,2.1509
Georgia,GEO,1996,2.4929
Georgia,GEO,1997,2.2035
Georgia,GEO,1998,1.5927999
Georgia,GEO,1999,2.1102
Georgia,GEO,2000,1.369
Georgia,GEO,2001,2.0121999
Georgia,GEO,2002,1.8600999
Georgia,GEO,2003,2.1369
Georgia,GEO,2004,2.0033998
Georgia,GEO,2005,2.0116
Georgia,GEO,2006,1.5838
Georgia,GEO,2007,2.1145
Georgia,GEO,2008,2.0904
Georgia,GEO,2009,1.9078
Georgia,GEO,2010,1.2714
Georgia,GEO,2011,2.2013
Georgia,GEO,2012,2.1864
Georgia,GEO,2013,2.2006
Georgia,GEO,2014,2.0328
Georgia,GEO,2015,1.9593999
Georgia,GEO,2016,2.5145
Georgia,GEO,2017,1.9762
Georgia,GEO,2018,2.5298998
Georgia,GEO,2019,2.5369
Georgia,GEO,2020,2.6464999
Georgia,GEO,2021,2.7493
Iran,IRN,1961,0.8499
Iran,IRN,1962,0.8836
Iran,IRN,1963,0.8574
Iran,IRN,1964,0.8502
Iran,IRN,1965,0.8821
Iran,IRN,1966,0.8836
Iran,IRN,1967,0.87979996
Iran,IRN,1968,0.87509996
Iran,IRN,1969,0.8842
Iran,IRN,1970,0.8847
Iran,IRN,1971,0.82189995
Iran,IRN,1972,0.91789997
Iran,IRN,1973,0.9248
Iran,IRN,1974,0.908
Iran,IRN,1975,1.0529
Iran,IRN,1976,1.2204
Iran,IRN,1977,1.1434
Iran,IRN,1978,1.2006
Iran,IRN,1979,1.2349
Iran,IRN,1980,1.0669
Iran,IRN,1981,1.0209
Iran,IRN,1982,1.1968
Iran,IRN,1983,1.0928
Iran,IRN,1984,1.2013
Iran,IRN,1985,1.2233
Iran,IRN,1986,1.357
Iran,IRN,1987,1.3026999
Iran,IRN,1988,1.2871
Iran,IRN,1989,1.1402999
Iran,IRN,1990,1.4453
Iran,IRN,1991,1.6114999
Iran,IRN,1992,1.7066
Iran,IRN,1993,1.7734
Iran,IRN,1994,1.8174
Iran,IRN,1995,1.9090999
Iran,IRN,1996,1.8492
Iran,IRN,1997,1.8572999
Iran,IRN,1998,2.1608
Iran,IRN,1999,2.0497
Iran,IRN,2000,1.8350999
Iran,IRN,2001,1.9325999
Iran,IRN,2002,2.2728999
Iran,IRN,2003,2.3834
Iran,IRN,2004,2.4171
Iran,IRN,2005,2.3012
Iran,IRN,2006,2.3918
Iran,IRN,2007,2.4543
