Entity,Code,Year,4_1_civlibs_score_fh
Afghanistan,AFG,2005,19
Afghanistan,AFG,2006,18
Afghanistan,AFG,2007,17
Afghanistan,AFG,2008,16
Afghanistan,AFG,2009,16
Afghanistan,AFG,2010,15
Afghanistan,AFG,2011,13
Afghanistan,AFG,2012,16
Afghanistan,AFG,2013,15
Afghanistan,AFG,2014,13
Afghanistan,AFG,2015,14
Afghanistan,AFG,2016,14
Afghanistan,AFG,2017,14
Afghanistan,AFG,2018,14
Afghanistan,AFG,2019,14
Afghanistan,AFG,2020,14
Afghanistan,AFG,2021,9
Armenia,ARM,2005,28
Armenia,ARM,2006,28
Armenia,ARM,2007,28
Armenia,ARM,2008,27
Armenia,ARM,2009,28
Armenia,ARM,2010,28
Armenia,ARM,2011,29
Armenia,ARM,2012,29
Armenia,ARM,2013,29
Armenia,ARM,2014,30
Armenia,ARM,2015,30
Armenia,ARM,2016,29
Armenia,ARM,2017,30
Armenia,ARM,2018,31
Armenia,ARM,2019,32
Armenia,ARM,2020,33
Armenia,ARM,2021,32
Azerbaijan,AZE,2005,23
Azerbaijan,AZE,2006,22
Azerbaijan,AZE,2007,21
Azerbaijan,AZE,2008,21
Azerbaijan,AZE,2009,21
Azerbaijan,AZE,2010,21
Azerbaijan,AZE,2011,17
Azerbaijan,AZE,2012,17
Azerbaijan,AZE,2013,16
Azerbaijan,AZE,2014,14
Azerbaijan,AZE,2015,11
Azerbaijan,AZE,2016,10
Azerbaijan,AZE,2017,9
Azerbaijan,AZE,2018,9
Azerbaijan,AZE,2019,8
Azerbaijan,AZE,2020,8
Azerbaijan,AZE,2021,7
Georgia,GEO,2005,37
Georgia,GEO,2006,37
Georgia,GEO,2007,34
Georgia,GEO,2008,33
Georgia,GEO,2009,34
Georgia,GEO,2010,36
Georgia,GEO,2011,36
Georgia,GEO,2012,36
Georgia,GEO,2013,38
Georgia,GEO,2014,38
Georgia,GEO,2015,37
Georgia,GEO,2016,37
Georgia,GEO,2017,38
Georgia,GEO,2018,38
Georgia,GEO,2019,37
Georgia,GEO,2020,37
Georgia,GEO,2021,36
Iran,IRN,2005,15
Iran,IRN,2006,13
Iran,IRN,2007,14
Iran,IRN,2008,13
Iran,IRN,2009,13
Iran,IRN,2010,11
Iran,IRN,2011,10
Iran,IRN,2012,10
Iran,IRN,2013,10
Iran,IRN,2014,10
Iran,IRN,2015,10
Iran,IRN,2016,10
Iran,IRN,2017,11
Iran,IRN,2018,11
Iran,IRN,2019,10
Iran,IRN,2020,10
Iran,IRN,2021,10
Israel,ISR,2005,46
Israel,ISR,2006,47
Israel,ISR,2007,47
Israel,ISR,2008,47
Israel,ISR,2009,46
Israel,ISR,2010,47
Israel,ISR,2011,45
Israel,ISR,2012,45
Israel,ISR,2013,45
Israel,ISR,2014,44
Israel,ISR,2015,44
Israel,ISR,2016,44
Israel,ISR,2017,43
Israel,ISR,2018,43
Israel,ISR,2019,43
Israel,ISR,2020,43
Israel,ISR,2021,42
Jordan,JOR,2005,27
Jordan,JOR,2006,28
Jordan,JOR,2007,28
Jordan,JOR,2008,25
Jordan,JOR,2009,24
Jordan,JOR,2010,24
Jordan,JOR,2011,25
Jordan,JOR,2012,24
Jordan,JOR,2013,24
Jordan,JOR,2014,25
Jordan,JOR,2015,25
Jordan,JOR,2016,25
Jordan,JOR,2017,25
Jordan,JOR,2018,25
Jordan,JOR,2019,25
Jordan,JOR,2020,23
Jordan,JOR,2021,22
Kazakhstan,KAZ,2005,22
Kazakhstan,KAZ,2006,22
Kazakhstan,KAZ,2007,22
Kazakhstan,KAZ,2008,23
Kazakhstan,KAZ,2009,21
Kazakhstan,KAZ,2010,22
Kazakhstan,KAZ,2011,21
Kazakhstan,KAZ,2012,20
Kazakhstan,KAZ,2013,19
Kazakhstan,KAZ,2014,18
Kazakhstan,KAZ,2015,18
Kazakhstan,KAZ,2016,17
Kazakhstan,KAZ,2017,17
Kazakhstan,KAZ,2018,17
Kazakhstan,KAZ,2019,18
Kazakhstan,KAZ,2020,18
Kazakhstan,KAZ,2021,18
Kuwait,KWT,2005,25
Kuwait,KWT,2006,27
Kuwait,KWT,2007,27
Kuwait,KWT,2008,27
Kuwait,KWT,2009,27
Kuwait,KWT,2010,25
Kuwait,KWT,2011,25
Kuwait,KWT,2012,24
Kuwait,KWT,2013,23
Kuwait,KWT,2014,23
Kuwait,KWT,2015,23
Kuwait,KWT,2016,23
Kuwait,KWT,2017,23
Kuwait,KWT,2018,23
Kuwait,KWT,2019,23
Kuwait,KWT,2020,23
Kuwait,KWT,2021,23
Kyrgyzstan,KGZ,2005,31
Kyrgyzstan,KGZ,2006,30
Kyrgyzstan,KGZ,2007,29
Kyrgyzstan,KGZ,2008,26
Kyrgyzstan,KGZ,2009,25
Kyrgyzstan,KGZ,2010,24
Kyrgyzstan,KGZ,2011,25
Kyrgyzstan,KGZ,2012,25
Kyrgyzstan,KGZ,2013,25
Kyrgyzstan,KGZ,2014,24
Kyrgyzstan,KGZ,2015,24
Kyrgyzstan,KGZ,2016,24
Kyrgyzstan,KGZ,2017,25
Kyrgyzstan,KGZ,2018,26
Kyrgyzstan,KGZ,2019,27
Kyrgyzstan,KGZ,2020,24
Kyrgyzstan,KGZ,2021,23
Lebanon,LBN,2005,30
Lebanon,LBN,2006,34
Lebanon,LBN,2007,34
Lebanon,LBN,2008,34
Lebanon,LBN,2009,35
Lebanon,LBN,2010,35
Lebanon,LBN,2011,34
Lebanon,LBN,2012,32
Lebanon,LBN,2013,32
Lebanon,LBN,2014,30
Lebanon,LBN,2015,30
Lebanon,LBN,2016,30
Lebanon,LBN,2017,32
Lebanon,LBN,2018,31
Lebanon,LBN,2019,30
Lebanon,LBN,2020,30
Lebanon,LBN,2021,29
Oman,OMN,2005,18
Oman,OMN,2006,18
Oman,OMN,2007,18
Oman,OMN,2008,18
Oman,OMN,2009,18
Oman,OMN,2010,18
Oman,OMN,2011,18
Oman,OMN,2012,17
Oman,OMN,2013,17
Oman,OMN,2014,17
Oman,OMN,2015,17
Oman,OMN,2016,17
Oman,OMN,2017,17
Oman,OMN,2018,17
Oman,OMN,2019,17
Oman,OMN,2020,17
Oman,OMN,2021,18
Pakistan,PAK,2005,24
Pakistan,PAK,2006,24
Pakistan,PAK,2007,18
Pakistan,PAK,2008,22
Pakistan,PAK,2009,24
Pakistan,PAK,2010,24
Pakistan,PAK,2011,23
Pakistan,PAK,2012,22
Pakistan,PAK,2013,21
Pakistan,PAK,2014,22
Pakistan,PAK,2015,21
Pakistan,PAK,2016,22
Pakistan,PAK,2017,24
Pakistan,PAK,2018,22
Pakistan,PAK,2019,22
Pakistan,PAK,2020,22
Pakistan,PAK,2021,22
Qatar,QAT,2005,18
Qatar,QAT,2006,18
Qatar,QAT,2007,18
Qatar,QAT,2008,18
Qatar,QAT,2009,18
Qatar,QAT,2010,18
Qatar,QAT,2011,18
Qatar,QAT,2012,18
Qatar,QAT,2013,18
Qatar,QAT,2014,18
Qatar,QAT,2015,18
Qatar,QAT,2016,17
Qatar,QAT,2017,17
Qatar,QAT,2018,18
Qatar,QAT,2019,18
Qatar,QAT,2020,18
Qatar,QAT,2021,18
Saudi Arabia,SAU,2005,8
Saudi Arabia,SAU,2006,9
Saudi Arabia,SAU,2007,9
Saudi Arabia,SAU,2008,9
Saudi Arabia,SAU,2009,9
Saudi Arabia,SAU,2010,9
Saudi Arabia,SAU,2011,7
Saudi Arabia,SAU,2012,7
Saudi Arabia,SAU,2013,7
Saudi Arabia,SAU,2014,7
Saudi Arabia,SAU,2015,7
Saudi Arabia,SAU,2016,7
Saudi Arabia,SAU,2017,7
Saudi Arabia,SAU,2018,6
Saudi Arabia,SAU,2019,6
Saudi Arabia,SAU,2020,6
Saudi Arabia,SAU,2021,6
Syria,SYR,2005,7
Syria,SYR,2006,8
Syria,SYR,2007,8
Syria,SYR,2008,8
Syria,SYR,2009,8
Syria,SYR,2010,8
Syria,SYR,2011,6
Syria,SYR,2012,6
Syria,SYR,2013,3
