Entity,Code,Year,0_0_CO2pc
Afghanistan,AFG,1949,0.0019223358
Afghanistan,AFG,1950,0.011265611
Afghanistan,AFG,1951,0.012097932
Afghanistan,AFG,1952,0.011946474
Afghanistan,AFG,1953,0.013684762
Afghanistan,AFG,1954,0.013511202
Afghanistan,AFG,1955,0.019303724
Afghanistan,AFG,1956,0.022651596
Afghanistan,AFG,1957,0.0357019
Afghanistan,AFG,1958,0.039568856
Afghanistan,AFG,1959,0.04541344
Afghanistan,AFG,1960,0.04800073
Afghanistan,AFG,1961,0.05583506
Afghanistan,AFG,1962,0.07677442
Afghanistan,AFG,1963,0.07717596
Afghanistan,AFG,1964,0.08963178
Afghanistan,AFG,1965,0.10526929
Afghanistan,AFG,1966,0.11153449
Afghanistan,AFG,1967,0.12805797
Afghanistan,AFG,1968,0.119381055
Afghanistan,AFG,1969,0.0896882
Afghanistan,AFG,1970,0.1553428
Afghanistan,AFG,1971,0.17189354
Afghanistan,AFG,1972,0.13558789
Afghanistan,AFG,1973,0.14128816
Afghanistan,AFG,1974,0.16117701
Afghanistan,AFG,1975,0.1744933
Afghanistan,AFG,1976,0.15942173
Afghanistan,AFG,1977,0.18791811
Afghanistan,AFG,1978,0.1664211
Afghanistan,AFG,1979,0.17193046
Afghanistan,AFG,1980,0.14065449
Afghanistan,AFG,1981,0.17735797
Afghanistan,AFG,1982,0.20762497
Afghanistan,AFG,1983,0.25322488
Afghanistan,AFG,1984,0.2754418
Afghanistan,AFG,1985,0.33308113
Afghanistan,AFG,1986,0.2999149
Afghanistan,AFG,1987,0.30164644
Afghanistan,AFG,1988,0.27513915
Afghanistan,AFG,1989,0.25904718
Afghanistan,AFG,1990,0.18928127
Afghanistan,AFG,1991,0.17815459
Afghanistan,AFG,1992,0.122916184
Afghanistan,AFG,1993,0.106181666
Afghanistan,AFG,1994,0.094065115
Afghanistan,AFG,1995,0.08632284
Afghanistan,AFG,1996,0.080092125
Afghanistan,AFG,1997,0.07331302
Afghanistan,AFG,1998,0.06913398
Afghanistan,AFG,1999,0.05667073
Afghanistan,AFG,2000,0.053580754
Afghanistan,AFG,2001,0.054300264
Afghanistan,AFG,2002,0.06385612
Afghanistan,AFG,2003,0.068871394
Afghanistan,AFG,2004,0.0525291
Afghanistan,AFG,2005,0.07740329
Afghanistan,AFG,2006,0.08486903
Afghanistan,AFG,2007,0.108090796
Afghanistan,AFG,2008,0.16098854
Afghanistan,AFG,2009,0.23340572
Afghanistan,AFG,2010,0.2967329
Afghanistan,AFG,2011,0.40474042
Afghanistan,AFG,2012,0.32938865
Afghanistan,AFG,2013,0.29328325
Afghanistan,AFG,2014,0.2802986
Afghanistan,AFG,2015,0.29007638
Afghanistan,AFG,2016,0.2617953
Afghanistan,AFG,2017,0.2768525
Afghanistan,AFG,2018,0.29487586
Afghanistan,AFG,2019,0.29340136
Afghanistan,AFG,2020,0.29974586
Afghanistan,AFG,2021,0.29611897
Armenia,ARM,1830,0.00008832011
Armenia,ARM,1831,0.00010720834
Armenia,ARM,1832,0.000069376845
Armenia,ARM,1833,0.00008593262
Armenia,ARM,1850,0.00046166775
Armenia,ARM,1855,0.0013387682
Armenia,ARM,1858,0.0018310407
Armenia,ARM,1859,0.0019251566
Armenia,ARM,1860,0.0025205659
Armenia,ARM,1861,0.003173645
Armenia,ARM,1862,0.0028380728
Armenia,ARM,1863,0.0029456143
Armenia,ARM,1864,0.003273482
Armenia,ARM,1865,0.0031012318
Armenia,ARM,1866,0.009712516
Armenia,ARM,1867,0.011047714
Armenia,ARM,1868,0.0091101965
Armenia,ARM,1869,0.01224893
Armenia,ARM,1870,0.013174766
Armenia,ARM,1871,0.017628813
Armenia,ARM,1872,0.017936772
Armenia,ARM,1873,0.016686724
Armenia,ARM,1874,0.020074153
Armenia,ARM,1875,0.022901135
Armenia,ARM,1876,0.02818044
Armenia,ARM,1877,0.028504858
Armenia,ARM,1878,0.03692183
Armenia,ARM,1879,0.037549302
Armenia,ARM,1880,0.043658875
Armenia,ARM,1881,0.04557762
Armenia,ARM,1882,0.047582027
Armenia,ARM,1883,0.053676974
Armenia,ARM,1884,0.054015234
Armenia,ARM,1885,0.05831378
Armenia,ARM,1886,0.059277404
Armenia,ARM,1887,0.06216964
Armenia,ARM,1888,0.06427412
Armenia,ARM,1889,0.06879825
Armenia,ARM,1890,0.07722155
Armenia,ARM,1891,0.084270835
Armenia,ARM,1892,0.088411346
Armenia,ARM,1893,0.10270925
Armenia,ARM,1894,0.10368238
Armenia,ARM,1895,0.11807795
Armenia,ARM,1896,0.119136885
Armenia,ARM,1897,0.13652638
Armenia,ARM,1898,0.15176287
Armenia,ARM,1899,0.17449734
Armenia,ARM,1900,0.19592
Armenia,ARM,1901,0.19935827
Armenia,ARM,1902,0.1908411
Armenia,ARM,1903,0.1850248
Armenia,ARM,1904,0.20403145
Armenia,ARM,1905,0.18050991
Armenia,ARM,1906,0.2040678
Armenia,ARM,1907,0.22654949
Armenia,ARM,1908,0.22591935
Armenia,ARM,1909,0.2363712
Armenia,ARM,1910,0.22975495
Armenia,ARM,1911,0.23609449
Armenia,ARM,1912,0.26507285
Armenia,ARM,1913,0.2854022
Armenia,ARM,1914,0.2552997
Armenia,ARM,1915,0.23225442
Armenia,ARM,1916,0.24534957
Armenia,ARM,1917,0.22380061
Armenia,ARM,1918,0.08844128
Armenia,ARM,1919,0.07485545
Armenia,ARM,1920,0.06763804
Armenia,ARM,1921,0.072685756
Armenia,ARM,1922,0.08783847
Armenia,ARM,1923,0.09614822
Armenia,ARM,1924,0.11350959
Armenia,ARM,1925,0.11101412
Armenia,ARM,1926,0.15938519
Armenia,ARM,1927,0.19635697
Armenia,ARM,1928,0.21360481
Armenia,ARM,1929,0.22799186
Armenia,ARM,1930,0.3085215
Armenia,ARM,1931,0.36759487
Armenia,ARM,1932,0.40978575
Armenia,ARM,1933,0.45447156
Armenia,ARM,1934,0.5441834
Armenia,ARM,1935,0.6094451
Armenia,ARM,1936,0.69128156
Armenia,ARM,1937,0.701233
Armenia,ARM,1938,0.73348063
Armenia,ARM,1939,0.73575985
Armenia,ARM,1940,0.87415135
Armenia,ARM,1941,0.76094925
Armenia,ARM,1942,0.41373244
Armenia,ARM,1943,0.42786866
Armenia,ARM,1944,0.6148465
Armenia,ARM,1945,0.64218515
Armenia,ARM,1946,0.71314603
Armenia,ARM,1947,0.8499643
Armenia,ARM,1948,0.89448327
Armenia,ARM,1949,1.0023364
Armenia,ARM,1950,1.069915
Armenia,ARM,1951,1.1265945
Armenia,ARM,1952,1.1723801
Armenia,ARM,1953,1.2041839
Armenia,ARM,1954,1.2747605
Armenia,ARM,1955,1.4007598
Armenia,ARM,1956,1.4880892
Armenia,ARM,1957,1.5747701
Armenia,ARM,1958,1.6246917
Armenia,ARM,1959,1.6492141
Armenia,ARM,1960,1.6580112
Armenia,ARM,1961,1.6533175
Armenia,ARM,1962,1.6800793
Armenia,ARM,1963,1.7469565
Armenia,ARM,1964,1.8043189
Armenia,ARM,1965,1.8609217
Armenia,ARM,1966,1.9133911
Armenia,ARM,1967,1.9515815
Armenia,ARM,1968,1.9584359
Armenia,ARM,1969,1.9919002
Armenia,ARM,1970,2.0465708
Armenia,ARM,1971,2.128296
Armenia,ARM,1972,2.1936157
Armenia,ARM,1973,2.239768
Armenia,ARM,1974,2.2773378
Armenia,ARM,1975,2.3430552
Armenia,ARM,1976,2.3788693
Armenia,ARM,1977,2.4033504
Armenia,ARM,1978,2.4280505
Armenia,ARM,1979,2.4015794
Armenia,ARM,1980,2.4652953
Armenia,ARM,1981,2.397409
Armenia,ARM,1982,2.4170024
Armenia,ARM,1983,2.4256988
Armenia,ARM,1984,2.4233484
Armenia,ARM,1985,2.58857
Armenia,ARM,1986,2.4459393
Armenia,ARM,1987,2.4368818
Armenia,ARM,1988,2.7611473
Armenia,ARM,1989,2.7306354
Armenia,ARM,1990,2.5150595
Armenia,ARM,1991,2.0101414
Armenia,ARM,1992,1.6401857
Armenia,ARM,1993,0.74480265
Armenia,ARM,1994,0.8042594
Armenia,ARM,1995,1.0332227
Armenia,ARM,1996,0.7867585
Armenia,ARM,1997,0.9993324
Armenia,ARM,1998,1.0483443
Armenia,ARM,1999,0.9511864
Armenia,ARM,2000,1.101903
Armenia,ARM,2001,1.1275281
Armenia,ARM,2002,0.99090284
Armenia,ARM,2003,1.1204411
Armenia,ARM,2004,1.2040119
Armenia,ARM,2005,1.4361025
Armenia,ARM,2006,1.4543548
Armenia,ARM,2007,1.6975813
Armenia,ARM,2008,1.8685873
Armenia,ARM,2009,1.4719603
Armenia,ARM,2010,1.4434226
Armenia,ARM,2011,1.6964511
Armenia,ARM,2012,1.9723431
Armenia,ARM,2013,1.9077103
Armenia,ARM,2014,1.9391817
Armenia,ARM,2015,1.8999954
Armenia,ARM,2016,1.8155274
Armenia,ARM,2017,1.9425985
Armenia,ARM,2018,2.0538187
Armenia,ARM,2019,2.2279305
Armenia,ARM,2020,2.2920723
Armenia,ARM,2021,2.4385939
Azerbaijan,AZE,1830,0.00025305743
Azerbaijan,AZE,1831,0.0003011129
Azerbaijan,AZE,1832,0.00019857717
Azerbaijan,AZE,1833,0.0002462167
Azerbaijan,AZE,1850,0.0013062827
Azerbaijan,AZE,1855,0.0037837839
Azerbaijan,AZE,1858,0.0051697115
Azerbaijan,AZE,1859,0.0054328195
Azerbaijan,AZE,1860,0.007113572
Azerbaijan,AZE,1861,0.008953797
Azerbaijan,AZE,1862,0.008003715
Azerbaijan,AZE,1863,0.008304964
Azerbaijan,AZE,1864,0.009229263
Azerbaijan,AZE,1865,0.008741474
Azerbaijan,AZE,1866,0.027367784
Azerbaijan,AZE,1867,0.031121545
Azerbaijan,AZE,1868,0.025656166
Azerbaijan,AZE,1869,0.03448634
Azerbaijan,AZE,1870,0.037083365
Azerbaijan,AZE,1871,0.049608048
