Entity,Code,Year,0_0_CO2
Afghanistan,AFG,1949,14656
Afghanistan,AFG,1950,84272
Afghanistan,AFG,1951,91600
Afghanistan,AFG,1952,91600
Afghanistan,AFG,1953,106256
Afghanistan,AFG,1954,106256
Afghanistan,AFG,1955,153888
Afghanistan,AFG,1956,183200
Afghanistan,AFG,1957,293120
Afghanistan,AFG,1958,329760
Afghanistan,AFG,1959,384571
Afghanistan,AFG,1960,413885
Afghanistan,AFG,1961,490798
Afghanistan,AFG,1962,688594
Afghanistan,AFG,1963,706736
Afghanistan,AFG,1964,838551
Afghanistan,AFG,1965,1006917
Afghanistan,AFG,1966,1091159
Afghanistan,AFG,1967,1281865
Afghanistan,AFG,1968,1223391
Afghanistan,AFG,1969,941232
Afghanistan,AFG,1970,1670397
Afghanistan,AFG,1971,1893554
Afghanistan,AFG,1972,1530347
Afghanistan,AFG,1973,1635454
Afghanistan,AFG,1974,1913152
Afghanistan,AFG,1975,2121383
Afghanistan,AFG,1976,1980859
Afghanistan,AFG,1977,2384175
Afghanistan,AFG,1978,2153300
Afghanistan,AFG,1979,2232754
Afghanistan,AFG,1980,1756302
Afghanistan,AFG,1981,1978463
Afghanistan,AFG,1982,2094580.9
Afghanistan,AFG,1983,2519954
Afghanistan,AFG,1984,2821540
Afghanistan,AFG,1985,3501422
Afghanistan,AFG,1986,3133645
Afghanistan,AFG,1987,3113826
Afghanistan,AFG,1988,2856896
Afghanistan,AFG,1989,2764855
Afghanistan,AFG,1990,2024326.1
Afghanistan,AFG,1991,1914301
Afghanistan,AFG,1992,1482054
Afghanistan,AFG,1993,1486943
Afghanistan,AFG,1994,1453829
Afghanistan,AFG,1995,1417327
Afghanistan,AFG,1996,1370104
Afghanistan,AFG,1997,1304152
Afghanistan,AFG,1998,1278504
Afghanistan,AFG,1999,1091640
Afghanistan,AFG,2000,1047127.94
Afghanistan,AFG,2001,1069098
Afghanistan,AFG,2002,1340995
Afghanistan,AFG,2003,1559602
Afghanistan,AFG,2004,1237247
Afghanistan,AFG,2005,1889507
Afghanistan,AFG,2006,2159318
Afghanistan,AFG,2007,2799909
Afghanistan,AFG,2008,4254477
Afghanistan,AFG,2009,6391888
Afghanistan,AFG,2010,8364803.5
Afghanistan,AFG,2011,11838316
Afghanistan,AFG,2012,10035314
Afghanistan,AFG,2013,9250510
Afghanistan,AFG,2014,9170309
Afghanistan,AFG,2015,9791093
Afghanistan,AFG,2016,9067598
Afghanistan,AFG,2017,9867969
Afghanistan,AFG,2018,10818048
Afghanistan,AFG,2019,11081621
Afghanistan,AFG,2020,11681766
Afghanistan,AFG,2021,11874211
Armenia,ARM,1830,40
Armenia,ARM,1831,49
Armenia,ARM,1832,32
Armenia,ARM,1833,40
Armenia,ARM,1850,250.99998
Armenia,ARM,1855,761
Armenia,ARM,1858,1069
Armenia,ARM,1859,1134
Armenia,ARM,1860,1498
Armenia,ARM,1861,1903
Armenia,ARM,1862,1717
Armenia,ARM,1863,1798
Armenia,ARM,1864,2016
Armenia,ARM,1865,1927
Armenia,ARM,1866,6089
Armenia,ARM,1867,6988
Armenia,ARM,1868,5814
Armenia,ARM,1869,7887
Armenia,ARM,1870,8559
Armenia,ARM,1871,11555
Armenia,ARM,1872,11862
Armenia,ARM,1873,11134
Armenia,ARM,1874,13514
Armenia,ARM,1875,15555
Armenia,ARM,1876,19312
Armenia,ARM,1877,19709
Armenia,ARM,1878,25757
Armenia,ARM,1879,26429
Armenia,ARM,1880,31004
Armenia,ARM,1881,32656
Armenia,ARM,1882,34397
Armenia,ARM,1883,39150
Armenia,ARM,1884,39749
Armenia,ARM,1885,43296
Armenia,ARM,1886,44405
Armenia,ARM,1887,46988
Armenia,ARM,1888,49013
Armenia,ARM,1889,52932
Armenia,ARM,1890,59944
Armenia,ARM,1891,66001
Armenia,ARM,1892,69863
Armenia,ARM,1893,81887
Armenia,ARM,1894,83402
Armenia,ARM,1895,95831
Armenia,ARM,1896,97555
Armenia,ARM,1897,112794
Armenia,ARM,1898,126503.01
Armenia,ARM,1899,146754
Armenia,ARM,1900,166244
Armenia,ARM,1901,170674
Armenia,ARM,1902,164843
Armenia,ARM,1903,161248
Armenia,ARM,1904,179402
Armenia,ARM,1905,160139
Armenia,ARM,1906,182657
Armenia,ARM,1907,204593
Armenia,ARM,1908,205848
Armenia,ARM,1909,217297
Armenia,ARM,1910,213103
Armenia,ARM,1911,220941
Armenia,ARM,1912,250277.02
Armenia,ARM,1913,271881
Armenia,ARM,1914,245379
Armenia,ARM,1915,225225
Armenia,ARM,1916,240051
Armenia,ARM,1917,220925
Armenia,ARM,1918,88106
Armenia,ARM,1919,75256
Armenia,ARM,1920,68624
Armenia,ARM,1921,74422
Armenia,ARM,1922,90762
Armenia,ARM,1923,100260
Armenia,ARM,1924,119450
Armenia,ARM,1925,117896
Armenia,ARM,1926,170819
Armenia,ARM,1927,212374
Armenia,ARM,1928,233149
Armenia,ARM,1929,251136
Armenia,ARM,1930,342959
Armenia,ARM,1931,412376
Armenia,ARM,1932,463925
Armenia,ARM,1933,519236.03
Armenia,ARM,1934,627438
Armenia,ARM,1935,709132
Armenia,ARM,1936,811736
Armenia,ARM,1937,830978
Armenia,ARM,1938,877168
Armenia,ARM,1939,887968
Armenia,ARM,1940,1064670
Armenia,ARM,1941,935301
Armenia,ARM,1942,513194.97
Armenia,ARM,1943,535600
Armenia,ARM,1944,776719
Armenia,ARM,1945,818700
Armenia,ARM,1946,917508
Armenia,ARM,1947,1103569
Armenia,ARM,1948,1172028
Armenia,ARM,1949,1331679
Armenia,ARM,1950,1481873
Armenia,ARM,1951,1604283
Armenia,ARM,1952,1717620
Armenia,ARM,1953,1816585
Armenia,ARM,1954,1982162
Armenia,ARM,1955,2247344
Armenia,ARM,1956,2466542
Armenia,ARM,1957,2700000
Armenia,ARM,1958,2883537
Armenia,ARM,1959,3031653
Armenia,ARM,1960,3157102
Armenia,ARM,1961,3259570
Armenia,ARM,1962,3426280
Armenia,ARM,1963,3679347
Armenia,ARM,1964,3917236
Armenia,ARM,1965,4157394
Armenia,ARM,1966,4392197
Armenia,ARM,1967,4597920
Armenia,ARM,1968,4732484
Armenia,ARM,1969,4932664
Armenia,ARM,1970,5186794
Armenia,ARM,1971,5514268
Armenia,ARM,1972,5808817
Armenia,ARM,1973,6062725
Armenia,ARM,1974,6302874
Armenia,ARM,1975,6632716
Armenia,ARM,1976,6889957
Armenia,ARM,1977,7127198
Armenia,ARM,1978,7376978
Armenia,ARM,1979,7437843
Armenia,ARM,1980,7729004
Armenia,ARM,1981,7594694
Armenia,ARM,1982,7739266
Armenia,ARM,1983,7855128
Armenia,ARM,1984,7929465
Armenia,ARM,1985,8544614
Armenia,ARM,1986,8138095
Armenia,ARM,1987,8166902.5
Armenia,ARM,1988,9296341
Armenia,ARM,1989,9415744
Armenia,ARM,1990,8944920
Armenia,ARM,1991,7271964
Armenia,ARM,1992,5862939
Armenia,ARM,1993,2575039
Armenia,ARM,1994,2713342
Armenia,ARM,1995,3433180
Armenia,ARM,1996,2595440
Armenia,ARM,1997,3269238
Armenia,ARM,1998,3397212
Armenia,ARM,1999,3049535
Armenia,ARM,2000,3491407
Armenia,ARM,2001,3532701
Armenia,ARM,2002,3076793
Armenia,ARM,2003,3455560
Armenia,ARM,2004,3691197
Armenia,ARM,2005,4376169
Armenia,ARM,2006,4401590
Armenia,ARM,2007,5100210
Armenia,ARM,2008,5574790
Armenia,ARM,2009,4363332
Armenia,ARM,2010,4252750
Armenia,ARM,2011,4968878
Armenia,ARM,2012,5748252
Armenia,ARM,2013,5535004
Armenia,ARM,2014,5604113
Armenia,ARM,2015,5469323
Armenia,ARM,2016,5203013
Armenia,ARM,2017,5540153
Armenia,ARM,2018,5825786
Armenia,ARM,2019,6284110
Armenia,ARM,2020,6430661
