Entity,Code,Year,Gini_index
Armenia,ARM,1996,0.44418623
Armenia,ARM,1999,0.362197243
Armenia,ARM,2001,0.35364359
Armenia,ARM,2002,0.347796743
Armenia,ARM,2003,0.330280869
Armenia,ARM,2004,0.375056325
Armenia,ARM,2005,0.359923534
Armenia,ARM,2006,0.297099848
Armenia,ARM,2007,0.312260583
Armenia,ARM,2008,0.291881417
Armenia,ARM,2009,0.280158774
Armenia,ARM,2010,0.299925823
Armenia,ARM,2011,0.293529458
Armenia,ARM,2012,0.296022614
Armenia,ARM,2013,0.305796632
Armenia,ARM,2014,0.314832907
Armenia,ARM,2015,0.323567718
Armenia,ARM,2016,0.325479484
Armenia,ARM,2017,0.336218374
Armenia,ARM,2018,0.344334977
Armenia,ARM,2019,0.298782071
Armenia,ARM,2020,0.251717426
Azerbaijan,AZE,1995,0.346502852
Azerbaijan,AZE,2001,0.364549364
Azerbaijan,AZE,2002,0.252776662
Azerbaijan,AZE,2003,0.268328779
Azerbaijan,AZE,2004,0.266215925
Azerbaijan,AZE,2005,0.265549077
Georgia,GEO,1996,0.371327073
Georgia,GEO,1997,0.40696073
Georgia,GEO,1998,0.412500082
Georgia,GEO,1999,0.401497665
Georgia,GEO,2000,0.404781133
Georgia,GEO,2001,0.395741324
Georgia,GEO,2002,0.372493777
Georgia,GEO,2003,0.366550826
Georgia,GEO,2004,0.361753568
Georgia,GEO,2005,0.37379339
Georgia,GEO,2006,0.368686238
Georgia,GEO,2007,0.381130823
Georgia,GEO,2008,0.385348533
Georgia,GEO,2009,0.382374032
Georgia,GEO,2010,0.394614637
Georgia,GEO,2011,0.395957157
Georgia,GEO,2012,0.38954768
Georgia,GEO,2013,0.385890191
Georgia,GEO,2014,0.375541344
Georgia,GEO,2015,0.365036756
Georgia,GEO,2016,0.366396489
Georgia,GEO,2017,0.379397331
Georgia,GEO,2018,0.364113631
Georgia,GEO,2019,0.359007652
Georgia,GEO,2020,0.344651871
Iran,IRN,1986,0.474196415
Iran,IRN,1990,0.436047776
Iran,IRN,1994,0.429983695
Iran,IRN,1998,0.440956434
Iran,IRN,2005,0.435586412
Iran,IRN,2006,0.447520372
Iran,IRN,2009,0.420500246
Iran,IRN,2013,0.373595078
Iran,IRN,2014,0.387832928
Iran,IRN,2015,0.394710043
Iran,IRN,2016,0.399651967
Iran,IRN,2017,0.408029421
Iran,IRN,2018,0.42003302
Iran,IRN,2019,0.409359684
Israel,ISR,1979,0.363299758
Israel,ISR,1986,0.364905399
Israel,ISR,1992,0.355072544
Israel,ISR,1997,0.38097106
Israel,ISR,2001,0.389476621
Israel,ISR,2002,0.395594227
Israel,ISR,2003,0.40722571
Israel,ISR,2004,0.414563007
Israel,ISR,2005,0.422676225
Israel,ISR,2006,0.415553224
Israel,ISR,2007,0.410986336
Israel,ISR,2008,0.416426794
Israel,ISR,2009,0.426339505
Israel,ISR,2010,0.425270246
Israel,ISR,2011,0.414441639
Israel,ISR,2012,0.416095964
Israel,ISR,2013,0.402248247
Israel,ISR,2014,0.397574889
Israel,ISR,2015,0.397195299
Israel,ISR,2016,0.390130153
Israel,ISR,2017,0.382020644
Israel,ISR,2018,0.385771738
Jordan,JOR,1986,0.360614298
Jordan,JOR,1992,0.433626242
Jordan,JOR,1997,0.364205558
Jordan,JOR,2002,0.369546163
Jordan,JOR,2006,0.338562536
Jordan,JOR,2008,0.325734503
Jordan,JOR,2010,0.336557303
Kazakhstan,KAZ,1993,0.326657348
Kazakhstan,KAZ,1996,0.353783081
Kazakhstan,KAZ,2001,0.359647586
Kazakhstan,KAZ,2002,0.3481114
Kazakhstan,KAZ,2003,0.336914788
Kazakhstan,KAZ,2004,0.318387585
Kazakhstan,KAZ,2005,0.3982604
Kazakhstan,KAZ,2006,0.302438652
Kazakhstan,KAZ,2007,0.300840563
Kazakhstan,KAZ,2008,0.284964438
Kazakhstan,KAZ,2009,0.282088668
Kazakhstan,KAZ,2010,0.279545118
Kazakhstan,KAZ,2011,0.279838438
Kazakhstan,KAZ,2012,0.281688218
Kazakhstan,KAZ,2013,0.27065428
Kazakhstan,KAZ,2014,0.270158598
Kazakhstan,KAZ,2015,0.268036674
Kazakhstan,KAZ,2016,0.272253251
Kazakhstan,KAZ,2017,0.274502759
Kazakhstan,KAZ,2018,0.277928746
Kyrgyzstan,KGZ,1998,0.463719825
Kyrgyzstan,KGZ,2000,0.310350127
Kyrgyzstan,KGZ,2001,0.301639798
Kyrgyzstan,KGZ,2002,0.303023869
Kyrgyzstan,KGZ,2003,0.287086471
Kyrgyzstan,KGZ,2004,0.347734293
Kyrgyzstan,KGZ,2005,0.325614308
Kyrgyzstan,KGZ,2006,0.373812404
Kyrgyzstan,KGZ,2007,0.339118217
Kyrgyzstan,KGZ,2008,0.314506847
Kyrgyzstan,KGZ,2009,0.29874916
Kyrgyzstan,KGZ,2010,0.301339151
Kyrgyzstan,KGZ,2011,0.278398638
Kyrgyzstan,KGZ,2012,0.273572741
Kyrgyzstan,KGZ,2013,0.288154837
Kyrgyzstan,KGZ,2014,0.268190038
Kyrgyzstan,KGZ,2015,0.289979154
Kyrgyzstan,KGZ,2016,0.267807679
Kyrgyzstan,KGZ,2017,0.273350091
Kyrgyzstan,KGZ,2018,0.276903271
Kyrgyzstan,KGZ,2019,0.297012232
Kyrgyzstan,KGZ,2020,0.289892735
Lebanon,LBN,2011,0.318324497
Pakistan,PAK,1987,0.333168973
Pakistan,PAK,1990,0.332486609
Pakistan,PAK,1996,0.286649887
Pakistan,PAK,1998,0.331232927
Pakistan,PAK,2001,0.28653021
Pakistan,PAK,2004,0.308861069
Pakistan,PAK,2005,0.312612538
Pakistan,PAK,2007,0.296695024
Pakistan,PAK,2010,0.287808638
Pakistan,PAK,2011,0.29697957
Pakistan,PAK,2013,0.295285731
Pakistan,PAK,2015,0.312912658
Pakistan,PAK,2018,0.295892656
Palestine,PSE,2004,0.340446605
Palestine,PSE,2005,0.347426243
Palestine,PSE,2006,0.339592828
Palestine,PSE,2007,0.356060773
Palestine,PSE,2009,0.344639746
Palestine,PSE,2010,0.352944325
Palestine,PSE,2011,0.344152375
Palestine,PSE,2016,0.336900405
Syria,SYR,1996,0.351693822
Syria,SYR,2003,0.375146032
Turkey,TUR,1987,0.434770847
Turkey,TUR,1994,0.413152024
Turkey,TUR,2002,0.413963778
Turkey,TUR,2003,0.421843381
Turkey,TUR,2004,0.41287508
Turkey,TUR,2005,0.426146563
Turkey,TUR,2006,0.396474127
Turkey,TUR,2007,0.38442799
Turkey,TUR,2008,0.3902054
Turkey,TUR,2009,0.389653091
Turkey,TUR,2010,0.387850803
Turkey,TUR,2011,0.400393548
Turkey,TUR,2012,0.401689369
Turkey,TUR,2013,0.401784979
Turkey,TUR,2014,0.412365629
Turkey,TUR,2015,0.428544577
Turkey,TUR,2016,0.418737048
Turkey,TUR,2017,0.414056667
Turkey,TUR,2018,0.418775203
Turkey,TUR,2019,0.419091087
Turkmenistan,TKM,1998,0.408069274
United Arab Emirates,ARE,2013,0.325104209
Uzbekistan,UZB,1998,0.446731737
Uzbekistan,UZB,2000,0.361028142
Uzbekistan,UZB,2002,0.330436809
Uzbekistan,UZB,2003,0.352687973
Yemen,YEM,1998,0.349977864
Yemen,YEM,2005,0.347323343
Yemen,YEM,2014,0.367070943
