Entity,Code,Year,3_1_Renewables_electricity
Afghanistan,AFG,2000,64.583336
Afghanistan,AFG,2001,72.46377
Afghanistan,AFG,2002,78.873245
Afghanistan,AFG,2003,69.23077
Afghanistan,AFG,2004,70.88607
Afghanistan,AFG,2005,71.95122
Afghanistan,AFG,2006,71.111115
Afghanistan,AFG,2007,74.25742
Afghanistan,AFG,2008,69.230774
Afghanistan,AFG,2009,87.64045
Afghanistan,AFG,2010,85.22727
Afghanistan,AFG,2011,77.92208
Afghanistan,AFG,2012,84.09091
Afghanistan,AFG,2013,80.180176
Afghanistan,AFG,2014,86.2069
Afghanistan,AFG,2015,87.28814
Afghanistan,AFG,2016,87.603294
Afghanistan,AFG,2017,86.507935
Afghanistan,AFG,2018,82.90598
Afghanistan,AFG,2019,83.17757
Afghanistan,AFG,2020,85
Afghanistan,AFG,2021,84.33735
Afghanistan,AFG,2022,84.33735
Armenia,ARM,2000,21.626297
Armenia,ARM,2001,16.72474
Armenia,ARM,2002,30.885122
Armenia,ARM,2003,36.981133
Armenia,ARM,2004,34.19689
Armenia,ARM,2005,28.782896
Armenia,ARM,2006,31.698774
Armenia,ARM,2007,32.27513
Armenia,ARM,2008,30.16949
Armenia,ARM,2009,36.764706
Armenia,ARM,2010,40.51037
Armenia,ARM,2011,34.119278
Armenia,ARM,2012,29.411764
Armenia,ARM,2013,28.704943
Armenia,ARM,2014,26.162018
Armenia,ARM,2015,28.874172
Armenia,ARM,2016,32.816902
Armenia,ARM,2017,29.880478
Armenia,ARM,2018,30.434782
Armenia,ARM,2019,32.17624
Armenia,ARM,2020,25.13089
Armenia,ARM,2021,32.253887
Armenia,ARM,2022,26.567844
Azerbaijan,AZE,1990,7.1613684
Azerbaijan,AZE,1991,7.5025053
Azerbaijan,AZE,1992,8.841448
Azerbaijan,AZE,1993,12.73424
Azerbaijan,AZE,1994,10.414888
Azerbaijan,AZE,1995,9.1293125
Azerbaijan,AZE,1996,8.996196
Azerbaijan,AZE,1997,10.168686
Azerbaijan,AZE,1998,10.8419
Azerbaijan,AZE,1999,8.285651
Azerbaijan,AZE,2000,8.137045
Azerbaijan,AZE,2001,6.8037977
Azerbaijan,AZE,2002,10.706638
Azerbaijan,AZE,2003,11.476952
Azerbaijan,AZE,2004,12.569061
Azerbaijan,AZE,2005,13.047285
Azerbaijan,AZE,2006,10.159119
Azerbaijan,AZE,2007,10.724106
Azerbaijan,AZE,2008,10.222016
Azerbaijan,AZE,2009,12.1485405
Azerbaijan,AZE,2010,18.264595
Azerbaijan,AZE,2011,13.073507
Azerbaijan,AZE,2012,7.8363085
Azerbaijan,AZE,2013,6.709677
Azerbaijan,AZE,2014,5.5623226
Azerbaijan,AZE,2015,6.9597073
Azerbaijan,AZE,2016,8.410462
Azerbaijan,AZE,2017,7.7621803
Azerbaijan,AZE,2018,7.75965
Azerbaijan,AZE,2019,6.8978806
Azerbaijan,AZE,2020,5.1262136
Azerbaijan,AZE,2021,5.469593
Azerbaijan,AZE,2022,6.3579817
Georgia,GEO,2000,78.804344
Georgia,GEO,2001,79.79651
Georgia,GEO,2002,93.184975
Georgia,GEO,2003,90.985916
Georgia,GEO,2004,87.31778
Georgia,GEO,2005,85.69445
Georgia,GEO,2006,70.41499
Georgia,GEO,2007,79.411766
Georgia,GEO,2008,84.6062
Georgia,GEO,2009,88.11525
Georgia,GEO,2010,93.16584
Georgia,GEO,2011,77.94411
Georgia,GEO,2012,74.324326
Georgia,GEO,2013,82.064125
Georgia,GEO,2014,80.17493
Georgia,GEO,2015,77.860466
Georgia,GEO,2016,80.50479
Georgia,GEO,2017,80.506996
Georgia,GEO,2018,82.47508
Georgia,GEO,2019,76.05397
Georgia,GEO,2020,74.731186
Georgia,GEO,2021,81.17088
Georgia,GEO,2022,76.210526
Georgia,GEO,2023,76.07789
Iran,IRN,1990,12.8020115
Iran,IRN,1991,8.926354
Iran,IRN,1992,13.700914
Iran,IRN,1993,14.103046
Iran,IRN,1994,8.51316
Iran,IRN,1995,9.866869
Iran,IRN,1996,9.821708
Iran,IRN,1997,6.1258154
Iran,IRN,1998,7.313571
Iran,IRN,1999,4.70351
Iran,IRN,2000,3.2006702
Iran,IRN,2001,3.2526062
Iran,IRN,2002,5.8163934
Iran,IRN,2003,6.3435545
Iran,IRN,2004,7.360531
Iran,IRN,2005,8.200147
Iran,IRN,2006,9.636561
Iran,IRN,2007,8.910989
Iran,IRN,2008,3.629626
Iran,IRN,2009,3.1333122
Iran,IRN,2010,4.4254923
Iran,IRN,2011,4.6309266
Iran,IRN,2012,5.1459355
Iran,IRN,2013,5.7405553
Iran,IRN,2014,5.3513765
Iran,IRN,2015,4.7851844
Iran,IRN,2016,5.4518766
Iran,IRN,2017,5.786938
Iran,IRN,2018,3.4672642
Iran,IRN,2019,11.010066
Iran,IRN,2020,7.393238
Iran,IRN,2021,4.8214755
Iran,IRN,2022,2.714503
Iran,IRN,2023,4.393576
Israel,ISR,1990,0.014355716
Israel,ISR,1991,0.02788869
Israel,ISR,1992,0.11747454
Israel,ISR,1993,0.10000116
Israel,ISR,1994,0.08122702
Israel,ISR,1995,0.08213687
Israel,ISR,1996,0.0736888
Israel,ISR,1997,0.071202755
Israel,ISR,1998,0.06583036
Israel,ISR,1999,0.084124655
Israel,ISR,2000,0.07032349
Israel,ISR,2001,0.045506258
Israel,ISR,2002,0.06593407
Israel,ISR,2003,0.08503401
Israel,ISR,2004,0.08460237
Israel,ISR,2005,0.082287595
Israel,ISR,2006,0.03955696
Israel,ISR,2007,0.03718163
Israel,ISR,2008,0.070434935
Israel,ISR,2009,0.16444363
Israel,ISR,2010,0.29035014
Israel,ISR,2011,0.50335574
Israel,ISR,2012,0.77765435
Israel,ISR,2013,0.92954993
Israel,ISR,2014,1.5773907
Israel,ISR,2015,1.8994238
Israel,ISR,2016,2.5369346
Israel,ISR,2017,2.5059311
Israel,ISR,2018,2.546195
Israel,ISR,2019,4.5769763
Israel,ISR,2020,6.0765815
Israel,ISR,2021,7.5397363
Israel,ISR,2022,9.945989
Jordan,JOR,2000,0.5427408
Jordan,JOR,2001,0.530504
Jordan,JOR,2002,0.61576355
Jordan,JOR,2003,0.62266505
Jordan,JOR,2004,0.66964287
Jordan,JOR,2005,0.6217617
Jordan,JOR,2006,0.53956836
Jordan,JOR,2007,0.54559624
Jordan,JOR,2008,0.49469966
Jordan,JOR,2009,0.49019608
Jordan,JOR,2010,0.473613
Jordan,JOR,2011,0.40983605
Jordan,JOR,2012,0.42194092
Jordan,JOR,2013,0.34762457
Jordan,JOR,2014,0.38314176
Jordan,JOR,2015,1.2067157
Jordan,JOR,2016,4.3721404
Jordan,JOR,2017,6.737247
Jordan,JOR,2018,10.603829
Jordan,JOR,2019,14.417925
Jordan,JOR,2020,18.937197
Jordan,JOR,2021,22.98689
Jordan,JOR,2022,22.862368
Kazakhstan,KAZ,1990,8.429944
Kazakhstan,KAZ,1991,8.373067
Kazakhstan,KAZ,1992,8.255778
Kazakhstan,KAZ,1993,9.794708
Kazakhstan,KAZ,1994,13.74575
Kazakhstan,KAZ,1995,12.482957
Kazakhstan,KAZ,1996,12.478934
Kazakhstan,KAZ,1997,12.498077
Kazakhstan,KAZ,1998,12.331325
Kazakhstan,KAZ,1999,12.96406
Kazakhstan,KAZ,2000,14.581719
Kazakhstan,KAZ,2001,14.590104
Kazakhstan,KAZ,2002,15.240871
Kazakhstan,KAZ,2003,13.498278
Kazakhstan,KAZ,2004,12.0388365
Kazakhstan,KAZ,2005,11.572438
Kazakhstan,KAZ,2006,10.842869
Kazakhstan,KAZ,2007,10.663012
Kazakhstan,KAZ,2008,9.284381
Kazakhstan,KAZ,2009,8.738727
Kazakhstan,KAZ,2010,9.703569
Kazakhstan,KAZ,2011,9.101409
Kazakhstan,KAZ,2012,8.43081
Kazakhstan,KAZ,2013,8.34683
Kazakhstan,KAZ,2014,8.738378
Kazakhstan,KAZ,2015,10.310966
Kazakhstan,KAZ,2016,12.659833
Kazakhstan,KAZ,2017,11.28782
Kazakhstan,KAZ,2018,10.170598
Kazakhstan,KAZ,2019,10.415101
Kazakhstan,KAZ,2020,10.991439
Kazakhstan,KAZ,2021,10.940215
Kazakhstan,KAZ,2022,11.791542
Kazakhstan,KAZ,2023,12.759045
Kuwait,KWT,1990,0
Kuwait,KWT,1991,0
Kuwait,KWT,1992,0
Kuwait,KWT,1993,0
Kuwait,KWT,1994,0
Kuwait,KWT,1995,0
Kuwait,KWT,1996,0
Kuwait,KWT,1997,0
Kuwait,KWT,1998,0
Kuwait,KWT,1999,0
Kuwait,KWT,2000,0
Kuwait,KWT,2001,0
Kuwait,KWT,2002,0
Kuwait,KWT,2003,0
Kuwait,KWT,2004,0
Kuwait,KWT,2005,0
Kuwait,KWT,2006,0
Kuwait,KWT,2007,0
Kuwait,KWT,2008,0
Kuwait,KWT,2009,0
Kuwait,KWT,2010,0
Kuwait,KWT,2011,0
Kuwait,KWT,2012,0
Kuwait,KWT,2013,0.01639613
Kuwait,KWT,2014,0.0153491935
Kuwait,KWT,2015,0.014641288
Kuwait,KWT,2016,0.02853067
Kuwait,KWT,2017,0.05492242
Kuwait,KWT,2018,0.080906145
Kuwait,KWT,2019,0.17317171
Kuwait,KWT,2020,0.28093645
Kuwait,KWT,2021,0.23520674
Kuwait,KWT,2022,0.23140113
Kuwait,KWT,2023,0.22016734
Kyrgyzstan,KGZ,2000,85.48896
Kyrgyzstan,KGZ,2001,83.119514
Kyrgyzstan,KGZ,2002,82.28043
Kyrgyzstan,KGZ,2003,86.658035
Kyrgyzstan,KGZ,2004,86.32426
Kyrgyzstan,KGZ,2005,85.48278
Kyrgyzstan,KGZ,2006,84.87972
Kyrgyzstan,KGZ,2007,85.78231
Kyrgyzstan,KGZ,2008,85.714294
Kyrgyzstan,KGZ,2009,92.0765
Kyrgyzstan,KGZ,2010,91.74312
Kyrgyzstan,KGZ,2011,93.27115
Kyrgyzstan,KGZ,2012,93.41318
Kyrgyzstan,KGZ,2013,93.3908
Kyrgyzstan,KGZ,2014,91.19889
Kyrgyzstan,KGZ,2015,85.06192
Kyrgyzstan,KGZ,2016,86.539925
Kyrgyzstan,KGZ,2017,91.476906
Kyrgyzstan,KGZ,2018,90.949936
Kyrgyzstan,KGZ,2019,91.58317
Kyrgyzstan,KGZ,2020,90.77922
Kyrgyzstan,KGZ,2021,85.60105
Kyrgyzstan,KGZ,2022,85.92058
Lebanon,LBN,2000,4.4221106
Lebanon,LBN,2001,3.316583
Lebanon,LBN,2002,5.8008657
Lebanon,LBN,2003,10.440835
Lebanon,LBN,2004,9.702798
Lebanon,LBN,2005,8.866156
Lebanon,LBN,2006,6.0900264
Lebanon,LBN,2007,5.4872284
Lebanon,LBN,2008,2.9718876
Lebanon,LBN,2009,4.7765794
Lebanon,LBN,2010,5.283259
Lebanon,LBN,2011,4.9079757
Lebanon,LBN,2012,6.0753345
Lebanon,LBN,2013,6.702128
Lebanon,LBN,2014,1.1686144
Lebanon,LBN,2015,2.6824036
Lebanon,LBN,2016,2.215353
Lebanon,LBN,2017,2.2588236
Lebanon,LBN,2018,2.116651
Lebanon,LBN,2019,5.2314816
Lebanon,LBN,2020,6.6885967
Lebanon,LBN,2021,9.284332
Lebanon,LBN,2022,9.452736
Oman,OMN,1985,0
Oman,OMN,1986,0
Oman,OMN,1987,0
Oman,OMN,1988,0
Oman,OMN,1989,0
Oman,OMN,1990,0
Oman,OMN,1991,0
Oman,OMN,1992,0
Oman,OMN,1993,0
Oman,OMN,1994,0
Oman,OMN,1995,0
Oman,OMN,1996,0
Oman,OMN,1997,0
Oman,OMN,1998,0
Oman,OMN,1999,0
Oman,OMN,2000,0
Oman,OMN,2001,0
Oman,OMN,2002,0
Oman,OMN,2003,0
Oman,OMN,2004,0
Oman,OMN,2005,0
Oman,OMN,2006,0
Oman,OMN,2007,0
Oman,OMN,2008,0
Oman,OMN,2009,0
Oman,OMN,2010,0
Oman,OMN,2011,0
Oman,OMN,2012,0
Oman,OMN,2013,0
Oman,OMN,2014,0
Oman,OMN,2015,0
Oman,OMN,2016,0
Oman,OMN,2017,0.05532503
Oman,OMN,2018,0.053008217
Oman,OMN,2019,0.051480055
Oman,OMN,2020,0.54488844
Oman,OMN,2021,0.62984496
Oman,OMN,2022,0.6271778
