Entity,Code,Year,3_1_Renewables_electricity
Afghanistan,AFG,2000,0.31
Afghanistan,AFG,2001,0.5
Afghanistan,AFG,2002,0.56
Afghanistan,AFG,2003,0.63
Afghanistan,AFG,2004,0.56
Afghanistan,AFG,2005,0.59
Afghanistan,AFG,2006,0.64
Afghanistan,AFG,2007,0.75
Afghanistan,AFG,2008,0.54
Afghanistan,AFG,2009,0.78
Afghanistan,AFG,2010,0.75
Afghanistan,AFG,2011,0.6
Afghanistan,AFG,2012,0.74
Afghanistan,AFG,2013,0.89
Afghanistan,AFG,2014,1
Afghanistan,AFG,2015,1.03
Afghanistan,AFG,2016,1.06
Afghanistan,AFG,2017,1.09
Afghanistan,AFG,2018,0.97
Afghanistan,AFG,2019,0.89
Afghanistan,AFG,2020,0.68
Afghanistan,AFG,2021,0.7
Afghanistan,AFG,2022,0.7
Armenia,ARM,2000,1.25
Armenia,ARM,2001,0.96
Armenia,ARM,2002,1.64
Armenia,ARM,2003,1.96
Armenia,ARM,2004,1.98
Armenia,ARM,2005,1.75
Armenia,ARM,2006,1.81
Armenia,ARM,2007,1.83
Armenia,ARM,2008,1.78
Armenia,ARM,2009,2
Armenia,ARM,2010,2.54
Armenia,ARM,2011,2.46
Armenia,ARM,2012,2.3
Armenia,ARM,2013,2.15
Armenia,ARM,2014,1.97
Armenia,ARM,2015,2.18
Armenia,ARM,2016,2.33
Armenia,ARM,2017,2.25
Armenia,ARM,2018,2.31
Armenia,ARM,2019,2.41
Armenia,ARM,2020,1.92
Armenia,ARM,2021,2.49
Armenia,ARM,2022,2.33
Azerbaijan,AZE,1990,1.658
Azerbaijan,AZE,1991,1.7593
Azerbaijan,AZE,1992,1.7473
Azerbaijan,AZE,1993,2.426
Azerbaijan,AZE,1994,1.83
Azerbaijan,AZE,1995,1.556
Azerbaijan,AZE,1996,1.537
Azerbaijan,AZE,1997,1.712
Azerbaijan,AZE,1998,1.951
Azerbaijan,AZE,1999,1.506
Azerbaijan,AZE,2000,1.52
Azerbaijan,AZE,2001,1.29
Azerbaijan,AZE,2002,2
Azerbaijan,AZE,2003,2.44
Azerbaijan,AZE,2004,2.73
Azerbaijan,AZE,2005,2.98
Azerbaijan,AZE,2006,2.49
Azerbaijan,AZE,2007,2.34
Azerbaijan,AZE,2008,2.21
Azerbaijan,AZE,2009,2.29
Azerbaijan,AZE,2010,3.41
Azerbaijan,AZE,2011,2.65
Azerbaijan,AZE,2012,1.8
Azerbaijan,AZE,2013,1.56
Azerbaijan,AZE,2014,1.37
Azerbaijan,AZE,2015,1.71
Azerbaijan,AZE,2016,2.09
Azerbaijan,AZE,2017,1.88
Azerbaijan,AZE,2018,1.95
Azerbaijan,AZE,2019,1.79
Azerbaijan,AZE,2020,1.32
Azerbaijan,AZE,2021,1.52
Azerbaijan,AZE,2022,1.84
Georgia,GEO,2000,5.8
Georgia,GEO,2001,5.49
Georgia,GEO,2002,6.7
Georgia,GEO,2003,6.46
Georgia,GEO,2004,5.99
Georgia,GEO,2005,6.17
Georgia,GEO,2006,5.26
Georgia,GEO,2007,6.75
Georgia,GEO,2008,7.09
Georgia,GEO,2009,7.34
Georgia,GEO,2010,9.27
Georgia,GEO,2011,7.81
Georgia,GEO,2012,7.15
Georgia,GEO,2013,8.19
Georgia,GEO,2014,8.25
Georgia,GEO,2015,8.37
Georgia,GEO,2016,9.25
Georgia,GEO,2017,9.21
Georgia,GEO,2018,9.93
Georgia,GEO,2019,9.02
Georgia,GEO,2020,8.34
Georgia,GEO,2021,10.26
Georgia,GEO,2022,10.86
Georgia,GEO,2023,10.94
Iran,IRN,1990,7.381
Iran,IRN,1991,5.607
Iran,IRN,1992,9.204
Iran,IRN,1993,10.533
Iran,IRN,1994,6.896
Iran,IRN,1995,8.323
Iran,IRN,1996,8.814
Iran,IRN,1997,5.941
Iran,IRN,1998,7.488
Iran,IRN,1999,5.178
Iran,IRN,2000,3.82
Iran,IRN,2001,4.15
Iran,IRN,2002,8.04
Iran,IRN,2003,9.62
Iran,IRN,2004,11.98
Iran,IRN,2005,14.52
Iran,IRN,2006,18.64
Iran,IRN,2007,18.1
Iran,IRN,2008,7.64
Iran,IRN,2009,6.95
Iran,IRN,2010,10.43
Iran,IRN,2011,10.91
Iran,IRN,2012,12.8
Iran,IRN,2013,14.86
Iran,IRN,2014,14.75
Iran,IRN,2015,13.41
Iran,IRN,2016,15.6
Iran,IRN,2017,17.66
Iran,IRN,2018,10.83
Iran,IRN,2019,35.11
Iran,IRN,2020,24.93
Iran,IRN,2021,16.65
Iran,IRN,2022,9.45
Iran,IRN,2023,15.95
Israel,ISR,1990,0.003
Israel,ISR,1991,0.006
Israel,ISR,1992,0.029
Israel,ISR,1993,0.026
Israel,ISR,1994,0.023
Israel,ISR,1995,0.025
Israel,ISR,1996,0.024
Israel,ISR,1997,0.025
Israel,ISR,1998,0.025
Israel,ISR,1999,0.033
Israel,ISR,2000,0.03
Israel,ISR,2001,0.02
Israel,ISR,2002,0.03
Israel,ISR,2003,0.04
Israel,ISR,2004,0.04
Israel,ISR,2005,0.04
Israel,ISR,2006,0.02
Israel,ISR,2007,0.02
Israel,ISR,2008,0.04
Israel,ISR,2009,0.09
Israel,ISR,2010,0.17
Israel,ISR,2011,0.3
Israel,ISR,2012,0.49
Israel,ISR,2013,0.57
Israel,ISR,2014,0.96
Israel,ISR,2015,1.22
Israel,ISR,2016,1.7
Israel,ISR,2017,1.69
Israel,ISR,2018,1.75
Israel,ISR,2019,3.3
Israel,ISR,2020,4.38
Israel,ISR,2021,5.55
Israel,ISR,2022,7.55
Jordan,JOR,2000,0.04
Jordan,JOR,2001,0.04
Jordan,JOR,2002,0.05
Jordan,JOR,2003,0.05
Jordan,JOR,2004,0.06
Jordan,JOR,2005,0.06
Jordan,JOR,2006,0.06
Jordan,JOR,2007,0.07
Jordan,JOR,2008,0.07
Jordan,JOR,2009,0.07
Jordan,JOR,2010,0.07
Jordan,JOR,2011,0.06
Jordan,JOR,2012,0.07
