Entity,Code,Year,3_0_Energy_intensity
Afghanistan,AFG,2000,0.45555591602635387
Afghanistan,AFG,2001,0.48333372264909746
Afghanistan,AFG,2002,0.3888891933772564
Afghanistan,AFG,2003,0.3888891933772564
Afghanistan,AFG,2004,0.33333361324548727
Afghanistan,AFG,2005,0.391666970728159
Afghanistan,AFG,2006,0.416667
Afghanistan,AFG,2007,0.4250003320527077
Afghanistan,AFG,2008,0.5388893358945847
Afghanistan,AFG,2009,0.6250005000000001
Afghanistan,AFG,2010,0.6833338905963898
Afghanistan,AFG,2011,0.897222945298195
Afghanistan,AFG,2012,0.7250005508599282
Afghanistan,AFG,2013,0.6833338905963898
Afghanistan,AFG,2014,0.6250005000000001
Afghanistan,AFG,2015,0.6583338282108308
Afghanistan,AFG,2016,0.6222227226490975
Afghanistan,AFG,2017,0.6388893867545128
Afghanistan,AFG,2018,0.6777783358945847
Afghanistan,AFG,2019,0.669445003841877
Armenia,ARM,2000,1.8861126094036105
Armenia,ARM,2001,1.7138902811927796
Armenia,ARM,2002,1.4166677735090256
Armenia,ARM,2003,1.3111121017198564
Armenia,ARM,2004,1.2555565547018053
Armenia,ARM,2005,1.3222233435783388
Armenia,ARM,2006,1.188889898280144
Armenia,ARM,2007,1.1666675470180512
Armenia,ARM,2008,1.1472231717891694
Armenia,ARM,2009,1.161111992316246
Armenia,ARM,2010,1.0805564491400719
Armenia,ARM,2011,1.1277786641054155
Armenia,ARM,2012,1.1527787264909746
Armenia,ARM,2013,1.0888897811927796
Armenia,ARM,2014,1.1416676170873643
Armenia,ARM,2015,1.144445328210831
Armenia,ARM,2016,1.0916675585436821
Armenia,ARM,2017,1.0722230508599282
Armenia,ARM,2018,0.9750007773509026
Armenia,ARM,2019,0.9805563320527078
Azerbaijan,AZE,2000,4.01666989059639
Azerbaijan,AZE,2001,3.7027807188072206
Azerbaijan,AZE,2002,3.419447296560288
Azerbaijan,AZE,2003,3.261113656421662
Azerbaijan,AZE,2004,3.138891452981949
Azerbaijan,AZE,2005,2.5777797658252717
Azerbaijan,AZE,2006,1.888890452981949
Azerbaijan,AZE,2007,1.4250011717891695
Azerbaijan,AZE,2008,1.4305567264909747
Azerbaijan,AZE,2009,1.16944539059639
Azerbaijan,AZE,2010,1.061111941456318
Azerbaijan,AZE,2011,1.1666675470180512
Azerbaijan,AZE,2012,1.2416676017198565
Azerbaijan,AZE,2013,1.188889898280144
Azerbaijan,AZE,2014,1.194445452981949
Azerbaijan,AZE,2015,1.1833343435783388
Azerbaijan,AZE,2016,1.2083342735090257
Azerbaijan,AZE,2017,1.2138898282108308
Azerbaijan,AZE,2018,1.2000010076837542
Azerbaijan,AZE,2019,1.2805566170873643
Georgia,GEO,2000,1.6638901564216615
Georgia,GEO,2001,1.4222233282108308
Georgia,GEO,2002,1.333334452981949
Georgia,GEO,2003,1.2777787735090256
Georgia,GEO,2004,1.2416676017198565
Georgia,GEO,2005,1.1583342811927797
Georgia,GEO,2006,1.1277786641054155
Georgia,GEO,2007,1.105556445298195
Georgia,GEO,2008,0.9694452226490975
Georgia,GEO,2009,1.0388897226490976
Georgia,GEO,2010,0.9861118867545129
Georgia,GEO,2011,1.0416675000000002
Georgia,GEO,2012,1.0222230585436822
Georgia,GEO,2013,1.1083342226490975
Georgia,GEO,2014,1.1333342188072206
Georgia,GEO,2015,1.161111992316246
Georgia,GEO,2016,1.1666675470180512
Georgia,GEO,2017,1.1222231094036104
Georgia,GEO,2018,1.061111941456318
Georgia,GEO,2019,1.0638897188072205
Iran,IRN,2000,2.166668452981949
Iran,IRN,2001,2.330557515367508
Iran,IRN,2002,2.2472240623855595
Iran,IRN,2003,2.136112835894585
Iran,IRN,2004,2.2305572658252717
Iran,IRN,2005,2.4000020153675083
Iran,IRN,2006,2.388890905963898
Iran,IRN,2007,2.336112937614441
Iran,IRN,2008,2.4972241564216615
Iran,IRN,2009,2.4694465153675083
Iran,IRN,2010,2.3333350940361024
Iran,IRN,2011,2.3194464059638977
Iran,IRN,2012,2.6138909376144412
Iran,IRN,2013,2.672224328210831
Iran,IRN,2014,2.741668828210831
Iran,IRN,2015,2.772224312843323
Iran,IRN,2016,2.525002062385559
Iran,IRN,2017,2.6500021094036104
Iran,IRN,2018,2.886113515367508
Iran,IRN,2019,3.088891328210831
Israel,ISR,2000,1.0722230508599282
Israel,ISR,2001,1.125000952981949
Israel,ISR,2002,1.105556445298195
Israel,ISR,2003,1.1472231717891694
Israel,ISR,2004,1.0722230508599282
Israel,ISR,2005,0.991667441456318
Israel,ISR,2006,1.0333341679472925
Israel,ISR,2007,1.0027785508599283
Israel,ISR,2008,1.0694452735090256
Israel,ISR,2009,0.9972229961581232
Israel,ISR,2010,1.016667503841877
Israel,ISR,2011,0.9694452226490975
Israel,ISR,2012,0.9611118905963899
Israel,ISR,2013,0.8416673320527077
Israel,ISR,2014,0.783333941456318
Israel,ISR,2015,0.8055562264909745
Israel,ISR,2016,0.7805561641054154
Israel,ISR,2017,0.7416672811927796
Israel,ISR,2018,0.7361117264909744
Israel,ISR,2019,0.6972227773509027
Jordan,JOR,2000,1.263889952981949
Jordan,JOR,2001,1.188889898280144
Jordan,JOR,2002,1.1805565
Jordan,JOR,2003,1.1583342811927797
Jordan,JOR,2004,1.2833343282108307
Jordan,JOR,2005,1.2722232188072207
Jordan,JOR,2006,1.2083342735090257
Jordan,JOR,2007,1.175000945298195
Jordan,JOR,2008,1.0750008282108308
Jordan,JOR,2009,1.0805564491400719
Jordan,JOR,2010,1.0055563282108309
Jordan,JOR,2011,0.9722230000000001
Jordan,JOR,2012,1.0555563867545128
Jordan,JOR,2013,1.0138897264909745
Jordan,JOR,2014,1.036111945298195
Jordan,JOR,2015,1.066667496158123
Jordan,JOR,2016,1.0777786717891693
Jordan,JOR,2017,1.1138898435783386
Jordan,JOR,2018,1.061111941456318
Jordan,JOR,2019,1.0555563867545128
Kazakhstan,KAZ,2000,2.7138911871566775
Kazakhstan,KAZ,2001,2.3138907188072206
Kazakhstan,KAZ,2002,2.425001812843323
Kazakhstan,KAZ,2003,2.405557437614441
Kazakhstan,KAZ,2004,2.5861132965602875
Kazakhstan,KAZ,2005,2.363890843578339
Kazakhstan,KAZ,2006,2.5416685940361026
Kazakhstan,KAZ,2007,2.5444464376144413
Kazakhstan,KAZ,2008,2.6055576717891697
Kazakhstan,KAZ,2009,2.33889078119278
Kazakhstan,KAZ,2010,2.375001952981949
Kazakhstan,KAZ,2011,2.4722240940361027
Kazakhstan,KAZ,2012,2.255557328210831
Kazakhstan,KAZ,2013,2.3472240470180514
Kazakhstan,KAZ,2014,1.800001445298195
Kazakhstan,KAZ,2015,1.4944456717891694
Kazakhstan,KAZ,2016,1.7277791017198565
Kazakhstan,KAZ,2017,1.6888902188072206
Kazakhstan,KAZ,2018,1.8472237264909745
Kazakhstan,KAZ,2019,1.7416680547018053
Kuwait,KWT,2000,1.919445937614441
Kuwait,KWT,2001,2.0444461170873645
Kuwait,KWT,2002,2.0027793905963898
Kuwait,KWT,2003,1.8305570623855592
Kuwait,KWT,2004,1.8333347735090257
Kuwait,KWT,2005,1.8833348982801439
Kuwait,KWT,2006,1.611112452981949
Kuwait,KWT,2007,1.4666678982801438
Kuwait,KWT,2008,1.6972236170873642
Kuwait,KWT,2009,1.9000015623855593
Kuwait,KWT,2010,2.06111278119278
Kuwait,KWT,2011,1.8277792188072206
Kuwait,KWT,2012,1.8527792811927797
Kuwait,KWT,2013,1.5472235076837542
Kuwait,KWT,2014,1.5777789923162462
Kuwait,KWT,2015,1.9666682188072206
Kuwait,KWT,2016,2.027779452981949
Kuwait,KWT,2017,1.9944459923162463
Kuwait,KWT,2018,1.963890507683754
Kuwait,KWT,2019,2.0555572264909747
Kyrgyzstan,KGZ,2000,1.788890335894585
Kyrgyzstan,KGZ,2001,1.5777789923162462
Kyrgyzstan,KGZ,2002,1.7750013829126359
Kyrgyzstan,KGZ,2003,1.7638902735090258
Kyrgyzstan,KGZ,2004,1.6250012735090258
Kyrgyzstan,KGZ,2005,1.647223492316246
Kyrgyzstan,KGZ,2006,1.572223437614441
Kyrgyzstan,KGZ,2007,1.6888902188072206
Kyrgyzstan,KGZ,2008,1.666668
Kyrgyzstan,KGZ,2009,1.4805567188072206
Kyrgyzstan,KGZ,2010,1.4194456170873644
Kyrgyzstan,KGZ,2011,1.611112452981949
Kyrgyzstan,KGZ,2012,2.0138905
Kyrgyzstan,KGZ,2013,1.711112437614441
Kyrgyzstan,KGZ,2014,1.72500139059639
Kyrgyzstan,KGZ,2015,1.616668007683754
Kyrgyzstan,KGZ,2016,1.5027789376144411
Kyrgyzstan,KGZ,2017,1.4305567264909747
Kyrgyzstan,KGZ,2018,1.6333346717891695
Kyrgyzstan,KGZ,2019,1.37777889059639
Lebanon,LBN,2000,1.036111945298195
Lebanon,LBN,2001,1.0722230508599282
Lebanon,LBN,2002,1.03055639059639
Lebanon,LBN,2003,0.9972229961581232
Lebanon,LBN,2004,0.9444452264909745
Lebanon,LBN,2005,0.8777785038418771
Lebanon,LBN,2006,0.8027784491400719
Lebanon,LBN,2007,0.6277782773509026
Lebanon,LBN,2008,0.7500006132454873
Lebanon,LBN,2009,0.8666673282108308
Lebanon,LBN,2010,0.7722228320527077
Lebanon,LBN,2011,0.7638895000000001
Lebanon,LBN,2012,0.8444451094036103
Lebanon,LBN,2013,0.7972228282108308
Lebanon,LBN,2014,0.827778445298195
Lebanon,LBN,2015,0.9083340547018052
Lebanon,LBN,2016,0.922222941456318
Lebanon,LBN,2017,0.9694452226490975
Lebanon,LBN,2018,0.9333340508599283
Lebanon,LBN,2019,1.0055563282108309
Oman,OMN,2000,1.1361120623855592
Oman,OMN,2001,1.105556445298195
Oman,OMN,2002,1.188889898280144
Oman,OMN,2003,1.269445507683754
Oman,OMN,2004,1.3083343905963898
Oman,OMN,2005,1.4388899923162461
Oman,OMN,2006,2.127779437614441
Oman,OMN,2007,2.3333350940361024
Oman,OMN,2008,1.8972237188072207
Oman,OMN,2009,1.8222236641054155
Oman,OMN,2010,2.097223952981949
Oman,OMN,2011,2.4222242341747284
Oman,OMN,2012,2.3972241717891696
Oman,OMN,2013,2.336112937614441
Oman,OMN,2014,2.3000017658252716
Oman,OMN,2015,2.28055739059639
Oman,OMN,2016,2.1000016641054153
Oman,OMN,2017,2.241668375228882
Oman,OMN,2018,2.1638906094036106
Oman,OMN,2019,2.008334945298195
Pakistan,PAK,2000,1.6027790547018053
Pakistan,PAK,2001,1.572223437614441
Pakistan,PAK,2002,1.5583346170873644
Pakistan,PAK,2003,1.541667952981949
Pakistan,PAK,2004,1.536112398280144
Pakistan,PAK,2005,1.4944456717891694
Pakistan,PAK,2006,1.472223452981949
Pakistan,PAK,2007,1.4861122735090257
Pakistan,PAK,2008,1.4361122811927796
Pakistan,PAK,2009,1.4166677735090256
Pakistan,PAK,2010,1.4166677735090256
Pakistan,PAK,2011,1.3888900000000002
Pakistan,PAK,2012,1.358334382912636
Pakistan,PAK,2013,1.333334452981949
Pakistan,PAK,2014,1.3305566094036103
Pakistan,PAK,2015,1.3083343905963898
Pakistan,PAK,2016,1.300000992316246
Pakistan,PAK,2017,1.2916677264909746
Pakistan,PAK,2018,1.244445445298195
Pakistan,PAK,2019,1.2750010623855592
Palestine,PSE,2000,0.7916672735090257
Palestine,PSE,2001,0.7500006132454873
Palestine,PSE,2002,0.8638895508599282
Palestine,PSE,2003,0.8166673358945847
Palestine,PSE,2004,0.9444452264909745
Palestine,PSE,2005,0.9944452188072206
Palestine,PSE,2006,0.8888896132454873
Palestine,PSE,2007,0.8888896132454873
Palestine,PSE,2008,0.7916672735090257
Palestine,PSE,2009,0.7444450585436821
Palestine,PSE,2010,0.7250005508599282
Palestine,PSE,2011,0.7250005508599282
Palestine,PSE,2012,0.6750005585436821
Palestine,PSE,2013,0.6777783358945847
Palestine,PSE,2014,0.7666672773509027
Palestine,PSE,2015,0.7805561641054154
Palestine,PSE,2016,0.7611117226490975
Palestine,PSE,2017,0.7444450585436821
Palestine,PSE,2018,0.7083338867545128
Palestine,PSE,2019,0.7638895000000001
Qatar,QAT,2000,2.4777797811927798
Qatar,QAT,2001,2.6361131564216618
Qatar,QAT,2002,2.7805578435783387
Qatar,QAT,2003,2.7750021564216616
Qatar,QAT,2004,2.7444466717891696
Qatar,QAT,2005,2.552779703439713
Qatar,QAT,2006,2.377779796560288
Qatar,QAT,2007,2.2777795470180515
Qatar,QAT,2008,1.9888904376144412
Qatar,QAT,2009,1.8944460076837542
Qatar,QAT,2010,1.7722236717891695
Qatar,QAT,2011,1.472223452981949
Qatar,QAT,2012,1.9361126017198564
Qatar,QAT,2013,1.958334952981949
Qatar,QAT,2014,1.8333347735090257
Qatar,QAT,2015,1.7555570076837541
Qatar,QAT,2016,1.6333346717891695
Qatar,QAT,2017,1.888890452981949
Qatar,QAT,2018,1.79444589059639
Qatar,QAT,2019,1.8861126094036105
Saudi Arabia,SAU,2000,1.313889945298195
Saudi Arabia,SAU,2001,1.363889937614441
