Entity,Code,Year,4_1_ExpSchoolYears
Afghanistan,AFG,1990,2.50405
Afghanistan,AFG,1991,2.80655
Afghanistan,AFG,1992,3.10905
Afghanistan,AFG,1993,3.41155
Afghanistan,AFG,1994,3.71405
Afghanistan,AFG,1995,4.01655
Afghanistan,AFG,1996,4.3190503
Afghanistan,AFG,1997,4.62155
Afghanistan,AFG,1998,4.9240503
Afghanistan,AFG,1999,5.22655
Afghanistan,AFG,2000,5.5290504
Afghanistan,AFG,2001,5.83155
Afghanistan,AFG,2002,6.1340504
Afghanistan,AFG,2003,6.43655
Afghanistan,AFG,2004,7.39388
Afghanistan,AFG,2005,7.660418
Afghanistan,AFG,2006,7.926956
Afghanistan,AFG,2007,8.193494
Afghanistan,AFG,2008,8.460032
Afghanistan,AFG,2009,8.72657
Afghanistan,AFG,2010,9.002689
Afghanistan,AFG,2011,9.27881
Afghanistan,AFG,2012,9.577323
Afghanistan,AFG,2013,9.875836
Afghanistan,AFG,2014,10.17435
Afghanistan,AFG,2015,10.18015
Afghanistan,AFG,2016,10.185949
Afghanistan,AFG,2017,10.19175
Afghanistan,AFG,2018,10.19755
Afghanistan,AFG,2019,10.263844
Afghanistan,AFG,2020,10.263844
Afghanistan,AFG,2021,10.263844
Armenia,ARM,1990,10.927313
Armenia,ARM,1991,10.84546
Armenia,ARM,1992,10.76422
Armenia,ARM,1993,10.92055
Armenia,ARM,1994,10.61419
Armenia,ARM,1995,10.396154
Armenia,ARM,1996,10.17812
Armenia,ARM,1997,10.53719
Armenia,ARM,1998,11.18412
Armenia,ARM,1999,11.37173
Armenia,ARM,2000,11.18804
Armenia,ARM,2001,10.92091
Armenia,ARM,2002,10.95649
Armenia,ARM,2003,10.99207
Armenia,ARM,2004,11.02765
Armenia,ARM,2005,11.38528
Armenia,ARM,2006,11.92465
Armenia,ARM,2007,12.61629
Armenia,ARM,2008,12.41085
Armenia,ARM,2009,12.9568
Armenia,ARM,2010,13.08649
Armenia,ARM,2011,13.12233
Armenia,ARM,2012,13.116395
Armenia,ARM,2013,13.11046
Armenia,ARM,2014,13.10354
Armenia,ARM,2015,12.96795
Armenia,ARM,2016,13.001503
Armenia,ARM,2017,13.035057
Armenia,ARM,2018,13.06861
Armenia,ARM,2019,13.10609
Armenia,ARM,2020,13.11676
Armenia,ARM,2021,13.11676
Azerbaijan,AZE,1990,11.06904
Azerbaijan,AZE,1991,11.00049
Azerbaijan,AZE,1992,11.03786
Azerbaijan,AZE,1993,10.80309
Azerbaijan,AZE,1994,10.44034
Azerbaijan,AZE,1995,10.23557
Azerbaijan,AZE,1996,9.93856
Azerbaijan,AZE,1997,9.84464
Azerbaijan,AZE,1998,10.009656
Azerbaijan,AZE,1999,10.174672
Azerbaijan,AZE,2000,10.339688
Azerbaijan,AZE,2001,10.504704
Azerbaijan,AZE,2002,10.669721
Azerbaijan,AZE,2003,10.834737
Azerbaijan,AZE,2004,10.999753
Azerbaijan,AZE,2005,11.164769
Azerbaijan,AZE,2006,11.329785
Azerbaijan,AZE,2007,11.4948015
Azerbaijan,AZE,2008,11.659819
Azerbaijan,AZE,2009,11.824835
Azerbaijan,AZE,2010,11.989851
Azerbaijan,AZE,2011,12.154867
Azerbaijan,AZE,2012,12.319883
Azerbaijan,AZE,2013,12.4848995
Azerbaijan,AZE,2014,12.649916
Azerbaijan,AZE,2015,12.814932
Azerbaijan,AZE,2016,12.979948
Azerbaijan,AZE,2017,13.144964
Azerbaijan,AZE,2018,13.30998
Azerbaijan,AZE,2019,13.47167
Azerbaijan,AZE,2020,13.49689
Azerbaijan,AZE,2021,13.49689
Georgia,GEO,1990,12.7942915
Georgia,GEO,1991,12.42761
Georgia,GEO,1992,12.071438
Georgia,GEO,1993,11.715265
Georgia,GEO,1994,11.359093
Georgia,GEO,1995,11.00292
Georgia,GEO,1996,11.24498
Georgia,GEO,1997,11.86952
Georgia,GEO,1998,12.285806
Georgia,GEO,1999,12.70209
Georgia,GEO,2000,13.19788
Georgia,GEO,2001,13.37042
Georgia,GEO,2002,13.54679
Georgia,GEO,2003,13.685
Georgia,GEO,2004,13.67244
Georgia,GEO,2005,13.75941
Georgia,GEO,2006,13.31651
Georgia,GEO,2007,13.69944
Georgia,GEO,2008,13.14264
Georgia,GEO,2009,13.50503
Georgia,GEO,2010,13.63838
Georgia,GEO,2011,13.77173
Georgia,GEO,2012,13.90508
Georgia,GEO,2013,14.03843
Georgia,GEO,2014,14.21274
Georgia,GEO,2015,14.46464
Georgia,GEO,2016,14.68717
Georgia,GEO,2017,15.02782
Georgia,GEO,2018,15.27506
Georgia,GEO,2019,15.61537
Georgia,GEO,2020,15.56852
Georgia,GEO,2021,15.56852
Iran,IRN,1990,10.083642
Iran,IRN,1991,10.219927
Iran,IRN,1992,10.358055
Iran,IRN,1993,10.498049
Iran,IRN,1994,10.6399355
Iran,IRN,1995,10.78374
Iran,IRN,1996,10.9538
Iran,IRN,1997,11.123859
Iran,IRN,1998,11.29392
Iran,IRN,1999,11.46398
Iran,IRN,2000,11.53204
Iran,IRN,2001,11.96055
Iran,IRN,2002,11.93974
Iran,IRN,2003,11.96312
Iran,IRN,2004,11.60905
Iran,IRN,2005,11.53783
Iran,IRN,2006,11.79074
Iran,IRN,2007,12.01554
Iran,IRN,2008,12.61374
Iran,IRN,2009,12.70824
Iran,IRN,2010,12.85377
Iran,IRN,2011,13.31479
Iran,IRN,2012,14.76997
Iran,IRN,2013,14.66059
Iran,IRN,2014,14.65942
Iran,IRN,2015,14.87814
Iran,IRN,2016,14.93214
Iran,IRN,2017,14.81373
Iran,IRN,2018,14.74757
Iran,IRN,2019,14.68141
Iran,IRN,2020,14.61525
Iran,IRN,2021,14.61525
Israel,ISR,1990,12.87395
Israel,ISR,1991,13.21521
Israel,ISR,1992,13.42135
Israel,ISR,1993,13.62749
Israel,ISR,1994,13.673514
Israel,ISR,1995,13.71954
Israel,ISR,1996,13.83496
Israel,ISR,1997,14.34781
Israel,ISR,1998,14.860661
Israel,ISR,1999,15.37351
Israel,ISR,2000,15.29668
Israel,ISR,2001,15.48091
Israel,ISR,2002,16.22185
Israel,ISR,2003,16.0956
Israel,ISR,2004,15.97373
Israel,ISR,2005,15.93305
Israel,ISR,2006,15.83117
Israel,ISR,2007,15.95351
Israel,ISR,2008,15.75246
Israel,ISR,2009,15.86004
Israel,ISR,2010,16.07172
Israel,ISR,2011,16.12238
Israel,ISR,2012,16.09416
Israel,ISR,2013,16.14162
Israel,ISR,2014,16.16893
Israel,ISR,2015,16.17113
Israel,ISR,2016,16.08654
Israel,ISR,2017,16.16283
Israel,ISR,2018,16.12526
Israel,ISR,2019,16.05089
Israel,ISR,2020,16.05089
Israel,ISR,2021,16.05089
