Entity,Code,Year,1_1_ForestArea
Afghanistan,AFG,1990,1208440
Afghanistan,AFG,1991,1208440
Afghanistan,AFG,1992,1208440
Afghanistan,AFG,1993,1208440
Afghanistan,AFG,1994,1208440
Afghanistan,AFG,1995,1208440
Afghanistan,AFG,1996,1208440
Afghanistan,AFG,1997,1208440
Afghanistan,AFG,1998,1208440
Afghanistan,AFG,1999,1208440
Afghanistan,AFG,2000,1208440
Afghanistan,AFG,2001,1208440
Afghanistan,AFG,2002,1208440
Afghanistan,AFG,2003,1208440
Afghanistan,AFG,2004,1208440
Afghanistan,AFG,2005,1208440
Afghanistan,AFG,2006,1208440
Afghanistan,AFG,2007,1208440
Afghanistan,AFG,2008,1208440
Afghanistan,AFG,2009,1208440
Afghanistan,AFG,2010,1208440
Afghanistan,AFG,2011,1208440
Afghanistan,AFG,2012,1208440
Afghanistan,AFG,2013,1208440
Afghanistan,AFG,2014,1208440
Afghanistan,AFG,2015,1208440
Afghanistan,AFG,2016,1208440
Afghanistan,AFG,2017,1208440
Afghanistan,AFG,2018,1208440
Afghanistan,AFG,2019,1208440
Afghanistan,AFG,2020,1208440
Armenia,ARM,1992,334312
Armenia,ARM,1993,334103
Armenia,ARM,1994,333894
Armenia,ARM,1995,333685
Armenia,ARM,1996,333476
Armenia,ARM,1997,333267
Armenia,ARM,1998,333058
Armenia,ARM,1999,332849
Armenia,ARM,2000,332640
Armenia,ARM,2001,332432
Armenia,ARM,2002,332224
Armenia,ARM,2003,332016
Armenia,ARM,2004,331808
Armenia,ARM,2005,331600
Armenia,ARM,2006,331392
Armenia,ARM,2007,331184
Armenia,ARM,2008,330976
Armenia,ARM,2009,330768
Armenia,ARM,2010,330560
Armenia,ARM,2011,330352
Armenia,ARM,2012,330144
Armenia,ARM,2013,329936
Armenia,ARM,2014,329728
Armenia,ARM,2015,329520
Armenia,ARM,2016,329310
Armenia,ARM,2017,329100
Armenia,ARM,2018,328890
Armenia,ARM,2019,328680
Armenia,ARM,2020,328470
Azerbaijan,AZE,1992,953236
Azerbaijan,AZE,1993,957484
Azerbaijan,AZE,1994,961732
Azerbaijan,AZE,1995,965980
Azerbaijan,AZE,1996,970228
Azerbaijan,AZE,1997,974476
Azerbaijan,AZE,1998,978724
Azerbaijan,AZE,1999,982972
Azerbaijan,AZE,2000,987220
Azerbaijan,AZE,2001,991747.5
Azerbaijan,AZE,2002,996274.9
Azerbaijan,AZE,2003,1000802.4
Azerbaijan,AZE,2004,1005329.8
Azerbaijan,AZE,2005,1009857.3
Azerbaijan,AZE,2006,1014384.8
Azerbaijan,AZE,2007,1018912.2
Azerbaijan,AZE,2008,1023439.7
Azerbaijan,AZE,2009,1027967.1
Azerbaijan,AZE,2010,1032494.6
Azerbaijan,AZE,2011,1041573.1
Azerbaijan,AZE,2012,1050651.5
Azerbaijan,AZE,2013,1059730
Azerbaijan,AZE,2014,1068808.5
Azerbaijan,AZE,2015,1077887
Azerbaijan,AZE,2016,1088663.6
Azerbaijan,AZE,2017,1099440.2
Azerbaijan,AZE,2018,1110216.8
Azerbaijan,AZE,2019,1120993.4
Azerbaijan,AZE,2020,1131770
Georgia,GEO,1992,2753960
Georgia,GEO,1993,2754790
Georgia,GEO,1994,2755620
Georgia,GEO,1995,2756450
Georgia,GEO,1996,2757280
Georgia,GEO,1997,2758110
Georgia,GEO,1998,2758940
Georgia,GEO,1999,2759770
Georgia,GEO,2000,2760600
Georgia,GEO,2001,2766780
Georgia,GEO,2002,2772960
Georgia,GEO,2003,2779140
Georgia,GEO,2004,2785320
Georgia,GEO,2005,2791500
Georgia,GEO,2006,2797680
Georgia,GEO,2007,2803860
Georgia,GEO,2008,2810040
Georgia,GEO,2009,2816220
