Entity,Code,Year,2_1_GDPPC2015
Afghanistan,AFG,2002,319.84710693359375
Afghanistan,AFG,2003,332.2200012207031
Afghanistan,AFG,2004,322.6679992675781
Afghanistan,AFG,2005,345.9258117675781
Afghanistan,AFG,2006,353.7206115722656
Afghanistan,AFG,2007,392.7104797363281
Afghanistan,AFG,2008,398.97113037109375
Afghanistan,AFG,2009,472.84228515625
Afghanistan,AFG,2010,526.1036987304688
Afghanistan,AFG,2011,511.9985046386719
Afghanistan,AFG,2012,557.94970703125
Afghanistan,AFG,2013,568.9645385742188
Afghanistan,AFG,2014,565.1792602539062
Afghanistan,AFG,2015,556.0072021484375
Afghanistan,AFG,2016,552.9968872070312
Afghanistan,AFG,2017,553.3550415039062
Afghanistan,AFG,2018,546.7429809570312
Afghanistan,AFG,2019,555.1389770507812
Afghanistan,AFG,2020,529.7412109375
Armenia,ARM,1990,1650.5106201171875
Armenia,ARM,1991,1471.086181640625
Armenia,ARM,1992,871.6971435546875
Armenia,ARM,1993,813.829833984375
Armenia,ARM,1994,878.5302124023438
Armenia,ARM,1995,958.5062255859375
Armenia,ARM,1996,1030.4638671875
Armenia,ARM,1997,1076.625
Armenia,ARM,1998,1164.2822265625
Armenia,ARM,1999,1210.3624267578125
Armenia,ARM,2000,1289.88427734375
Armenia,ARM,2001,1422.4766845703125
Armenia,ARM,2002,1619.1121826171875
Armenia,ARM,2003,1855.5968017578125
Armenia,ARM,2004,2062.203125
Armenia,ARM,2005,2364.176025390625
Armenia,ARM,2006,2697.01904296875
Armenia,ARM,2007,3093.369384765625
Armenia,ARM,2008,3335.244140625
Armenia,ARM,2009,2884.33935546875
Armenia,ARM,2010,2958.839111328125
Armenia,ARM,2011,3098.7421875
Armenia,ARM,2012,3312.97998046875
Armenia,ARM,2013,3406.5361328125
Armenia,ARM,2014,3511.22509765625
Armenia,ARM,2015,3607.289306640625
Armenia,ARM,2016,3601.4697265625
Armenia,ARM,2017,3860.218017578125
Armenia,ARM,2018,4051.385009765625
Armenia,ARM,2019,4350.46630859375
Armenia,ARM,2020,4021.046142578125
Azerbaijan,AZE,1990,2820.740966796875
Azerbaijan,AZE,1991,2763.976806640625
Azerbaijan,AZE,1992,2107.22265625
Azerbaijan,AZE,1993,1596.0765380859375
Azerbaijan,AZE,1994,1264.4827880859375
Azerbaijan,AZE,1995,1102.4591064453125
Azerbaijan,AZE,1996,1105.54833984375
Azerbaijan,AZE,1997,1158.44091796875
Azerbaijan,AZE,1998,1262.24755859375
Azerbaijan,AZE,1999,1343.8087158203125
Azerbaijan,AZE,2000,1480.7567138671875
Azerbaijan,AZE,2001,1614.7921142578125
Azerbaijan,AZE,2002,1754.0736083984375
Azerbaijan,AZE,2003,1918.5435791015625
Azerbaijan,AZE,2004,2077.812255859375
Azerbaijan,AZE,2005,2631.759033203125
Azerbaijan,AZE,2006,3501.041748046875
Azerbaijan,AZE,2007,4326.96142578125
Azerbaijan,AZE,2008,4692.912109375
Azerbaijan,AZE,2009,5023.79052734375
Azerbaijan,AZE,2010,5215.02099609375
Azerbaijan,AZE,2011,5152.6572265625
Azerbaijan,AZE,2012,5194.73828125
Azerbaijan,AZE,2013,5425.9052734375
Azerbaijan,AZE,2014,5505.98828125
Azerbaijan,AZE,2015,5500.310546875
Azerbaijan,AZE,2016,5270.552734375
Azerbaijan,AZE,2017,5229.5263671875
Azerbaijan,AZE,2018,5262.18359375
Azerbaijan,AZE,2019,5348.26513671875
Azerbaijan,AZE,2020,5083.3818359375
Georgia,GEO,1965,1796.17138671875
Georgia,GEO,1966,1909.5634765625
Georgia,GEO,1967,2009.1072998046875
Georgia,GEO,1968,2079.690185546875
Georgia,GEO,1969,2158.76708984375
Georgia,GEO,1970,2395.693603515625
Georgia,GEO,1971,2429.473876953125
Georgia,GEO,1972,2473.264404296875
Georgia,GEO,1973,2610.5078125
Georgia,GEO,1974,2815.890625
Georgia,GEO,1975,3001.496826171875
Georgia,GEO,1976,3161.63427734375
Georgia,GEO,1977,3356.7197265625
Georgia,GEO,1978,3585.102783203125
Georgia,GEO,1979,3821.098388671875
Georgia,GEO,1980,3962.421630859375
Georgia,GEO,1981,4137.0625
Georgia,GEO,1982,4184.2900390625
Georgia,GEO,1983,4326.1064453125
Georgia,GEO,1984,4522.10205078125
Georgia,GEO,1985,4704.1474609375
Georgia,GEO,1986,4281.3740234375
Georgia,GEO,1987,4300.611328125
Georgia,GEO,1988,4494.80908203125
Georgia,GEO,1989,4160.4560546875
Georgia,GEO,1990,3546.157958984375
Georgia,GEO,1991,2778.304931640625
Georgia,GEO,1992,1519.0352783203125
Georgia,GEO,1993,1065.735595703125
Georgia,GEO,1994,969.712890625
Georgia,GEO,1995,1033.023193359375
Georgia,GEO,1996,1191.1810302734375
Georgia,GEO,1997,1359.392822265625
Georgia,GEO,1998,1436.7119140625
Georgia,GEO,1999,1508.656494140625
Georgia,GEO,2000,1566.560302734375
Georgia,GEO,2001,1667.508056640625
Georgia,GEO,2002,1774.636474609375
Georgia,GEO,2003,1984.244384765625
Georgia,GEO,2004,2112.26123046875
Georgia,GEO,2005,2329.57080078125
Georgia,GEO,2006,2563.543212890625
Georgia,GEO,2007,2901.10400390625
Georgia,GEO,2008,2980.3095703125
Georgia,GEO,2009,2897.130859375
Georgia,GEO,2010,3100.723388671875
Georgia,GEO,2011,3356.997802734375
Georgia,GEO,2012,3597.203857421875
Georgia,GEO,2013,3738.705078125
Georgia,GEO,2014,3902.56884765625
Georgia,GEO,2015,4014.18603515625
Georgia,GEO,2016,4128.3857421875
Georgia,GEO,2017,4327.7275390625
Georgia,GEO,2018,4539.08740234375
Georgia,GEO,2019,4773.42333984375
Georgia,GEO,2020,4447.6640625
Iran,IRN,1960,2392.80517578125
Iran,IRN,1961,2598.63671875
Iran,IRN,1962,2749.54931640625
Iran,IRN,1963,2873.312255859375
Iran,IRN,1964,3057.031494140625
Iran,IRN,1965,3490.5498046875
Iran,IRN,1966,3781.1318359375
Iran,IRN,1967,4109.58154296875
Iran,IRN,1968,4593.0869140625
