Entity,Code,Year,2_1_GDPPC_Growth
abc,AFG,2003,12.3729
abc,AFG,2004,-9.552
abc,AFG,2005,23.2578
abc,AFG,2006,7.7948
abc,AFG,2007,38.9899
abc,AFG,2008,6.26065
abc,AFG,2009,73.8712
abc,AFG,2010,53.2614
abc,AFG,2011,-14.1052
abc,AFG,2012,45.9512
abc,AFG,2013,11.0148
abc,AFG,2014,-3.78528
abc,AFG,2015,-9.17206
abc,AFG,2016,-3.01031
abc,AFG,2017,0.358154
abc,AFG,2018,-6.61206
abc,AFG,2019,8.396
abc,AFG,2020,-25.3978
abc,ARM,1991,-179.424
abc,ARM,1992,-599.389
abc,ARM,1993,-57.8673
abc,ARM,1994,64.7004
abc,ARM,1995,79.976
abc,ARM,1996,71.9576
abc,ARM,1997,46.1611
abc,ARM,1998,87.6572
abc,ARM,1999,46.0802
abc,ARM,2000,79.5219
abc,ARM,2001,132.592
abc,ARM,2002,196.635
abc,ARM,2003,236.485
abc,ARM,2004,206.606
abc,ARM,2005,301.973
abc,ARM,2006,332.843
abc,ARM,2007,396.35
abc,ARM,2008,241.875
abc,ARM,2009,-450.905
abc,ARM,2010,74.4998
abc,ARM,2011,139.903
abc,ARM,2012,214.238
abc,ARM,2013,93.5562
abc,ARM,2014,104.689
abc,ARM,2015,96.0642
abc,ARM,2016,-5.81958
abc,ARM,2017,258.748
abc,ARM,2018,191.167
abc,ARM,2019,299.081
abc,ARM,2020,-329.42
abc,AZE,1991,-56.7642
abc,AZE,1992,-656.754
abc,AZE,1993,-511.146
abc,AZE,1994,-331.594
abc,AZE,1995,-162.024
abc,AZE,1996,3.08923
abc,AZE,1997,52.8926
abc,AZE,1998,103.807
abc,AZE,1999,81.5612
abc,AZE,2000,136.948
abc,AZE,2001,134.035
abc,AZE,2002,139.281
abc,AZE,2003,164.47
abc,AZE,2004,159.269
abc,AZE,2005,553.947
abc,AZE,2006,869.283
abc,AZE,2007,825.92
abc,AZE,2008,365.951
abc,AZE,2009,330.878
abc,AZE,2010,191.23
abc,AZE,2011,-62.3638
abc,AZE,2012,42.0811
abc,AZE,2013,231.167
abc,AZE,2014,80.083
abc,AZE,2015,-5.67773
abc,AZE,2016,-229.758
abc,AZE,2017,-41.0264
abc,AZE,2018,32.6572
abc,AZE,2019,86.0815
abc,AZE,2020,-264.883
