Entity,Code,Year,2_1_GDP_Growth
abc,AFG,2003,638467072
abc,AFG,2004,111251968
abc,AFG,2005,895964160
abc,AFG,2006,475441152
abc,AFG,2007,1292749824
abc,AFG,2008,417723392
abc,AFG,2009,2365875200
abc,AFG,2010,1928339456
abc,AFG,2011,65465344
abc,AFG,2012,1966411776
abc,AFG,2013,973772800
abc,AFG,2014,500232192
abc,AFG,2015,273725440
abc,AFG,2016,432492544
abc,AFG,2017,517931008
abc,AFG,2018,238852096
abc,AFG,2019,794974208
abc,AFG,2020,-496515072
abc,ARM,1991,-683253760
abc,ARM,1992,-2155427072
abc,ARM,1993,-264096512
abc,ARM,1994,147798016
abc,ARM,1995,199051008
abc,ARM,1996,180880128
abc,ARM,1997,108424448
abc,ARM,1998,246240000
abc,ARM,1999,119440128
abc,ARM,2000,220591104
abc,ARM,2001,380104960
abc,ARM,2002,572817920
abc,ARM,2003,687728640
abc,ARM,2004,588007936
abc,ARM,2005,860143616
abc,ARM,2006,930365952
abc,ARM,2007,1093067264
abc,ARM,2008,625944576
abc,ARM,2009,-1367362048
abc,ARM,2010,183265280
abc,ARM,2011,400134656
abc,ARM,2012,641782784
abc,ARM,2013,315328512
abc,ARM,2014,355347456
abc,ARM,2015,327235584
abc,ARM,2016,21106688
abc,ARM,2017,793082880
abc,ARM,2018,591112192
abc,ARM,2019,908856320
abc,ARM,2020,-952195072
abc,AZE,1991,-141674496
abc,AZE,1992,-4542082048
abc,AZE,1993,-3593349120
abc,AZE,1994,-2356568064
abc,AZE,1995,-1133473792
abc,AZE,1996,110139392
abc,AZE,1997,497777664
abc,AZE,1998,908014592
abc,AZE,1999,739124224
abc,AZE,2000,1190728704
abc,AZE,2001,1179884544
abc,AZE,2002,1236299776
abc,AZE,2003,1463278592
abc,AZE,2004,1461867520
abc,AZE,2005,4825978880
abc,AZE,2006,7619436544
abc,AZE,2007,7426193408
abc,AZE,2008,3994910720
abc,AZE,2009,3823210496
abc,AZE,2010,2269454336
abc,AZE,2011,47218688
abc,AZE,2012,1023414272
abc,AZE,2013,2805506048
abc,AZE,2014,1405362176
abc,AZE,2015,574337024
abc,AZE,2016,-1645305856
abc,AZE,2017,102858752
abc,AZE,2018,772976640
abc,AZE,2019,1307623424
abc,AZE,2020,-2305339392
abc,GEO,1966,530799616
abc,GEO,1967,473416704
abc,GEO,1968,358649344
abc,GEO,1969,401686016
abc,GEO,1970,1061601280
abc,GEO,1971,243881984
abc,GEO,1972,286917632
abc,GEO,1973,674260992
abc,GEO,1974,975524864
abc,GEO,1975,889448448
abc,GEO,1976,789028864
abc,GEO,1977,946832384
abc,GEO,1978,1090292736
abc,GEO,1979,1162023936
abc,GEO,1980,774681600
abc,GEO,1981,932487168
abc,GEO,1982,372994048
abc,GEO,1983,817719296
abc,GEO,1984,1075947520
abc,GEO,1985,1032908800
abc,GEO,1986,-1793245184
abc,GEO,1987,258226176
abc,GEO,1988,1133330432
abc,GEO,1989,-1549363200
abc,GEO,1990,-2955266048
abc,GEO,1991,-3593046016
abc,GEO,1992,-6032586240
abc,GEO,1993,-2169084928
abc,GEO,1994,-544328704
abc,GEO,1995,121929728
abc,GEO,1996,538891776
abc,GEO,1997,562813952
abc,GEO,1998,183600128
abc,GEO,1999,174934016
abc,GEO,2000,115296768
abc,GEO,2001,306927616
abc,GEO,2002,366418432
abc,GEO,2003,780792320
abc,GEO,2004,454358528
abc,GEO,2005,795509760
abc,GEO,2006,856358912
abc,GEO,2007,1251282944
abc,GEO,2008,270849024
abc,GEO,2009,-418698240
abc,GEO,2010,690623488
abc,GEO,2011,868870144
abc,GEO,2012,803154944
abc,GEO,2013,485744640
abc,GEO,2014,616004608
abc,GEO,2015,438681600
abc,GEO,2016,434627584
abc,GEO,2017,745207808
abc,GEO,2018,781346816
abc,GEO,2019,842770432
