Entity,Code,Year,4_1_Happy
Afghanistan,AFG,2006,3.723589897
Afghanistan,AFG,2007,4.401778221
Afghanistan,AFG,2008,4.75838089
Afghanistan,AFG,2009,3.83171916
Afghanistan,AFG,2010,3.782937527
Afghanistan,AFG,2011,3.572100401
Afghanistan,AFG,2012,3.130895615
Afghanistan,AFG,2013,3.982854605
Afghanistan,AFG,2014,4.220168591
Afghanistan,AFG,2015,2.66171813
Afghanistan,AFG,2016,2.694303274
Afghanistan,AFG,2017,2.375091791
Afghanistan,AFG,2019,2.522900105
Afghanistan,AFG,2020,2.403800011
Armenia,ARM,2004,4.289310932
Armenia,ARM,2005,4.881515503
Armenia,ARM,2006,4.651972294
Armenia,ARM,2007,4.177581787
Armenia,ARM,2008,4.367811203
Armenia,ARM,2009,4.260491371
Armenia,ARM,2010,4.319711685
Armenia,ARM,2011,4.277191162
Armenia,ARM,2012,4.453083038
Armenia,ARM,2013,4.34831953
Armenia,ARM,2014,4.325471878
Armenia,ARM,2015,4.287736416
Armenia,ARM,2016,5.062448502
Armenia,ARM,2017,5.4880867
Armenia,ARM,2019,5.282599926
Armenia,ARM,2020,5.398600101
Azerbaijan,AZE,2004,4.727870941
Azerbaijan,AZE,2005,4.56815958
Azerbaijan,AZE,2006,4.817189217
Azerbaijan,AZE,2007,4.573725224
Azerbaijan,AZE,2008,4.218610764
Azerbaijan,AZE,2009,4.680469513
Azerbaijan,AZE,2010,4.910771847
Azerbaijan,AZE,2011,5.481178284
Azerbaijan,AZE,2012,5.25153017
Azerbaijan,AZE,2013,5.146774769
Azerbaijan,AZE,2014,5.303894997
Azerbaijan,AZE,2015,5.152279377
Azerbaijan,AZE,2016,5.167995453
Azerbaijan,AZE,2017,5.173389435
Azerbaijan,AZE,2019,5.170800209
Azerbaijan,AZE,2020,5.173399925
Georgia,GEO,2004,3.675108433
Georgia,GEO,2005,3.707194567
Georgia,GEO,2006,4.15609026
Georgia,GEO,2007,3.800639153
Georgia,GEO,2008,4.101837158
Georgia,GEO,2009,4.203030586
Georgia,GEO,2010,4.254445553
Georgia,GEO,2011,4.348920822
Georgia,GEO,2012,4.287508011
Georgia,GEO,2013,4.121940613
Georgia,GEO,2014,4.448386192
Georgia,GEO,2015,4.45077467
Georgia,GEO,2016,4.659097195
Georgia,GEO,2017,4.89183569
