Entity,Code,Year,5_0_HomicideDeath
Afghanistan,AFG,1990,13.46
Afghanistan,AFG,1991,15.9
Afghanistan,AFG,1992,15.81
Afghanistan,AFG,1993,16.2
Afghanistan,AFG,1994,17.03
Afghanistan,AFG,1995,16.97
Afghanistan,AFG,1996,18.27
Afghanistan,AFG,1997,16.04
Afghanistan,AFG,1998,16.17
Afghanistan,AFG,1999,15.17
Afghanistan,AFG,2000,14.75
Afghanistan,AFG,2001,14.68
Afghanistan,AFG,2002,15.24
Afghanistan,AFG,2003,15.36
Afghanistan,AFG,2004,14.84
Afghanistan,AFG,2005,14.41
Afghanistan,AFG,2006,14.5
Afghanistan,AFG,2007,14.24
Afghanistan,AFG,2008,14.22
Afghanistan,AFG,2009,14.07
Afghanistan,AFG,2010,14.43
Afghanistan,AFG,2011,14.03
Afghanistan,AFG,2012,13.77
Afghanistan,AFG,2013,13.72
Afghanistan,AFG,2014,13.5
Afghanistan,AFG,2015,15
Afghanistan,AFG,2016,14.5
Afghanistan,AFG,2017,14.45
Afghanistan,AFG,2018,14.84
Afghanistan,AFG,2019,13.1
Armenia,ARM,1990,5.25
Armenia,ARM,1991,6.73
Armenia,ARM,1992,6.03
Armenia,ARM,1993,9.24
Armenia,ARM,1994,7.57
Armenia,ARM,1995,7.27
Armenia,ARM,1996,6.23
Armenia,ARM,1997,5.11
Armenia,ARM,1998,5.29
Armenia,ARM,1999,5.14
Armenia,ARM,2000,4.3
Armenia,ARM,2001,3.8
Armenia,ARM,2002,3.81
Armenia,ARM,2003,3.4
Armenia,ARM,2004,4.16
Armenia,ARM,2005,4.67
Armenia,ARM,2006,5.05
Armenia,ARM,2007,6.13
Armenia,ARM,2008,5.11
Armenia,ARM,2009,4.92
Armenia,ARM,2010,4.97
Armenia,ARM,2011,4.89
Armenia,ARM,2012,6.26
Armenia,ARM,2013,5.68
Armenia,ARM,2014,5.58
Armenia,ARM,2015,5.3
Armenia,ARM,2016,5.22
Armenia,ARM,2017,5.06
Armenia,ARM,2018,5.08
Armenia,ARM,2019,5.06
Azerbaijan,AZE,1990,10.35
Azerbaijan,AZE,1991,14.64
Azerbaijan,AZE,1992,22.15
Azerbaijan,AZE,1993,26.12
Azerbaijan,AZE,1994,26.33
Azerbaijan,AZE,1995,19.64
Azerbaijan,AZE,1996,14.66
Azerbaijan,AZE,1997,11.67
Azerbaijan,AZE,1998,9.41
Azerbaijan,AZE,1999,7.57
Azerbaijan,AZE,2000,6.13
Azerbaijan,AZE,2001,5.28
Azerbaijan,AZE,2002,4.7
Azerbaijan,AZE,2003,4.35
Azerbaijan,AZE,2004,4.16
Azerbaijan,AZE,2005,4.02
Azerbaijan,AZE,2006,3.74
Azerbaijan,AZE,2007,3.41
Azerbaijan,AZE,2008,3.49
Azerbaijan,AZE,2009,3.55
Azerbaijan,AZE,2010,3.67
Azerbaijan,AZE,2011,3.65
Azerbaijan,AZE,2012,3.71
Azerbaijan,AZE,2013,3.72
Azerbaijan,AZE,2014,3.73
Azerbaijan,AZE,2015,3.68
Azerbaijan,AZE,2016,3.61
Azerbaijan,AZE,2017,3.61
Azerbaijan,AZE,2018,3.63
Azerbaijan,AZE,2019,3.62
Georgia,GEO,1990,5.62
Georgia,GEO,1991,5.8
Georgia,GEO,1992,4.54
Georgia,GEO,1993,9.45
Georgia,GEO,1994,4.48
Georgia,GEO,1995,2.88
Georgia,GEO,1996,3.19
Georgia,GEO,1997,4.43
Georgia,GEO,1998,6.04
Georgia,GEO,1999,5.4
Georgia,GEO,2000,5.06
Georgia,GEO,2001,5.61
Georgia,GEO,2002,5.56
Georgia,GEO,2003,5.33
Georgia,GEO,2004,5.26
Georgia,GEO,2005,5.24
Georgia,GEO,2006,4.76
Georgia,GEO,2007,4.48
Georgia,GEO,2008,4.44
Georgia,GEO,2009,3.55
Georgia,GEO,2010,4.22
Georgia,GEO,2011,3.52
Georgia,GEO,2012,3.03
Georgia,GEO,2013,3.12
Georgia,GEO,2014,3.72
Georgia,GEO,2015,3.73
Georgia,GEO,2016,3.45
Georgia,GEO,2017,3.46
Georgia,GEO,2018,3.43
Georgia,GEO,2019,3.41
Iran,IRN,1990,2.55
Iran,IRN,1991,2.5
Iran,IRN,1992,2.46
Iran,IRN,1993,2.43
Iran,IRN,1994,2.47
Iran,IRN,1995,2.48
Iran,IRN,1996,2.47
Iran,IRN,1997,2.54
Iran,IRN,1998,2.61
Iran,IRN,1999,2.68
Iran,IRN,2000,2.65
Iran,IRN,2001,2.64
Iran,IRN,2002,2.7
Iran,IRN,2003,2.76
Iran,IRN,2004,2.81
Iran,IRN,2005,2.78
Iran,IRN,2006,2.79
Iran,IRN,2007,2.92
Iran,IRN,2008,3.06
Iran,IRN,2009,3.2
Iran,IRN,2010,3.29
Iran,IRN,2011,3.23
Iran,IRN,2012,3.23
Iran,IRN,2013,3.23
Iran,IRN,2014,3.18
Iran,IRN,2015,3.12
Iran,IRN,2016,3.01
Iran,IRN,2017,2.85
Iran,IRN,2018,2.72
Iran,IRN,2019,2.62
Israel,ISR,1990,2.3
Israel,ISR,1991,2.14
Israel,ISR,1992,2.1
Israel,ISR,1993,2.43
Israel,ISR,1994,2.42
Israel,ISR,1995,2.27
Israel,ISR,1996,2.48
Israel,ISR,1997,2.14
Israel,ISR,1998,2.02
Israel,ISR,1999,2.67
Israel,ISR,2000,3.22
Israel,ISR,2001,3.12
Israel,ISR,2002,3.43
Israel,ISR,2003,3.25
Israel,ISR,2004,3.6
Israel,ISR,2005,3.51
Israel,ISR,2006,3.28
Israel,ISR,2007,2.65
Israel,ISR,2008,2.48
Israel,ISR,2009,2.49
Israel,ISR,2010,2.51
Israel,ISR,2011,2.44
Israel,ISR,2012,2.13
Israel,ISR,2013,2.08
Israel,ISR,2014,2.01
Israel,ISR,2015,2.08
Israel,ISR,2016,1.87
Israel,ISR,2017,1.95
Israel,ISR,2018,1.97
Israel,ISR,2019,1.98
Jordan,JOR,1990,2.83
Jordan,JOR,1991,2.78
Jordan,JOR,1992,2.76
Jordan,JOR,1993,2.86
Jordan,JOR,1994,2.94
Jordan,JOR,1995,3
Jordan,JOR,1996,3.11
Jordan,JOR,1997,3.19
Jordan,JOR,1998,3.41
Jordan,JOR,1999,3.61
Jordan,JOR,2000,3.91
Jordan,JOR,2001,4.13
Jordan,JOR,2002,4.21
Jordan,JOR,2003,4.36
Jordan,JOR,2004,4.37
Jordan,JOR,2005,4.18
Jordan,JOR,2006,3.9
Jordan,JOR,2007,3.73
Jordan,JOR,2008,3.71
Jordan,JOR,2009,3.51
Jordan,JOR,2010,3.37
Jordan,JOR,2011,3.24
Jordan,JOR,2012,3.21
Jordan,JOR,2013,3.13
Jordan,JOR,2014,3.08
Jordan,JOR,2015,3.06
Jordan,JOR,2016,3.08
Jordan,JOR,2017,3.04
Jordan,JOR,2018,3.05
Jordan,JOR,2019,3.03
Kazakhstan,KAZ,1990,12.91
Kazakhstan,KAZ,1991,13.52
Kazakhstan,KAZ,1992,16.35
Kazakhstan,KAZ,1993,17.84
Kazakhstan,KAZ,1994,19.11
Kazakhstan,KAZ,1995,20.08
Kazakhstan,KAZ,1996,19.7
Kazakhstan,KAZ,1997,19.66
Kazakhstan,KAZ,1998,18.91
Kazakhstan,KAZ,1999,18.27
Kazakhstan,KAZ,2000,20.72
Kazakhstan,KAZ,2001,21.02
Kazakhstan,KAZ,2002,20.1
Kazakhstan,KAZ,2003,20.94
Kazakhstan,KAZ,2004,22.35
Kazakhstan,KAZ,2005,21.06
Kazakhstan,KAZ,2006,19.78
Kazakhstan,KAZ,2007,18.54
Kazakhstan,KAZ,2008,16.77
Kazakhstan,KAZ,2009,14.64
Kazakhstan,KAZ,2010,13.89
Kazakhstan,KAZ,2011,13.52
Kazakhstan,KAZ,2012,12.59
Kazakhstan,KAZ,2013,11.17
Kazakhstan,KAZ,2014,9.94
Kazakhstan,KAZ,2015,10
Kazakhstan,KAZ,2016,9.75
