Entity,Code,Year,4_1_hdi_index
Afghanistan,AFG,1990,0.273
Afghanistan,AFG,1991,0.279
Afghanistan,AFG,1992,0.287
Afghanistan,AFG,1993,0.297
Afghanistan,AFG,1994,0.292
Afghanistan,AFG,1995,0.31
Afghanistan,AFG,1996,0.319
Afghanistan,AFG,1997,0.323
Afghanistan,AFG,1998,0.324
Afghanistan,AFG,1999,0.332
Afghanistan,AFG,2000,0.335
Afghanistan,AFG,2001,0.337
Afghanistan,AFG,2002,0.362
Afghanistan,AFG,2003,0.376
Afghanistan,AFG,2004,0.392
Afghanistan,AFG,2005,0.4
Afghanistan,AFG,2006,0.409
Afghanistan,AFG,2007,0.424
Afghanistan,AFG,2008,0.43
Afghanistan,AFG,2009,0.44
Afghanistan,AFG,2010,0.448
Afghanistan,AFG,2011,0.456
Afghanistan,AFG,2012,0.466
Afghanistan,AFG,2013,0.474
Afghanistan,AFG,2014,0.479
Afghanistan,AFG,2015,0.478
Afghanistan,AFG,2016,0.481
Afghanistan,AFG,2017,0.482
Afghanistan,AFG,2018,0.483
Afghanistan,AFG,2019,0.488
Afghanistan,AFG,2020,0.483
Afghanistan,AFG,2021,0.478
Armenia,ARM,1990,0.656
Armenia,ARM,1991,0.649
Armenia,ARM,1992,0.618
Armenia,ARM,1993,0.616
Armenia,ARM,1994,0.62
Armenia,ARM,1995,0.627
Armenia,ARM,1996,0.632
Armenia,ARM,1997,0.641
Armenia,ARM,1998,0.654
Armenia,ARM,1999,0.657
Armenia,ARM,2000,0.662
Armenia,ARM,2001,0.666
Armenia,ARM,2002,0.676
Armenia,ARM,2003,0.686
Armenia,ARM,2004,0.694
Armenia,ARM,2005,0.707
Armenia,ARM,2006,0.721
Armenia,ARM,2007,0.738
Armenia,ARM,2008,0.742
Armenia,ARM,2009,0.741
Armenia,ARM,2010,0.746
Armenia,ARM,2011,0.75
Armenia,ARM,2012,0.755
Armenia,ARM,2013,0.76
Armenia,ARM,2014,0.764
Armenia,ARM,2015,0.766
Armenia,ARM,2016,0.765
Armenia,ARM,2017,0.768
Armenia,ARM,2018,0.771
Armenia,ARM,2019,0.778
Armenia,ARM,2020,0.757
Armenia,ARM,2021,0.759
Azerbaijan,AZE,1995,0.59
Azerbaijan,AZE,1996,0.59
Azerbaijan,AZE,1997,0.594
Azerbaijan,AZE,1998,0.604
Azerbaijan,AZE,1999,0.615
Azerbaijan,AZE,2000,0.622
Azerbaijan,AZE,2001,0.632
Azerbaijan,AZE,2002,0.642
Azerbaijan,AZE,2003,0.651
Azerbaijan,AZE,2004,0.659
Azerbaijan,AZE,2005,0.672
Azerbaijan,AZE,2006,0.692
Azerbaijan,AZE,2007,0.706
Azerbaijan,AZE,2008,0.716
Azerbaijan,AZE,2009,0.722
Azerbaijan,AZE,2010,0.727
Azerbaijan,AZE,2011,0.729
Azerbaijan,AZE,2012,0.734
Azerbaijan,AZE,2013,0.741
Azerbaijan,AZE,2014,0.745
Azerbaijan,AZE,2015,0.748
Azerbaijan,AZE,2016,0.75
Azerbaijan,AZE,2017,0.753
Azerbaijan,AZE,2018,0.757
Azerbaijan,AZE,2019,0.761
Azerbaijan,AZE,2020,0.73
Azerbaijan,AZE,2021,0.745
Georgia,GEO,2000,0.702
Georgia,GEO,2001,0.706
Georgia,GEO,2002,0.714
Georgia,GEO,2003,0.723
Georgia,GEO,2004,0.729
Georgia,GEO,2005,0.738
Georgia,GEO,2006,0.742
Georgia,GEO,2007,0.753
Georgia,GEO,2008,0.748
Georgia,GEO,2009,0.753
Georgia,GEO,2010,0.759
Georgia,GEO,2011,0.766
Georgia,GEO,2012,0.773
Georgia,GEO,2013,0.777
Georgia,GEO,2014,0.784
Georgia,GEO,2015,0.79
Georgia,GEO,2016,0.794
Georgia,GEO,2017,0.8
Georgia,GEO,2018,0.804
Georgia,GEO,2019,0.81
Georgia,GEO,2020,0.802
Georgia,GEO,2021,0.802
Iran,IRN,1990,0.601
Iran,IRN,1991,0.62
Iran,IRN,1992,0.627
Iran,IRN,1993,0.634
Iran,IRN,1994,0.64
Iran,IRN,1995,0.647
Iran,IRN,1996,0.655
Iran,IRN,1997,0.662
Iran,IRN,1998,0.669
Iran,IRN,1999,0.677
Iran,IRN,2000,0.685
Iran,IRN,2001,0.693
Iran,IRN,2002,0.701
Iran,IRN,2003,0.704
Iran,IRN,2004,0.712
Iran,IRN,2005,0.717
Iran,IRN,2006,0.727
Iran,IRN,2007,0.733
Iran,IRN,2008,0.735
Iran,IRN,2009,0.738
Iran,IRN,2010,0.745
Iran,IRN,2011,0.754
Iran,IRN,2012,0.768
Iran,IRN,2013,0.769
Iran,IRN,2014,0.773
Iran,IRN,2015,0.776
Iran,IRN,2016,0.786
Iran,IRN,2017,0.789
Iran,IRN,2018,0.787
Iran,IRN,2019,0.783
Iran,IRN,2020,0.777
Iran,IRN,2021,0.774
Israel,ISR,1990,0.787
Israel,ISR,1991,0.793
Israel,ISR,1992,0.797
Israel,ISR,1993,0.804
Israel,ISR,1994,0.808
Israel,ISR,1995,0.811
Israel,ISR,1996,0.818
Israel,ISR,1997,0.825
Israel,ISR,1998,0.833
Israel,ISR,1999,0.841
Israel,ISR,2000,0.844
Israel,ISR,2001,0.848
Israel,ISR,2002,0.854
Israel,ISR,2003,0.855
Israel,ISR,2004,0.858
Israel,ISR,2005,0.866
