Entity,Code,Year,4_0_RichestShare
Armenia,ARM,1996,35.22151334373353
Armenia,ARM,1999,29.62717127470397
Armenia,ARM,2001,29.096739597363154
Armenia,ARM,2002,28.999344878283328
Armenia,ARM,2003,28.19694775433056
Armenia,ARM,2004,31.688368377106457
Armenia,ARM,2005,30.77605821578018
Armenia,ARM,2006,24.45401245869337
Armenia,ARM,2007,25.12137998395635
Armenia,ARM,2008,23.69014965442912
Armenia,ARM,2009,22.91877485456277
Armenia,ARM,2010,25.03390047505026
Armenia,ARM,2011,23.96658046567289
Armenia,ARM,2012,24.54022155878926
Armenia,ARM,2013,24.68546419520827
Armenia,ARM,2014,25.74396952392892
Armenia,ARM,2015,26.735056420171848
Armenia,ARM,2016,25.28166084953173
Armenia,ARM,2017,28.36886474039758
Armenia,ARM,2018,29.19937859191279
Armenia,ARM,2019,25.09367784237818
Armenia,ARM,2020,21.473396325500723
Azerbaijan,AZE,1995,26.772167187231833
Azerbaijan,AZE,2001,29.507248529546594
Azerbaijan,AZE,2002,23.185534061715078
Azerbaijan,AZE,2003,23.58696288569174
Azerbaijan,AZE,2004,24.35157530885753
Azerbaijan,AZE,2005,24.184112334794992
Georgia,GEO,1996,27.928534683136807
Georgia,GEO,1997,29.92168901454252
Georgia,GEO,1998,31.15947668567124
Georgia,GEO,1999,29.908986757330407
Georgia,GEO,2000,30.32733987423472
Georgia,GEO,2001,30.04167915195634
Georgia,GEO,2002,28.184883460688592
Georgia,GEO,2003,27.07794756663928
Georgia,GEO,2004,26.71370161000438
Georgia,GEO,2005,27.72485501955716
Georgia,GEO,2006,27.47204422757596
Georgia,GEO,2007,28.91273607019415
Georgia,GEO,2008,29.132117765860688
Georgia,GEO,2009,28.854521599976167
Georgia,GEO,2010,29.53558843282391
Georgia,GEO,2011,29.769099446874293
Georgia,GEO,2012,29.30123179088342
Georgia,GEO,2013,29.10572533148547
Georgia,GEO,2014,28.56371526021753
Georgia,GEO,2015,27.79185280760555
Georgia,GEO,2016,28.148164386116008
Georgia,GEO,2017,28.89744844364217
Georgia,GEO,2018,27.4545138606743
Georgia,GEO,2019,27.57642399213432
Georgia,GEO,2020,26.21028726406715
Iran,IRN,1986,36.856759622852344
Iran,IRN,1990,33.54633849067256
Iran,IRN,1994,33.292644889862125
Iran,IRN,1998,33.74457537121649
Iran,IRN,2005,33.31292735972633
Iran,IRN,2006,33.99347821509909
Iran,IRN,2009,31.270909216451294
Iran,IRN,2013,28.97487353411128
Iran,IRN,2014,29.798439378355653
Iran,IRN,2015,30.56015367729257
Iran,IRN,2016,30.85290812986205
Iran,IRN,2017,31.27277502554747
Iran,IRN,2018,32.49233380852613
Iran,IRN,2019,31.691524339280807
Israel,ISR,1979,26.907211387760032
Israel,ISR,1986,26.85037718677965
Israel,ISR,1992,26.87071599585751
Israel,ISR,1997,28.160998243041718
Israel,ISR,2001,28.74221197269879
Israel,ISR,2002,28.699555079236028
Israel,ISR,2003,29.443874171108718
Israel,ISR,2004,29.331916281467763
Israel,ISR,2005,30.433860469334267
Israel,ISR,2006,29.67863957318754
Israel,ISR,2007,29.4711649632654
Israel,ISR,2008,29.96782579858847
Israel,ISR,2009,30.478621157897578
Israel,ISR,2010,31.065181126172607
Israel,ISR,2011,29.4603474486955
Israel,ISR,2012,29.73393991217273
Israel,ISR,2013,28.92727090156417
Israel,ISR,2014,28.235332699728037
Israel,ISR,2015,28.554287806564787
Israel,ISR,2016,27.74808283252202
Israel,ISR,2017,26.95080176289224
Israel,ISR,2018,27.62486232117624
Jordan,JOR,1986,28.11237515205876
Jordan,JOR,1992,34.98948115706417
Jordan,JOR,1997,29.837034505294742
Jordan,JOR,2002,29.51336697450264
Jordan,JOR,2006,27.494188504174673
Jordan,JOR,2008,26.5745282676783
Jordan,JOR,2010,27.45170006953881
Kazakhstan,KAZ,1993,24.93788798566641
Kazakhstan,KAZ,1996,26.290158480659322
Kazakhstan,KAZ,2001,27.140844695973733
Kazakhstan,KAZ,2002,26.79487986694185
Kazakhstan,KAZ,2003,25.78704995310894
Kazakhstan,KAZ,2004,25.101010886815462
Kazakhstan,KAZ,2005,29.72078078403869
Kazakhstan,KAZ,2006,24.91445624491527
Kazakhstan,KAZ,2007,24.62365094313081
Kazakhstan,KAZ,2008,23.64747210437809
Kazakhstan,KAZ,2009,23.12880823425473
Kazakhstan,KAZ,2010,23.088270205551133
Kazakhstan,KAZ,2011,22.95535060635619
Kazakhstan,KAZ,2012,22.93629243119662
Kazakhstan,KAZ,2013,22.51488119870094
Kazakhstan,KAZ,2014,22.6238666222914
Kazakhstan,KAZ,2015,22.586044117892833
Kazakhstan,KAZ,2016,22.71709540656094
Kazakhstan,KAZ,2017,22.9792506843982
Kazakhstan,KAZ,2018,23.44627286238604
Kyrgyzstan,KGZ,1998,35.27055328174229
Kyrgyzstan,KGZ,2000,24.844450954099408
Kyrgyzstan,KGZ,2001,23.91723152506263
Kyrgyzstan,KGZ,2002,23.9847426710249
Kyrgyzstan,KGZ,2003,23.32190485742641
Kyrgyzstan,KGZ,2004,27.175714765089122
Kyrgyzstan,KGZ,2005,26.15207959236127
Kyrgyzstan,KGZ,2006,29.412322281962577
Kyrgyzstan,KGZ,2007,26.48625187513045
Kyrgyzstan,KGZ,2008,25.298528770412908
Kyrgyzstan,KGZ,2009,24.579946441403
Kyrgyzstan,KGZ,2010,24.617530086635288
Kyrgyzstan,KGZ,2011,23.49000610788952
Kyrgyzstan,KGZ,2012,23.13075842359389
Kyrgyzstan,KGZ,2013,23.84611367376342
Kyrgyzstan,KGZ,2014,22.88504253775825
Kyrgyzstan,KGZ,2015,24.77225734070999
Kyrgyzstan,KGZ,2016,22.9106676990919
Kyrgyzstan,KGZ,2017,23.280904635898008
Kyrgyzstan,KGZ,2018,23.62626180575564
Kyrgyzstan,KGZ,2019,25.82850795821811
Kyrgyzstan,KGZ,2020,24.03003479487239
Lebanon,LBN,2011,24.78925689343605
Pakistan,PAK,1987,27.62196759842451
Pakistan,PAK,1990,27.055212683447337
Pakistan,PAK,1996,25.18821607794099
Pakistan,PAK,1998,28.47547841225344
Pakistan,PAK,2001,24.87408784089086
Pakistan,PAK,2004,26.31965250795718
Pakistan,PAK,2005,27.133100968474537
Pakistan,PAK,2007,25.709921523536998
Pakistan,PAK,2010,25.11553749037731
Pakistan,PAK,2011,25.82246794367224
Pakistan,PAK,2013,25.25292725674409
Pakistan,PAK,2015,26.968858151509167
Pakistan,PAK,2018,25.536437118000997
Palestine,PSE,2004,26.47536369600843
Palestine,PSE,2005,26.719445712325264
Palestine,PSE,2006,27.14488689372385
Palestine,PSE,2007,27.611819533202347
Palestine,PSE,2009,27.37317617142455
Palestine,PSE,2010,27.779808119414152
Palestine,PSE,2011,27.19269612637972
Palestine,PSE,2016,25.19369993672823
Syria,SYR,1996,28.60386617951518
Syria,SYR,2003,29.94679251440821
Turkey,TUR,1987,35.131698901945406
Turkey,TUR,1994,31.95953455757918
Turkey,TUR,2002,31.85955617890377
Turkey,TUR,2003,32.4059702475005
Turkey,TUR,2004,30.83167332089619
Turkey,TUR,2005,32.764118534904156
Turkey,TUR,2006,29.564958780924076
Turkey,TUR,2007,28.23252981168074
Turkey,TUR,2008,29.441248568846618
Turkey,TUR,2009,29.20931146949287
Turkey,TUR,2010,29.29889543761116
Turkey,TUR,2011,30.49967658853537
Turkey,TUR,2012,30.50446948513879
Turkey,TUR,2013,30.579266829108132
Turkey,TUR,2014,31.605138455099713
Turkey,TUR,2015,33.45910735316054
Turkey,TUR,2016,32.08926430881872
Turkey,TUR,2017,31.911129157651867
Turkey,TUR,2018,32.62392451607652
Turkey,TUR,2019,31.617024102897663
Turkmenistan,TKM,1998,31.522122294729936
United Arab Emirates,ARE,2013,21.435315460629838
Uzbekistan,UZB,1998,32.66981060299235
Uzbekistan,UZB,2000,28.56139412116001
Uzbekistan,UZB,2002,27.37018806090373
Uzbekistan,UZB,2003,28.3336727141346
Yemen,YEM,1998,26.82937822110744
Yemen,YEM,2005,28.636522394002938
Yemen,YEM,2014,29.43562494292532
