Entity,Code,Year,1_1_LandArea_sq_km
Afghanistan,AFG,1961,652860
Afghanistan,AFG,1962,652860
Afghanistan,AFG,1963,652860
Afghanistan,AFG,1964,652860
Afghanistan,AFG,1965,652860
Afghanistan,AFG,1966,652860
Afghanistan,AFG,1967,652860
Afghanistan,AFG,1968,652860
Afghanistan,AFG,1969,652860
Afghanistan,AFG,1970,652860
Afghanistan,AFG,1971,652860
Afghanistan,AFG,1972,652860
Afghanistan,AFG,1973,652860
Afghanistan,AFG,1974,652860
Afghanistan,AFG,1975,652860
Afghanistan,AFG,1976,652860
Afghanistan,AFG,1977,652860
Afghanistan,AFG,1978,652860
Afghanistan,AFG,1979,652860
Afghanistan,AFG,1980,652860
Afghanistan,AFG,1981,652860
Afghanistan,AFG,1982,652860
Afghanistan,AFG,1983,652860
Afghanistan,AFG,1984,652860
Afghanistan,AFG,1985,652860
Afghanistan,AFG,1986,652860
Afghanistan,AFG,1987,652860
Afghanistan,AFG,1988,652860
Afghanistan,AFG,1989,652860
Afghanistan,AFG,1990,652860
Afghanistan,AFG,1991,652860
Afghanistan,AFG,1992,652860
Afghanistan,AFG,1993,652860
Afghanistan,AFG,1994,652860
Afghanistan,AFG,1995,652860
Afghanistan,AFG,1996,652860
Afghanistan,AFG,1997,652860
Afghanistan,AFG,1998,652860
Afghanistan,AFG,1999,652860
Afghanistan,AFG,2000,652860
Afghanistan,AFG,2001,652860
Afghanistan,AFG,2002,652860
Afghanistan,AFG,2003,652860
Afghanistan,AFG,2004,652860
Afghanistan,AFG,2005,652860
Afghanistan,AFG,2006,652860
Afghanistan,AFG,2007,652860
Afghanistan,AFG,2008,652860
Afghanistan,AFG,2009,652860
Afghanistan,AFG,2010,652860
Afghanistan,AFG,2011,652860
Afghanistan,AFG,2012,652860
Afghanistan,AFG,2013,652860
Afghanistan,AFG,2014,652860
Afghanistan,AFG,2015,652860
Afghanistan,AFG,2016,652860
Afghanistan,AFG,2017,652860
Afghanistan,AFG,2018,652860
Afghanistan,AFG,2019,652860
Afghanistan,AFG,2020,652860
Afghanistan,AFG,2021,652860
Armenia,ARM,1961,28470
Armenia,ARM,1962,28470
Armenia,ARM,1963,28470
Armenia,ARM,1964,28470
Armenia,ARM,1965,28470
Armenia,ARM,1966,28470
Armenia,ARM,1967,28470
Armenia,ARM,1968,28470
Armenia,ARM,1969,28470
Armenia,ARM,1970,28470
Armenia,ARM,1971,28470
Armenia,ARM,1972,28470
Armenia,ARM,1973,28470
Armenia,ARM,1974,28470
Armenia,ARM,1975,28470
Armenia,ARM,1976,28470
Armenia,ARM,1977,28470
Armenia,ARM,1978,28470
Armenia,ARM,1979,28470
Armenia,ARM,1980,28470
Armenia,ARM,1981,28470
Armenia,ARM,1982,28470
Armenia,ARM,1983,28470
Armenia,ARM,1984,28470
Armenia,ARM,1985,28470
Armenia,ARM,1986,28470
Armenia,ARM,1987,28470
Armenia,ARM,1988,28470
Armenia,ARM,1989,28470
Armenia,ARM,1990,28470
Armenia,ARM,1991,28470
Armenia,ARM,1992,28470
Armenia,ARM,1993,28470
Armenia,ARM,1994,28470
Armenia,ARM,1995,28470
Armenia,ARM,1996,28470
Armenia,ARM,1997,28470
Armenia,ARM,1998,28470
Armenia,ARM,1999,28470
Armenia,ARM,2000,28470
Armenia,ARM,2001,28470
Armenia,ARM,2002,28470
Armenia,ARM,2003,28470
Armenia,ARM,2004,28470
Armenia,ARM,2005,28470
Armenia,ARM,2006,28470
Armenia,ARM,2007,28470
Armenia,ARM,2008,28470
Armenia,ARM,2009,28470
Armenia,ARM,2010,28470
Armenia,ARM,2011,28470
Armenia,ARM,2012,28470
Armenia,ARM,2013,28470
Armenia,ARM,2014,28470
Armenia,ARM,2015,28470
Armenia,ARM,2016,28470
Armenia,ARM,2017,28470
Armenia,ARM,2018,28470
Armenia,ARM,2019,28470
Armenia,ARM,2020,28470
Armenia,ARM,2021,28470
Azerbaijan,AZE,1961,83217
Azerbaijan,AZE,1962,83217
Azerbaijan,AZE,1963,83217
Azerbaijan,AZE,1964,83217
Azerbaijan,AZE,1965,83217
Azerbaijan,AZE,1966,83217
Azerbaijan,AZE,1967,83217
Azerbaijan,AZE,1968,83217
Azerbaijan,AZE,1969,83217
Azerbaijan,AZE,1970,83217
Azerbaijan,AZE,1971,83217
Azerbaijan,AZE,1972,83217
Azerbaijan,AZE,1973,83217
Azerbaijan,AZE,1974,83217
Azerbaijan,AZE,1975,83217
Azerbaijan,AZE,1976,83217
Azerbaijan,AZE,1977,83217
Azerbaijan,AZE,1978,83217
Azerbaijan,AZE,1979,83217
Azerbaijan,AZE,1980,83217
Azerbaijan,AZE,1981,83217
Azerbaijan,AZE,1982,83217
Azerbaijan,AZE,1983,83217
Azerbaijan,AZE,1984,83217
Azerbaijan,AZE,1985,83217
Azerbaijan,AZE,1986,83217
Azerbaijan,AZE,1987,83217
Azerbaijan,AZE,1988,83217
Azerbaijan,AZE,1989,83217
Azerbaijan,AZE,1990,83217
Azerbaijan,AZE,1991,83217
Azerbaijan,AZE,1992,83217
Azerbaijan,AZE,1993,83217
Azerbaijan,AZE,1994,83217
Azerbaijan,AZE,1995,83217
Azerbaijan,AZE,1996,83217
Azerbaijan,AZE,1997,83217
Azerbaijan,AZE,1998,83092
Azerbaijan,AZE,1999,82705
Azerbaijan,AZE,2000,82605
Azerbaijan,AZE,2001,82604
Azerbaijan,AZE,2002,82618
Azerbaijan,AZE,2003,82652
Azerbaijan,AZE,2004,82672
Azerbaijan,AZE,2005,82660
Azerbaijan,AZE,2006,82637
Azerbaijan,AZE,2007,82629
Azerbaijan,AZE,2008,82627
Azerbaijan,AZE,2009,82622
Azerbaijan,AZE,2010,82656
Azerbaijan,AZE,2011,82658
Azerbaijan,AZE,2012,82658
Azerbaijan,AZE,2013,82659
Azerbaijan,AZE,2014,82663
Azerbaijan,AZE,2015,82663
Azerbaijan,AZE,2016,82670
Azerbaijan,AZE,2017,82662
Azerbaijan,AZE,2018,82654
Azerbaijan,AZE,2019,82654
Azerbaijan,AZE,2020,82654
Azerbaijan,AZE,2021,82654
Georgia,GEO,1961,69490
Georgia,GEO,1962,69490
Georgia,GEO,1963,69490
Georgia,GEO,1964,69490
Georgia,GEO,1965,69490
Georgia,GEO,1966,69490
Georgia,GEO,1967,69490
Georgia,GEO,1968,69490
Georgia,GEO,1969,69490
Georgia,GEO,1970,69490
Georgia,GEO,1971,69490
Georgia,GEO,1972,69490
Georgia,GEO,1973,69490
Georgia,GEO,1974,69490
Georgia,GEO,1975,69490
Georgia,GEO,1976,69490
Georgia,GEO,1977,69490
Georgia,GEO,1978,69490
Georgia,GEO,1979,69490
Georgia,GEO,1980,69490
Georgia,GEO,1981,69490
Georgia,GEO,1982,69490
Georgia,GEO,1983,69490
Georgia,GEO,1984,69490
Georgia,GEO,1985,69490
Georgia,GEO,1986,69490
Georgia,GEO,1987,69490
Georgia,GEO,1988,69490
Georgia,GEO,1989,69490
