Entity,Code,Year,4_1_LifeExpect
Afghanistan,AFG,1950,27.7
Afghanistan,AFG,1951,28
Afghanistan,AFG,1952,28.4
Afghanistan,AFG,1953,28.9
Afghanistan,AFG,1954,29.2
Afghanistan,AFG,1955,29.9
Afghanistan,AFG,1956,30.4
Afghanistan,AFG,1957,30.9
Afghanistan,AFG,1958,31.5
Afghanistan,AFG,1959,32
Afghanistan,AFG,1960,32.5
Afghanistan,AFG,1961,33.1
Afghanistan,AFG,1962,33.5
Afghanistan,AFG,1963,34
Afghanistan,AFG,1964,34.5
Afghanistan,AFG,1965,35
Afghanistan,AFG,1966,35.5
Afghanistan,AFG,1967,35.9
Afghanistan,AFG,1968,36.4
Afghanistan,AFG,1969,36.9
Afghanistan,AFG,1970,37.4
Afghanistan,AFG,1971,37.9
Afghanistan,AFG,1972,38.4
Afghanistan,AFG,1973,39
Afghanistan,AFG,1974,39.5
Afghanistan,AFG,1975,40.1
Afghanistan,AFG,1976,40.6
Afghanistan,AFG,1977,41.2
Afghanistan,AFG,1978,40.3
Afghanistan,AFG,1979,39.1
Afghanistan,AFG,1980,39.6
Afghanistan,AFG,1981,40.2
Afghanistan,AFG,1982,37.8
Afghanistan,AFG,1983,38.2
Afghanistan,AFG,1984,33.3
Afghanistan,AFG,1985,33.6
Afghanistan,AFG,1986,39.4
Afghanistan,AFG,1987,39.8
Afghanistan,AFG,1988,44
Afghanistan,AFG,1989,45.2
Afghanistan,AFG,1990,46
Afghanistan,AFG,1991,46.7
Afghanistan,AFG,1992,47.6
Afghanistan,AFG,1993,51.5
Afghanistan,AFG,1994,51.5
Afghanistan,AFG,1995,52.5
Afghanistan,AFG,1996,53.2
Afghanistan,AFG,1997,53.6
Afghanistan,AFG,1998,52.9
Afghanistan,AFG,1999,54.8
Afghanistan,AFG,2000,55.3
Afghanistan,AFG,2001,55.8
Afghanistan,AFG,2002,56.5
Afghanistan,AFG,2003,57.3
Afghanistan,AFG,2004,57.9
Afghanistan,AFG,2005,58.4
Afghanistan,AFG,2006,58.7
Afghanistan,AFG,2007,59.1
Afghanistan,AFG,2008,59.9
Afghanistan,AFG,2009,60.4
Afghanistan,AFG,2010,60.9
Afghanistan,AFG,2011,61.4
Afghanistan,AFG,2012,61.9
Afghanistan,AFG,2013,62.4
Afghanistan,AFG,2014,62.5
Afghanistan,AFG,2015,62.7
Afghanistan,AFG,2016,63.1
Afghanistan,AFG,2017,63
Afghanistan,AFG,2018,63.1
Afghanistan,AFG,2019,63.6
Afghanistan,AFG,2020,62.6
Afghanistan,AFG,2021,62
Armenia,ARM,1950,59.3
Armenia,ARM,1951,59.4
Armenia,ARM,1952,59.5
Armenia,ARM,1953,59.8
Armenia,ARM,1954,60.1
Armenia,ARM,1955,60.4
Armenia,ARM,1956,60.6
Armenia,ARM,1957,60.8
Armenia,ARM,1958,61
Armenia,ARM,1959,61.3
Armenia,ARM,1960,61.4
Armenia,ARM,1961,61.8
Armenia,ARM,1962,62.1
Armenia,ARM,1963,62.2
Armenia,ARM,1964,62.4
Armenia,ARM,1965,62.8
Armenia,ARM,1966,62.9
Armenia,ARM,1967,63.2
Armenia,ARM,1968,63.3
Armenia,ARM,1969,63.7
Armenia,ARM,1970,63.9
Armenia,ARM,1971,64.2
Armenia,ARM,1972,64.5
Armenia,ARM,1973,64.6
Armenia,ARM,1974,64.8
Armenia,ARM,1975,65
Armenia,ARM,1976,65.2
Armenia,ARM,1977,65.4
Armenia,ARM,1978,65.7
Armenia,ARM,1979,66
Armenia,ARM,1980,66.2
Armenia,ARM,1981,66.6
Armenia,ARM,1982,66.9
Armenia,ARM,1983,67.2
Armenia,ARM,1984,67.5
Armenia,ARM,1985,67.9
Armenia,ARM,1986,68.2
Armenia,ARM,1987,68.1
Armenia,ARM,1988,53.9
Armenia,ARM,1989,68.7
Armenia,ARM,1990,68.8
Armenia,ARM,1991,68.6
Armenia,ARM,1992,68.6
Armenia,ARM,1993,68.8
Armenia,ARM,1994,69.1
Armenia,ARM,1995,69.3
Armenia,ARM,1996,69.8
Armenia,ARM,1997,69.9
Armenia,ARM,1998,70.5
Armenia,ARM,1999,70.3
Armenia,ARM,2000,70.6
Armenia,ARM,2001,70.9
Armenia,ARM,2002,71
Armenia,ARM,2003,71.4
Armenia,ARM,2004,71.4
Armenia,ARM,2005,71.8
Armenia,ARM,2006,72
Armenia,ARM,2007,72.3
Armenia,ARM,2008,72.4
Armenia,ARM,2009,72.8
Armenia,ARM,2010,73.2
Armenia,ARM,2011,73.3
Armenia,ARM,2012,73.5
Armenia,ARM,2013,73.7
Armenia,ARM,2014,74.1
Armenia,ARM,2015,74.4
Armenia,ARM,2016,74.7
Armenia,ARM,2017,74.9
Armenia,ARM,2018,75.1
Armenia,ARM,2019,75.4
Armenia,ARM,2020,72.2
Armenia,ARM,2021,72
Azerbaijan,AZE,1950,53.4
Azerbaijan,AZE,1951,53.7
Azerbaijan,AZE,1952,54
Azerbaijan,AZE,1953,53.9
Azerbaijan,AZE,1954,54.3
Azerbaijan,AZE,1955,54.6
Azerbaijan,AZE,1956,54.7
Azerbaijan,AZE,1957,55
Azerbaijan,AZE,1958,55.3
Azerbaijan,AZE,1959,55.5
Azerbaijan,AZE,1960,55.8
Azerbaijan,AZE,1961,56.2
Azerbaijan,AZE,1962,56.5
Azerbaijan,AZE,1963,56.9
Azerbaijan,AZE,1964,57.2
Azerbaijan,AZE,1965,57.6
Azerbaijan,AZE,1966,57.7
Azerbaijan,AZE,1967,58
Azerbaijan,AZE,1968,58.4
Azerbaijan,AZE,1969,58.6
Azerbaijan,AZE,1970,59
Azerbaijan,AZE,1971,59.4
Azerbaijan,AZE,1972,59.8
Azerbaijan,AZE,1973,60
Azerbaijan,AZE,1974,60.2
Azerbaijan,AZE,1975,60.3
Azerbaijan,AZE,1976,60.5
Azerbaijan,AZE,1977,60.6
Azerbaijan,AZE,1978,60.7
Azerbaijan,AZE,1979,60.9
Azerbaijan,AZE,1980,61.1
Azerbaijan,AZE,1981,61.3
Azerbaijan,AZE,1982,61.4
Azerbaijan,AZE,1983,62
Azerbaijan,AZE,1984,62
Azerbaijan,AZE,1985,62.1
Azerbaijan,AZE,1986,62.2
Azerbaijan,AZE,1987,62.6
Azerbaijan,AZE,1988,62.7
Azerbaijan,AZE,1989,62.6
Azerbaijan,AZE,1990,62.4
Azerbaijan,AZE,1991,62.1
Azerbaijan,AZE,1992,61.3
Azerbaijan,AZE,1993,61.3
Azerbaijan,AZE,1994,61.6
Azerbaijan,AZE,1995,62.3
Azerbaijan,AZE,1996,62.6
Azerbaijan,AZE,1997,63
Azerbaijan,AZE,1998,63.6
Azerbaijan,AZE,1999,64.2
Azerbaijan,AZE,2000,64.9
Azerbaijan,AZE,2001,65.5
Azerbaijan,AZE,2002,66.2
Azerbaijan,AZE,2003,66.8
Azerbaijan,AZE,2004,67.3
Azerbaijan,AZE,2005,67.6
Azerbaijan,AZE,2006,68.2
Azerbaijan,AZE,2007,68.6
Azerbaijan,AZE,2008,68.8
Azerbaijan,AZE,2009,69.4
Azerbaijan,AZE,2010,69.5
Azerbaijan,AZE,2011,70
Azerbaijan,AZE,2012,70.4
Azerbaijan,AZE,2013,70.9
Azerbaijan,AZE,2014,71.1
Azerbaijan,AZE,2015,71.5
Azerbaijan,AZE,2016,72
Azerbaijan,AZE,2017,72.2
Azerbaijan,AZE,2018,72.8
Azerbaijan,AZE,2019,73.1
Azerbaijan,AZE,2020,66.9
Azerbaijan,AZE,2021,69.4
Georgia,GEO,1950,57.7
Georgia,GEO,1951,58
Georgia,GEO,1952,58.2
Georgia,GEO,1953,58.6
Georgia,GEO,1954,59
Georgia,GEO,1955,59.3
Georgia,GEO,1956,59.7
Georgia,GEO,1957,60.1
Georgia,GEO,1958,60.5
Georgia,GEO,1959,60.9
Georgia,GEO,1960,61.2
