Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Afghanistan,AFG,1956,21.65766
Afghanistan,AFG,1957,28.71579
Afghanistan,AFG,1958,16.64957
Afghanistan,AFG,1959,20.0166
Afghanistan,AFG,1960,12.42149
Afghanistan,AFG,1961,9.72874
Afghanistan,AFG,1962,10.77439
Afghanistan,AFG,1963,9.95858
Afghanistan,AFG,1964,8.8625
Afghanistan,AFG,1965,6.96358
Afghanistan,AFG,1966,5.96429
Afghanistan,AFG,1967,3.96855
Afghanistan,AFG,1968,6.26942
Afghanistan,AFG,1969,5.81196
Afghanistan,AFG,1970,4.83685
Afghanistan,AFG,1971,5.45571
Afghanistan,AFG,1972,7.80723
Afghanistan,AFG,1973,9.174
Afghanistan,AFG,1974,10.69562
Afghanistan,AFG,1975,9.50117
Afghanistan,AFG,1976,11.6737
Afghanistan,AFG,1977,10.62746
Afghanistan,AFG,1978,8.15624
Afghanistan,AFG,1979,11.76371
Afghanistan,AFG,1980,18.4109
Afghanistan,AFG,1981,20.46122
Afghanistan,AFG,1982,15.67759
Afghanistan,AFG,1983,18.26656
Afghanistan,AFG,1984,24.12348
Afghanistan,AFG,1985,22.65282
Afghanistan,AFG,1986,23.1738
Afghanistan,AFG,1987,28.44586
Afghanistan,AFG,1988,23.51688
Afghanistan,AFG,1989,9.07692
Afghanistan,AFG,2001,3.77874
Afghanistan,AFG,2002,2.34351
Afghanistan,AFG,2003,5.00757
Afghanistan,AFG,2004,5.77055
Afghanistan,AFG,2005,6.11945
Afghanistan,AFG,2006,5.89436
Afghanistan,AFG,2007,4.61202
Afghanistan,AFG,2008,5.11368
Afghanistan,AFG,2009,3.93394
Afghanistan,AFG,2010,3.47335
Afghanistan,AFG,2011,2.88153
Afghanistan,AFG,2012,2.68593
Afghanistan,AFG,2013,3.31999
Afghanistan,AFG,2014,3.66463
Armenia,ARM,1993,14.25623
Armenia,ARM,1994,18.37885
Armenia,ARM,1995,24.30864
Armenia,ARM,1996,18.17913
Armenia,ARM,1997,15.21879
Armenia,ARM,1998,11.64455
Armenia,ARM,1999,12.5533
Armenia,ARM,2000,15.71949
Armenia,ARM,2001,16.12637
Armenia,ARM,2002,21.22903
Armenia,ARM,2003,24.42409
Armenia,ARM,2004,20.21215
Armenia,ARM,2005,19.87404
Armenia,ARM,2006,15.4298
Armenia,ARM,2007,12.51643
Armenia,ARM,2008,9.06497
Armenia,ARM,2009,8.06886
Armenia,ARM,2010,11.24209
Armenia,ARM,2011,13.15643
Armenia,ARM,2012,13.44832
Armenia,ARM,2013,13.30787
Armenia,ARM,2014,13.46885
