Entity,Code,Year,2_1_Military_usd_pc
Afghanistan,AFG,2004,5.06
Afghanistan,AFG,2005,4.78
Afghanistan,AFG,2006,4.97
Afghanistan,AFG,2007,8.1
Afghanistan,AFG,2008,8.68
Afghanistan,AFG,2009,8.87
Afghanistan,AFG,2010,10.22
Afghanistan,AFG,2011,10.82
Afghanistan,AFG,2012,7.66
Afghanistan,AFG,2013,6.73
Afghanistan,AFG,2014,8.04
Afghanistan,AFG,2015,5.8
Afghanistan,AFG,2016,5.25
Afghanistan,AFG,2017,5.27
Afghanistan,AFG,2018,5.33
Afghanistan,AFG,2019,5.94
Afghanistan,AFG,2020,7.18
Armenia,ARM,1993,2.92
Armenia,ARM,1995,16.23
Armenia,ARM,1996,16.54
Armenia,ARM,1997,20.45
Armenia,ARM,1998,21.47
Armenia,ARM,1999,22.09
Armenia,ARM,2000,22.17
Armenia,ARM,2001,21.72
Armenia,ARM,2002,21.13
Armenia,ARM,2003,25.38
Armenia,ARM,2004,32.68
Armenia,ARM,2005,47.21
Armenia,ARM,2006,63.61
Armenia,ARM,2007,95.51
Armenia,ARM,2008,136.19
Armenia,ARM,2009,124.48
Armenia,ARM,2010,137.28
Armenia,ARM,2011,135.88
Armenia,ARM,2012,131.95
Armenia,ARM,2013,153.42
Armenia,ARM,2014,157.19
Armenia,ARM,2015,152.92
Armenia,ARM,2016,146.93
Armenia,ARM,2017,150.64
Armenia,ARM,2018,173.88
Armenia,ARM,2019,220.44
Armenia,ARM,2020,213.94
Azerbaijan,AZE,1992,1.48
Azerbaijan,AZE,1993,10.22
Azerbaijan,AZE,1994,5.72
Azerbaijan,AZE,1995,8.51
Azerbaijan,AZE,1996,9.12
Azerbaijan,AZE,1997,11.62
Azerbaijan,AZE,1998,13.42
Azerbaijan,AZE,1999,14.93
Azerbaijan,AZE,2000,14.72
Azerbaijan,AZE,2001,16.1
Azerbaijan,AZE,2002,16.9
Azerbaijan,AZE,2003,21.12
Azerbaijan,AZE,2004,27.02
Azerbaijan,AZE,2005,35.66
Azerbaijan,AZE,2006,83.09
Azerbaijan,AZE,2007,108.5
Azerbaijan,AZE,2008,182.25
Azerbaijan,AZE,2009,165.04
Azerbaijan,AZE,2010,163.48
Azerbaijan,AZE,2011,336.76
Azerbaijan,AZE,2012,350.38
Azerbaijan,AZE,2013,358.81
Azerbaijan,AZE,2014,360.54
Azerbaijan,AZE,2015,301.43
Azerbaijan,AZE,2016,143.48
Azerbaijan,AZE,2017,155.29
Azerbaijan,AZE,2018,168.07
Azerbaijan,AZE,2019,184.54
Azerbaijan,AZE,2020,220.7
Georgia,GEO,1996,13.97
Georgia,GEO,1997,9.34
Georgia,GEO,1998,8.98
Georgia,GEO,1999,5.81
Georgia,GEO,2000,4.32
Georgia,GEO,2001,5.55
Georgia,GEO,2002,7.98
Georgia,GEO,2003,10.06
Georgia,GEO,2004,16.66
Georgia,GEO,2005,50.85
Georgia,GEO,2006,96.47
Georgia,GEO,2007,223.61
Georgia,GEO,2008,263.16
Georgia,GEO,2009,146.54
Georgia,GEO,2010,110.8
Georgia,GEO,2011,114.87
Georgia,GEO,2012,121.06
Georgia,GEO,2013,109.14
Georgia,GEO,2014,103
Georgia,GEO,2015,74.43
Georgia,GEO,2016,78.5
Georgia,GEO,2017,80.11
Georgia,GEO,2018,83.42
Georgia,GEO,2019,77.72
Georgia,GEO,2020,73.24
Iran,IRN,1988,355.88
Iran,IRN,1989,297.36
Iran,IRN,1990,292.27
Iran,IRN,1991,304.26
Iran,IRN,1992,335.7
Iran,IRN,1993,24.25
Iran,IRN,1994,28.11
Iran,IRN,1995,40.71
Iran,IRN,1996,57
Iran,IRN,1997,73.53
Iran,IRN,1998,85.65
Iran,IRN,1999,102.63
Iran,IRN,2000,126.89
Iran,IRN,2001,156.19
Iran,IRN,2002,48.21
Iran,IRN,2003,54.56
Iran,IRN,2004,76.05
Iran,IRN,2005,97.43
Iran,IRN,2006,124.04
