Entity,Code,Year,0_0_NitroPerHa
Afghanistan,AFG,1961,0.13
Afghanistan,AFG,1962,0.13
Afghanistan,AFG,1963,0.13
Afghanistan,AFG,1964,0.13
Afghanistan,AFG,1965,0.13
Afghanistan,AFG,1966,0.13
Afghanistan,AFG,1967,1.13
Afghanistan,AFG,1968,1.75
Afghanistan,AFG,1969,1.88
Afghanistan,AFG,1970,2
Afghanistan,AFG,1971,1.84
Afghanistan,AFG,1972,1.99
Afghanistan,AFG,1973,2.2
Afghanistan,AFG,1974,3.01
Afghanistan,AFG,1975,3.44
Afghanistan,AFG,1976,3.81
Afghanistan,AFG,1977,4.6
Afghanistan,AFG,1978,4.41
Afghanistan,AFG,1979,4.13
Afghanistan,AFG,1980,4.7
Afghanistan,AFG,1981,3.57
Afghanistan,AFG,1982,4.82
Afghanistan,AFG,1983,4.57
Afghanistan,AFG,1984,6.56
Afghanistan,AFG,1985,6.6
Afghanistan,AFG,1986,6.3
Afghanistan,AFG,1987,6.56
Afghanistan,AFG,1988,6.2
Afghanistan,AFG,1989,6.22
Afghanistan,AFG,1990,5.49
Afghanistan,AFG,1991,5.33
Afghanistan,AFG,1992,4.84
Afghanistan,AFG,1993,5.04
Afghanistan,AFG,1996,0.64
Afghanistan,AFG,1997,0.64
Afghanistan,AFG,1998,0.76
Afghanistan,AFG,1999,0.64
Afghanistan,AFG,2000,0.64
Afghanistan,AFG,2001,2.37
Afghanistan,AFG,2002,3.16
Afghanistan,AFG,2003,2.58
Afghanistan,AFG,2004,2.82
Afghanistan,AFG,2005,2.59
Afghanistan,AFG,2006,2.59
Afghanistan,AFG,2007,2.07
Afghanistan,AFG,2008,1.82
Afghanistan,AFG,2009,1.79
Afghanistan,AFG,2010,1.63
Afghanistan,AFG,2011,2.9
Afghanistan,AFG,2012,2.16
Afghanistan,AFG,2013,4.41
Afghanistan,AFG,2014,9.34
Afghanistan,AFG,2015,11.7
Afghanistan,AFG,2016,12.22
Afghanistan,AFG,2017,17.8
Afghanistan,AFG,2018,5.82
Afghanistan,AFG,2019,7.45
Afghanistan,AFG,2020,5.33
Armenia,ARM,1992,31.06
Armenia,ARM,1993,30.43
Armenia,ARM,1994,14
Armenia,ARM,1995,14.17
Armenia,ARM,1996,15.81
Armenia,ARM,1997,16.06
Armenia,ARM,1998,19.51
Armenia,ARM,1999,12.62
Armenia,ARM,2000,14.34
Armenia,ARM,2001,10.14
Armenia,ARM,2002,31.98
Armenia,ARM,2003,21.15
Armenia,ARM,2004,26.11
Armenia,ARM,2005,20.3
Armenia,ARM,2006,114.9
Armenia,ARM,2007,52.97
Armenia,ARM,2008,48.24
Armenia,ARM,2009,78.71
Armenia,ARM,2010,58.75
Armenia,ARM,2011,71.52
Armenia,ARM,2012,113.73
Armenia,ARM,2013,115.82
Armenia,ARM,2014,96.35
Armenia,ARM,2015,125.48
Armenia,ARM,2016,290.03
Armenia,ARM,2017,178.75
Armenia,ARM,2018,178.53
Armenia,ARM,2019,178.43
Armenia,ARM,2020,178.78
Azerbaijan,AZE,1992,24.82
Azerbaijan,AZE,1993,16.78
Azerbaijan,AZE,1994,16.73
Azerbaijan,AZE,1995,16.7
Azerbaijan,AZE,1996,8.11
Azerbaijan,AZE,1997,9.7
Azerbaijan,AZE,1998,6.31
Azerbaijan,AZE,1999,6.69
Azerbaijan,AZE,2000,1.02
Azerbaijan,AZE,2001,4.8
Azerbaijan,AZE,2002,7.63
Azerbaijan,AZE,2003,6.1
Azerbaijan,AZE,2004,9.52
Azerbaijan,AZE,2005,8.51
Azerbaijan,AZE,2006,9.87
Azerbaijan,AZE,2007,8.07
Azerbaijan,AZE,2008,14.21
Azerbaijan,AZE,2009,9.17
Azerbaijan,AZE,2010,6.07
Azerbaijan,AZE,2011,10.65
Azerbaijan,AZE,2012,12.94
Azerbaijan,AZE,2013,11.78
Azerbaijan,AZE,2014,17.57
Azerbaijan,AZE,2015,41.26
Azerbaijan,AZE,2016,38.65
Azerbaijan,AZE,2017,30.62
Azerbaijan,AZE,2018,50.55
Azerbaijan,AZE,2019,63.11
Azerbaijan,AZE,2020,90.11
Georgia,GEO,1992,54.92
Georgia,GEO,1993,43.35
Georgia,GEO,1994,23.07
Georgia,GEO,1995,24.12
Georgia,GEO,1996,25.52
Georgia,GEO,1997,29.63
Georgia,GEO,1998,28.25
Georgia,GEO,1999,37.74
Georgia,GEO,2000,37.66
Georgia,GEO,2001,24.46
Georgia,GEO,2002,20.11
Georgia,GEO,2003,10.44
Georgia,GEO,2004,25.54
Georgia,GEO,2005,41.58
Georgia,GEO,2006,37.04
Georgia,GEO,2007,31.98
Georgia,GEO,2008,30.27
Georgia,GEO,2009,35.22
