Entity,Code,Year,2_1_EnergyPC
Afghanistan,AFG,1980,623.92865
Afghanistan,AFG,1981,786.8369
Afghanistan,AFG,1982,926.65125
Afghanistan,AFG,1983,1149.1959
Afghanistan,AFG,1984,1121.5729
Afghanistan,AFG,1985,1067.0709
Afghanistan,AFG,1986,1097.0397
Afghanistan,AFG,1987,1790.467
Afghanistan,AFG,1988,3139.1848
Afghanistan,AFG,1989,3003.0044
Afghanistan,AFG,1990,2968.316
Afghanistan,AFG,1991,1293.8619
Afghanistan,AFG,1992,760.34247
Afghanistan,AFG,1993,650.20715
Afghanistan,AFG,1994,570.4033
Afghanistan,AFG,1995,452.4602
Afghanistan,AFG,1996,425.90646
Afghanistan,AFG,1997,390.01947
Afghanistan,AFG,1998,365.12076
Afghanistan,AFG,1999,350.34662
Afghanistan,AFG,2000,302.59482
Afghanistan,AFG,2001,236.89185
Afghanistan,AFG,2002,210.86215
Afghanistan,AFG,2003,229.96822
Afghanistan,AFG,2004,204.23125
Afghanistan,AFG,2005,252.06912
Afghanistan,AFG,2006,304.4209
Afghanistan,AFG,2007,387.55923
Afghanistan,AFG,2008,649.044
Afghanistan,AFG,2009,1020.40015
Afghanistan,AFG,2010,1232.3739
Afghanistan,AFG,2011,1613.699
Afghanistan,AFG,2012,1419.9056
Afghanistan,AFG,2013,1156.8546
Afghanistan,AFG,2014,1024.0199
Afghanistan,AFG,2015,1096.5377
Afghanistan,AFG,2016,994.8554
Afghanistan,AFG,2017,1027.3052
Afghanistan,AFG,2018,1144.5321
Afghanistan,AFG,2019,952.46204
Armenia,ARM,1992,16157.746
Armenia,ARM,1993,12714.077
Armenia,ARM,1994,11647.73
Armenia,ARM,1995,11600.216
Armenia,ARM,1996,14956.918
Armenia,ARM,1997,12710.774
Armenia,ARM,1998,13636.756
Armenia,ARM,1999,8518.906
Armenia,ARM,2000,9270.454
Armenia,ARM,2001,9219.866
Armenia,ARM,2002,8911.608
Armenia,ARM,2003,9866.072
Armenia,ARM,2004,10294.192
Armenia,ARM,2005,11997.367
Armenia,ARM,2006,12061.231
Armenia,ARM,2007,13633.888
Armenia,ARM,2008,13250.285
Armenia,ARM,2009,11915.396
Armenia,ARM,2010,13351.512
Armenia,ARM,2011,14139.787
Armenia,ARM,2012,15057.879
Armenia,ARM,2013,14838.981
Armenia,ARM,2014,15185.13
Armenia,ARM,2015,14125.896
Armenia,ARM,2016,14289.046
Armenia,ARM,2017,15302.439
Armenia,ARM,2018,15133.982
Armenia,ARM,2019,16293.592
Azerbaijan,AZE,1985,34094.56
Azerbaijan,AZE,1986,36072.145
Azerbaijan,AZE,1987,34352.094
Azerbaijan,AZE,1988,33769.35
Azerbaijan,AZE,1989,34025.863
Azerbaijan,AZE,1990,35077.66
Azerbaijan,AZE,1991,33210.72
Azerbaijan,AZE,1992,28049.746
Azerbaijan,AZE,1993,24028.104
Azerbaijan,AZE,1994,21844.428
Azerbaijan,AZE,1995,20362.68
Azerbaijan,AZE,1996,16573.02
Azerbaijan,AZE,1997,15769.197
Azerbaijan,AZE,1998,15749.732
Azerbaijan,AZE,1999,15564.704
Azerbaijan,AZE,2000,16071.49
Azerbaijan,AZE,2001,15322.776
Azerbaijan,AZE,2002,14981.8545
Azerbaijan,AZE,2003,16038.434
Azerbaijan,AZE,2004,17986.783
Azerbaijan,AZE,2005,19273.648
Azerbaijan,AZE,2006,18724.746
Azerbaijan,AZE,2007,16719.93
Azerbaijan,AZE,2008,16653.725
Azerbaijan,AZE,2009,14525.302
Azerbaijan,AZE,2010,14165.333
Azerbaijan,AZE,2011,15532.164
Azerbaijan,AZE,2012,15772.562
Azerbaijan,AZE,2013,15996.532
Azerbaijan,AZE,2014,16082.415
Azerbaijan,AZE,2015,17369.922
Azerbaijan,AZE,2016,17013.896
Azerbaijan,AZE,2017,16529.678
Azerbaijan,AZE,2018,16872.742
Azerbaijan,AZE,2019,17654.637
Azerbaijan,AZE,2020,17246.98
Azerbaijan,AZE,2021,17768.523
Georgia,GEO,1992,17979.797
Georgia,GEO,1993,11339.383
Georgia,GEO,1994,8967.001
Georgia,GEO,1995,9073.216
Georgia,GEO,1996,9773.224
Georgia,GEO,1997,10330.433
Georgia,GEO,1998,10741.93
Georgia,GEO,1999,10714.2
Georgia,GEO,2000,9423.704
Georgia,GEO,2001,8959.572
Georgia,GEO,2002,10776.443
Georgia,GEO,2003,9694.849
Georgia,GEO,2004,10085.432
Georgia,GEO,2005,11553.322
Georgia,GEO,2006,10517.187
Georgia,GEO,2007,13246.12
Georgia,GEO,2008,13342.63
Georgia,GEO,2009,13652.776
Georgia,GEO,2010,14789.647
Georgia,GEO,2011,13820.907
Georgia,GEO,2012,14376.836
Georgia,GEO,2013,16267.887
Georgia,GEO,2014,17044.346
Georgia,GEO,2015,18088.293
Georgia,GEO,2016,19119.283
Georgia,GEO,2017,19005.701
Georgia,GEO,2018,19383.402
Georgia,GEO,2019,19658.654
Iran,IRN,1965,3944.1482
Iran,IRN,1966,4174.8916
Iran,IRN,1967,4463.6963
Iran,IRN,1968,4772.0547
Iran,IRN,1969,5091.7686
Iran,IRN,1970,5836.307
Iran,IRN,1971,6213.109
Iran,IRN,1972,6848.447
Iran,IRN,1973,7955.3193
Iran,IRN,1974,8761.964
Iran,IRN,1975,9911.101
Iran,IRN,1976,10829.12
Iran,IRN,1977,11897.395
Iran,IRN,1978,11270.637
Iran,IRN,1979,11771.766
Iran,IRN,1980,10541.232
Iran,IRN,1981,10068.537
Iran,IRN,1982,10822.305
Iran,IRN,1983,12403.508
Iran,IRN,1984,12934.149
Iran,IRN,1985,13623.729
Iran,IRN,1986,12333.542
Iran,IRN,1987,12796.609
Iran,IRN,1988,12656.99
Iran,IRN,1989,13439.815
Iran,IRN,1990,14540.782
Iran,IRN,1991,15178.74
Iran,IRN,1992,16395.33
Iran,IRN,1993,15073.914
Iran,IRN,1994,16816.41
Iran,IRN,1995,17401.883
Iran,IRN,1996,18683.664
Iran,IRN,1997,18984.059
Iran,IRN,1998,19468.625
Iran,IRN,1999,20652.555
Iran,IRN,2000,21307.21
Iran,IRN,2001,22379.375
Iran,IRN,2002,24156.205
Iran,IRN,2003,24372.035
Iran,IRN,2004,26526.402
Iran,IRN,2005,27646.455
Iran,IRN,2006,29747.424
Iran,IRN,2007,31167.166
Iran,IRN,2008,31679.156
Iran,IRN,2009,32100.88
Iran,IRN,2010,32148.867
Iran,IRN,2011,33171.1
Iran,IRN,2012,33106.2
Iran,IRN,2013,33847.125
Iran,IRN,2014,34720.953
Iran,IRN,2015,33744.59
Iran,IRN,2016,34676.22
Iran,IRN,2017,35613.996
Iran,IRN,2018,36300.188
Iran,IRN,2019,37688.18
Iran,IRN,2020,38260.562
Iran,IRN,2021,38512.965
Israel,ISR,1965,17370.53
Israel,ISR,1966,17282.178
Israel,ISR,1967,20088.225
Israel,ISR,1968,19618.719
Israel,ISR,1969,21295.797
Israel,ISR,1970,21858.416
Israel,ISR,1971,23890.252
Israel,ISR,1972,21889.021
Israel,ISR,1973,22655.547
Israel,ISR,1974,22135.588
Israel,ISR,1975,22179.557
Israel,ISR,1976,22214.146
Israel,ISR,1977,22843.607
Israel,ISR,1978,24477.008
Israel,ISR,1979,24825.799
Israel,ISR,1980,24722.629
Israel,ISR,1981,24669.229
Israel,ISR,1982,26137.057
Israel,ISR,1983,25586.787
Israel,ISR,1984,25986.332
Israel,ISR,1985,23491.43
Israel,ISR,1986,24062.041
Israel,ISR,1987,25121.795
Israel,ISR,1988,26192.56
Israel,ISR,1989,26630.533
Israel,ISR,1990,26885.531
Israel,ISR,1991,26559.719
Israel,ISR,1992,30160.828
Israel,ISR,1993,31914.094
Israel,ISR,1994,32465.627
Israel,ISR,1995,35630.555
Israel,ISR,1996,36044.28
Israel,ISR,1997,38517.1
Israel,ISR,1998,39661.715
Israel,ISR,1999,40251.742
Israel,ISR,2000,37170.773
Israel,ISR,2001,36424.152
Israel,ISR,2002,36462.848
Israel,ISR,2003,36880.75
Israel,ISR,2004,36929.9
Israel,ISR,2005,36458.637
Israel,ISR,2006,35724.145
Israel,ISR,2007,36725.434
Israel,ISR,2008,37139.56
Israel,ISR,2009,35460.91
Israel,ISR,2010,36229.89
Israel,ISR,2011,36258.535
Israel,ISR,2012,37267.684
Israel,ISR,2013,34657.74
Israel,ISR,2014,33228.23
Israel,ISR,2015,34426.465
Israel,ISR,2016,34478.863
Israel,ISR,2017,34541.145
Israel,ISR,2018,34497.707
Israel,ISR,2019,35090.04
Israel,ISR,2020,32627.172
Israel,ISR,2021,32815.957
Jordan,JOR,1980,10288.259
Jordan,JOR,1981,11726.532
Jordan,JOR,1982,12773.515
Jordan,JOR,1983,12956.073
Jordan,JOR,1984,13125.893
Jordan,JOR,1985,12950.6
Jordan,JOR,1986,13185.326
Jordan,JOR,1987,13562.059
Jordan,JOR,1988,12151.512
Jordan,JOR,1989,11934.6455
Jordan,JOR,1990,12111.728
Jordan,JOR,1991,10900.639
Jordan,JOR,1992,12181.209
Jordan,JOR,1993,11432.909
Jordan,JOR,1994,12516.938
Jordan,JOR,1995,12590.666
Jordan,JOR,1996,13089.599
Jordan,JOR,1997,12316.658
Jordan,JOR,1998,12871.409
Jordan,JOR,1999,12724.906
Jordan,JOR,2000,13120.57
Jordan,JOR,2001,12340.564
Jordan,JOR,2002,12667.007
Jordan,JOR,2003,13522.985
Jordan,JOR,2004,14329.478
Jordan,JOR,2005,15157.3
Jordan,JOR,2006,14647.871
Jordan,JOR,2007,13221.179
Jordan,JOR,2008,12430.374
Jordan,JOR,2009,12645.595
Jordan,JOR,2010,12875.821
Jordan,JOR,2011,13144.025
Jordan,JOR,2012,13750.912
Jordan,JOR,2013,12814.997
Jordan,JOR,2014,11707.33
Jordan,JOR,2015,11505.435
Jordan,JOR,2016,11704.712
Jordan,JOR,2017,11816.349
Jordan,JOR,2018,11273.679
Jordan,JOR,2019,10842.929
Kazakhstan,KAZ,1985,51645.434
Kazakhstan,KAZ,1986,51792.863
Kazakhstan,KAZ,1987,51802.53
Kazakhstan,KAZ,1988,52521.395
Kazakhstan,KAZ,1989,50852.816
Kazakhstan,KAZ,1990,50954.355
Kazakhstan,KAZ,1991,50520.637
Kazakhstan,KAZ,1992,49724.492
Kazakhstan,KAZ,1993,44061.656
Kazakhstan,KAZ,1994,39793.1
Kazakhstan,KAZ,1995,36430.83
Kazakhstan,KAZ,1996,32284.078
Kazakhstan,KAZ,1997,29049.664
Kazakhstan,KAZ,1998,27982.148
Kazakhstan,KAZ,1999,26675.014
Kazakhstan,KAZ,2000,24267.604
Kazakhstan,KAZ,2001,27235.379
Kazakhstan,KAZ,2002,27638.352
Kazakhstan,KAZ,2003,30142.021
Kazakhstan,KAZ,2004,31813.24
Kazakhstan,KAZ,2005,32415.734
Kazakhstan,KAZ,2006,34517.5
Kazakhstan,KAZ,2007,37807.3
Kazakhstan,KAZ,2008,39400.227
Kazakhstan,KAZ,2009,34913.5
Kazakhstan,KAZ,2010,36949.332
Kazakhstan,KAZ,2011,41342.99
Kazakhstan,KAZ,2012,42868.234
Kazakhstan,KAZ,2013,42457.914
Kazakhstan,KAZ,2014,42738.51
Kazakhstan,KAZ,2015,39996.96
Kazakhstan,KAZ,2016,40301.367
Kazakhstan,KAZ,2017,41856.91
Kazakhstan,KAZ,2018,45929.137
Kazakhstan,KAZ,2019,44966.754
Kazakhstan,KAZ,2020,42341.9
Kazakhstan,KAZ,2021,41235.133
Kuwait,KWT,1965,154173.44
Kuwait,KWT,1966,146570.11
Kuwait,KWT,1967,135788
Kuwait,KWT,1968,130337.305
Kuwait,KWT,1969,122382.69
Kuwait,KWT,1970,91440.39
Kuwait,KWT,1971,85190.85
Kuwait,KWT,1972,88595.766
Kuwait,KWT,1973,83112.74
Kuwait,KWT,1974,75114.875
Kuwait,KWT,1975,62962.21
Kuwait,KWT,1976,70412.836
Kuwait,KWT,1977,67460.586
Kuwait,KWT,1978,69531.44
Kuwait,KWT,1979,79819.484
Kuwait,KWT,1980,56714.03
Kuwait,KWT,1981,69107.875
Kuwait,KWT,1982,64686.594
Kuwait,KWT,1983,67990.11
Kuwait,KWT,1984,69339.766
Kuwait,KWT,1985,63820.133
Kuwait,KWT,1986,70143.23
Kuwait,KWT,1987,62249.035
Kuwait,KWT,1988,67629.33
Kuwait,KWT,1989,70157.95
Kuwait,KWT,1990,54624.38
Kuwait,KWT,1991,34431.15
Kuwait,KWT,1992,50396.95
Kuwait,KWT,1993,60576.812
Kuwait,KWT,1994,71253.17
Kuwait,KWT,1995,90954.09
Kuwait,KWT,1996,87488.125
Kuwait,KWT,1997,88023.63
Kuwait,KWT,1998,104961.88
Kuwait,KWT,1999,105604.37
Kuwait,KWT,2000,109536.44
Kuwait,KWT,2001,107600.51
Kuwait,KWT,2002,110790.81
Kuwait,KWT,2003,128997.93
Kuwait,KWT,2004,140627.27
Kuwait,KWT,2005,149455.02
Kuwait,KWT,2006,135875.58
Kuwait,KWT,2007,124446.914
Kuwait,KWT,2008,127302.05
Kuwait,KWT,2009,124978.234
Kuwait,KWT,2010,133508.61
Kuwait,KWT,2011,128367.734
Kuwait,KWT,2012,123815.99
Kuwait,KWT,2013,117800.27
Kuwait,KWT,2014,116073.66
Kuwait,KWT,2015,116074.836
Kuwait,KWT,2016,110826.97
Kuwait,KWT,2017,110847.65
Kuwait,KWT,2018,107916.445
Kuwait,KWT,2019,107970.18
Kuwait,KWT,2020,102826.445
Kuwait,KWT,2021,113650.29
Kyrgyzstan,KGZ,1992,18381.018
Kyrgyzstan,KGZ,1993,16076.551
Kyrgyzstan,KGZ,1994,14149.494
Kyrgyzstan,KGZ,1995,11880.359
Kyrgyzstan,KGZ,1996,14570.59
Kyrgyzstan,KGZ,1997,13532.085
Kyrgyzstan,KGZ,1998,13377.348
Kyrgyzstan,KGZ,1999,14188.851
Kyrgyzstan,KGZ,2000,14177.031
Kyrgyzstan,KGZ,2001,13327.09
Kyrgyzstan,KGZ,2002,11277.386
Kyrgyzstan,KGZ,2003,11796.489
Kyrgyzstan,KGZ,2004,11902.486
Kyrgyzstan,KGZ,2005,11085.9
Kyrgyzstan,KGZ,2006,11181.869
Kyrgyzstan,KGZ,2007,12160.274
Kyrgyzstan,KGZ,2008,11500.209
Kyrgyzstan,KGZ,2009,11463.955
Kyrgyzstan,KGZ,2010,10836.261
Kyrgyzstan,KGZ,2011,12183.774
Kyrgyzstan,KGZ,2012,13588.381
Kyrgyzstan,KGZ,2013,12564.967
Kyrgyzstan,KGZ,2014,12576.968
Kyrgyzstan,KGZ,2015,11097.164
Kyrgyzstan,KGZ,2016,11131.824
Kyrgyzstan,KGZ,2017,11335.21
Kyrgyzstan,KGZ,2018,11701.779
Kyrgyzstan,KGZ,2019,10424.712
Lebanon,LBN,1980,10213.195
Lebanon,LBN,1981,9375.223
Lebanon,LBN,1982,8874.151
Lebanon,LBN,1983,9058.104
Lebanon,LBN,1984,8524.34
Lebanon,LBN,1985,9695.599
Lebanon,LBN,1986,9043.443
Lebanon,LBN,1987,9262.154
Lebanon,LBN,1988,8200.101
Lebanon,LBN,1989,6399.381
Lebanon,LBN,1990,5810.4277
Lebanon,LBN,1991,9377.385
Lebanon,LBN,1992,9394.195
Lebanon,LBN,1993,11559.439
Lebanon,LBN,1994,12784.609
Lebanon,LBN,1995,13479.627
Lebanon,LBN,1996,14030.888
Lebanon,LBN,1997,15778.79
Lebanon,LBN,1998,15650.636
Lebanon,LBN,1999,15773.97
Lebanon,LBN,2000,14027.069
Lebanon,LBN,2001,14693.647
Lebanon,LBN,2002,14617.907
Lebanon,LBN,2003,14599.101
Lebanon,LBN,2004,14306.836
Lebanon,LBN,2005,13477.188
Lebanon,LBN,2006,12290.246
Lebanon,LBN,2007,10675.19
Lebanon,LBN,2008,13562.222
Lebanon,LBN,2009,16556.137
Lebanon,LBN,2010,15851.824
Lebanon,LBN,2011,15852.878
Lebanon,LBN,2012,17286.11
Lebanon,LBN,2013,15715.382
Lebanon,LBN,2014,14658.301
Lebanon,LBN,2015,15860.518
Lebanon,LBN,2016,16680.523
Lebanon,LBN,2017,18242.824
Lebanon,LBN,2018,17667.818
Lebanon,LBN,2019,18513.482
Oman,OMN,1965,163.99113
Oman,OMN,1966,200.5812
Oman,OMN,1967,869.68097
Oman,OMN,1968,1022.7858
Oman,OMN,1969,1420.6041
Oman,OMN,1970,1395.4224
Oman,OMN,1971,22461.205
Oman,OMN,1972,24965.81
Oman,OMN,1973,21103.252
Oman,OMN,1974,18720.264
Oman,OMN,1975,16393.078
Oman,OMN,1976,18027.662
Oman,OMN,1977,16524.197
Oman,OMN,1978,18233.145
Oman,OMN,1979,19902.557
Oman,OMN,1980,16765.436
Oman,OMN,1981,16760.377
Oman,OMN,1982,20980.31
Oman,OMN,1983,18553.486
Oman,OMN,1984,25518.938
Oman,OMN,1985,24806.822
Oman,OMN,1986,21794.72
Oman,OMN,1987,23109.654
Oman,OMN,1988,21182.883
Oman,OMN,1989,22767.44
Oman,OMN,1990,27078.545
Oman,OMN,1991,34227.78
Oman,OMN,1992,31477.85
Oman,OMN,1993,28881.104
Oman,OMN,1994,26639.703
Oman,OMN,1995,30331.03
Oman,OMN,1996,30671.77
Oman,OMN,1997,31044.229
Oman,OMN,1998,31427.941
Oman,OMN,1999,35666.03
Oman,OMN,2000,48885.062
Oman,OMN,2001,53264.89
Oman,OMN,2002,57265.105
Oman,OMN,2003,58636.203
Oman,OMN,2004,53741.77
Oman,OMN,2005,63345.383
Oman,OMN,2006,67977.3
Oman,OMN,2007,66546.555
Oman,OMN,2008,76941.836
Oman,OMN,2009,75053.03
Oman,OMN,2010,83517.05
Oman,OMN,2011,81618.13
Oman,OMN,2012,80657.055
Oman,OMN,2013,83543.42
Oman,OMN,2014,79188.164
Oman,OMN,2015,80053.21
Oman,OMN,2016,76452.04
Oman,OMN,2017,79534.016
Oman,OMN,2018,82767.35
Oman,OMN,2019,82253.63
Oman,OMN,2020,81631.85
Oman,OMN,2021,92128.06
Pakistan,PAK,1965,1586.0701
Pakistan,PAK,1966,1557.1732
Pakistan,PAK,1967,1678.9293
Pakistan,PAK,1968,1855.35
Pakistan,PAK,1969,1814.1052
Pakistan,PAK,1970,1736.3807
Pakistan,PAK,1971,1580.7838
Pakistan,PAK,1972,1432.2173
Pakistan,PAK,1973,1487.9857
Pakistan,PAK,1974,1566.5326
Pakistan,PAK,1975,1596.7157
Pakistan,PAK,1976,1572.8926
Pakistan,PAK,1977,1650.0942
Pakistan,PAK,1978,1711.5878
Pakistan,PAK,1979,1802.7255
