Entity,Code,Year,0_0_PhosPerHa
Afghanistan,AFG,1961,0.01
Afghanistan,AFG,1962,0.01
Afghanistan,AFG,1963,0.01
Afghanistan,AFG,1964,0.01
Afghanistan,AFG,1965,0.01
Afghanistan,AFG,1966,0.06
Afghanistan,AFG,1967,0.13
Afghanistan,AFG,1968,0.13
Afghanistan,AFG,1969,0.25
Afghanistan,AFG,1970,0.42
Afghanistan,AFG,1971,0.71
Afghanistan,AFG,1972,1.63
Afghanistan,AFG,1973,0.86
Afghanistan,AFG,1974,1.19
Afghanistan,AFG,1975,1.08
Afghanistan,AFG,1976,1.69
Afghanistan,AFG,1977,2.14
Afghanistan,AFG,1978,2.25
Afghanistan,AFG,1979,2.04
Afghanistan,AFG,1980,1.61
Afghanistan,AFG,1981,2.09
Afghanistan,AFG,1982,1.73
Afghanistan,AFG,1983,2.46
Afghanistan,AFG,1984,2.46
Afghanistan,AFG,1985,2.46
Afghanistan,AFG,1986,2.06
Afghanistan,AFG,1987,3.26
Afghanistan,AFG,1988,0.73
Afghanistan,AFG,1989,0.7
Afghanistan,AFG,1990,0.05
Afghanistan,AFG,1991,0.72
Afghanistan,AFG,1992,0.86
Afghanistan,AFG,1998,0.13
Afghanistan,AFG,2002,0
Afghanistan,AFG,2003,0.84
Afghanistan,AFG,2004,1.36
Afghanistan,AFG,2005,1.16
Afghanistan,AFG,2006,0.56
Afghanistan,AFG,2007,0
Afghanistan,AFG,2008,0
Afghanistan,AFG,2009,0.07
Afghanistan,AFG,2010,0.12
Afghanistan,AFG,2011,0.87
Afghanistan,AFG,2012,0.16
Afghanistan,AFG,2013,0.38
Afghanistan,AFG,2014,0.65
Afghanistan,AFG,2015,1.38
Afghanistan,AFG,2016,1.14
Afghanistan,AFG,2017,2.11
Afghanistan,AFG,2018,1.54
Afghanistan,AFG,2019,3.22
Afghanistan,AFG,2020,3.08
Armenia,ARM,1992,10.35
Armenia,ARM,2002,0.02
Armenia,ARM,2003,0.02
Armenia,ARM,2004,2.39
Armenia,ARM,2005,0.07
Armenia,ARM,2006,0
Armenia,ARM,2007,0
Armenia,ARM,2008,0.05
Armenia,ARM,2009,0
Armenia,ARM,2010,0.07
Armenia,ARM,2011,0.83
Armenia,ARM,2012,0.13
Armenia,ARM,2013,1.11
Armenia,ARM,2014,5.5
Armenia,ARM,2015,3.32
Armenia,ARM,2016,0.64
Armenia,ARM,2017,0.05
Armenia,ARM,2018,0.05
Armenia,ARM,2019,0.05
Armenia,ARM,2020,0.05
Azerbaijan,AZE,1992,9.93
Azerbaijan,AZE,1993,7.4
Azerbaijan,AZE,1997,1.31
Azerbaijan,AZE,1998,1.36
Azerbaijan,AZE,2002,0.76
Azerbaijan,AZE,2003,0.13
Azerbaijan,AZE,2004,0.17
Azerbaijan,AZE,2005,1.56
Azerbaijan,AZE,2006,1.02
Azerbaijan,AZE,2007,0.64
Azerbaijan,AZE,2008,2.89
Azerbaijan,AZE,2009,1.27
Azerbaijan,AZE,2010,1.01
Azerbaijan,AZE,2011,1.47
Azerbaijan,AZE,2012,2.85
Azerbaijan,AZE,2013,4.65
Azerbaijan,AZE,2014,8.1
