Entity,Code,Year,0_0_PotashPerHa
Afghanistan,AFG,1974,0.01
Afghanistan,AFG,1978,0.01
Afghanistan,AFG,1979,0.01
Afghanistan,AFG,1980,0.04
Afghanistan,AFG,1981,0.01
Afghanistan,AFG,2002,0
Afghanistan,AFG,2003,0
Afghanistan,AFG,2004,0
Afghanistan,AFG,2005,0.01
Afghanistan,AFG,2006,0
Afghanistan,AFG,2007,0
Afghanistan,AFG,2008,0
Afghanistan,AFG,2009,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2011,0
Afghanistan,AFG,2012,0.02
Afghanistan,AFG,2013,0.01
Afghanistan,AFG,2014,0
Afghanistan,AFG,2015,0.01
Afghanistan,AFG,2016,0.01
Afghanistan,AFG,2017,0
Afghanistan,AFG,2018,0
Afghanistan,AFG,2019,0
Afghanistan,AFG,2020,0.02
Armenia,ARM,1992,10.35
Armenia,ARM,2002,0
Armenia,ARM,2003,0.01
Armenia,ARM,2004,0.01
Armenia,ARM,2005,0.08
Armenia,ARM,2006,0
Armenia,ARM,2007,0.02
Armenia,ARM,2008,0.07
Armenia,ARM,2009,0.01
Armenia,ARM,2010,0.01
Armenia,ARM,2011,0.01
Armenia,ARM,2012,1.02
Armenia,ARM,2013,0.08
Armenia,ARM,2014,3.37
Armenia,ARM,2015,0.16
Armenia,ARM,2016,1.81
Armenia,ARM,2017,0.42
Armenia,ARM,2018,0.42
Armenia,ARM,2019,0.42
Armenia,ARM,2020,0.42
Azerbaijan,AZE,1992,2.48
Azerbaijan,AZE,1993,2.47
Azerbaijan,AZE,1994,2.46
Azerbaijan,AZE,1995,2.46
Azerbaijan,AZE,1997,0.48
Azerbaijan,AZE,2000,0.97
Azerbaijan,AZE,2001,0.97
Azerbaijan,AZE,2002,0.9
Azerbaijan,AZE,2003,0.58
Azerbaijan,AZE,2004,0.99
Azerbaijan,AZE,2005,1.86
Azerbaijan,AZE,2006,1.02
Azerbaijan,AZE,2007,0.78
Azerbaijan,AZE,2008,1.56
Azerbaijan,AZE,2009,1.52
Azerbaijan,AZE,2010,1.81
Azerbaijan,AZE,2011,1.77
Azerbaijan,AZE,2012,1.21
Azerbaijan,AZE,2013,1.4
Azerbaijan,AZE,2014,2.64
Azerbaijan,AZE,2015,2.07
Azerbaijan,AZE,2016,0.58
Azerbaijan,AZE,2017,1.62
Azerbaijan,AZE,2018,3.55
Azerbaijan,AZE,2019,3.91
Azerbaijan,AZE,2020,3.26
Georgia,GEO,2000,1.88
Georgia,GEO,2001,1.88
Georgia,GEO,2002,2.26
Georgia,GEO,2003,0
Georgia,GEO,2004,0.21
Georgia,GEO,2005,0.33
Georgia,GEO,2006,0.22
Georgia,GEO,2007,0.48
Georgia,GEO,2008,0.62
Georgia,GEO,2009,0.89
Georgia,GEO,2010,1.23
Georgia,GEO,2011,2.24
Georgia,GEO,2012,1.58
Georgia,GEO,2013,3.45
Georgia,GEO,2014,3.87
Georgia,GEO,2015,4.5
Georgia,GEO,2016,5.3
Georgia,GEO,2017,5.7
Georgia,GEO,2018,6.59
Georgia,GEO,2019,7.43
Georgia,GEO,2020,8.97
Iran,IRN,1961,0.15
Iran,IRN,1962,0.12
Iran,IRN,1963,0.15
