Entity,Code,Year,Primary energy consumption (TWh)
Afghanistan,AFG,1980,7.7907724
Afghanistan,AFG,1981,8.77732
Afghanistan,AFG,1982,9.348327
Afghanistan,AFG,1983,11.436162
Afghanistan,AFG,1984,11.489043
Afghanistan,AFG,1985,11.217284
Afghanistan,AFG,1986,11.462361
Afghanistan,AFG,1987,18.482574
Afghanistan,AFG,1988,32.595596
Afghanistan,AFG,1989,32.051582
Afghanistan,AFG,1990,31.745558
Afghanistan,AFG,1991,13.902764
Afghanistan,AFG,1992,9.167781
Afghanistan,AFG,1993,9.105348
Afghanistan,AFG,1994,8.815903
Afghanistan,AFG,1995,7.428904
Afghanistan,AFG,1996,7.2858114
Afghanistan,AFG,1997,6.9379854
Afghanistan,AFG,1998,6.7522273
Afghanistan,AFG,1999,6.748676
Afghanistan,AFG,2000,5.913606
Afghanistan,AFG,2001,4.664077
Afghanistan,AFG,2002,4.4281597
Afghanistan,AFG,2003,5.2076616
Afghanistan,AFG,2004,4.810372
Afghanistan,AFG,2005,6.153309
Afghanistan,AFG,2006,7.745364
Afghanistan,AFG,2007,10.039065
Afghanistan,AFG,2008,17.152418
Afghanistan,AFG,2009,27.943974
Afghanistan,AFG,2010,34.740215
Afghanistan,AFG,2011,47.199333
Afghanistan,AFG,2012,43.259533
Afghanistan,AFG,2013,36.4886
Afghanistan,AFG,2014,33.502052
Afghanistan,AFG,2015,37.011986
Afghanistan,AFG,2016,34.458023
Afghanistan,AFG,2017,36.61667
Afghanistan,AFG,2018,41.98921
Afghanistan,AFG,2019,35.97401
Armenia,ARM,1992,57.7568
Armenia,ARM,1993,43.95694
Armenia,ARM,1994,39.296124
Armenia,ARM,1995,38.54506
Armenia,ARM,1996,49.341423
Armenia,ARM,1997,41.582306
Armenia,ARM,1998,44.19059
Armenia,ARM,1999,27.311895
Armenia,ARM,2000,29.373667
Armenia,ARM,2001,28.887114
Armenia,ARM,2002,27.6709
Armenia,ARM,2003,30.428022
Armenia,ARM,2004,31.5594
Armenia,ARM,2005,36.559025
Armenia,ARM,2006,36.503197
Armenia,ARM,2007,40.961624
Armenia,ARM,2008,39.53123
Armenia,ARM,2009,35.32081
Armenia,ARM,2010,39.337505
Armenia,ARM,2011,41.41521
Armenia,ARM,2012,43.885105
Armenia,ARM,2013,43.05361
Armenia,ARM,2014,43.884068
Armenia,ARM,2015,40.662777
Armenia,ARM,2016,40.950134
Armenia,ARM,2017,43.64147
Armenia,ARM,2018,42.928493
Armenia,ARM,2019,45.95777
Azerbaijan,AZE,1985,234.9505
Azerbaijan,AZE,1986,252.83441
Azerbaijan,AZE,1987,245.02277
Azerbaijan,AZE,1988,245.20432
Azerbaijan,AZE,1989,250.05185
Azerbaijan,AZE,1990,260.55124
Azerbaijan,AZE,1991,250.35124
